,Date,T,UR,V,P,hotspot_identified
0,1999-01-01,29.7,79.0,2,0.0,0
1,1999-01-02,30.7,69.0,3,4.0,0
2,1999-01-03,32.5,71.0,2,0.0,0
3,1999-01-04,31.3,75.0,3,0.0,0
4,1999-01-05,25.0,90.0,1,29.0,0
5,1999-01-06,30.3,78.0,1,47.2,0
6,1999-01-07,31.3,89.0,2,0.0,0
7,1999-01-08,30.3,74.0,2,0.0,0
8,1999-01-09,32.5,78.0,1,0.0,0
9,1999-01-10,23.4,95.0,1,0.0,0
10,1999-01-11,30.5,74.0,1,10.0,0
11,1999-01-12,31.3,78.0,1,0.0,0
12,1999-01-13,32.7,67.0,1,0.0,0
13,1999-01-14,28.7,82.0,1,0.0,0
14,1999-01-15,31.5,70.0,2,10.0,0
15,1999-01-16,30.9,86.0,0,0.0,0
16,1999-01-17,31.5,72.0,2,0.0,0
17,1999-01-18,31.3,76.0,3,30.0,0
18,1999-01-19,32.5,67.0,1,0.0,0
19,1999-01-20,35.3,66.0,1,0.0,0
20,1999-01-21,36.3,66.0,1,0.0,0
21,1999-01-22,30.7,79.0,1,0.0,1
22,1999-01-23,33.7,61.0,2,0.0,0
23,1999-01-24,30.7,85.0,2,0.0,0
24,1999-01-25,35.1,69.0,1,0.0,0
25,1999-01-26,33.1,74.0,2,0.0,0
26,1999-01-27,27.0,93.0,1,0.0,0
27,1999-01-28,32.7,76.0,2,3.0,0
28,1999-01-29,29.6,80.0,1,0.0,0
29,1999-01-30,28.5,87.0,2,0.0,0
30,1999-01-31,31.7,74.0,2,2.0,0
31,1999-02-01,31.3,69.0,6,0.0,0
32,1999-02-02,27.2,85.0,3,0.0,0
33,1999-02-03,31.5,70.0,1,0.0,0
34,1999-02-04,31.9,72.0,1,0.0,0
35,1999-02-05,34.1,69.0,1,0.0,0
36,1999-02-06,33.7,68.0,2,0.0,0
37,1999-02-07,33.9,69.0,2,0.0,0
38,1999-02-08,27.2,87.0,3,0.0,0
39,1999-02-09,29.5,74.0,2,0.0,0
40,1999-02-10,32.9,67.0,1,0.0,0
41,1999-02-11,26.8,90.0,1,0.0,0
42,1999-02-12,33.6,61.0,2,0.0,0
43,1999-02-13,30.2,93.0,2,0.0,0
44,1999-02-14,30.3,75.0,2,0.0,0
45,1999-02-15,35.1,66.0,0,0.0,0
46,1999-02-16,34.5,63.0,2,0.0,0
47,1999-02-17,33.5,72.0,2,0.0,0
48,1999-02-18,33.7,72.0,1,4.5,0
49,1999-02-19,32.6,75.0,1,0.0,0
50,1999-02-20,32.6,74.0,1,0.0,0
