,ds,x,y,sin(theta),cos(theta)
0,0,434.0,300.0,-0.7682212795972521,0.6401843996646285
1,1,435.689282384,297.745134994,-0.8013976703636214,0.5981319034592291
2,2,431.330159681,290.737164696,-0.629299000646184,0.7771632825769074
3,3,443.249551198,293.705045364,-0.7763534710380903,0.6302977772506493
4,4,433.885969677,286.124349375,-0.4878875664619375,0.8729064798086039
5,5,440.903430117,290.806960328,-0.7853057082301189,0.6191081849088989
6,6,436.798928709,284.097109328,-0.4851069426348742,0.8744548325713827
7,7,445.320221387,290.504019085,-0.7879203325021646,0.6157771915471361
8,8,440.3091956,279.173125001,-0.2858979781992723,0.9582600618107635
9,9,439.041110459,280.003008957,-0.2730239677131584,0.9620072312899546
10,10,442.44139004,276.085705163,0.03574961242950298,0.9993607783033814
11,11,439.607045327,274.614324332,0.11142600943676957,0.9937727327819963
12,12,437.922238524,269.450000097,0.4235970848538299,0.9058507104944706
13,13,439.783011379,272.122765982,0.4497286665795437,0.8931652290906681
14,14,438.920411674,273.617605147,0.4963491057822425,0.8681230127056696
15,15,444.676008667,277.57290489,0.5977913977356629,0.8016516979294951
16,16,443.460944861,276.747077321,0.6244362224400928,0.7810757992056514
17,17,448.083184189,278.440830558,0.8539806265020798,0.5203048044743727
18,18,447.453949201,281.022864847,0.8114369619316047,0.5844399514160608
19,19,444.907005118,281.892755635,0.8158953263910893,0.5781996336674539
20,20,452.171004244,289.7443522,0.91905119106816,0.39413818413875656
21,21,453.798644001,287.956580463,0.9397396336291609,0.3418909489684252
22,22,458.483142743,294.64078718,0.9980668206091811,0.06214999275205826
23,23,462.306876425,296.543623637,0.9981502204697431,-0.06079586644010664
24,24,455.236708682,296.079909456,0.9960653634158964,-0.08862162153311257
25,25,456.509239068,295.795983046,0.9811527254460934,-0.19323387215936746
26,26,459.418486333,297.156315224,0.8937319405701935,-0.4486014025887972
27,27,454.072440642,302.595575707,0.8637465216387095,-0.5039265287291693
28,28,454.522909765,306.093593678,0.7534926003825714,-0.657456387275012
29,29,449.490914572,313.776612589,0.6815819123920364,-0.7317418238012738
30,30,448.218899858,315.87605222,0.7155655923366826,-0.6985455483100959
31,31,444.739142863,318.245633267,0.7868415910235336,-0.61715501345736
32,32,437.739142863,321.245633267,0.8785671441007539,-0.4776188577795532
33,33,437.834657487,325.350256968,0.8254769443609861,-0.5644358372113251
34,34,432.562119203,327.848159978,0.7205742835957973,-0.6933777482876152
35,35,430.462225835,335.407768214,0.5848989249500031,-0.8111061876180767
36,36,425.301978493,340.369104848,0.4863638137184782,-0.8737563966605437
37,37,423.058923769,340.234464054,0.4143104746484056,-0.9101356111023307
38,38,419.677456166,342.224667273,0.3590518390712622,-0.9333176184234092
39,39,421.294978357,342.718109147,0.21488481657403313,-0.9766393989625568
40,40,416.98028865,344.270848311,0.03320919772705165,-0.9994484224742793
41,41,409.330899936,346.453535653,-0.3442087444515039,-0.9388931463394113
42,42,408.000056617,346.622305726,-0.44121118391238473,-0.8974033046465963
43,43,403.473374055,346.610469983,-0.5461712543500004,-0.8376735407793106
44,44,401.39072354,346.191082743,-0.7090600495739422,-0.7051481022439177
45,45,400.297295218,345.209748121,-0.705806124194116,-0.7084050501302769
46,46,396.359115427,343.589521251,-0.782131097439577,-0.6231139112698117
47,47,394.363052606,339.236118351,-0.7903026838573388,-0.6127166293547834
48,48,395.614801601,336.421858161,-0.7962403863824485,-0.6049803691802974
49,49,391.593722746,334.89513066,-0.8225116605081376,-0.5687482468791848
50,50,387.965949642,332.707242694,-0.8207601452172475,-0.5712729505437509
51,51,382.520992408,328.967462664,-0.8811715131436486,-0.4727967474762625
52,52,380.693091897,330.27863333,-0.9394975683820469,-0.34255557068046805
53,53,382.807316215,331.092363175,-0.9547701291962772,-0.2973449182254912
54,54,382.37456457,331.090229941,-0.9714203301319347,-0.237365840436999
55,55,382.257702223,329.096272549,-0.9992366997526987,0.03906427866139417
56,56,383.468983734,330.423875556,-0.9930972654536152,0.11729373959658564
57,57,379.498040251,326.696147003,-0.8824022696072993,0.4704957328094348
58,58,377.237418777,325.332460121,-0.7391081406349201,0.6735867846441104
59,59,370.947263343,325.486382996,-0.6312073274874234,0.7756141500296295
60,60,372.863131642,325.749679658,-0.6571897069954812,0.753725207896879
61,61,374.468787701,324.258769181,-0.57238686552802,0.8199837048204118
62,62,375.027057521,322.842881126,-0.4884036316354812,0.8726178388076152
63,63,376.051690898,322.763756577,-0.5030374456543638,0.8642646170412931
64,64,376.945244699,317.939119875,-0.1264608282558275,0.9919716018701594
65,65,381.727891116,325.845502056,-0.7430339451206702,0.6692537309559154
66,66,377.727891116,316.845502056,-0.3190876431338255,0.9477252112291307
67,67,384.15820598,324.107281031,-0.7814080519157649,0.624020397424002
68,68,376.863708555,315.456495318,-0.2043646869365778,0.9788948231211128
69,69,387.378828739,329.296355015,-0.8201726693972226,0.5721160654743356
70,70,380.314448741,318.080172428,-0.468205055580558,0.8836198424259194
71,71,382.987486998,322.431642104,-0.7753557281970765,0.6315247380364297
72,72,377.978331938,316.045766501,-0.6541519236647335,0.7563631804667177
73,73,382.168582274,323.336436395,-0.8426184296851089,0.5385110787671885
74,74,384.168582274,313.336436395,-0.5748310979196636,0.8182720873062176
75,75,379.856401544,312.027588798,-0.6562532963226974,0.7545406623009749
76,76,385.570781283,312.045959942,-0.707584221715781,0.7066290180702124
77,77,385.263982072,307.785956857,-0.5850638002191113,0.8109872685025159
78,78,390.148727529,312.834959835,-0.8453847526437904,0.5341578605594018
79,79,383.88088103,303.917508763,-0.3889923031768996,0.9212410043355274
80,80,396.026398861,314.23413351,-0.9017344972134982,0.4322902919741775
81,81,388.206876786,302.633748365,-0.5402618452066307,0.8414969629261455
82,82,389.807381668,305.518061781,-0.7009276005365346,0.7132324297212629
83,83,395.230817726,304.409597742,-0.7756723137035099,0.6311358504742411
84,84,392.812405627,303.493458292,-0.5554707230534829,0.8315360941236651
85,85,396.89492182,301.850106439,-0.657336998513639,0.7535967558217592
86,86,396.726915057,294.425482723,-0.5662860447602207,0.8242087815049203
87,87,401.59537713,296.779753377,-0.7917711061036881,0.6108179070224958
88,88,400.462246147,294.977502838,-0.8176838704174314,0.5756675152022818
89,89,400.667117665,291.329873131,-0.8262789012335492,0.5632611981809847
90,90,408.679469376,295.144830422,-0.9913929907091451,0.1309195859020987
91,91,403.660014975,288.110078832,-0.9144899030354816,0.40460872116917523
92,92,417.660014975,292.110078832,-0.9881300855298546,-0.15361944561403115
93,93,413.049259924,290.481035735,-0.9845375760640444,-0.1751735177415129
94,94,417.951854356,289.808510871,-0.9330363335718327,-0.3597821566376406
95,95,419.526574214,286.695065898,-0.8652182079251745,-0.5013955052398752
96,96,417.580469098,281.448475762,-0.8442066383203191,-0.5360178652021833
97,97,417.484517211,281.039693635,-0.835691569707311,-0.5491990534588808
98,98,415.722261711,277.448871614,-0.7122580396832217,-0.7019177194704621
99,99,415.417791397,277.148825953,-0.6274463499518806,-0.7786597960162462
100,100,412.282057824,277.656682935,-0.5436814575317344,-0.8392916493902277
101,101,405.539706203,279.495989934,-0.33075405263695884,-0.94371698970837
102,102,402.129724936,278.455500333,-0.34946185044325595,-0.9369505937266785
103,103,397.668173136,278.289429709,-0.22085442924093832,-0.9753067830609297
104,104,392.746349719,273.181088657,-0.05134107587163422,-0.9986811773175377
105,105,387.374675813,272.572302976,-0.14144517300083956,-0.9899460909740301
106,106,380.410808558,272.212233018,-0.09216275302146801,-0.9957439565247203
107,107,376.291195446,272.625601062,-0.1525767394028472,-0.988291626289121
108,108,374.174787321,270.078792624,-0.11260416617507872,-0.9936399256068645
109,109,370.360142883,265.396492571,-0.16566529970444102,-0.9861820361747813
110,110,364.902005016,264.18998544,0.06623410928639961,-0.9978041104179904
111,111,365.377169161,262.611437814,0.30519267966620356,-0.9522906217527095
112,112,366.610727955,262.799102164,0.4374694937054676,-0.8992332523194868
113,113,365.95188973,262.599701024,0.6215836851921293,-0.7833477658760328
114,114,365.68712112,264.214154173,0.6973477364576256,-0.7167329589585134
115,115,363.354598185,264.125017575,0.7526009279681805,-0.6584769116844065
116,116,357.580904916,264.361979592,0.8290025177867693,-0.5592448707884565
117,117,356.231292113,264.489404444,0.8435013133339664,-0.5371271119612879
118,118,351.380539562,266.825013049,0.9542684681441149,-0.29895098378477436
119,119,354.83091554,273.065090501,0.9988211810217309,-0.04854120252275034
120,120,348.152067422,279.707852261,0.9778082131030134,0.20950202478327518
121,121,345.605555519,278.334171445,0.9285171675018544,0.37128946881689673
122,122,346.690482134,281.620776434,0.9363734552798297,0.3510053450409449
123,123,346.087446726,282.469109702,0.8411818186844453,0.5407523905769896
124,124,346.310705169,282.347476627,0.7346045345610767,0.6784955252632872
125,125,346.46900688,291.320171337,0.6363297539267757,0.7714171661737176
126,126,346.022882259,293.937300727,0.5206524511398504,0.8537687187535427
127,127,351.824106332,294.921109249,0.4103041055987531,0.9119487600346893
128,128,352.489046378,297.330723982,0.17000020239335129,0.9854440274242975
129,129,354.596293169,299.021886522,0.1121934354066753,0.9936863856628247
130,130,356.470282821,299.554571386,-0.009967598594480306,0.9999503222551905
131,131,356.493760706,300.857260182,0.04111272606067867,0.9991545144550265
132,132,358.006251145,306.078076249,-0.14394770553188363,0.9895852960064161
133,133,357.809055099,308.963584182,-0.18023155393975332,0.9836242102370507
134,134,358.166354172,306.077030887,-0.24603468094661862,0.9692610256125517
135,135,360.367322808,305.043620464,-0.24232418584443108,0.9701953354633456
136,136,365.762817452,303.192933701,-0.45012331053140336,0.8929664077199376
137,137,368.762817452,309.192933701,-0.7757927834797749,0.6309877630356259
138,138,363.664951711,307.799880908,-0.5712517519800617,0.8207748996282173
139,139,369.810913424,308.311429796,-0.5465697391684501,0.837413589706623
140,140,373.904994725,312.28141311,-0.8648489474227653,0.5020321684331941
141,141,370.351368447,304.755503268,-0.5031558281697599,0.8641957027079011
142,142,371.439926932,310.529158302,-0.8461499475357086,0.5329448998586228
143,143,371.998814594,302.593102667,-0.5058521878997249,0.8626201736552777
144,144,379.138221949,306.904324905,-0.7292363595288123,0.6842618884178521
145,145,373.835716699,303.519486396,-0.593542279470886,0.8048028096872579
146,146,373.690730897,304.735135646,-0.5497701552047487,0.8353159740159088
147,147,376.047871383,302.197549587,-0.6100241520927674,0.7923828202728149
148,148,373.134320877,302.829073219,-0.49443604475797537,0.8692140114172627
149,149,375.839650615,306.660599111,-0.6336468312446318,0.7736224487782377
150,150,375.962410056,299.618081678,-0.3944970063653361,0.9188972260099537
151,151,378.962410056,304.618081678,-0.7708651511224452,0.636998366391131
152,152,376.164574524,298.225811471,-0.4260810524876448,0.904684993083792
153,153,381.407843313,305.020037555,-0.7630571973946055,0.6463309628234516
154,154,377.407843313,298.020037555,-0.3526032130145544,0.9357729287449027
155,155,378.373347428,307.504763538,-0.7585592502649965,0.6516040698441089
156,156,380.987027539,311.232977617,-0.6251428545810471,0.7805103531448252
157,157,383.992303874,306.466379736,-0.3307764245615233,0.9437091484956024
158,158,387.430194578,304.379200835,-0.32169094732329356,0.946844725607236
159,159,389.962954965,302.232397145,-0.5534629357898291,0.8328738071922441
160,160,390.81254538,304.283145366,-0.3603863523362287,0.9328031287735841
161,161,391.957212602,302.521404732,-0.46555245922008975,0.8850202866116271
162,162,393.448120827,298.548171002,-0.16883472317657489,0.9856443761569835
163,163,404.91599035,305.442967868,-0.7917914936416806,0.6107914788179977
164,164,399.185891018,298.794415599,-0.4175279343398179,0.908664087573579
165,165,404.050027405,308.219864105,-0.914425368515653,0.4047545495914928
166,166,403.050027405,300.219864105,-0.5781134908569375,0.8159563662900152
167,167,412.354145908,299.988464468,-0.8918352730937859,0.45236030513931297
168,168,406.191298382,296.724992187,-0.7560269882083894,0.6545404442053613
169,169,410.062383022,295.535450198,-0.8140541325490783,0.5807890058186085
170,170,410.13007625,294.100202284,-0.8497422909923648,0.5271982918210636
171,171,413.510688296,291.468031615,-0.9161148676603189,0.4009158880011073
172,172,413.79916999,286.984266809,-0.9138001845262822,0.4061640343010846
173,173,413.820360035,282.374606591,-0.9571488370422528,0.2895964498205441
174,174,418.847407834,279.139188933,-0.9640722858212167,0.26564003409022197
175,175,418.138314697,273.504144319,-0.9546231606233557,0.29781642198084823
176,176,418.33963726,272.605993436,-0.9775279074004994,0.2108060489008807
177,177,420.745134625,268.917967291,-0.9945918351170242,0.1038608757836667
178,178,420.917874826,265.94091701,-0.9993257679540771,0.036715248916409954
179,179,419.795616747,263.468437012,-0.9955348923041829,0.09439426997916243
180,180,419.490259663,259.682192031,-0.9997952245306285,0.02023632886049708
181,181,421.335241584,255.014674007,-0.9975889789987933,-0.0693990560464987
182,182,420.659642317,252.255343009,-0.9417929762684246,-0.3361933816294762
183,183,418.607323268,248.464855704,-0.9122136102381551,-0.4097149366282261
184,184,419.586040128,244.322189248,-0.8828241036014352,-0.46970373864844056
185,185,419.513953168,239.195785724,-0.839016864268711,-0.5441054139343767
186,186,413.110932384,237.332619817,-0.8679947240974086,-0.4965734174712371
187,187,410.501765944,234.299080545,-0.8075776479782957,-0.589761258888581
188,188,417.179427411,227.716848634,-0.5269993493027851,-0.8498656869379073
189,189,416.23769254,223.851902591,-0.3830612229872099,-0.9237229560011719
190,190,415.505213003,222.586582098,-0.1955110223656391,-0.9807015040946672
191,191,413.089560839,221.273039108,0.010094432859307528,-0.9999490499146688
192,192,412.376877959,220.054869252,0.11642314366771167,-0.993199703795026
193,193,411.759667072,221.215340373,0.20376201808578998,-0.9790204492172807
194,194,410.102633472,220.038001847,0.3545930047439141,-0.935020748960515
195,195,403.737290175,219.459687586,0.611103755336683,-0.7915505038930892
196,196,402.52087984,221.041920047,0.6255890763520497,-0.7801527462933071
197,197,400.844932857,227.816764866,0.6222119001023052,-0.7828488687933828
198,198,399.890090096,228.061616907,0.649303489204041,-0.7605294069971639
199,199,392.978683368,229.613792265,0.6733915855566698,-0.7392859883032237
200,200,389.245028145,233.523747947,0.6720609968452643,-0.7404957910206847
201,201,381.352704017,237.401185554,0.5251870438286116,-0.8509868206938132
202,202,382.393073507,243.92154341,0.46328130675098145,-0.8862112788805517
203,203,377.122156271,239.832845651,0.6460698457492403,-0.7632782942109338
204,204,375.806817386,239.57862368,0.714021389342766,-0.7001238858666559
205,205,374.865954992,238.48817144,0.8701604619801997,-0.4927684754592215
206,206,369.596531445,237.194343607,0.9686067981159424,-0.24859780900800793
207,207,372.462981514,240.223448909,0.9987913973911657,0.04915022377774443
208,208,375.359841281,247.846674771,0.9969308115833039,0.07828765493904503
209,209,374.367785518,246.786339842,0.903315201533779,0.42897744308761526
210,210,376.657605434,247.549057123,0.9273109306041198,0.3742919154645491
211,211,381.457355553,250.455926483,0.8704834126054937,0.49219775332552446
212,212,379.386410421,253.241722478,0.8709661172979971,0.49134308025945733
213,213,380.652579964,253.782034515,0.7232991772282686,0.6905347929111969
214,214,383.109731827,261.880706034,0.31156399467241025,0.950225171853372
215,215,385.763538966,264.446071872,0.29940141144598204,0.9541272424703918
216,216,386.624182829,268.646103524,0.2263300648590885,0.974050666926973
217,217,389.092453239,266.507288357,0.16727560703543656,0.9859101740477811
218,218,392.444031264,271.830689997,-0.17073711636059258,0.9853166176904099
219,219,403.397023727,269.798750688,-0.3377950833339579,0.9412196776924101
220,220,405.037898815,270.143430445,-0.47460370517610434,0.8801995927249191
221,221,407.862208954,271.918893982,-0.7246619761867752,0.689104506057737
222,222,407.495901402,271.778485704,-0.7061041975819085,0.7081079452719121
223,223,407.53133448,275.347824539,-0.7939125061877613,0.6080320160309554
224,224,406.147331325,272.845507492,-0.7856869444709011,0.618624300596072
225,225,412.16738885,271.105554586,-0.7867450670259148,0.6172780568839207
226,226,406.927246709,269.613869618,-0.7732185566112891,0.6341396247767164
227,227,413.623631228,274.752138497,-0.7737672336825905,0.6334700214526268
228,228,414.338865021,267.453342014,-0.6229489493238562,0.7822624920934811
229,229,416.959992694,267.026761548,-0.81405332132369,0.5807901428587343
