,ds,USD/Bitcoin
0,0,24.1955
1,1,26.53092
2,2,25.6083
3,3,29.81231
4,4,29.27998
5,5,31.179
6,6,34.87799
7,7,36.35
8,8,42.49271
9,9,46.5
10,10,46.79999
11,11,47.11
12,12,57.76
13,13,71.5
14,14,73.88798
15,15,93.56701
16,16,92.50001
17,17,138.79
18,18,142.49765
19,19,237.99
20,20,76.488
21,21,91.0
22,22,96.5
23,23,125.0
24,24,153.20019
25,25,128.00001
26,26,139.109
27,27,93.15
28,28,120.94999
29,29,109.56154
30,30,114.32
31,31,114.98499
32,32,123.74995
33,33,122.5
34,34,131.5
35,35,132.60997
36,36,130.99589
37,37,120.60293
38,38,122.4051
39,39,107.8
40,40,108.0
41,41,100.0
42,42,100.52521
43,43,111.97
44,44,107.68389
45,45,104.40565
46,46,95.85301
47,47,89.55
48,48,67.85844
49,49,77.64
50,50,87.15
51,51,94.75
52,52,97.97
53,53,91.8775
54,54,95.396
55,55,96.39475
56,56,101.04202
57,57,104.19
58,58,104.67459
59,59,105.6
60,60,102.61802
61,61,107.29884
62,62,98.51
63,63,102.07
64,64,111.01
65,65,112.9
66,66,119.25
67,67,132.75
68,68,130.45
69,69,122.44
70,70,121.66
71,71,128.45
72,72,125.46
73,73,127.23
74,74,123.5
75,75,122.59
76,76,125.6
77,77,125.8
78,78,116.95
79,79,121.6
80,80,126.08
81,81,127.53
82,82,139.24
83,83,150.59
84,84,177.07
85,85,195.78
86,86,189.06
87,87,203.39
88,88,204.15
89,89,246.63
90,90,325.56
91,91,339.38
92,92,416.5
93,93,463.0
94,94,595.0
95,95,837.99
96,96,844.9
97,97,1083.9
98,98,992.27
99,99,1028.34
100,100,722.99
101,101,886.2
102,102,864.7
103,103,702.05
104,104,660.0
105,105,639.9
106,106,734.42
107,107,714.79
108,108,746.9
109,109,822.38
110,110,867.38
111,111,827.46
112,112,807.83
113,113,830.9
114,114,833.0
115,115,813.05
116,116,806.0
117,117,800.2
118,118,802.5
119,119,813.8
120,120,778.0
121,121,710.0
122,122,667.01
123,123,651.42
124,124,626.77
125,125,566.16
126,126,545.0
127,127,585.17
128,128,559.88
129,129,664.85
130,130,609.0
131,131,622.9
132,132,636.47
133,133,624.7
134,134,590.0
135,135,567.13
136,136,585.7
137,137,499.94
138,138,479.51
139,139,446.01
140,140,447.74
141,141,401.0
142,142,405.0
143,143,511.5
144,144,499.9
145,145,493.33
146,146,459.15
147,147,447.0
148,148,460.01
149,149,436.21
150,150,446.65
151,151,452.42
152,152,438.95
153,153,449.51
154,154,446.42
155,155,523.84
156,156,575.0
157,157,574.33
158,158,620.45
159,159,673.9
160,160,655.75
161,161,650.93
162,162,617.0
163,163,560.49
164,164,604.6
165,165,590.99
166,166,585.54
167,167,588.97
168,168,620.0
169,169,644.04
170,170,634.49
171,171,624.84
172,172,631.98
173,173,623.17
174,174,629.86
175,175,619.14
176,176,601.18
177,177,592.51
178,178,573.48
179,179,591.59
180,180,580.21
181,181,589.3
182,182,578.97
183,183,521.66
184,184,491.88
185,185,507.3
186,186,503.88
187,187,512.79
188,188,511.99
189,189,482.59
190,190,486.0
191,191,480.62
192,192,485.03
193,193,479.86
194,194,468.0
195,195,398.89
196,196,400.98
197,197,408.08
198,198,380.0
199,199,385.27
200,200,336.0
201,201,330.7
202,202,358.97
203,203,381.46
204,204,378.02
205,205,388.99
206,206,385.1
207,207,348.89
208,208,354.94
209,209,340.95
210,210,325.81
211,211,347.96
212,212,356.34
213,213,430.07
214,214,373.14
215,215,379.91
216,216,356.9
217,217,384.0
218,218,372.62
219,219,375.96
220,220,378.25
221,221,374.05
222,222,350.29
223,223,355.08
224,224,352.15
225,225,317.7
226,226,326.93
227,227,327.59
228,228,314.45
229,229,313.09
230,230,316.15
231,231,276.8
232,232,276.8
233,233,272.25
234,234,176.5
235,235,197.12
236,236,212.99
237,237,233.03
238,238,271.47
239,239,233.19
240,240,220.72
241,241,222.56
242,242,225.16
243,243,220.16
244,244,239.94
245,245,235.86
246,246,241.59
247,247,236.0
248,248,238.59
249,249,252.98
250,250,275.8
251,251,272.12
252,252,287.48
253,253,297.39
254,254,283.57
255,255,265.85
256,256,257.83
257,257,247.83
258,258,248.63
259,259,245.18
260,260,252.44
261,261,257.03
262,262,245.89
263,263,236.7
264,264,216.0
265,265,222.67
266,266,224.63
267,267,235.48
268,268,218.42
269,269,225.69
270,270,234.13
271,271,234.66
272,272,244.72
273,273,244.19
274,274,238.32
275,275,235.78
276,276,234.6
277,277,238.77
278,278,235.94
279,279,235.87
280,280,222.4
281,281,225.54
282,282,222.6
283,283,228.01
284,284,230.22
285,285,245.35
286,286,246.45
287,287,246.35
288,288,241.92
289,289,248.76
290,290,257.85
291,291,257.92
292,292,267.26
293,293,286.98
294,294,289.9
295,295,275.76
296,296,276.09
297,297,277.54
298,298,287.12
299,299,295.24
300,300,284.78
301,301,284.39
302,302,277.1
303,303,265.42
304,304,267.89
305,305,265.41
306,306,253.91
307,307,233.59
308,308,213.24
309,309,228.27
310,310,226.47
311,311,230.68
312,312,234.67
313,313,243.08
314,314,239.93
315,315,230.88
316,316,234.0
317,317,230.2
318,318,229.95
319,319,233.76
320,320,237.68
321,321,237.78
322,322,239.22
323,323,243.91
324,324,248.08
325,325,254.6
326,326,269.07
327,327,269.8
328,328,277.43
329,329,284.95
330,330,310.36
331,331,311.5
332,332,437.05
333,333,387.38
334,334,353.58
335,335,332.2
336,336,329.32
337,337,329.0
338,338,322.33
339,339,325.0
340,340,353.88
341,341,359.32
342,342,360.88
343,343,395.58
344,344,415.64
345,345,438.79
346,346,454.43
347,347,461.16
348,348,435.98
349,349,454.98
350,350,423.98
351,351,429.34
352,352,428.13
353,353,430.75
354,354,450.15
355,355,446.66
356,356,391.62
357,357,385.28
358,358,408.0
359,359,404.75
360,360,394.45
361,361,378.24
362,362,373.48
363,363,386.49
364,364,375.8
365,365,376.75
366,366,402.38
367,367,418.04
368,368,439.48
369,369,417.0
370,370,424.34
371,371,436.18
372,372,421.44
373,373,408.86
374,374,413.1
375,375,410.0
376,376,414.78
377,377,408.87
378,378,410.49
379,379,416.47
380,380,426.8
381,381,412.35
382,382,418.07
383,383,421.77
384,384,422.2
385,385,420.69
386,386,423.76
387,387,425.71
388,388,442.34
389,389,451.29
390,390,467.98
391,391,456.16
392,392,443.9
393,393,448.51
394,394,457.82
395,395,452.51
396,396,455.65
397,397,452.89
398,398,441.25
