,ds,Dollars/Barrel
0,0,23.95
1,1,26.31
2,2,27.35
3,3,28.12
4,4,29.01
5,5,28.83
6,6,24.8
7,7,21.05
8,8,23.07
9,9,27.98
10,10,30.09
11,11,30.1
12,12,30.9
13,13,30.58
14,14,26.84
15,15,27.56
16,16,31.34
17,17,36.02
18,18,34.55
19,19,29.65
20,20,32.03
21,21,31.09
22,22,32.5
23,23,33.47
24,24,27.28
25,25,22.58
26,26,25.6
27,27,26.94
28,28,30.68
29,29,25.75
30,30,26.37
31,31,23.45
32,32,24.87
33,33,25.86
34,34,27.46
35,35,28.57
36,36,28.86
37,37,28.13
38,38,26.21
39,39,24.02
40,40,24.82
41,41,25.78
42,42,26.33
43,43,27.54
44,44,25.17
45,45,21.46
46,46,19.91
47,47,18.63
48,48,16.86
49,49,18.92
50,50,18.54
51,51,20.13
52,52,18.5
53,53,18.71
54,54,21.41
55,55,20.73
56,56,23.6
57,57,25.13
58,58,25.13
59,59,26.2
60,60,26.09
61,61,24.01
62,62,22.83
63,63,24.99
64,64,25.08
65,65,25.7
66,66,25.2
67,67,27.44
68,68,27.45
69,69,28.38
70,70,29.11
71,71,28.56
72,72,25.44
73,73,23.86
74,74,24.85
75,75,26.06
76,76,30.61
77,77,30.26
78,78,31.4
79,79,31.81
80,80,32.76
81,81,34.39
82,82,28.0
83,83,26.75
84,84,25.36
85,85,23.79
86,86,26.77
87,87,26.39
88,88,28.48
89,89,27.06
90,90,29.37
91,91,27.73
92,92,30.06
93,93,29.95
94,94,27.49
95,95,25.56
96,96,28.9
97,97,31.05
98,98,27.47
99,99,29.01
100,100,28.9
101,101,29.79
102,102,29.17
103,103,32.55
104,104,31.05
105,105,30.06
106,106,31.6
107,107,33.72
108,108,34.4
109,109,31.48
110,110,33.56
111,111,36.07
112,112,38.43
113,113,39.05
114,114,34.66
115,115,32.61
116,116,36.68
117,117,40.09
118,118,42.5
119,119,42.99
120,120,40.19
121,121,44.56
122,122,47.1
123,123,49.21
124,124,46.25
125,125,40.48
126,126,44.23
127,127,37.03
128,128,40.24
129,129,43.75
130,130,45.94
131,131,42.49
132,132,48.16
133,133,54.11
134,134,51.52
135,135,52.57
136,136,51.73
137,137,49.81
138,138,46.92
139,139,51.3
140,140,54.3
141,141,55.36
142,142,56.79
143,143,58.28
144,144,65.9
145,145,65.88
146,146,61.66
147,147,64.64
148,148,57.2
149,149,57.04
150,150,59.55
151,151,53.8
152,152,53.65
153,153,59.67
154,154,58.34
155,155,62.34
156,156,65.14
157,157,59.16
158,158,59.44
159,159,60.99
160,160,62.59
161,161,68.2
162,162,73.46
163,163,69.83
164,164,68.45
165,165,67.17
166,166,68.17
167,167,72.88
168,168,71.62
169,169,77.63
170,170,72.67
171,171,67.15
172,172,61.28
173,173,57.6
174,174,57.75
175,175,58.79
176,176,57.18
177,177,58.66
178,178,63.7
179,179,63.13
180,180,52.82
181,181,53.93
182,182,58.04
183,183,57.74
184,184,61.13
185,185,60.18
186,186,68.09
187,187,66.34
188,188,65.14
189,189,69.26
190,190,70.9
191,191,72.33
192,192,72.9
193,193,77.59
194,194,77.01
195,195,69.29
196,196,69.66
197,197,77.15
198,198,76.21
199,199,77.85
200,200,83.47
201,201,94.85
202,202,94.97
203,203,88.46
204,204,91.06
205,205,96.37
206,206,87.06
207,207,88.73
208,208,97.52
209,209,103.47
210,210,99.78
211,211,102.21
212,212,110.67
213,213,111.92
214,214,122.98
215,215,128.5
216,216,133.9
217,217,138.4
218,218,136.02
219,219,125.77
220,220,108.98
221,221,112.2
222,222,96.0
223,223,102.09
224,224,80.77
225,225,62.95
226,226,61.09
227,227,48.35
228,228,43.83
229,229,40.19
230,230,45.84
231,231,41.22
232,232,43.15
233,233,39.41
234,234,46.07
235,235,45.22
236,236,45.92
237,237,51.83
238,238,50.3
239,239,56.25
240,240,64.98
241,241,70.62
242,242,68.1
243,243,58.25
244,244,69.78
245,245,73.79
246,246,74.34
247,247,69.2
248,248,69.65
249,249,68.51
250,250,76.51
251,251,75.68
252,252,77.36
253,253,76.96
254,254,73.34
255,255,77.91
256,256,76.85
257,257,71.58
258,258,74.82
259,259,77.5
260,260,79.45
261,261,79.46
262,262,85.81
263,263,84.59
264,264,78.7
265,265,70.59
266,266,74.33
267,267,75.17
268,268,75.2
269,269,77.27
270,270,81.28
271,271,73.48
272,272,75.03
273,273,79.42
274,274,83.42
275,275,82.3
276,276,84.06
277,277,85.49
278,278,86.02
279,279,90.63
280,280,93.52
281,281,97.86
282,282,96.48
283,283,100.74
284,284,111.47
285,285,114.07
286,286,115.45
287,287,126.3
288,288,124.55
289,289,115.66
290,290,114.47
291,291,119.95
292,292,108.27
293,293,117.4
294,294,118.99
295,295,106.92
296,296,109.37
297,297,113.29
298,298,114.39
299,299,101.84
300,300,112.08
301,301,106.97
302,302,111.9
303,303,111.22
304,304,105.72
305,305,108.09
306,306,110.55
307,307,110.26
308,308,118.3
309,309,122.23
310,310,126.98
311,311,124.41
312,312,120.62
313,313,119.3
314,314,110.79
315,315,107.55
316,316,96.59
317,317,90.19
318,318,99.23
319,319,102.35
320,320,113.42
321,321,115.77
322,322,114.5
323,323,109.41
324,324,110.48
325,325,112.58
326,326,108.84
327,327,110.07
328,328,110.84
329,329,109.28
330,330,110.8
331,331,111.72
332,332,115.42
333,333,118.43
334,334,112.2
335,335,108.1
336,336,108.46
337,337,100.58
338,338,102.39
339,339,101.31
340,340,101.24
341,341,103.87
342,342,99.8
343,343,107.9
344,344,109.27
345,345,108.77
346,346,110.74
347,347,115.65
348,348,109.09
349,349,109.09
350,350,110.79
351,351,108.41
352,352,106.9
353,353,111.32
354,354,108.99
355,355,112.06
356,356,108.02
357,357,108.72
358,358,110.18
359,359,109.19
360,360,108.35
361,361,107.01
362,362,105.83
363,363,108.48
364,364,108.17
365,365,111.32
366,366,109.07
367,367,114.25
368,368,110.18
369,369,106.04
370,370,104.94
371,371,101.15
372,372,100.71
373,373,96.31
374,374,95.08
375,375,84.02
376,376,86.91
377,377,80.42
378,378,77.39
379,379,63.65
380,380,58.72
381,381,46.9
382,382,46.55
383,383,55.79
384,384,60.33
385,385,55.95
386,386,53.61
387,387,56.42
388,388,60.12
389,389,66.22
390,390,63.52
391,391,60.34
392,392,61.37
393,393,61.73
394,394,57.31
395,395,54.29
396,396,48.01
397,397,44.46
398,398,47.77
399,399,47.06
400,400,52.13
401,401,46.59
402,402,47.19
403,403,42.22
404,404,42.0
405,405,36.29
406,406,36.61
407,407,28.84
408,408,33.01
409,409,28.82
410,410,35.76
411,411,39.41
412,412,38.33
413,413,41.58
414,414,42.97
415,415,42.43
416,416,47.77
417,417,49.76
418,418,48.18
419,419,45.64
420,420,45.7
421,421,40.0
422,422,48.27
423,423,47.94
424,424,46.48
425,425,44.95
426,426,50.48
427,427,49.08
428,428,43.88
429,429,46.54
430,430,51.9
431,431,53.01
432,432,55.9
433,433,55.04
434,434,55.92
435,435,54.48
436,436,54.12
437,437,50.58
438,438,52.2
439,439,54.79
440,440,50.41
441,441,51.29
442,442,52.25
443,443,47.18
444,444,44.09
