,Date,Number of Passengers
0,0,1487588.0
1,1,1237719.0
2,2,1450395.0
3,3,1609159.0
4,4,1724392.0
5,5,1906396.0
6,6,2373334.0
7,7,2372987.0
8,8,2010979.0
9,9,1806198.0
10,10,1454126.0
11,11,1647415.0
12,12,1610669.0
13,13,1354608.0
14,14,1754176.0
15,15,1733544.0
16,16,1942570.0
17,17,2198429.0
18,18,2718260.0
19,19,2710884.0
20,20,2241586.0
21,21,1929316.0
22,22,1614560.0
23,23,1781091.0
24,24,1774076.0
25,25,1561256.0
26,26,1900097.0
27,27,2067610.0
28,28,2111298.0
29,29,2523993.0
30,30,2943282.0
31,31,3104669.0
32,32,2444994.0
33,33,2166730.0
34,34,1747559.0
35,35,1826169.0
36,36,1782353.0
37,37,1625842.0
38,38,1925574.0
39,39,1915541.0
40,40,2076528.0
41,41,2530712.0
42,42,2890151.0
43,43,3101750.0
44,44,2284811.0
45,45,2072839.0
46,46,1772565.0
47,47,2014192.0
48,48,1953167.0
49,49,1633905.0
50,50,1870412.0
51,51,2072486.0
52,52,2219113.0
53,53,2408134.0
54,54,2767347.0
55,55,2770687.0
56,56,2276942.0
57,57,2108528.0
58,58,1775732.0
59,59,1885940.0
60,60,1881405.0
61,61,1671732.0
62,62,1945402.0
63,63,2119827.0
64,64,2217477.0
65,65,2506696.0
66,66,2933162.0
67,67,2959380.0
68,68,2324646.0
69,69,2106557.0
70,70,1739354.0
71,71,1936329.0
72,72,2084139.0
73,73,1695926.0
74,74,2110844.0
75,75,2072557.0
76,76,2260183.0
77,77,2625551.0
78,78,3045987.0
79,79,3062160.0
80,80,2487794.0
81,81,2294018.0
82,82,1847896.0
83,83,1952973.0
84,84,1941779.0
85,85,1766849.0
86,86,2154037.0
87,87,2295627.0
88,88,2560742.0
89,89,2834238.0
90,90,3150703.0
91,91,3245530.0
92,92,2739615.0
93,93,2372463.0
94,94,2044930.0
95,95,2107732.0
96,96,2207086.0
97,97,1902787.0
98,98,2207788.0
99,99,2276810.0
100,100,2529317.0
101,101,2821543.0
102,102,3038012.0
103,103,3098434.0
104,104,2343303.0
105,105,2131151.0
106,106,1823366.0
107,107,2065594.0
108,108,2029305.0
109,109,1744403.0
110,110,2196312.0
111,111,2072426.0
112,112,2058952.0
113,113,2373194.0
114,114,2818689.0
115,115,3131884.0
116,116,2322148.0
117,117,2093923.0
118,118,1891615.0
119,119,2031907.0
120,120,2051960.0
121,121,1851269.0
122,122,2305824.0
123,123,2382792.0
124,124,2533529.0
125,125,2769991.0
126,126,3242593.0
127,127,3414397.0
128,128,2602304.0
129,129,2389250.0
130,130,2010071.0
131,131,2176865.0
132,132,2192010.0
133,133,1957857.0
134,134,2397190.0
135,135,2449663.0
136,136,2570983.0
137,137,2895614.0
138,138,3428600.0
139,139,3379891.0
140,140,2599740.0
141,141,2387060.0
142,142,2008527.0
143,143,2087475.0
144,144,2076723.0
145,145,1756939.0
146,146,2287242.0
147,147,2285707.0
148,148,2499703.0
149,149,2772499.0
150,150,3119466.0
151,151,3241904.0
152,152,2605180.0
153,153,2388449.0
154,154,2065063.0
155,155,2138011.0
156,156,2119091.0
157,157,1843797.0
158,158,2232491.0
159,159,2327802.0
160,160,2459820.0
161,161,2788556.0
162,162,3145690.0
163,163,3353241.0
164,164,2565252.0
165,165,2275176.0
166,166,1879355.0
167,167,2040172.0
168,168,1897528.0
169,169,1414320.0
170,170,1852923.0
171,171,2026028.0
172,172,2226279.0
173,173,2476462.0
174,174,2810627.0
175,175,3076883.0
176,176,2205742.0
177,177,2083499.0
178,178,1705227.0
179,179,1926920.0
180,180,1844861.0
181,181,1697135.0
182,182,2094368.0
183,183,2139625.0
184,184,2296760.0
185,185,2620931.0
186,186,3017345.0
187,187,3248998.0
188,188,2479753.0
189,189,2307826.0
190,190,1935995.0
191,191,2040549.0
