,Date,Number of Passengers
0,0,1093062.0
1,1,1020854.0
2,2,1214632.0
3,3,1257855.0
4,4,1263020.0
5,5,1317957.0
6,6,1265405.0
7,7,1369092.0
8,8,1268316.0
9,9,1346132.0
10,10,1323301.0
11,11,1293393.0
12,12,1175090.0
13,13,1055250.0
14,14,1427227.0
15,15,1434159.0
16,16,1515759.0
17,17,1543827.0
18,18,1471946.0
19,19,1628138.0
20,20,1462326.0
21,21,1487349.0
22,22,1462906.0
23,23,1377358.0
24,24,1321336.0
25,25,1227198.0
26,26,1541146.0
27,27,1643366.0
28,28,1646717.0
29,29,1683985.0
30,30,1595552.0
31,31,1754145.0
32,32,1477617.0
33,33,1575112.0
34,34,1515968.0
35,35,1365713.0
36,36,1325298.0
37,37,1287530.0
38,38,1455089.0
39,39,1418434.0
40,40,1547202.0
41,41,1602943.0
42,42,1516070.0
43,43,1596059.0
44,44,1415116.0
45,45,1509227.0
46,46,1355755.0
47,47,1392011.0
48,48,1349337.0
49,49,1195161.0
50,50,1438220.0
51,51,1585067.0
52,52,1650182.0
53,53,1651755.0
54,54,1658728.0
55,55,1465238.0
56,56,1440891.0
57,57,1578394.0
58,58,1518668.0
59,59,1564865.0
60,60,1345864.0
61,61,1332936.0
62,62,1534190.0
63,63,1592811.0
64,64,1621771.0
65,65,1682441.0
66,66,1585667.0
67,67,1684885.0
68,68,1486158.0
69,69,1575306.0
70,70,1520006.0
71,71,1462859.0
72,72,1390367.0
73,73,1254491.0
74,74,1594280.0
75,75,1557807.0
76,76,1645387.0
77,77,1678313.0
78,78,1554027.0
79,79,1662549.0
80,80,1552349.0
81,81,1652944.0
82,82,1602832.0
83,83,1532041.0
84,84,1432496.0
85,85,1397787.0
86,86,1586618.0
87,87,1698476.0
88,88,1804596.0
89,89,1825590.0
90,90,1703797.0
91,91,1883816.0
92,92,1690573.0
93,93,1824310.0
94,94,1723097.0
95,95,1596864.0
96,96,1458978.0
97,97,1399974.0
98,98,1784307.0
99,99,1794180.0
100,100,1837782.0
101,101,1805867.0
102,102,1733866.0
103,103,1857215.0
104,104,1547156.0
105,105,1748573.0
106,106,1666993.0
107,107,1779873.0
108,108,1536836.0
109,109,1478253.0
110,110,1808762.0
111,111,1851647.0
112,112,1920149.0
113,113,1871867.0
114,114,1902085.0
115,115,2057851.0
116,116,1861612.0
117,117,1981929.0
118,118,1916924.0
119,119,1878588.0
120,120,1613866.0
121,121,1755127.0
122,122,2084731.0
123,123,2193572.0
124,124,2160059.0
125,125,2095192.0
126,126,2138440.0
127,127,2262270.0
128,128,2015305.0
129,129,2082480.0
130,130,1953153.0
131,131,1871718.0
132,132,1719193.0
133,133,1827489.0
134,134,2129450.0
135,135,2071162.0
136,136,2122953.0
137,137,2094031.0
138,138,2076230.0
139,139,2232043.0
140,140,1937153.0
141,141,2048547.0
142,142,2022879.0
143,143,1877650.0
144,144,1763352.0
145,145,1723332.0
146,146,1896883.0
147,147,1860516.0
148,148,1950916.0
149,149,2021241.0
150,150,1972013.0
151,151,2245482.0
152,152,1877677.0
153,153,2033152.0
154,154,1962235.0
155,155,1851518.0
156,156,1810180.0
157,157,1805003.0
158,158,2012383.0
159,159,2049821.0
160,160,1951216.0
161,161,1948744.0
162,162,1930887.0
163,163,2164960.0
164,164,1751555.0
165,165,1861639.0
166,166,1796448.0
167,167,1681768.0
168,168,1528653.0
169,169,1349872.0
170,170,1551938.0
171,171,1698294.0
172,172,1733802.0
173,173,1660448.0
174,174,1674729.0
175,175,1845868.0
176,176,1583974.0
177,177,1743763.0
178,178,1621834.0
179,179,1693081.0
180,180,1433716.0
181,181,1486536.0
182,182,1578211.0
183,183,1577312.0
184,184,1651565.0
185,185,1763054.0
186,186,1846238.0
187,187,1947393.0
188,188,1661338.0
189,189,1648036.0
190,190,1620321.0
191,191,1532127.0
192,192,1437427.0
193,193,1392029.0
194,194,1568920.0
195,195,1700849.0
196,196,1672644.0
197,197,1626453.0
198,198,1673236.0
199,199,1866274.0
200,200,1694617.0
201,201,1768421.0
202,202,1727539.0
203,203,1676157.0
204,204,1425394.0
205,205,1354881.0
206,206,1737362.0
207,207,1749916.0
208,208,1854782.0
209,209,1787568.0
210,210,1738011.0
211,211,1883413.0
212,212,1705525.0
213,213,1826190.0
214,214,1889144.0
215,215,1756044.0
216,216,1571947.0
217,217,1492685.0
218,218,1758856.0
219,219,1780771.0
220,220,1806385.0
221,221,1784241.0
222,222,1690177.0
223,223,1846049.0
224,224,1682422.0
225,225,1797936.0
226,226,1756578.0
227,227,1631163.0
228,228,1361438.0
229,229,1463149.0
230,230,1755923.0
231,231,1833480.0
