,ds,Pace,Distance
0,0,30.88072,0.0
1,1,24.263573,1.359811
2,2,18.463263,9.4317665
3,3,17.024836,21.737251
4,4,16.23196,29.413368
5,5,15.202815,33.033237
6,6,14.800497,47.206825
7,7,14.980145,54.594204
8,8,15.13615,65.66203
9,9,15.313029,72.62067
10,10,15.529456,82.783005
11,11,15.679268,90.153786
12,12,16.08874,99.471504
13,13,16.05695,105.68995
14,14,15.894879,117.51915
15,15,15.890093,124.86523
16,16,16.034216,135.1634
17,17,15.97364,141.67943
18,18,15.97537,151.36435
19,19,15.893906,157.9695
20,20,15.624712,168.85156
21,21,15.327867,176.23851
22,22,15.240303,186.44371
23,23,15.115794,197.1734
24,24,15.12153,204.5252
25,25,15.212914,216.3127
26,26,15.413288,223.07104
27,27,15.433,232.48648
28,28,15.240205,239.34056
29,29,14.997091,246.5893
30,30,14.778446,257.2601
31,31,14.468348,269.29053
32,32,14.455152,276.53
33,33,14.475057,283.88278
34,34,14.561764,294.84814
35,35,14.590518,306.47595
36,36,14.743424,313.71375
37,37,14.85356,323.88367
38,38,14.849047,331.03738
39,39,14.805563,342.45325
40,40,14.91187,349.78226
41,41,15.01653,360.5048
42,42,15.034175,367.5037
43,43,15.062735,378.64642
44,44,15.299763,385.42584
45,45,15.462304,396.0888
46,46,15.693351,403.39044
47,47,16.069674,414.014
48,48,16.463696,419.94482
49,49,16.4721,425.94385
50,50,16.193403,435.6971
51,51,15.796369,445.9136
52,52,15.377796,453.05573
53,53,14.981942,464.10376
54,54,14.809194,472.0816
55,55,14.927174,482.50696
56,56,14.96089,485.92996
57,57,14.901546,500.30347
58,58,14.997012,507.0263
59,59,14.734696,518.5981
60,60,10.34223,526.677
61,61,9.653576,540.1307
62,62,9.018412,553.4159
63,63,8.713641,573.13776
64,64,8.509377,586.42847
65,65,8.393981,605.41724
66,66,8.379704,618.3198
67,67,8.477404,637.68335
68,68,8.601588,650.36475
69,69,9.0436535,668.5972
70,70,9.819266,680.436
71,71,10.742236,698.4502
72,72,11.613971,710.005
73,73,13.466386,723.9969
74,74,13.624556,725.58093
75,75,11.829104,738.0547
76,76,10.44089,755.21515
77,77,10.354512,767.0371
78,78,9.325984,778.0156
79,79,8.731882,802.0102
80,80,8.863832,814.5532
81,81,8.987371,830.54004
82,82,8.779208,843.8999
83,83,8.968618,861.7141
84,84,9.010071,873.68994
85,85,8.793199,896.5923
86,86,8.956496,905.26245
87,87,8.797684,922.57043
88,88,8.632159,935.9309
89,89,8.43124,958.4111
90,90,8.464566,970.3076
91,91,8.40273,983.60425
92,92,8.142392,996.1889
93,93,7.849422,1020.22955
94,94,7.8677683,1034.9662
95,95,7.9426527,1053.4834
96,96,13.076087,1065.4209
97,97,14.425593,1076.1576
98,98,14.727798,1082.2708
99,99,14.715429,1092.3822
100,100,14.605994,1100.1346
101,101,14.525699,1112.1978
102,102,14.100887,1119.8163
103,103,13.858296,1132.2235
104,104,14.083586,1139.046
105,105,14.1947565,1151.5564
106,106,14.766117,1160.5703
107,107,15.841835,1170.8099
108,108,17.02213,1174.5961
109,109,16.9189,1182.1665
110,110,16.749922,1188.1965
111,111,16.101517,1199.2946
112,112,15.488976,1206.2616
113,113,14.485838,1218.8514
114,114,11.372401,1226.9929
115,115,10.757086,1239.7473
116,116,10.205292,1249.4099
117,117,9.649243,1265.638
118,118,9.353252,1279.8558
119,119,9.435988,1294.0446
120,120,9.330235,1306.4323
121,121,9.397469,1323.9998
122,122,9.417041,1332.7922
123,123,9.062779,1348.9625
124,124,8.659347,1361.4299
125,125,8.340745,1381.3567
126,126,8.085152,1397.1348
127,127,8.15246,1417.3191
128,128,8.217652,1429.9767
129,129,8.306676,1448.9403
130,130,8.4471245,1460.6782
131,131,8.482052,1477.7443
132,132,8.327111,1492.8717
133,133,8.450497,1511.9113
134,134,8.515856,1524.185
135,135,8.535171,1537.02
136,136,8.634946,1555.045
137,137,8.67983,1573.4336
138,138,8.646298,1585.7925
139,139,8.612592,1604.8567
140,140,8.638241,1617.4973
141,141,8.658887,1636.0171
142,142,8.6883335,1648.5256
143,143,8.712915,1666.6624
144,144,8.673308,1678.3278
145,145,8.574778,1697.2183
146,146,8.555705,1709.4899
147,147,8.514217,1728.6924
148,148,8.617756,1742.1892
149,149,8.844483,1760.2964
150,150,9.016546,1771.646
151,151,9.102901,1788.6328
152,152,9.11244,1799.67
153,153,8.971094,1817.7488
154,154,8.850329,1829.9208
155,155,8.706954,1849.6384
156,156,8.649045,1862.0898
157,157,8.631798,1880.2919
158,158,8.606143,1892.4536
159,159,8.551349,1911.6512
160,160,8.580012,1924.6349
161,161,8.629364,1942.7987
162,162,8.511817,1956.0741
163,163,8.531076,1975.0654
164,164,8.899963,1985.2693
165,165,8.927573,2003.2009
166,166,9.039613,2018.8467
167,167,9.630544,2038.3268
168,168,10.404068,2040.4885
169,169,9.637666,2059.4565
170,170,9.612287,2072.1655
171,171,9.62776,2089.286
172,172,9.335969,2100.3381
173,173,8.840388,2119.4556
174,174,10.413513,2132.2734
175,175,11.349165,2151.223
176,176,12.725257,2158.1816
177,177,13.675819,2168.528
178,178,14.695016,2174.7146
179,179,15.664578,2183.8936
180,180,16.076517,2191.4788
181,181,16.3707,2201.852
182,182,16.486591,2207.964
183,183,16.408466,2216.9104
184,184,16.242502,2223.2063
185,185,16.003738,2233.6394
186,186,15.861638,2241.231
187,187,16.032784,2251.437
188,188,16.192362,2257.7507
189,189,16.247196,2267.5684
190,190,16.50561,2273.4443
191,191,16.51312,2283.55
192,192,16.302923,2290.9504
193,193,16.318035,2301.5498
194,194,16.55912,2307.0002
195,195,16.308561,2314.1633
196,196,15.933847,2321.3667
197,197,15.803264,2331.7388
198,198,15.571812,2338.69
199,199,15.302731,2349.2588
200,200,15.158028,2356.4795
201,201,15.174444,2366.6426
202,202,15.033393,2373.9048
203,203,14.949718,2385.1116
204,204,11.337233,2390.447
205,205,10.410746,2402.8945
206,206,9.634249,2415.9587
207,207,9.17605,2437.7766
208,208,9.024562,2449.9192
209,209,8.922799,2463.9607
210,210,8.5291395,2477.2268
211,211,8.382673,2499.6318
212,212,8.4175005,2512.603
213,213,8.40656,2525.077
214,214,8.3635645,2543.9963
215,215,8.468541,2562.3394
216,216,8.498194,2575.1296
217,217,8.486796,2593.682
218,218,8.382755,2606.6426
219,219,8.267865,2625.4885
220,220,8.11961,2637.875
221,221,8.016139,2657.713
222,222,7.930784,2672.5317
223,223,7.980692,2692.3774
224,224,8.125771,2706.8362
225,225,8.489666,2723.1426
226,226,8.533706,2736.1895
227,227,8.706428,2754.5642
228,228,8.808199,2767.2595
229,229,8.940641,2786.0686
230,230,9.082626,2797.5405
231,231,9.265311,2816.0674
232,232,9.50404,2827.2708
233,233,9.703287,2843.0786
234,234,9.795083,2853.4504
235,235,9.78811,2869.496
236,236,9.745486,2880.6616
237,237,9.67283,2897.8774
238,238,9.628835,2909.2808
239,239,9.648561,2925.5825
240,240,13.705442,2935.5332
241,241,14.54696,2947.7048
242,242,15.8094015,2952.6887
243,243,16.2081,2961.237
244,244,16.525286,2967.9324
245,245,17.07554,2977.4717
246,246,17.30219,2983.638
247,247,17.25108,2993.0247
248,248,17.275217,2999.4316
249,249,17.371103,3005.0422
250,250,16.990139,3014.483
251,251,16.676996,3023.9744
252,252,16.246977,3030.2114
253,253,15.715339,3040.8118
254,254,15.374171,3048.1
255,255,15.195231,3058.956
256,256,15.11866,3066.08
257,257,15.150787,3076.35
258,258,9.869611,3093.032
259,259,9.164988,3105.1023
260,260,8.857303,3124.634
261,261,8.687903,3136.368
262,262,8.33667,3160.2915
263,263,8.679532,3169.2136
264,264,8.586673,3184.7808
265,265,8.485779,3198.159
266,266,8.507071,3216.764
267,267,8.540801,3222.5576
268,268,8.40044,3248.6929
269,269,8.601839,3263.2058
270,270,8.97599,3281.1506
271,271,9.247736,3292.0564
272,272,9.562655,3305.3313
273,273,9.671628,3315.2876
274,274,9.5369835,3335.069
275,275,9.687525,3347.9778
276,276,10.055401,3363.492
277,277,10.4484215,3371.9456
278,278,10.682977,3386.868
279,279,11.258148,3396.2832
280,280,11.584927,3410.901
281,281,11.759719,3420.398
282,282,11.677523,3434.3052
283,283,11.582808,3440.0403
284,284,10.716594,3452.7644
285,285,10.086196,3462.9592
286,286,9.42969,3482.3384
287,287,9.265797,3495.4824
288,288,9.376595,3511.8057
289,289,9.639527,3523.7725
290,290,10.192953,3538.98
291,291,10.815586,3548.1475
292,292,11.229753,3561.9382
293,293,11.54462,3570.9275
294,294,11.787541,3584.4827
295,295,11.928571,3592.9258
296,296,11.869859,3607.0613
297,297,11.882327,3616.48
298,298,11.910965,3630.0767
299,299,11.7279625,3639.0288
300,300,11.498612,3653.2068
301,301,11.254544,3662.8882
302,302,11.017473,3678.3035
303,303,10.843662,3687.4429
304,304,10.52716,3703.312
305,305,10.357214,3713.693
306,306,10.178923,3728.5552
307,307,9.842045,3739.9775
308,308,9.622363,3756.9165
309,309,9.460677,3767.8699
310,310,9.236053,3785.6807
311,311,9.101948,3797.8755
312,312,9.081958,3815.369
313,313,9.058725,3826.88
314,314,9.010119,3844.6597
315,315,9.00079,3850.898
316,316,9.077096,3875.5974
317,317,17.685408,3899.2031
318,318,18.740551,3903.7417
319,319,18.5154,3909.7134
320,320,18.665668,3917.5303
321,321,18.359777,3926.7139
322,322,18.390158,3932.5164
323,323,18.134947,3941.5098
324,324,18.127895,3947.3684
325,325,18.032665,3956.5823
326,326,18.224157,3962.27
327,327,18.29166,3971.0295
328,328,18.350983,3977.0403
329,329,18.488039,3986.1807
330,330,18.727152,3991.6594
331,331,18.732328,4000.1306
332,332,18.623032,4006.002
333,333,18.548368,4014.4905
334,334,18.269148,4020.3342
335,335,17.871569,4029.467
336,336,17.530573,4035.5527
337,337,17.208494,4044.9624
338,338,16.998932,4051.017
339,339,16.74051,4061.1567
340,340,16.866732,4067.7537
341,341,17.154394,4077.3933
342,342,17.536896,4083.654
343,343,18.025955,4093.1663
344,344,18.634417,4098.38
345,345,18.87902,4106.6987
346,346,18.9923,4112.2554
347,347,18.892483,4120.9873
348,348,18.703838,4126.7866
349,349,18.514008,4134.927
350,350,18.210003,4140.9307
351,351,18.040684,4150.2686
352,352,18.044447,4156.226
353,353,18.031755,4165.414
354,354,18.037712,4171.371
355,355,18.111935,4179.881
356,356,18.019709,4185.8257
357,357,17.921925,4194.979
358,358,17.83535,4198.126
359,359,17.738611,4210.39
360,360,17.668995,4216.4395
361,361,17.598131,4225.2563
362,362,17.440023,4231.249
363,363,17.242134,4240.867
364,364,17.198044,4247.0103
365,365,17.086626,4256.2544
366,366,17.098953,4262.862
367,367,17.2969,4271.93
368,368,17.441893,4277.904
369,369,17.505232,4287.1055
370,370,17.562067,4293.1704
371,371,17.544401,4302.615
372,372,17.55694,4308.473
373,373,17.44944,4317.539
374,374,17.297058,4324.108
375,375,17.3851,4333.266
