,Date,Line 200
0,0,62.0
1,1,86.0
2,2,88.0
3,3,91.0
4,4,88.0
5,5,89.0
6,6,106.0
7,7,105.0
8,8,152.0
9,9,143.0
10,10,151.0
11,11,125.0
12,12,106.0
13,13,107.0
14,14,99.0
15,15,118.0
16,16,141.0
17,17,95.0
18,18,71.0
19,19,81.0
20,20,90.0
21,21,89.0
22,22,84.0
23,23,76.0
24,24,62.0
25,25,96.0
26,26,99.0
27,27,127.0
28,28,131.0
29,29,85.0
30,30,72.0
31,31,71.0
32,32,72.0
33,33,83.0
34,34,94.0
35,35,103.0
36,36,119.0
37,37,136.0
38,38,139.0
39,39,133.0
40,40,133.0
41,41,162.0
42,42,173.0
43,43,155.0
44,44,143.0
45,45,151.0
46,46,155.0
47,47,148.0
48,48,163.0
49,49,143.0
50,50,131.0
51,51,120.0
52,52,99.0
53,53,89.0
54,54,92.0
55,55,92.0
56,56,75.0
57,57,102.0
58,58,114.0
59,59,97.0
60,60,78.0
61,61,75.0
62,62,78.0
63,63,78.0
64,64,78.0
65,65,67.0
66,66,77.0
67,67,91.0
68,68,79.0
69,69,64.0
70,70,70.0
71,71,81.0
72,72,74.0
73,73,76.0
74,74,71.0
75,75,68.0
76,76,70.0
77,77,69.0
78,78,82.0
79,79,107.0
80,80,133.0
81,81,152.0
82,82,123.0
83,83,74.0
84,84,73.0
85,85,103.0
86,86,132.0
87,87,156.0
88,88,108.0
89,89,110.0
90,90,122.0
91,91,107.0
92,92,107.0
93,93,131.0
94,94,122.0
95,95,104.0
96,96,94.0
97,97,77.0
98,98,93.0
99,99,104.0
100,100,88.0
101,101,99.0
102,102,125.0
103,103,122.0
104,104,79.0
105,105,102.0
106,106,159.0
107,107,244.0
108,108,255.0
109,109,238.0
110,110,238.0
111,111,215.0
112,112,168.0
113,113,162.0
114,114,160.0
115,115,158.0
116,116,144.0
117,117,117.0
118,118,89.0
119,119,72.0
120,120,70.0
121,121,100.0
122,122,118.0
123,123,102.0
124,124,79.0
125,125,73.0
126,126,79.0
127,127,82.0
128,128,81.0
129,129,80.0
130,130,81.0
131,131,85.0
132,132,89.0
133,133,90.0
134,134,89.0
135,135,89.0
136,136,97.0
137,137,105.0
138,138,113.0
139,139,116.0
140,140,114.0
141,141,112.0
142,142,114.0
143,143,116.0
144,144,109.0
145,145,109.0
146,146,108.0
147,147,112.0
148,148,125.0
149,149,140.0
150,150,146.0
151,151,144.0
152,152,130.0
153,153,106.0
154,154,85.0
155,155,81.0
156,156,84.0
157,157,83.0
158,158,89.0
159,159,97.0
160,160,95.0
161,161,90.0
162,162,87.0
163,163,75.0
164,164,56.0
165,165,55.0
166,166,63.0
167,167,61.0
168,168,61.0
169,169,56.0
170,170,58.0
171,171,59.0
172,172,58.0
173,173,79.0
174,174,111.0
175,175,126.0
176,176,124.0
177,177,107.0
178,178,83.0
179,179,64.0
180,180,57.0
181,181,56.0
182,182,57.0
183,183,57.0
184,184,61.0
185,185,67.0
186,186,69.0
187,187,65.0
188,188,64.0
189,189,67.0
190,190,67.0
191,191,63.0
192,192,63.0
193,193,64.0
194,194,65.0
195,195,64.0
196,196,59.0
197,197,55.0
198,198,57.0
199,199,61.0
200,200,60.0
201,201,63.0
202,202,64.0
203,203,59.0
204,204,53.0
205,205,53.0
206,206,60.0
207,207,68.0
208,208,60.0
209,209,62.0
210,210,64.0
211,211,66.0
212,212,67.0
213,213,66.0
214,214,65.0
215,215,64.0
216,216,50.0
217,217,59.0
218,218,71.0
219,219,71.0
220,220,77.0
221,221,104.0
222,222,102.0
223,223,64.0
224,224,46.0
225,225,72.0
226,226,83.0
227,227,66.0
228,228,54.0
229,229,61.0
230,230,66.0
231,231,60.0
