,ds,Line 170
0,0,162.0
1,1,164.0
2,2,165.0
3,3,165.0
4,4,165.0
5,5,166.0
6,6,169.0
7,7,171.0
8,8,170.0
9,9,171.0
10,10,172.0
11,11,173.0
12,12,174.0
13,13,175.0
14,14,176.0
15,15,177.0
16,16,178.0
17,17,178.0
18,18,178.0
19,19,179.0
20,20,180.0
21,21,181.0
22,22,181.0
23,23,182.0
24,24,182.0
25,25,183.0
26,26,183.0
27,27,184.0
28,28,186.0
29,29,187.0
30,30,187.0
31,31,188.0
32,32,188.0
33,33,188.0
34,34,188.0
35,35,189.0
36,36,189.0
37,37,190.0
38,38,190.0
39,39,190.0
40,40,191.0
41,41,191.0
42,42,191.0
43,43,191.0
44,44,191.0
45,45,191.0
46,46,191.0
47,47,191.0
48,48,189.0
49,49,193.0
50,50,190.0
51,51,194.0
52,52,194.0
53,53,201.0
54,54,185.0
55,55,120.0
56,56,138.0
57,57,140.0
58,58,128.0
59,59,152.0
60,60,130.0
61,61,110.0
62,62,103.0
63,63,109.0
64,64,89.0
65,65,83.0
66,66,76.0
67,67,67.0
68,68,54.0
69,69,41.0
70,70,37.0
71,71,39.0
72,72,39.0
73,73,39.0
74,74,45.0
75,75,32.0
76,76,94.0
77,77,208.0
78,78,199.0
79,79,194.0
80,80,195.0
81,81,196.0
82,82,196.0
83,83,197.0
84,84,197.0
85,85,196.0
86,86,196.0
87,87,195.0
88,88,196.0
89,89,196.0
90,90,196.0
91,91,196.0
92,92,196.0
93,93,196.0
94,94,196.0
95,95,196.0
96,96,196.0
97,97,196.0
98,98,196.0
99,99,197.0
100,100,197.0
101,101,198.0
102,102,198.0
103,103,198.0
104,104,197.0
105,105,197.0
106,106,197.0
107,107,197.0
108,108,197.0
109,109,197.0
110,110,197.0
111,111,197.0
112,112,198.0
113,113,198.0
114,114,198.0
115,115,198.0
116,116,198.0
117,117,198.0
118,118,198.0
119,119,198.0
120,120,199.0
121,121,199.0
122,122,199.0
123,123,199.0
124,124,199.0
125,125,199.0
126,126,199.0
127,127,199.0
128,128,198.0
129,129,198.0
130,130,198.0
131,131,199.0
132,132,199.0
133,133,200.0
134,134,200.0
135,135,200.0
136,136,201.0
137,137,201.0
138,138,201.0
139,139,201.0
140,140,201.0
141,141,201.0
142,142,201.0
143,143,201.0
144,144,202.0
145,145,202.0
146,146,201.0
147,147,201.0
148,148,201.0
149,149,201.0
150,150,200.0
151,151,200.0
152,152,201.0
153,153,201.0
154,154,200.0
155,155,200.0
156,156,200.0
157,157,201.0
158,158,202.0
159,159,202.0
160,160,202.0
161,161,202.0
162,162,202.0
163,163,202.0
164,164,202.0
165,165,202.0
166,166,202.0
167,167,202.0
168,168,204.0
169,169,204.0
170,170,204.0
171,171,204.0
172,172,204.0
173,173,204.0
174,174,204.0
175,175,204.0
176,176,204.0
177,177,208.0
178,178,204.0
179,179,203.0
180,180,207.0
181,181,203.0
182,182,204.0
183,183,218.0
184,184,161.0
185,185,63.0
186,186,68.0
187,187,63.0
188,188,57.0
189,189,62.0
190,190,64.0
191,191,47.0
192,192,42.0
193,193,28.0
194,194,13.0
195,195,22.0
196,196,41.0
197,197,35.0
198,198,17.0
199,199,15.0
200,200,15.0
201,201,15.0
202,202,15.0
203,203,15.0
204,204,16.0
