ds,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
02/10/12 09:00,None,288.28,0,0,40,Clouds,scattered clouds,5545
02/10/12 10:00,None,289.36,0,0,75,Clouds,broken clouds,4516
02/10/12 11:00,None,289.58,0,0,90,Clouds,overcast clouds,4767
02/10/12 12:00,None,290.13,0,0,90,Clouds,overcast clouds,5026
02/10/12 13:00,None,291.14,0,0,75,Clouds,broken clouds,4918
02/10/12 14:00,None,291.72,0,0,1,Clear,sky is clear,5181
02/10/12 15:00,None,293.17,0,0,1,Clear,sky is clear,5584
02/10/12 16:00,None,293.86,0,0,1,Clear,sky is clear,6015
02/10/12 17:00,None,294.14,0,0,20,Clouds,few clouds,5791
02/10/12 18:00,None,293.1,0,0,20,Clouds,few clouds,4770
02/10/12 19:00,None,290.97,0,0,20,Clouds,few clouds,3539
02/10/12 20:00,None,289.38,0,0,1,Clear,sky is clear,2784
02/10/12 21:00,None,288.61,0,0,1,Clear,sky is clear,2361
02/10/12 22:00,None,287.16,0,0,1,Clear,sky is clear,1529
02/10/12 23:00,None,285.45,0,0,1,Clear,sky is clear,963
03/10/12 00:00,None,284.63,0,0,1,Clear,sky is clear,506
03/10/12 01:00,None,283.47,0,0,1,Clear,sky is clear,321
03/10/12 02:00,None,281.18,0,0,1,Clear,sky is clear,273
03/10/12 03:00,None,281.09,0,0,1,Clear,sky is clear,367
03/10/12 04:00,None,279.53,0,0,1,Clear,sky is clear,814
03/10/12 05:00,None,278.62,0,0,1,Clear,sky is clear,2718
03/10/12 06:00,None,278.23,0,0,1,Clear,sky is clear,5673
03/10/12 08:00,None,278.12,0,0,1,Clear,sky is clear,6511
03/10/12 09:00,None,282.48,0,0,1,Clear,sky is clear,5471
03/10/12 12:00,None,291.97,0,0,1,Clear,sky is clear,5097
03/10/12 13:00,None,293.23,0,0,1,Clear,sky is clear,4887
03/10/12 14:00,None,294.31,0,0,1,Clear,sky is clear,5337
03/10/12 15:00,None,295.17,0,0,1,Clear,sky is clear,5692
03/10/12 16:00,None,295.13,0,0,1,Clear,sky is clear,6137
03/10/12 18:00,None,293.66,0,0,20,Clouds,few clouds,4623
03/10/12 19:00,None,290.65,0,0,20,Clouds,few clouds,3591
03/10/12 20:00,None,288.19,0,0,20,Clouds,few clouds,2898
03/10/12 21:00,None,287.1,0,0,1,Clear,sky is clear,2637
03/10/12 22:00,None,286.25,0,0,1,Clear,sky is clear,1777
03/10/12 23:00,None,285.26,0,0,1,Clear,sky is clear,1015
04/10/12 00:00,None,284.55,0,0,1,Clear,sky is clear,598
04/10/12 01:00,None,283.47,0,0,1,Clear,sky is clear,369
04/10/12 02:00,None,283.17,0,0,1,Clear,sky is clear,312
04/10/12 03:00,None,282.04,0,0,1,Clear,sky is clear,367
04/10/12 04:00,None,281.69,0,0,1,Clear,sky is clear,835
04/10/12 05:00,None,281.32,0,0,1,Clear,sky is clear,2726
04/10/12 06:00,None,280.74,0,0,1,Clear,sky is clear,5689
04/10/12 07:00,None,280.57,0,0,1,Clear,sky is clear,6990
04/10/12 08:00,None,281.86,0,0,1,Clear,sky is clear,5985
04/10/12 09:00,None,284.98,0,0,1,Clear,sky is clear,5309
04/10/12 10:00,None,289.18,0,0,1,Clear,sky is clear,4603
04/10/12 11:00,None,291.55,0,0,1,Clear,sky is clear,4884
04/10/12 12:00,None,294.97,0,0,1,Clear,sky is clear,5104
04/10/12 13:00,None,296.38,0,0,1,Clear,sky is clear,5178
04/10/12 14:00,None,297.32,0,0,1,Clear,sky is clear,5501
