Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4553,1139,N/A,N/A,N/A,299.6931929588318,22.88611078262329,322.5793037414551,2.4839091015365615,0.01211133209355155,0.0008114779438719898,0.014315280082086379,0.013931835928245047,0.00023125917223720263,0.09560544813766693,0.06984546678736646,0.007175260004901923,0.09825635289838536,0.07518390856997552,0.008980361650419304,0.28548402980308596,0.08672498399701302,0.011457417556389338,0.5955140424915574,0.05155950547523032,0.005731155265563949
Fixed Cut 5.0%,4326,1139,227,4.985723698660224,N/A,341.9999670982361,11.124901056289673,353.12486815452576,1.2579070510691401,0.017546357746078992,0.0008052970424681324,0.007820104653912344,0.00764927352789914,0.00010020906334049659,0.0967970614576439,0.07208172610709271,0.008018910902577406,0.09445380189081391,0.07401906861144704,0.008749675001189791,0.2861970428733538,0.0879637475049774,0.011647990962895465,0.3486350123889726,0.05185203469949906,0.005864416594494258
Fixed Cut 10.0%,4098,1139,455,9.99341093784318,N/A,327.8299207687378,10.902951002120972,338.73287177085876,1.8519816294348597,0.01550871443531695,0.0009185663940435659,0.01772602916535233,0.01707040481539442,0.0005130324674503172,0.0881411420542116,0.06427708194265168,0.006306421149747211,0.09268165493460971,0.07173220236766005,0.008182170064287633,0.2865784525395672,0.08812356296308775,0.011781009238125332,0.46742178162572046,0.05134239330482217,0.0055402398627308076
Fixed Cut 15.0%,3871,1139,682,14.979134636503405,N/A,394.9653010368347,22.36651086807251,417.3318119049072,226.53160538419172,0.010672707100370332,0.0008591089964292527,0.010064551655914926,0.009841126540918746,0.00015634034994785423,0.09265441158609394,0.07042084385330197,0.008231690656161795,0.09857601341756497,0.0750542293411144,0.008945406523707016,0.2853542083986499,0.08731445635121886,0.011512544817625462,45.40365091384999,0.05066067263738484,0.005941018268774278
Fixed Cut 20.0%,3643,1139,910,19.98682187568636,N/A,330.6524930000305,14.105713844299316,344.75820684432983,1.2130629933405983,0.017992544010422166,0.0008821564902536656,0.006863321206427093,0.006734377432066197,6.080497773702329e-05,0.09417793392694895,0.07218782653116347,0.008730276018087393,0.09804826248180841,0.07511473606726804,0.008973230491013482,0.2857307034876139,0.08852420159056085,0.011779944892566285,0.33957664288867906,0.052110737126296144,0.006085282573931575
Fixed Cut 25.0%,3415,1139,1138,24.994509114869317,N/A,327.85243487358093,13.264291048049927,341.11672592163086,1.6633583060183228,0.013671889143948259,0.0008726467242792241,0.008164854148515113,0.008144849747384603,8.701585800603481e-05,0.0966784882093326,0.07091228340095276,0.007447758349793305,0.10158183792039124,0.07700080460987933,0.009370322366183254,0.28624754394399105,0.08417449006964518,0.011094141527812998,0.43120620604811055,0.05078086339436202,0.005774376965214962
Fixed Cut 30.0%,3188,1139,1365,29.98023281352954,N/A,291.0445239543915,10.911986351013184,301.95651030540466,1.1350099081946308,0.02033866338052289,0.0009260254363849463,0.005256608129670163,0.005165378275973708,4.2898219359280254e-05,0.09330200197671666,0.06982834462658018,0.007638928610762139,0.09547442815980567,0.07369412685259298,0.008625037858084758,0.2971638708555785,0.08238935533360552,0.011153742569433077,0.32524136346328014,0.050283173693855064,0.00567732653880484
Fixed Cut 35.0%,2960,1139,1593,34.9879200527125,N/A,264.43788599967957,9.388448715209961,273.8263347148895,1.204569147611962,0.015748356726784554,0.0008280754203387335,0.016157025801700364,0.015835138934587975,0.00035779364394217207,0.09187110538009144,0.06934986241122902,0.007874153388304566,0.09692139985080553,0.07384172002350915,0.008607349475679612,0.28415844831802467,0.0890471179507301,0.011818844216092238,0.33873542539251666,0.05276443920936815,0.005897243228871465
Fixed Cut 40.0%,2732,1139,1821,39.99560729189545,N/A,219.97150683403015,7.793459892272949,227.7649667263031,2.81832830954309,0.01347208137357474,0.0008122709790969857,0.012052406411306608,0.011906651288275087,0.0001860171988731933,0.09702233736662647,0.07104867318253823,0.007730491500775887,0.11586637294048989,0.08556388161168932,0.011184696110264658,0.2924168047897122,0.08948380485903282,0.012058129863947041,0.6671372462102451,0.054295018463021996,0.006394321130591551
Fixed Cut 45.0%,2505,1139,2048,44.981330990555676,N/A,223.36342191696167,10.664813995361328,234.028235912323,1.2640515965510781,0.015575691406400173,0.0008429946745472123,0.005226814652981208,0.005183659264892886,3.651808173199484e-05,0.09435806124198026,0.06920413624078944,0.007165296810590633,0.10541123529562992,0.07924714126559387,0.009860918184977842,0.28593153301446383,0.08484779829547154,0.011171329248137294,0.35099584815122664,0.05081168529462957,0.005815411399996992
Fixed Cut 50.0%,2277,1139,2276,49.98901822973863,N/A,219.42881798744202,6.8250837326049805,226.253901720047,1.3487887346922356,0.021328711541132597,0.0009616295229433925,0.009624007017875772,0.009502350974236807,0.00013163308826824916,0.09660415218364819,0.07191337315709935,0.00794808406502091,0.09178431457292498,0.07072899915453086,0.007907713118261927,0.2882168356095675,0.08969539686652618,0.012051091614835877,0.3670036088152504,0.05263376633870516,0.005800030281866074
Fixed Cut 55.0%,2049,1139,2504,54.99670546892159,N/A,263.3418068885803,17.76025080680847,281.1020576953888,3.977928829773722,0.014640313326983545,0.0010152276174998237,0.008306724368716299,0.008248399465993008,9.203208906548557e-05,0.09343377269747048,0.06984797398466205,0.007673076953163197,0.11816315925478632,0.08658454551674993,0.01137103973000522,0.28780375264353775,0.08731066553874378,0.011622792732416516,0.8971272477476464,0.05332637956662641,0.0063548338244300544
Fixed Cut 60.0%,1822,1139,2731,59.98242916758182,N/A,191.30585598945618,11.65687894821167,202.96273493766785,7.174351158358341,0.01172966118273152,0.0007949376503407047,0.011187142697382668,0.011154059953632075,0.00016140363825808767,0.10015355658107172,0.07434996136930926,0.00836442226878971,0.10594275545167413,0.08030963598523018,0.010155174023011783,0.2938937159894832,0.09544885023227791,0.014688013363062302,1.5371056658155917,0.05459843374463619,0.0068327901886925165
Fixed Cut 65.0%,1594,1139,2959,64.99011640676477,N/A,154.16102600097656,6.467315196990967,160.62834119796753,1.465733779131013,0.017033454700168614,0.0009128890154806839,0.0135763528091003,0.01361474022429149,0.00024390417145082823,0.09510900914215521,0.0732240797097563,0.009091651440934505,0.12033644628270579,0.08834437087671151,0.011892983272814362,0.29131348453263173,0.10406155655051277,0.016184298217953006,0.3972138143795209,0.059255640412288126,0.007665145223726679
Fixed Cut 70.0%,1366,1139,3187,69.99780364594773,N/A,139.48265385627747,6.157284259796143,145.6399381160736,1.5837914668639514,0.04308778321892735,0.007803309705333424,0.014801927722296581,0.014890622624937044,0.000308457540687176,0.09031336582381431,0.06877643113748813,0.007762266605740595,0.10183756511065419,0.07806620925773534,0.009628913132435933,0.2852173196277111,0.10275358765595811,0.015614175938053594,0.41519232902968567,0.061514926779009285,0.008223424584450153
