Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4396,1099,N/A,N/A,N/A,312.11236000061035,13.891160726547241,326.0035207271576,2.0817002318925653,0.05153488376722131,0.01223331253461358,0.00579557560246571,0.005771244876072561,4.683431142114135e-05,0.0822796916742316,0.059058063497172464,0.005845251409424099,0.2124859117766901,0.13521514984665256,0.026817996235795793,0.5272134487442176,0.07640820365247247,0.008665639215414177,0.5818949719380339,0.06559750912791833,0.010721806741333748
Fixed Cut 5.0%,4177,1099,219,4.981801637852593,N/A,292.2475321292877,39.10019397735596,331.3477261066437,1.553433296366575,0.05980411206736701,0.011922180895362131,0.0036541053203605445,0.0036269081472502115,1.888871871882486e-05,0.08093104533409012,0.06002244233657217,0.006093652381357374,0.20133490901698065,0.13022168348423818,0.02498388443164985,0.4784458795136066,0.07393268457527385,0.008721987926524089,0.4635598471103223,0.06552156612214033,0.010348118870722445
Fixed Cut 10.0%,3957,1099,439,9.986351228389445,N/A,290.18627095222473,21.300384759902954,311.4866557121277,1.985905072744496,0.050648420876722486,0.012171882684707466,0.008058847312083672,0.007914621609910737,0.00010140595536503015,0.08891644983087184,0.06273102765276956,0.0065472442437141815,0.19905831889235664,0.1339900461007288,0.02684825850600721,0.48618338199156713,0.07599880704645223,0.009240785734568081,0.553624414154275,0.0662565846573168,0.010981915424872387
Fixed Cut 15.0%,3737,1099,659,14.990900818926297,N/A,307.055171251297,17.545628309249878,324.6007995605469,1.49322046599611,0.06050664070787362,0.01189780362050611,0.014868394767123233,0.01459253455245215,0.00030575101382299634,0.08289351631669765,0.06018403154712283,0.006146071337466857,0.19103684657918946,0.13073076850632226,0.026016163716115436,0.5561310392478163,0.07442116760312983,0.007741847293888729,0.4676300525813873,0.06808702858338016,0.010421527396360014
Fixed Cut 20.0%,3517,1099,879,19.995450409463146,N/A,280.81081986427307,14.40891695022583,295.2197368144989,1.7610417708116513,0.0568906883205999,0.012202669027639926,0.010416454764253456,0.010395360770914566,0.00013800914800975297,0.0815489506732273,0.05913214853662838,0.005915069858724736,0.21533357272923287,0.1388913900590189,0.028326817241986754,0.49631233751235027,0.07418745843979414,0.008502472624573622,0.5129306172981429,0.06789940922539124,0.011017007580186953
Fixed Cut 25.0%,3297,1099,1099,25.0,N/A,253.25335717201233,6.001086950302124,259.25444412231445,2.2486348375042056,0.053443557439834276,0.012481611373692634,0.022781355135021924,0.021835754679671818,0.0007396746767957149,0.0820293148081516,0.05816719409303368,0.005833127120465065,0.20161047758363843,0.1385344266231925,0.029359551043378816,0.48331517843102606,0.07944319372577675,0.010302475503114965,0.6076742326924087,0.07028482531230186,0.011743287943489432
Fixed Cut 30.0%,3078,1099,1318,29.981801637852595,N/A,282.6453402042389,11.39324426651001,294.0385844707489,1.973186833433871,0.05595508429624974,0.012412590327877459,0.013383341056410742,0.013135703943471173,0.0002755476002106886,0.08776030228981983,0.0625523408472221,0.006874499582894098,0.21306057219763916,0.138619069456961,0.028058782856235528,0.5500062809950547,0.07495723932006626,0.007954779682726152,0.5674794659945589,0.06904388757279413,0.01111524000998878
Fixed Cut 35.0%,2858,1099,1538,34.986351228389445,N/A,231.2268009185791,12.064146995544434,243.29094791412354,1.4560619005654538,0.07988805510676347,0.016421006976882167,0.013003593044661161,0.012703079843636342,0.0002520491982627156,0.07641399947186413,0.05520937501312101,0.00527851703210288,0.19089591012398624,0.13023971062084408,0.02567025803640637,0.510541467077117,0.0707569287794022,0.00737321957762082,0.44938337405661644,0.06975942987275344,0.010999010164254986
Fixed Cut 40.0%,2638,1099,1758,39.99090081892629,N/A,222.22832894325256,5.56093692779541,227.78926587104797,1.4551453210627747,0.06692513120912173,0.015242107634990404,0.018558083323995514,0.018710857612802775,0.0004951812909464391,0.07492217711391169,0.05478692775758934,0.005051353752791026,0.20092845052720512,0.13256278721210524,0.026162954256326344,0.45074158874299103,0.06903321287506775,0.0077012006283096075,0.4400591241541753,0.06840378333333734,0.010930559512672756
Fixed Cut 45.0%,2418,1099,1978,44.99545040946315,N/A,211.88177800178528,14.439491033554077,226.32126903533936,1.2981562308892336,0.07945024884538471,0.015589747946254595,0.012087983701869101,0.011830799810286785,0.00015768379854692654,0.08117061441292743,0.057991415149020537,0.005651448330610287,0.19647902320281774,0.13338522258055624,0.026457179196677262,0.5509350014313514,0.07418309433823994,0.0077445144537707095,0.42776577072764005,0.07136815614469763,0.01112011474517196
