Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,297.4064209461212,31.513972997665405,328.9203939437866,2.033648935062424,0.029877899834419668,0.004996836089090346,0.006853259195846361,0.006833514146680217,6.138259253700732e-05,0.09038606294699564,0.06427640165056138,0.0066838382457981155,0.1322083977550849,0.09001093208687103,0.013071455517852128,0.3821163145360861,0.14953980909523024,0.033599454778285624,0.5290425938992873,0.06810771136275248,0.01168259344471265
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,275.51831698417664,9.218362092971802,284.73667907714844,1.8125156494505423,0.038870940866797564,0.00521055904960799,0.013505043431623967,0.013095693333877115,0.00028647564253860084,0.0905688579360089,0.06478316917367578,0.006835964751733388,0.13981510409618994,0.09573017442774029,0.014970592093907569,0.3830267447410348,0.1551911403410927,0.03626248465888924,0.48788627993108014,0.07353422362863665,0.012713215239335347
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,277.5629150867462,22.40760326385498,299.9705183506012,2.336759907582403,0.0275686211558652,0.005014519810854861,0.005598502003400707,0.0055696104206943535,4.253638380863727e-05,0.09021372631590714,0.06474893726009957,0.006791805843798483,0.12931270023063218,0.09009615645355215,0.013197836708397961,0.38043644472818183,0.14887833747752072,0.03333859375475356,0.5884642561721056,0.06737233255354635,0.011677058500322707
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,247.25185799598694,10.846833944320679,258.0986919403076,1.192383393769062,0.043686580833054496,0.00503641827061667,0.0067322645456979755,0.006654571054656161,7.159807598090274e-05,0.09020179923594893,0.06297966036621604,0.006351889163161169,0.13312926849505913,0.09298107727198175,0.013947963766154578,0.37789982258251326,0.15469338514617118,0.036021146155849476,0.36006930972565654,0.07219905493441589,0.012285803086352558
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,276.1584188938141,11.274800300598145,287.43321919441223,1.5739973624655526,0.0331844125508034,0.004893154042047838,0.014069418854599556,0.013717212181532323,0.00021302706033666355,0.09078203614041468,0.06567411953067726,0.00705078218150328,0.1290476368502713,0.09294225942738635,0.014087146883715988,0.3802499222470068,0.15146086558270783,0.034491279206439004,0.43762927531156903,0.0713957738546214,0.012147077874808555
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,298.62557911872864,8.774723052978516,307.40030217170715,1.5763159075417341,0.03235128033924717,0.0048625324068416265,0.009777339818549089,0.00960082940345712,0.00013914689102815988,0.09403477931869543,0.0665966651031121,0.007174285954933228,0.1364973117909078,0.09427740396129676,0.014421678180406766,0.38301798145033095,0.15660555319885205,0.03696225107089567,0.4399286639840431,0.07188634640119304,0.012711978900821097
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,280.8073568344116,5.135491847991943,285.94284868240356,77.74763850456083,0.032839876619251356,0.005518301078915255,0.018422647625250126,0.01819882558299267,0.00043884848687441566,0.0826967861849789,0.05915976330300283,0.005732094245989441,0.13257163673511332,0.09054141709656796,0.013191721206992097,0.38645656136718076,0.16711129104027225,0.042288174380536794,15.67355722729467,0.07357023472841745,0.013433827879861599
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,240.3907380104065,5.159725904464722,245.55046391487122,2.282453217245074,0.03334371917564469,0.005013673232250276,0.016110286021692857,0.01563124509744836,0.00039877708565026467,0.08876765606905454,0.06341673471850878,0.006544336991038687,0.13528765361812392,0.09383053077502537,0.014394269144402401,0.3803505103726764,0.15398386095217273,0.035509436667946134,0.5805938646653241,0.07204121814376,0.01237209862425757
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,258.16393184661865,9.688501119613647,267.8524329662323,1.4554429661007846,0.04141771709575216,0.005222696670564877,0.009036716744089197,0.008957578030090018,0.00012235962796829444,0.08859031029436247,0.06321862999870441,0.006511106391069822,0.13097368418807656,0.0926249511213838,0.01390998240531551,0.3843100372082418,0.16437406996552717,0.040769136718559126,0.41367074290711103,0.0741185892422915,0.013307056362695534
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,215.78463292121887,7.127470970153809,222.91210389137268,1.9785115519481964,0.033470413723307474,0.0050389254084788416,0.017658152765080735,0.017351754649676986,0.0004735275458470006,0.08593286185387068,0.060980669457586324,0.006051445338495631,0.130389335845758,0.09096075194264054,0.01347854080047262,0.3805919967897213,0.15633783437470436,0.03660224892436945,0.5186167798405252,0.07182028482958314,0.012328937603532718
Fixed Cut 50.0%,2129,1065,2128,49.98825463941743,N/A,231.46817588806152,16.978836059570312,248.44701194763184,1.1202499454656494,0.049838746975021095,0.00532954478766561,0.007323044036023092,0.007245287099486686,7.748959394271484e-05,0.08923258644966697,0.06326149825888232,0.006449795136999183,0.1285750049163512,0.09284288827134861,0.014061995233552211,0.38194497445148584,0.1563330576091108,0.03674798600296615,0.34546511106383526,0.0739042956427699,0.012533362151025176
Fixed Cut 55.0%,1916,1065,2341,54.99177824759221,N/A,158.70729088783264,6.34412407875061,165.05141496658325,2.3602670484842085,0.03216705190252548,0.005073310915375823,0.018458570386226857,0.017755522253574116,0.0005631143957585238,0.08580285246840447,0.061886851168214026,0.006327073830064861,0.13263639641976369,0.09200207106289339,0.013545729874312486,0.3841230174626681,0.17163005278429308,0.04465268848594155,0.5962575770442547,0.07508830983430001,0.014032383500290662
Fixed Cut 60.0%,1703,1065,2554,59.99530185576697,N/A,169.8589060306549,8.578983068466187,178.4378890991211,1.7171222342112202,0.0329167220861376,0.004946049679455573,0.010398946569272144,0.010303406898807238,0.0001545001166635366,0.09290191437271199,0.06627480894584872,0.0070991349262496265,0.13657652499154385,0.09520589020502902,0.014650032358335134,0.37915699751059706,0.1583139675552573,0.03770583163735413,0.4672313235310693,0.07260295913821599,0.01291110974361161
Fixed Cut 65.0%,1490,1065,2767,64.99882546394174,N/A,167.30600595474243,6.0229198932647705,173.3289258480072,1.6108201334504226,0.037593016610079605,0.005117304796237937,0.023260044839075008,0.022247017025032192,0.0007958259438518575,0.08771001695087446,0.06299792593891718,0.00635758694421863,0.14665581966230043,0.0997263044293087,0.016035275480773235,0.37951944333031534,0.1631100064481783,0.04014067043137023,0.4495930916465974,0.07713485409030323,0.013689332719290381
Fixed Cut 70.0%,1278,1065,2979,69.97885835095138,N/A,139.12825798988342,3.7740137577056885,142.9022717475891,2.5114713895583165,0.03886767776158973,0.005263466653214214,0.04470486684129004,0.041433258268143015,0.002775337825511747,0.09294068483290671,0.066688928115518,0.007141331249242297,0.14137896765458047,0.0973717496539571,0.015375242281620908,0.3873868439666007,0.17460094379121305,0.04639958041460852,0.6355765505707391,0.0837925115180842,0.015390991684839542
Fixed Cut 75.0%,1065,1065,3192,74.98238195912614,N/A,153.73224592208862,7.938004970550537,161.67025089263916,2.640570483100336,0.028031552281972096,0.00509529625598268,0.011207256474586967,0.01095279094230285,0.0002039163572039875,0.09209556980533512,0.06793880491157045,0.007549154641781868,0.14202179873024395,0.09658808406995266,0.014886963680581547,0.38039528101205133,0.16963726817525937,0.04352578478274422,0.6532580778245107,0.07462970007621147,0.014252223143658854
Fixed Cut 80.0%,852,1065,3405,79.98590556730092,N/A,127.58269500732422,4.830827951431274,132.4135229587555,1.1325494404768757,0.049418456672968174,0.005307363906320507,0.02445800901545573,0.023404886493279275,0.0009346561067414659,0.0914745253386207,0.06473024001071408,0.0067323793410203605,0.13661873674603833,0.09396004691361304,0.014243379822612437,0.37960021717668313,0.17619915880911385,0.04684691553313001,0.3529401857507346,0.08154255777993766,0.014812938941964948
Fixed Cut 85.0%,639,1065,3618,84.98942917547568,N/A,111.70056390762329,3.116359233856201,114.81692314147949,1.2131724438216878,0.04127636379524682,0.004940936690271795,0.0420987812531487,0.03904531342943126,0.00254619547576312,0.08627768788001607,0.06255868472951767,0.006378644036448976,0.1338850676627109,0.09352544519693386,0.01409479891864618,0.38542742120873785,0.17151382752704272,0.04446713406471195,0.3721722803652604,0.08158392693563445,0.014485541837168398
Fixed Cut 90.0%,426,1065,3831,89.99295278365047,N/A,101.39099788665771,3.76021671295166,105.15121459960938,2.063447394450783,0.03092613090645853,0.004883166420535933,0.023538135695733035,0.022792920469399205,0.0008049294083920728,0.09402500367601371,0.06914877802466414,0.0077073827923193365,0.14511944216218933,0.10106004324663442,0.016613607353256694,0.39675723959194514,0.1697513090298692,0.043062495444461064,0.5445774431153328,0.0787358363354051,0.01461431628379301
Window L1,827,1065,3430,80.57317359642941,0.1766190528869629,119.29567289352417,4.688782215118408,124.16107416152954,11.905570100789072,0.028425383784743827,0.005630409609392053,0.012682755587591868,0.012438187713160064,0.0002379007468416108,0.10121304599804967,0.07381628050943626,0.008723318149231926,0.13181815760864085,0.0923741647169477,0.013937064349740281,0.3851553532629473,0.17188606300476733,0.04459335089239349,2.5072878826492615,0.07578801594581101,0.014624408749519873
Window L2,3032,1065,1225,28.77613342729622,0.09096598625183105,265.72114777565,7.402472972869873,273.21458673477173,1.455661143921523,0.03728951438554949,0.004975950629160399,0.018280096380876264,0.01760678421324901,0.0005458810793739637,0.08782655694881182,0.06321756528899959,0.006588370449435433,0.12947646226970505,0.09035698579688145,0.013300008689514234,0.3781673021783114,0.157827409160389,0.037526360891820376,0.4138823123398455,0.07325965176901368,0.012587314347860885
Window Normal,857,1065,3400,79.86845196147522,0.20710396766662598,123.61630916595459,3.879833221435547,127.70324635505676,1.646183730190384,0.03972270093697637,0.005137462823531221,0.02760489369426501,0.026215224301247037,0.0012392586020020834,0.08173042684482948,0.059403542101118166,0.005720310158733193,0.13472847867155613,0.09307387288697745,0.01407262040205614,0.3785785007107023,0.16899923313580698,0.04303467840398703,0.45376520602234766,0.07748291467242518,0.01384086607806194
Window RBF,3412,1065,845,19.849659384543106,0.7011148929595947,283.75501108169556,17.72802710533142,302.1841530799866,1.4194342997628664,0.034908939010702716,0.004788752511967726,0.0035938247010361365,0.003566134959024425,1.872367077529961e-05,0.08935396015401721,0.063672659910219,0.0065574831096719645,0.13096509738353282,0.09127296693451967,0.013429383086350761,0.3765668069498215,0.15255556069367293,0.03501122975783074,0.40398279779025453,0.06919525230162772,0.011961114427319303
Window Cosine,3032,1065,1225,28.77613342729622,0.3559749126434326,253.6405029296875,8.682934045791626,262.67941188812256,18.47107202347101,0.03251642204542661,0.006002860410525351,0.016026411752004418,0.01567296191281592,0.0003755667151596069,0.09286319477792164,0.06629988154315425,0.0071287783206352385,0.12720508918944468,0.08869246913935863,0.012791092853085669,0.38624432022440336,0.15309456388432446,0.03514165139880714,3.818682207882958,0.07125525970501594,0.012287989939642608
Window Linear,52,1065,4205,98.77848249941273,0.10210895538330078,79.83930921554565,2.4486570358276367,82.39007520675659,0.9184412875858449,0.10831367130608993,0.013698091073944565,0.041924328983952375,0.042921136857904954,0.0025881987630489794,0.0966548665591717,0.07780860799344215,0.00981200779694065,0.14683693261543346,0.11694516118438152,0.021947396636194754,0.4611208861550658,0.21831191937721306,0.07071392101598872,0.33299566037989375,0.11286009934380634,0.023751923057223512
Window Clinear,57,1065,4200,98.66102889358703,0.08055925369262695,80.68085289001465,2.692629098892212,83.45404124259949,1.0393566354983694,0.05404965969343274,0.005572717315416434,0.24700297239969277,0.19603450749469337,0.039836600224908786,0.2427442597579389,0.15401113833622787,0.03128174780392994,0.12193434284981139,0.08755766972769075,0.012875578251258905,0.4229944352893418,0.19960895168637355,0.059362450000052996,0.414806529159031,0.13825238538768375,0.029785818719113427
Window Rank,827,1065,3430,80.57317359642941,0.23555684089660645,120.99177718162537,4.071149110794067,125.29848313331604,1.32608240754001,0.04024678580082082,0.005009459272666421,0.026341904060477806,0.025093814212280605,0.000997612875139875,0.09370117105729008,0.06698423350755583,0.0071428908037317876,0.14125713347454794,0.09754184792995033,0.0154374239593767,0.38266419903863563,0.17836930739346207,0.04828146616252293,0.39400936303419243,0.08164719776881388,0.015373770614687554
Window Mahalanobis,827,1065,3430,80.57317359642941,0.20513916015625,136.98554396629333,10.164087057113647,147.35477018356323,1.1196168943961604,0.05013888022591071,0.005339372683306004,0.016860233483524324,0.016306911172671464,0.00039521243042448364,0.09097788751322596,0.06586654395103671,0.007008788874895102,0.13834259165885995,0.09585481088274053,0.014950617685019475,0.3792258793239796,0.17464464456356993,0.04619304314132419,0.34900469727515004,0.08056235815918585,0.014777406962993844
Window AR,3107,1065,1150,27.014329339910738,0.13044095039367676,252.87873792648315,32.93709206581116,285.946270942688,1.3555536064422316,0.0388233819591049,0.004946870636118786,0.0055518419768978465,0.005461306068590355,4.192288783503722e-05,0.09266678644504651,0.06730316491510525,0.007372948299265955,0.1315541029120147,0.09173654365234174,0.013627970566256208,0.37877929735377086,0.15340312165486333,0.03542937440434324,0.39282112702599215,0.07134550365000111,0.012283817358763846
Window Mean,1603,1065,2654,62.344373972280955,2.285583972930908,175.91059613227844,4.798797845840454,182.9949779510498,1.8511204721341945,0.035048166959274984,0.00508727071035862,0.029428497299086333,0.027850899730740033,0.0013482176058581138,0.08628795704389476,0.06109050067957424,0.0060817921353040014,0.13875895095240054,0.09515830277415065,0.014640355746932551,0.3834666274821073,0.16812730011017354,0.04278743828866358,0.4978125009823368,0.07745503405078269,0.013989014897423383
Window Median,842,1065,3415,80.22081277895231,2.285583972930908,154.08802103996277,6.701061010360718,163.0746660232544,1.1754841330921393,0.04897511565653077,0.005433487754844634,0.01538242831286916,0.015316511583405206,0.00035175558379944567,0.09284096128827458,0.06570277838336677,0.006878922322087528,0.13843332339957076,0.09433408374809035,0.014308057649505755,0.3851410598370175,0.1715434197067453,0.04433885556581972,0.3614563811859742,0.07917438181562766,0.014262215775211421
Binary Segmentation L1,4157,1065,100,2.3490721165139767,0.7509891986846924,332.29093313217163,18.5263569355011,351.5682792663574,1.4405672479091356,0.035669945200603057,0.004842535368415991,0.006910832718030347,0.006890784372784152,6.270410262069687e-05,0.09042170786593068,0.06466161383361856,0.00675946960469211,0.12950885324492248,0.08991467429092573,0.013168760724645477,0.3843506899060693,0.14755304039474193,0.03265938478586487,0.41035186632881776,0.06893801161853468,0.01149857091724783
Binary Segmentation L2,17,1065,4240,99.60065774019262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Normal,4172,1065,85,1.9967112990368803,0.4222538471221924,324.16500210762024,10.403040170669556,334.990296125412,1.6195496711281399,0.03473321066965681,0.004948388027097099,0.01882913973494929,0.018114761637180232,0.0005752515454422516,0.09073383411995196,0.06454699214703505,0.006807055085931108,0.13335613764571733,0.0902805299359823,0.01312522010166701,0.382023980237712,0.15253855601021216,0.03499761215525001,0.4488985525732942,0.07204281008001327,0.012090705383077497
Binary Segmentation RBF,2407,1065,1850,43.45783415550857,14.156721830368042,213.99091720581055,7.268350839614868,235.41598987579346,1.3595415951230096,0.03736205375881741,0.004884837143500363,0.007331625846754973,0.0072052738271569435,9.283914643226537e-05,0.09314602038259175,0.06824547711312141,0.007682231920165716,0.12971432268615496,0.09191666072511537,0.013723806717116751,0.3823441346176157,0.15443546677708164,0.035854971460053627,0.39441553973122534,0.07183298644025857,0.012447737277453751
Binary Segmentation Cosine,17,1065,4240,99.60065774019262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Linear,12,1065,4245,99.71811134601832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Clinear,4122,1065,135,3.171247357293869,0.27464795112609863,312.8177499771118,19.905117750167847,332.99751567840576,1.2534129499358067,0.04120426130935944,0.004948902512131689,0.007051037413562273,0.006965133796850584,7.156055577085662e-05,0.09292203071880673,0.06662522661282305,0.007180936123399595,0.1320303646848553,0.09121804444004653,0.01344214416612339,0.3805318872525627,0.14924025306922584,0.03348568765919954,0.3731896540011183,0.07105058384566107,0.011825846203325007
Binary Segmentation Rank,2222,1065,2035,47.80361757105943,0.36117100715637207,197.90023136138916,14.78670620918274,213.04810857772827,2.756281972425888,0.027342651686857376,0.0051123326208822205,0.004961051418848964,0.004905344902760199,3.8499625172945034e-05,0.08954835135835534,0.06311874769470295,0.0063837730394976635,0.1346567325659777,0.09372202232311677,0.01416162015201764,0.38157005319135795,0.15479077251582432,0.03602466839489808,0.6734036321920851,0.0687759078246523,0.012344178766493717
Binary Segmentation Mahalanobis,2222,1065,2035,47.80361757105943,13.46795392036438,189.76455807685852,5.169452667236328,208.40196466445923,2.31407583277722,0.030252910295782406,0.004868136577824117,0.04676280517331491,0.04321264145157521,0.0028541239027649874,0.0927044130253847,0.06563724681325764,0.007099002586911749,0.12937502240877183,0.08994950470803525,0.013372151885903173,0.38299883296666765,0.1630072321894485,0.04005856195080044,0.5931833812702714,0.07841190709161978,0.013650395380840896
Binary Segmentation AR,17,1065,4240,99.60065774019262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Binary Segmentation Mean,1937,1065,2320,54.49847310312427,29.433737754821777,186.52935791015625,8.51213788986206,224.4752335548401,1.3931178242445914,0.03727979259758137,0.004898738224499361,0.011443664181717217,0.011472177969381348,0.00015780068643700114,0.0931052335117021,0.06822155837232077,0.00765619272142886,0.12769136375747364,0.09169403800393564,0.01371228431731327,0.37946982514693667,0.16865196082248113,0.04300054356175003,0.4009655821684843,0.07546390555314005,0.013885111902285713
Binary Segmentation Median,2222,1065,2035,47.80361757105943,29.433737754821777,194.74390506744385,10.988096952438354,235.16573977470398,1.6680990322241493,0.03427000190321258,0.0049983053950936225,0.009872483887435356,0.009631178569570048,0.0001549860519469725,0.094056884094382,0.0678730819047924,0.007470572359795918,0.14522345477258145,0.09855716567805299,0.015614088034916415,0.38483967380020184,0.15852293145127536,0.03789877202153879,0.46041830575575,0.07377087190138068,0.01322734477265835
Bottom Up L1,2007,1065,2250,52.85412262156448,0.1302320957183838,175.96079897880554,4.732680797576904,180.82371187210083,1.74752178141385,0.034613562666126724,0.005049633453184213,0.03216454959115154,0.0303379340708757,0.00145061724696139,0.08834088412645368,0.06206226710996153,0.00617981483053442,0.13423323565079948,0.09516235446828168,0.014654393389083288,0.382954066065946,0.16141413117955702,0.039164670734170376,0.47704290336963984,0.07671804989896053,0.013299825930786746
