Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,107.76451301574707,3.935717821121216,111.70023083686829,0.12197137312036176,0.03491067816934979,0.0018023003598134897,0.5987417903575059,0.01746874855658452,0.0011429345169827747,0.3603565817389338,0.026189713362967153,0.0014726174383981317
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,110.0222110748291,3.589505910873413,113.61171698570251,0.1255642847253748,0.03506638153430196,0.0017301181520587015,0.45237379817392953,0.025033353772970487,0.0010646956730464502,0.288969041449652,0.030049867653636212,0.0013974069125525762
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,111.14310598373413,3.635150194168091,114.77825617790222,0.14307801382522792,0.03887253317676381,0.0021049547885788476,0.45454446659314035,0.024624958740643414,0.0010671382043535207,0.298811240209184,0.031748745958703604,0.0015860464964661835
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,110.71764731407166,3.6930391788482666,114.41068649291992,0.13435642492633337,0.03720591867780689,0.0019638483223493254,0.46931285255538663,0.02674587803914659,0.0011648873938602188,0.30183463874086003,0.03197589835847674,0.001564367858104772
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,98.68858075141907,4.63116192817688,103.31974267959595,0.13806699169179398,0.03806211944754247,0.0020326759876395876,0.45226022858915343,0.016282033415689488,0.000957015754890098,0.2951636101404739,0.02717207643161598,0.0014948458712648435
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,133.51442408561707,4.17241907119751,137.68684315681458,0.12327287173836612,0.03414003205124596,0.001637538022436959,0.5149939455172589,0.016551956931710726,0.0009760220650093937,0.3191334086278125,0.025345994491478344,0.0013067800437231766
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,134.51740312576294,4.730597019195557,139.2480001449585,0.11628428077149519,0.03257127176584769,0.0015242366751831722,0.429482737635858,0.01765380756449093,0.0009205079754898694,0.27288350920367666,0.025112539665169308,0.001222372325336521
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,144.3107659816742,4.6994428634643555,149.01020884513855,0.10533552604585183,0.031008830946830022,0.001493744888706588,0.523402734984981,0.016662122383559887,0.0010032563621624683,0.3143691305154163,0.023835476665194956,0.001248500625434528
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,110.08628392219543,4.2179858684539795,114.30426979064941,0.13067267432791957,0.04159602681764707,0.0024299774412886123,0.48961965774782956,0.03001348530811367,0.0013138165514686602,0.3101461660378746,0.035804756062880354,0.0018718969963786363
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,104.8072600364685,4.217056751251221,109.02431678771973,0.0941475188201226,0.02785135304697101,0.001242836839308748,0.5486204687012409,0.04178893060069855,0.002129146955119512,0.32138399376068194,0.03482014182383478,0.0016859918972141302
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,101.51667976379395,3.0274157524108887,104.54409551620483,0.11622971054243449,0.03248345627911604,0.0015187631993074573,0.6271815480575788,0.017412245190889044,0.001118218436961709,0.3717056293000067,0.02494785073500254,0.001318490818134583
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,100.20852208137512,3.2574689388275146,103.46599102020264,0.10261878453068113,0.02960686334506515,0.0013032743375225116,0.4849709557127296,0.02682475912859593,0.0012185282488260758,0.29379487012170535,0.02821581123683053,0.0012609012931742935
