Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,94.68808698654175,2.672193765640259,97.360280752182,0.10388040377880424,0.0863259073104803,0.010369885087058309,0.08527183653371756,0.06639533395182554,0.006129058927951657,2.9431502961740166,0.5234848117397889,0.3564237524329969,11.727809277333673,0.5768031213238907,0.4222477035200961,3.7150279534550528,0.3132522935814965,0.19879259999202575
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,106.61021900177002,4.283778667449951,110.89399766921997,0.06459053179569335,0.05607880678260229,0.0048310449951768225,0.09425618270012999,0.07407425070790309,0.006890600963606113,2.046102048476243,0.5225945025734845,0.3673853641114454,29.243150787391397,0.5290519301618276,0.3607362415726753,7.862024887590868,0.2954498725564545,0.18496081291072597
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,100.4880940914154,9.090294122695923,109.57838821411133,0.0996186909366072,0.08392203471581229,0.009221268618845988,0.054103475986120725,0.04187578875581241,0.002557911357563341,2.516886238470623,0.5497201636499872,0.3862961338598392,2.9642344755367143,0.4694246141247152,0.3077037876957433,1.4087107202325164,0.2862356503115818,0.17644477538299796
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,97.8415937423706,3.4974069595336914,101.3390007019043,0.09646731797144603,0.0813258488985738,0.00823656964392012,0.08002824421440217,0.06659548281870326,0.005904463734654397,2.5578127381027396,0.5437334510468654,0.378116942906103,4.217861684189344,0.5103081270642018,0.35835354290107296,1.7380424961194834,0.30049072745708616,0.18765287979643763
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,90.52604389190674,4.92989706993103,95.45594096183777,0.08305611183910365,0.07072315968164415,0.007717717356254339,0.08763600208477368,0.0769734792485493,0.007612701000782157,2.13563426855742,0.5552220473999019,0.40374520151715904,1.6631195752888404,0.43594458441040473,0.3089947752597478,0.9923614894425343,0.284715817685125,0.18201759878348583
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,85.67445421218872,4.543925046920776,90.2183792591095,0.06126727946795148,0.05360714554619798,0.004857216733152106,0.05315933246581341,0.04339581580083732,0.00254524678635301,2.5746419151240945,0.5598841561458073,0.39769372832914845,2.937420870542565,0.45306147472112634,0.29565690652825866,1.406622349400106,0.2774871480534923,0.1751882745942281
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,92.69795107841492,3.6481001377105713,96.34605121612549,0.070302451716132,0.06157824045443523,0.0048992018572517485,0.06922269377713808,0.05958025160450836,0.005285121526045396,2.6073799907997968,0.5721225597989615,0.4114447564667937,2.127691621498898,0.5045436464828943,0.36268034145067196,1.2186491894479912,0.2994561745851999,0.19607735532519066
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,94.04137086868286,3.467085123062134,97.508455991745,0.05241632871864814,0.04679047738460737,0.0036338431029582616,0.061208253068473197,0.05507411110593968,0.004284390476620322,12.85405466770194,0.5454617331405339,0.3664044053442932,31.694547264962168,0.5325095131868981,0.3579819388101752,11.165556628612809,0.29495895870449484,0.18307614443351178
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,91.67009210586548,3.389932870864868,95.06002497673035,0.10050394348958647,0.08441673835363558,0.009509670651121417,0.036053339353879874,0.031421158580676165,0.0016507812480802248,1.4623989861840445,0.548367623843015,0.44690288204949485,1.6949083232299225,0.43281544956649043,0.3090975121351905,0.8234661480643582,0.27425524258595435,0.19179021152097175
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,88.44728302955627,4.0498411655426025,92.49712419509888,0.04384087816710902,0.03968700614886515,0.0024306626834225973,0.03698640839751925,0.03230022246667379,0.001486947685277184,3.1792763829584683,0.5616594435272171,0.3915863021673239,3.131230996216763,0.4891550538057485,0.3280211028036266,1.5978336664349653,0.2807004314871262,0.18088125383491255
