Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,322.0544080734253,20.03905415534973,342.093462228775,1.121514726456538,0.25047429760218304,0.07407118235847568,0.4697043416565466,0.05367740898952539,0.0028909935141039774,1.2285348065621478,0.06362514343762686,0.03979097968424623,1.619205531190809,0.13407439259863485,0.034194884959960106,3.052656792690624,0.3872607752716289,0.18322357217640964,1.8372214572851888,0.08448274779899032,0.04545527550133037,1.3845470250387988,0.11511695645809494,0.05810817788839748,1.5145908935066688,0.060289143511234135,0.03569780509978272,1.5284969467984157,0.14362510820848945,0.0591791088978383
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,346.95291900634766,11.543789863586426,358.4967088699341,1.1538173809922074,0.23071651919891623,0.06735536688361288,0.25585883289553957,0.03374809100732219,0.0012019338857560489,3.2515694261357146,0.06344864472033351,0.03905700203767431,1.2757980146384738,0.1239809829153123,0.031545799135322634,2.186130484699348,0.35610532267465805,0.1635012651101369,2.921115575921613,0.08157815582332359,0.04402578364976613,6.606988549302758,0.12442862117781077,0.05780703558662207,1.5551614278357102,0.05941815773659657,0.03552940896719283,2.4008049615526685,0.13417806190678414,0.05500294940701046
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,371.694876909256,25.852204084396362,397.54708099365234,1.1206571813663548,0.25314655874606995,0.0751847540616098,0.1259507223648213,0.018783401844180057,0.0003577290660594942,1.6049784988619675,0.06499244939357812,0.0400199164402648,1.5368847969727206,0.1324309485456291,0.033696308490446594,2.996510368081283,0.38604869984031065,0.18234262113272695,1.8886645125942398,0.07510529226582774,0.04421508353394655,1.2357227716641381,0.1232196824040717,0.0610041795169223,1.3637879700342492,0.0745631628546165,0.035550834283586526,1.4841446027424712,0.1410362744867854,0.0590464283156954
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,357.1389949321747,19.42430281639099,376.5632977485657,1.13465731009559,0.23857296421513696,0.0696194850981507,0.09773518292859235,0.014909870085256257,0.0003368637199022962,1.0191474980195752,0.06331546244462766,0.037587821380352104,1.2271138651187357,0.12238685232186226,0.03028412595430492,2.8669867040392503,0.382505305202198,0.1817015566958209,1.6608537992918029,0.09625326386016811,0.045785001445429345,1.012363057313835,0.10940394603621631,0.05941435376420308,3.7606475138443978,0.047856914998658344,0.03152034972414388,1.5974381163314724,0.13440057239551528,0.05703119472278842
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,292.7136859893799,13.60342812538147,306.31711411476135,1.1416230415913995,0.23119743358647854,0.06671678131906823,0.0028954476608053057,0.002906133022768568,1.4387915745033756e-05,1.4099984020161545,0.06358140035302205,0.04023845623713352,1.2435321800391146,0.12351091436162721,0.03071256216095894,2.2711888038323393,0.35999209899915835,0.1643041162917919,2.871891498626401,0.08316981366735063,0.046435917931832695,1.4532214034972868,0.11594927799150388,0.05813511451765857,1.4250345633314159,0.07087582190500853,0.03654450409073867,1.477423167574365,0.13139786173586465,0.055387730058115967
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,273.8062789440155,15.075373888015747,288.88165283203125,1.1752898081445442,0.20689551131537967,0.05901424370387653,0.012674747730120554,0.012509226734851225,0.0001641224071562037,1.3821970811504942,0.06499968876133887,0.04114031182347955,1.299985833897735,0.12554529186717775,0.03150143532118912,2.258077707666856,0.3591338566582057,0.1638704778886141,2.802448376590337,0.09302005887281982,0.047119396551025546,0.9006975057235928,0.11480859647323932,0.06134013277341562,1.77820039074791,0.05261599651150619,0.03556443882211653,1.4511964314564483,0.12869102839931476,0.05496431991135917
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,298.2620050907135,14.944279670715332,313.20628476142883,1.2160883630462243,0.18833269106692985,0.05468307442525422,0.015683736859960887,0.015421272474703136,0.00028468972496827993,13.16543139156608,0.06443907396389077,0.040516773711272484,0.8005781507843066,0.10720779470928382,0.02507569180346805,1.9143619940577694,0.34220779637895166,0.15464633257070726,7.181338637977132,0.08272621354839836,0.04683727941912589,0.9299458496672186,0.11725680037851949,0.061722644343336956,3.2485167319214447,0.04945997232758842,0.037585023445331996,3.5589931069850174,0.12088145185603304,0.05266893868043314
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,255.56892013549805,16.514559984207153,272.0834801197052,1.1433250987131411,0.23920354764251714,0.07058649861825474,0.013386647688067877,0.013250172876054171,0.00022036754554351503,2.0248656853421747,0.06525031264958776,0.036357523091654895,0.9856519722155087,0.11409656904102838,0.02792365572088028,3.5899140673650285,0.3984333608883617,0.19216332953960222,1.0173196716998183,0.0709610579105092,0.040742353630850575,5.230755334080542,0.10905124493616165,0.052422308066080864,1.325390069700993,0.07134101241523003,0.03370201998171638,1.916326068350656,0.1351984097949311,0.05676475702432299
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,238.55444407463074,13.807440996170044,252.36188507080078,1.1317503036956813,0.24146211145981655,0.07078449871757092,0.007057199400535895,0.007151250772254651,9.725947598902016e-05,1.3081641786899911,0.06379404346262087,0.040387024217946,0.9593674019680386,0.11289136108719465,0.027408242639318434,4.098846163487648,0.4073541672521618,0.19777644405755457,1.2076158691809475,0.06770732807499662,0.04100322103734088,0.9024473260700961,0.11868282193241733,0.06299831713729541,1.331569029920688,0.07377604100752276,0.03437161047908782,1.3683521840517032,0.13660239063112298,0.05935332722026292
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,246.44982600212097,11.962073802947998,258.41189980506897,1.1450195994421488,0.24424884931896906,0.07286855624370073,0.019929211182958057,0.01945755334881948,0.0004656014885276446,21.332331566587367,0.08122637381690828,0.04121851402205797,0.769159588946034,0.10431404761455092,0.02431895518921083,3.719179021253945,0.4039684380398781,0.19624234380328456,3.1266974656718953,0.0649865510753285,0.04341712035567485,0.8655060012836784,0.1194408489281844,0.06362884431599983,1.3744773014387097,0.08594913377560605,0.03796202442342349,4.0440374694758425,0.14044897448978041,0.06001524498023505
Fixed Cut 50.0%,3743,1872,3742,49.993319973279895,N/A,197.74088406562805,24.82603096961975,222.5669150352478,1.1566345291967963,0.22239519324314266,0.06402268282198854,0.005952940061185578,0.005983616228943448,4.73511732695623e-05,1.2927994402831746,0.06296709136577118,0.0388262007788813,0.6777548308161956,0.1021414663738499,0.022699388649193103,2.554904934484203,0.3719875171833808,0.1735943355791962,1.2061517090091483,0.07113252786996556,0.0421337290374225,0.9329031906056664,0.11168970124954022,0.060180410177991125,1.4263526002208409,0.06468775949363616,0.03511426548450527,1.1566817718346516,0.12662310912602862,0.054577295462805916
Fixed Cut 55.0%,3369,1872,4116,54.98997995991984,N/A,196.66556406021118,13.570050954818726,210.2356150150299,1.1529974257892983,0.22375418599080144,0.0643731442378334,0.018993553616156705,0.019265718466474926,0.0004088363832515731,1.5637954344480105,0.06456337647460819,0.03924565696738446,0.6174826016821053,0.09860476443799127,0.021030324422333612,3.5524197394305093,0.3981333186139183,0.19068080191504672,0.9734863379829378,0.06391628665790242,0.03900361686166911,0.75399682339066,0.10996034838907201,0.06126925731057707,1.6076734430424262,0.0557842958291305,0.03537769433614907,1.2801056699227629,0.12924778685748728,0.05642366655428061
Fixed Cut 60.0%,2994,1872,4491,60.0,N/A,218.38132882118225,6.6090428829193115,224.99037170410156,1.1945314726346716,0.2233921788635757,0.0668714664545177,0.007404147024837889,0.007331202406159515,7.623503940827478e-05,2.4157068380968525,0.06882649545087624,0.043583676643909795,0.6104797978374479,0.10603823997127963,0.0222525816184851,1.9006572583524144,0.3416037225387139,0.15545356505988026,2.3895101230760827,0.07149900735430299,0.044944254313442226,0.6889808423560844,0.12006289289396084,0.06716406058229989,1.52204845661062,0.07273604286113547,0.038834198591042625,1.3411648669986267,0.12643622279250039,0.05489750478787328
Fixed Cut 65.0%,2620,1872,4865,64.99665998663995,N/A,217.06637716293335,7.930337905883789,224.99671506881714,1.2244195363144326,0.209766002733497,0.06293858513216576,0.014066143794907475,0.013828912386981484,0.00023908994048774958,40.83487248501486,0.07873787249121873,0.041526523525999164,0.5629532333676491,0.11138597431687611,0.0222318308438937,1.81934693129047,0.3367674769052848,0.1525370989083047,3.1832732991011747,0.07526738738670415,0.043225115234783285,0.6620320560489745,0.11891766967025333,0.06758988735200097,1.5953560627128587,0.07358907086342514,0.039662379477344696,6.237039968455667,0.12728254584427995,0.05374381380187252
Fixed Cut 70.0%,2246,1872,5239,69.99331997327988,N/A,378.45014238357544,15.804400205612183,394.2545425891876,1.7704893051248622,0.10487196225300231,0.04304723771170673,0.006670638507698906,0.006579512779549095,0.00011715519019442927,2.834251169596784,0.09931791588848407,0.03556949684792704,0.506107234286751,0.12238650945522589,0.02288440072616596,0.725272589242735,0.23087156824693797,0.09419102992332865,51.842190360106265,0.08974903159599443,0.03724571290744981,2.1832457656022015,0.11419325077860565,0.05726914154964457,1.1636159421817214,0.11055520758565833,0.033778225956212715,7.628980375581131,0.10981561982293209,0.040512800101578796
Fixed Cut 75.0%,1872,1872,5613,74.98997995991984,N/A,152.3014030456543,4.169648885726929,156.47105193138123,1.6309584756000464,0.11232773545095172,0.044699404048248986,0.024588329249215023,0.024634173600347687,0.0011789872217178336,721.8252525657016,0.07348015069471367,0.037532139851354646,0.4958865150547949,0.11235027996511385,0.020491240048712733,0.8715439956216448,0.2499402747521416,0.10294843476983152,37.82120405096565,0.08873479497658424,0.03856182864030388,1.1657761492408283,0.10982561907547729,0.0578318501414915,1.335256399732251,0.08417926287705257,0.03537342486190009,95.64630831014556,0.10693403642404775,0.042327163697945175
Fixed Cut 80.0%,1497,1872,5988,80.0,N/A,119.2084310054779,10.496255874633789,129.7046868801117,1.6568762358057987,0.11062293210783436,0.045523753182087096,0.005425554729518149,0.005445668241386476,4.673072129160582e-05,38.57491936610623,0.08757995209062441,0.03575668534545271,0.5053264128080477,0.13277449171198777,0.025217509403714502,0.6593508288533808,0.22047786979935335,0.08967559216978473,4.648690926417423,0.10324310028074417,0.03754641783930047,1.8630234611838796,0.11713926672421873,0.058009808149862965,1.1983556989730382,0.09613111093964054,0.03295633263171046,6.138996060609671,0.1091767989869736,0.04059160368040057
Fixed Cut 85.0%,1123,1872,6362,84.99665998663994,N/A,111.53430509567261,2.6194510459899902,114.1537561416626,1.6424816377363718,0.11090709802906251,0.045175471147154714,0.022917942194546743,0.022375623694054242,0.0008890406338408121,2.115514023039129,0.11963675659212605,0.042873007439519134,0.5592248875156538,0.1029807100146517,0.020417890283437976,0.869674294281057,0.26836631840867425,0.11779084894976181,2.6154496128851648,0.1357867065937685,0.0458983947856368,5.392678737943824,0.15335657175259998,0.06627171408743346,1.1794953297806516,0.15259513679724301,0.04471062579787162,1.7996795581720513,0.1332506152352725,0.04800337414058205
Fixed Cut 90.0%,749,1872,6736,89.9933199732799,N/A,94.75993490219116,4.937533140182495,99.69746804237366,1.2470746658117866,0.19692606555288514,0.05934783080019737,0.029969339630660813,0.031347588066923365,0.0015075883300847172,1.694396763583395,0.14343317391371999,0.04258502381284952,0.5233452955575233,0.12121582633543197,0.0273813953742492,0.7209325262974002,0.26243347763871056,0.12179274845538464,5.055388667666616,0.11162460634058419,0.039026823414263764,16.917694953949333,0.12866228933697582,0.057546938732171427,1.1713843801225747,0.12858270163886526,0.038224980479868706,3.420023324077408,0.14052821610301197,0.04842666617488367
Window L1,3390,1872,4095,54.70941883767535,0.2614409923553467,190.5181701183319,17.270593881607056,208.0502049922943,1.299632590213729,0.15621690064601287,0.04819759190456604,0.003800814304661229,0.003800095346695127,2.749982752234202e-05,1.1878452340515264,0.06343973764516735,0.0394964877065337,0.5378931822766382,0.10214565621257933,0.019947196700912755,1.2669709660209754,0.29463164100570266,0.1260720784012147,1.9561295898877769,0.06715753681141685,0.04301898055723263,0.8903985949596513,0.11518100365372405,0.06158331655923955,1.388568633661263,0.07138214089831264,0.035737079160677254,1.0664049506720277,0.10924433902745126,0.046760028852237366
Window L2,6580,1872,905,12.090848363393453,0.1276261806488037,286.85667610168457,17.603229761123657,304.58753204345703,1.146596653996861,0.23245020505346448,0.06767855571074673,0.07301206035782042,0.011943408851243793,0.0001617835671753999,1.3447737108786875,0.06354831258164853,0.040531829408859674,1.2631603318433369,0.12345660813386396,0.030862981145037816,3.0492881761272743,0.3876314468375715,0.18359556712399663,4.203375757053353,0.09762161797753448,0.047405644352479064,1.1777055623585526,0.11235441096815149,0.05873535559285546,6.033750915228882,0.046519108960797265,0.03612563872788414,2.2864578959805955,0.13444063992053434,0.058137169453629414
Window Normal,6445,1872,1040,13.894455577822312,0.325775146484375,346.5806849002838,34.74228286743164,381.64874291419983,1.1401183574776756,0.22677377760210662,0.06478341610457361,0.06780919720889876,0.011198696511114423,0.00013484061574167147,1.2822179940627543,0.06387820532880141,0.0385397687555927,1.6703120460062586,0.1357159442365772,0.03443988294693728,3.330266326139211,0.3956586977967738,0.19013297085853406,1.29194797292842,0.07808791290034417,0.04353332856044729,1.9663825252255094,0.11555570418663376,0.057466876409283454,1.6939753932105197,0.05414653190995683,0.03495382412430979,1.5553787265324053,0.13512693380903842,0.05799811354692741
Window RBF,470,1872,7015,93.72077488309954,2.226627826690674,80.26238107681274,3.698262929916382,86.1872718334198,1.240403082312381,0.1840216858566,0.05466793820875159,0.013373749429510263,0.013679038175853898,0.0005501925311447142,1.573803166607593,0.16867450321500216,0.050360228384496414,0.5749989470952658,0.13426708163171733,0.03603560074883077,1.223105699666776,0.3793166908763716,0.2118978117124248,1.69350598427798,0.17546662559166984,0.05240478934577392,5.973423213102013,0.16000609967994042,0.06713397200279593,1.132748837388704,0.16749123148175768,0.04580456964491042,1.6781703349850268,0.17286536956361406,0.06485688782239105
Window Cosine,6440,1872,1045,13.961255845023379,0.9992330074310303,294.050577878952,24.592238903045654,319.6420497894287,1.1374938521754463,0.234819167462239,0.0680659900072761,0.16898878496183833,0.025495312760810178,0.0006689788167218582,1.098430957109599,0.062116525528987436,0.03808917143837622,1.429105615832796,0.12944480598785876,0.03271188235750384,2.154111547048427,0.3514085234624176,0.1604033890660256,1.0218115193853086,0.08416541126955292,0.04143226567292554,1.1773394750893518,0.11445008461652748,0.059012849912249116,1.5654815067833665,0.054848319241355255,0.033605139128751994,1.2190954072982663,0.1320935187912184,0.05424870829997883
Window Linear,4315,1872,3170,42.35136940547763,0.19133520126342773,243.48378896713257,8.874507904052734,252.54963207244873,1.1826311394130014,0.2016338728481579,0.05739374550894962,0.004444871540588653,0.004449474044523674,4.06367128054705e-05,1.2461974384547452,0.06578442950574306,0.04009951867159805,0.7342908176686562,0.10305771814181373,0.02345621720379954,3.5609213050928026,0.3970301751642176,0.19018316437646074,2.2108952730738194,0.07769461086775119,0.04488772246023999,0.9842325628742219,0.1108275466311713,0.05930974797412059,1.5225711821978767,0.0661706339894713,0.037109594924753075,1.430773073789464,0.12833105764910613,0.05656004347909084
Window Clinear,6915,1872,570,7.615230460921844,0.11375570297241211,326.0330719947815,37.3123779296875,363.4592056274414,1.1405305437461166,0.23333114526769008,0.06774979582499634,0.15034147524433567,0.02192853487251768,0.0004890052326312602,1.7851494835757922,0.06529774961521147,0.03685838383662622,1.7064110337218523,0.13695607560278997,0.035021058487159994,3.6621583966660567,0.4033106343464128,0.19587219524582708,0.9207970026930546,0.07109165978356027,0.04039368814946698,3.456340132584127,0.11081333877275855,0.05245097216830086,1.3620261063644752,0.0661327934756177,0.03340360725102866,1.7729692718244774,0.13860774146706978,0.057779838274504634
Window Rank,790,1872,6695,89.44555778223113,0.24050521850585938,87.80245184898376,5.676356315612793,93.71931338310242,1.4185791197251416,0.16758834619634155,0.05479739691712702,0.012988763009613817,0.012769182651896917,0.00023806810220984207,1.6837833661978028,0.14313589420022674,0.04312031556803085,0.5387753181451972,0.12453140370811805,0.027311565056275175,0.8379128218574607,0.27683027606209437,0.12798098617821305,1.7852514993373445,0.15557243573554527,0.04506391430696949,3.5920382404483333,0.143270271074371,0.06036338969643496,1.144850398611198,0.1392510602086841,0.03893580236795847,1.3767724409165107,0.14536860872965973,0.0497264297741524
Window Mahalanobis,715,1872,6770,90.44756179024716,0.43586301803588867,96.4740240573883,3.7163381576538086,100.626225233078,1.4103814859925459,0.14808604182674073,0.0496873835107261,0.027399300190914938,0.028812797085006194,0.001702627062279426,1.9081462984251374,0.13864692532971123,0.045749358526547414,0.5783290676763077,0.13919791817438634,0.0343580752064174,0.7222631548644296,0.26425212111936824,0.12517599450931105,2.0483709333027513,0.15064630161328035,0.04791279943238344,1.0658451176307437,0.13855247363671944,0.06781599196260721,1.213412035856068,0.1402221857974309,0.0430563197451825,1.1217684242423633,0.14355209557283047,0.05193231874443184
Window AR,700,1872,6785,90.64796259185037,0.20630717277526855,89.63177490234375,3.883409261703491,93.72149133682251,1.20187044848514,0.2061045617917268,0.06035372292486056,0.015581710820532094,0.01595380018607541,0.0006527961207261798,5.048036669997197,0.0923838471229051,0.03771074985550539,0.5828549930047199,0.1289391586638354,0.03215663013092237,0.9765136618979614,0.3025248247288132,0.14396496316368326,2.8081735750396177,0.12090211019985796,0.042478397292112474,1.0348127100502074,0.11295418468657831,0.05960553718340001,1.288957387645381,0.09350704171744516,0.0360258222366279,1.6196001446175958,0.13415869113715448,0.05161857736347977
