Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,1697.0046291351318,168.8891577720642,1865.893786907196,32.28798120625608,0.32720012705606416,0.13962156207956894,0.7310305372125045,0.21227317938652807,0.05999439907164047,0.007224851435672092,0.007027076581993818,6.990684879408445e-05,0.8462394193616758,0.04658786616879547,0.005001357139851411,1.579587808621351,0.001938563342097966,0.0005635760452322292,1.3303183347282412,0.0070415895086763025,0.0007551022590466576,6.130397026269255,0.1003447336740244,0.03433431724068896
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,1411.1934351921082,106.6601152420044,1517.8535504341125,46.570482370238174,0.3285105334143185,0.14201664886490184,0.7295813591155945,0.21702739440363977,0.06276694571003744,0.009998280256026386,0.00968858800581429,0.00012651798291325256,0.8578660621289296,0.042910183073062075,0.00484853678183895,1.0304971250003625,0.003680302063471826,0.0009616981165639642,1.1380319036225228,0.012544102374259016,0.0008056973621661664,8.38940951672693,0.10239351722242655,0.03525434080307035
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,1192.6514558792114,101.57259964942932,1294.2240555286407,224.71327533036236,0.33018079789665866,0.14309610190914152,0.6788169072348075,0.21545730658892037,0.06227149400755458,0.009233581687736952,0.008913185212053053,0.00012577747179772156,0.9062148501769378,0.03296050226252617,0.004515170804589732,1.0341356073306045,0.007596800857455179,0.0010519361664641344,1.8607317979876783,0.004507718297909604,0.000761345407879089,38.20040134579674,0.09993605185258637,0.03530363762790449
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,1207.8097012043,57.080039739608765,1264.8897409439087,25.504292121157416,0.30938176939993445,0.12480257868228939,0.7795608402159298,0.23324958497114118,0.07271061349054517,0.016896846570342714,0.01671626215050719,0.00040749497171541847,0.8438812952196731,0.040889308085491086,0.004650748125186009,1.032568950166521,0.00916931847747746,0.0011003332456413514,1.2095363498195972,0.01068428775281982,0.0008336432261896568,4.897789400524915,0.10334842180622705,0.03408423529026109
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,1092.2184190750122,140.6163010597229,1232.834720134735,24.53120765169141,0.3345824899884607,0.14548120758974212,0.7687625937155037,0.2337795693237655,0.07263777880183626,0.005272024703039986,0.005124933066559181,3.669950096315593e-05,0.8973568306789971,0.035026449295952035,0.004593508785705926,1.0316619534753348,0.007820412740766928,0.0010543557747846569,1.1528252892659796,0.009996460638314558,0.0009324188587607421,4.731181057255034,0.10438838584230174,0.03745599488529891
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,1236.8585510253906,60.08805775642395,1296.9466087818146,28.83953111692671,0.3290556342649951,0.14058845940882814,0.7434782832832366,0.23483582913932438,0.07334548017706763,0.00940728363911523,0.009187072464841533,0.00011684752347744261,0.9007465174842239,0.03614118739701254,0.0046967888035277326,1.0501541682352662,0.006440760377159869,0.001085501182197957,1.2385544742773045,0.008590616620558123,0.000944271128882063,5.463645307307636,0.10404185004398094,0.03679622470399677
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,931.5853891372681,62.13948178291321,993.7248709201813,47.144288915059285,0.32475380156938494,0.13805412006622875,0.6486833588891587,0.22816820858605913,0.07026470988310438,0.006291421130286307,0.006118327254559187,5.150247397632569e-05,0.8649738025737829,0.04293240540058136,0.006400075138940252,1.0979919064993107,0.0034142885503430044,0.0011102277365878609,1.141384840187769,0.011174265071596313,0.0009411795390655633,8.483935707389909,0.10276021607208634,0.03613696913965061
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,1225.1914558410645,305.31696605682373,1530.5084218978882,9.40302238868239,0.31984087823113444,0.1385355905588097,0.6622087140823775,0.23017798604707007,0.07129214844567573,0.006500685436001234,0.006295583139693737,5.608666141274855e-05,0.9193249266645303,0.03979665152525964,0.006576925354439042,1.0421497609646497,0.00903887538331889,0.0011908433416259845,1.1055559020589432,0.014290898091441798,0.0009766938506293942,2.1897937296481462,0.10324014540298597,0.03643804803543204
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,2265.4233117103577,82.86888217926025,2348.292193889618,22.24217627571353,0.3229010192754837,0.13760217470961747,0.6800448948323843,0.22868925646595414,0.07019759359498015,0.005772068230862764,0.005616686110687575,4.7913414752711484e-05,0.8275182600426145,0.05461865158928375,0.006878132958592377,1.0411803510715596,0.00802542544028554,0.0012699596170555715,1.0915729158277918,0.012187971594200557,0.0009528344831934997,4.314710794286461,0.10533983507931538,0.036158101463032014
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,1431.0447390079498,88.16444897651672,1519.2091879844666,58.154558011875835,0.3310418932710945,0.14324551418007803,0.746822700452091,0.23484487454092678,0.07319601065098563,0.022097981978286642,0.021025127493214214,0.00047567026169241267,0.8619222270716058,0.04237827937501767,0.006353510456495036,16.483285552995493,0.007134979472009437,0.0011810369594368274,1.2150336725425672,0.008927033649743019,0.0009197193945394945,12.913953357819295,0.10755869796699992,0.037561910317204635
