Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,344.2891800403595,11.813135147094727,356.1023151874542,0.12812922212268366,0.09668939680592169,0.014306041995298531,0.25775396114123034,0.14772924627517595,0.03253618104882647,0.4575754931777968,0.079098524229759,0.00805185203934472,1.7143760905125356,0.020976348745599255,0.0018709072747098703,0.6394586917385615,0.08612337901411427,0.014191245589544895
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,316.9619851112366,15.053339004516602,332.0153241157532,0.12528847711783506,0.09544361108764864,0.014302597997187737,0.25631351862198415,0.14937689603060142,0.03280112880854858,0.4553611744747435,0.07806446244490556,0.0078493207963505,2.0677350535614893,0.01754262826938742,0.001848049245815975,0.7261745559440126,0.08510689945813607,0.014200274211975707
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,278.4540910720825,11.560512065887451,290.01460313796997,0.13719105259025868,0.1013144004994562,0.014739611335572056,0.25175042014868454,0.1443045634587424,0.03098742134296042,0.49350204389100605,0.09423436717128643,0.010962906390403983,1.747837555560042,0.020492625413248054,0.0018568895968359672,0.6575702680474982,0.09008648913568337,0.014636707166443103
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,262.6903131008148,16.72465419769287,279.4149672985077,0.12111359831941201,0.0924234259910775,0.013382988381574463,0.25040496483236374,0.14195045420082136,0.03011705876533417,0.40851983522246466,0.0619217577225518,0.005461959164247138,6.1202898178917335,0.01612603168482961,0.0019152906616185386,1.725082054066494,0.07810541739982045,0.01271932424319357
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,370.2831621170044,17.929047107696533,388.2122092247009,0.12117479262711761,0.09291703125627057,0.01381234648791335,0.2518197205076773,0.1430122799837869,0.03074769285344058,0.45999756154139626,0.08001713895702198,0.00818289391168366,1.2449634431369492,0.02847067732874729,0.00192735154699705,0.519488879453285,0.08610428188145695,0.013667571200008666
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,395.36629819869995,17.09031105041504,412.456609249115,0.12347160506596296,0.09417026689916153,0.013930954629764595,0.2531290867650653,0.14480100523081246,0.031252360864601626,0.468503703501454,0.08344967592492675,0.008799542028683082,1.4824018912442543,0.02439988916162368,0.001892255539979437,0.5818765716441843,0.08670520930413134,0.013968778265757188
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,342.61907291412354,17.10293674468994,359.7220096588135,0.1388386115967469,0.10238469916276825,0.014933054430661669,0.25396713977959084,0.1397759505101593,0.030363814025686317,0.3993456259984914,0.05849604364047408,0.004928185762250629,1.5048138708188155,0.028232750683165147,0.0028391635562431948,0.5742413120484108,0.08222236099914208,0.013266054443710443
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,352.4587779045105,10.114776134490967,362.57355403900146,0.12061835165288373,0.09139998317889977,0.012865243931914534,0.2542606218464384,0.14639027684909928,0.03161792912515711,0.4605172984601659,0.0801398503265179,0.008222323357458346,1.2926145670387523,0.03240513941934726,0.002874020230784486,0.5320027097495598,0.08758381244346633,0.01389487916132863
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,314.9518151283264,9.432016134262085,324.3838312625885,0.12113585039198226,0.09264787759958451,0.013596791031359627,0.24940423589370253,0.1408519718601967,0.029903517885609302,0.47748060007321996,0.08736318068532993,0.00961449721679561,1.4733307434099996,0.033030738381404794,0.0030013859057532394,0.5803378574422258,0.0884734421316292,0.014029048009879422
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,515.942075252533,11.648734331130981,527.5908095836639,0.11937499880395523,0.09180718006593551,0.013544881456934148,0.2541565447769169,0.14618508977314523,0.03165444733598431,0.42363616194102466,0.0666854720965199,0.006122677365798576,1.090991291488746,0.04799893190402076,0.0036710257879764103,0.4720397492526608,0.08816916845990569,0.013748257986673368
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,220.97766399383545,10.452022075653076,231.42968606948853,0.12542946706316338,0.09505025306899441,0.013856068824671493,0.2567021832682072,0.150670348127683,0.03322034787015976,0.47562584872973857,0.08603524887356263,0.0092897175694768,1.2717553753136648,0.036645600419454076,0.003083916379386263,0.5323782185936932,0.09210036262242378,0.014862512660923586
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,203.59979605674744,5.519148111343384,209.11894416809082,0.12801965253653402,0.0969721432628713,0.014515619933578765,0.25406070437784023,0.14296630677957645,0.03092612297456453,0.45131084166922225,0.07662899623999649,0.007632634602688589,1.7086588107092677,0.026177996429782333,0.0028712596210029593,0.635512502323216,0.08568636067805696,0.01398640928295872
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,171.43661284446716,4.848140716552734,176.2847535610199,0.12444650975856549,0.09472848048735741,0.014052734059233124,0.255342345682901,0.14725091486484154,0.03206317499796512,0.44310171771875356,0.07410355242675748,0.007274979423291042,9.268828621065893,0.027539897935359575,0.0033086916690152966,2.5229297985565284,0.08590571142857933,0.014174895037376133
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,182.19816422462463,3.275907039642334,185.47407126426697,0.13228317239809542,0.09880924687545405,0.01452191658687918,0.25496871521854875,0.1462336913347244,0.03175645894282049,0.397645589653471,0.05500887238602528,0.004313249734958127,4.653214165785811,0.0277556842797931,0.00433303973693837,1.3595279107639815,0.08195187371899959,0.013731166250399036
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,184.68269896507263,10.06340217590332,194.74610114097595,0.11953116540546731,0.09196440251162563,0.013631214280381937,0.2574179361428151,0.15422556128449613,0.03413491323340284,0.3996320084993181,0.057889044965819966,0.004835948098929077,1.8758375673532008,0.03132925401345159,0.004322381530777367,0.6631046693502005,0.08385206569384875,0.014231114285872808
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,156.04969215393066,7.752760171890259,163.80245232582092,0.16642116164669685,0.11731691319768953,0.019319895162581105,0.2455364235416364,0.13623670138161756,0.028235519802568793,0.3912408436203709,0.059060954874314675,0.005007016001224484,1.6911167012045973,0.03349674292216089,0.004096303985193181,0.6235787825033253,0.08652782809394521,0.014164683737891886
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,144.68826699256897,7.497982978820801,152.18624997138977,0.12413722795584417,0.09450432369576173,0.01384102921848608,0.25623460479738375,0.13731254463036213,0.030122466855782997,0.3946248250165943,0.06584826409250254,0.006248886949140082,1.4805830182273332,0.036405625229612666,0.004304568297970851,0.5638949189992891,0.08351768941205935,0.013629237830345
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,128.66276907920837,6.415703058242798,135.07847213745117,0.11770825535030702,0.09140887771793768,0.013545826681151427,0.25249437739739367,0.14413289900704937,0.031083195387168066,0.42506310788696156,0.07961103939569342,0.00862074813981899,1.3910516333444556,0.037917190761855055,0.004272138988573276,0.5465793434947793,0.08826750172063332,0.014380477299177944
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,109.55829119682312,3.27609920501709,112.83439040184021,0.16015212672664023,0.1162867976642605,0.018565148141108195,0.2517738359368111,0.1335998829471917,0.02924843148056068,0.4661435686342373,0.09828938744644845,0.012656250393801825,1.2011816962680189,0.04101899316256748,0.004222131775110932,0.519812806891427,0.09729876530511562,0.01617299044764541
Window L1,997,1754,6015,85.78151739874501,0.2440199851989746,134.33592796325684,8.331339836120605,142.91128778457642,0.1267996936823731,0.09685201631515417,0.014405885280219058,0.25531093237567715,0.14505553150177003,0.03166723641422398,0.4352493438742031,0.08355547958749462,0.009355604921357705,1.8095540224013134,0.03208820268024265,0.004299142800295837,0.6567284980833914,0.08938780752116475,0.014931967354024123
Window L2,997,1754,6015,85.78151739874501,0.16600990295410156,121.85932803153992,8.099822759628296,130.12516069412231,0.11366545304121407,0.08997863195361372,0.014031665951602061,0.2543166597508282,0.1468969427184156,0.03200116215025388,0.3957230582503741,0.06248455131558908,0.005519720289535872,1.2019910831036882,0.046394754366576633,0.004569225527829541,0.491424063536526,0.08643872008854826,0.014030443479805348
Window Normal,3807,1754,3205,45.70735881346263,0.3273189067840576,245.1651749610901,7.9114580154418945,253.40395188331604,0.11539431176151621,0.08987802958198382,0.013608271284429678,0.25238280783960665,0.14710419079611897,0.03177074678184504,0.4513373751705601,0.07670337661171069,0.007605504133310628,1.453615746910584,0.02958219437190401,0.0028601242246930093,0.568182560420567,0.08581694784042967,0.013961161606069585
Window RBF,997,1754,6015,85.78151739874501,1.8591833114624023,102.26453399658203,4.8290791511535645,108.952796459198,0.13142140349083808,0.0992708938336046,0.014825193696053294,0.24979360460335104,0.13577335174002542,0.028986881487576496,0.393091624072456,0.060061410856226315,0.005199945280685817,1.5280744423104764,0.03655804839812331,0.004332749228980612,0.5755952686192806,0.08291592620699445,0.013336192423324062
Window Cosine,997,1754,6015,85.78151739874501,0.8332009315490723,95.40557503700256,3.3370728492736816,99.57584881782532,0.1336977230603873,0.1005445465555018,0.014926227723187522,0.2539060302895151,0.144059013515182,0.03117115665066912,0.41861525987980425,0.07593470832967104,0.00803123405392523,1.3713730439606748,0.03762741819375536,0.004232358975157362,0.5443980142975955,0.08954142164852702,0.014590244350734824
Window Linear,3867,1754,3145,44.851682829435255,0.13672089576721191,316.94162702560425,17.12690830230713,334.2052562236786,0.1126524529357125,0.08833378517121372,0.013450665335622754,0.25204980165859286,0.1421960529212294,0.030566087462485337,0.4500613664050023,0.07624692914814783,0.007532316179003336,1.7539604824180943,0.028424320595994347,0.002960719349917784,0.6421810258543508,0.08380027195914666,0.013627447081757293
