Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,54.45462131500244,54.45462131500244,0.1308951822451753,0.0922511796612364,0.01292581752081145,0.32457772514357836,0.1428509521143192,0.0300217171887786,25359069486265.535,0.06667732219816824,0.006032221884486064,33796639203032.85,0.018873947580877102,0.0018213194363308264,14788927172324.664,0.08016335038865055,0.012700269007601721
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,17.266733169555664,17.266733169555664,0.1296001332967129,0.08655774635500334,0.013151039018970488,0.2856683351534524,0.135123931031672,0.029250680732800967,23162943935376.79,0.055867917244613145,0.004486483803760537,11990317063193.396,0.014925967115785498,0.0019217081906194634,8788315249642.529,0.07311889043676896,0.012202477936537863
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,35.55070686340332,35.55070686340332,0.130646767540037,0.0911676986908056,0.012944099143252513,0.3301055826638585,0.14470565327113194,0.030703224939892432,25610725805576.83,0.06831348746008509,0.006276759138662916,66256486600397.29,0.02522622034004953,0.0018143332617489801,22966803101493.594,0.08235326494051838,0.012934604120889207
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,21.114524841308594,21.114524841308594,0.13495743750689174,0.09609075550534209,0.01363940289377305,0.3349423851992917,0.14605860698543827,0.031116296035998265,27585420224148.438,0.07623931497727794,0.007525537781061618,49387292968515.99,0.022009094028509497,0.0018360518608654273,19243178298166.19,0.08509944287414224,0.013529322142924597
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,31.721590042114258,31.721590042114258,0.12836928346760762,0.08628375288614705,0.012877583995719826,0.30605126843372904,0.1380644089341778,0.029019380890468845,25023129619629.773,0.06395242855456057,0.005674673114283842,37959440532356.625,0.01956050634776859,0.001790870511775119,15745642537996.66,0.07696527418066387,0.012340627128061906
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,34.137113094329834,34.137113094329834,0.12828465650065723,0.08580866978974244,0.012913291452525755,0.3096130511395694,0.13917459802349158,0.02941532796747887,27078338041837.07,0.07461287128666023,0.007243188262011395,78638703830957.22,0.027924337813827374,0.0019018486046736625,26429260468198.65,0.08188011922843078,0.012868414071672416
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,24.152186155319214,24.152186155319214,0.12975494796994572,0.08862372583363962,0.012942168502725622,0.3107920776282628,0.13959823084341574,0.02955087119628937,23035510003120.746,0.05694141765970056,0.004624427231772848,27477366233180.848,0.020539225974511872,0.0028262014488082176,12628219059075.395,0.07642565007781733,0.012485917094899029
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,22.764003038406372,22.764003038406372,0.13375463322109457,0.09401211740425289,0.01350659528197145,0.3247463581808845,0.14277934898904343,0.030003401164625857,25980435605487.35,0.06967347505506134,0.006476737592989588,39418153848028.08,0.022967601937054365,0.0028170296496412917,16349647363378.93,0.08235813584635333,0.013200940922307036
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,17.324687242507935,17.324687242507935,0.12877353825623047,0.08615620603253635,0.012955806322008512,0.31424545429648476,0.14036953218473186,0.029553020528063315,23578124504265.832,0.0586209477051777,0.0048783318629150455,56384844282863.3,0.026339222511703914,0.0028227401979399394,19990742196782.273,0.07787147710853783,0.0125524747277317
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,15.919398784637451,15.919398784637451,0.12996885652822265,0.08908139971733639,0.012914210533270451,0.29988242330024933,0.13687766246544544,0.028796086605842,28621807303026.355,0.08098315860314852,0.008347543928636073,34995429041342.754,0.022037404096272913,0.0028118833977282677,15904309086092.342,0.08224490622055114,0.01321743111636918
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,25.02493190765381,25.02493190765381,0.1313691385215974,0.09150968386348322,0.013096099700115221,0.3165950564636307,0.1409458059560386,0.02980101303013134,26173856373804.895,0.06960034267555733,0.0064641277923904615,66311889704527.78,0.02811834921257966,0.002768703427879809,23121436519583.26,0.08254354542691504,0.013032485987629207
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,34.606679916381836,34.606679916381836,0.12931005512360497,0.08787456117412726,0.012921014008680556,0.3011741734065908,0.1372330296285233,0.029048865705422856,24397173400082.703,0.06104297672057739,0.005251161821894456,119164271269859.22,0.039102950874581335,0.003074320007384442,35890361167485.48,0.08131337959945274,0.01257384038584558
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,13.878060817718506,13.878060817718506,0.12983438874709613,0.0881060395849494,0.012968586543556596,0.32233910292252616,0.142578653875732,0.030089206613281717,23044943465786.332,0.055780757867273226,0.004460379661839187,59230242215644.43,0.027007477473052287,0.002843720248289937,20568796420357.66,0.07836823220025212,0.01259047326674186
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,12.047554731369019,12.047554731369019,0.12994040833130602,0.08959649995171538,0.01282075311741766,0.31088500247378453,0.1397585376952127,0.029411403625611843,25370568227101.746,0.06572981151807082,0.005909547240553381,47548491653903.33,0.02787806614740207,0.00419821985854595,18229764970251.332,0.0807407288281006,0.013084980960532198
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,14.403422117233276,14.403422117233276,0.13063211682626905,0.09044924017305082,0.012944663718394148,0.3266092307565356,0.14375422362811785,0.030351683570432417,22297606633391.812,0.053637465534376705,0.004109750058795535,80816824879363.42,0.034364360257428464,0.004137637934108378,25778607878188.79,0.08055132239824382,0.01288593382043263
