Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg V_MAPE,Std V_MAPE,Avg V_MAE,Std V_MAE,Avg V_MSE,Std V_MSE,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,7012,1754,N/A,N/A,N/A,N/A,32.8460346698761,16.288093017772187,32.8460346698761,16.288093017772187,0.13039347983065136,0.0027487704978309637,0.08895348769325137,0.002956245305897089,0.01308849583481288,0.0004360687393225202,0.3102087803919447,0.009071579807896505,0.139303445704405,0.0023250469018252632,0.029292987065583514,0.0005043614143091893,25201381986918.695,563461281299.9492,0.06571880689009163,0.0024498898831594824,0.005904428271201833,0.0003555883514012772,23909665712823.418,10193485958516.924,0.0169755403782587,0.0018317126574880229,0.0018475690729697694,5.495967409349069e-05,12277761924935.586,2651358457856.572,0.07773782016650203,0.001718798508869837,0.012533370061141993,0.00018048822429587205
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,N/A,26.28743004798889,10.283445487510788,26.28743004798889,10.283445487510788,0.12883927753471058,0.001012101490950649,0.08726297875219452,0.002035146095009762,0.012867100962524025,0.00018936808404932678,0.30719252835739935,0.02135357608822865,0.13923061150581958,0.005101418595307476,0.029604214574857766,0.0009940611000715668,24722676420898.17,1199360140608.1426,0.06358256556200312,0.0058187123163040404,0.005594722038377803,0.000837651500061223,46740522867769.42,34855158009243.727,0.02158122892558824,0.0068410201759573006,0.0018841782753064255,5.21041894570499e-05,17865799822166.93,8962365986574.885,0.07791434618640175,0.004418468937702112,0.012487553962766502,0.00040544097055546837
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,N/A,33.90457615852356,10.71126005437521,33.90457615852356,10.71126005437521,0.1303758633921581,0.0008717659699303125,0.09058007056728973,0.001481816353640822,0.012906448267727806,0.00010422970191397911,0.3113550456355422,0.012793752579625329,0.13987939644856118,0.003176317905208809,0.02958313040090359,0.0007297004562352156,25965706258535.39,1269222837413.1091,0.0694098445764595,0.0061554841914748335,0.006471030946116111,0.0009108923017412454,45704241693987.17,20551163440189.22,0.02123352775356763,0.004003712864668268,0.0018335337525693565,2.455048552012817e-05,17917486988130.7,5023479063657.467,0.08027570983646987,0.0020382577105710863,0.012698535841829211,0.00030024095490319575
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,N/A,22.250061988830566,4.4590509544243035,22.250061988830566,4.4590509544243035,0.13171214793116048,0.003002908200860893,0.09177964165776233,0.0035239138436831503,0.013125359151857285,0.000502256563540313,0.3266035305595229,0.017749457027809928,0.1439165440570578,0.00449903566668318,0.030439847635975625,0.0010724791708805273,27401183609258.805,1760094305155.8013,0.07665992353190404,0.008744623926877772,0.007681335063744334,0.001481892430239323,57964875800522.89,28157994329109.82,0.02388783551218601,0.0056953119184718045,0.0019106936423777265,0.00010738697241576226,21341514852445.49,7224162543022.802,0.08406098618972783,0.0025228049235344755,0.013289308873488748,0.00033967882309787853
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,N/A,27.898796939849852,3.8290401427134366,27.898796939849852,3.8290401427134366,0.12990770002266414,0.0013087010242033477,0.08935494797093449,0.0020064338949239125,0.012912636049204418,0.00016547042352985106,0.3175115970520818,0.016719728032188415,0.14130542542106025,0.0040908854777321575,0.029814639512977997,0.0008131228523196569,26470223122891.09,1274306108772.691,0.07148801629926793,0.006873675573300536,0.006813822588344038,0.0011073065784398086,39855961663390.05,14876470292001.809,0.020095223026764055,0.002905266122203671,0.0018351727805324953,5.189746539569059e-05,16581546196570.361,3884482312202.821,0.08056090317950702,0.0032265259978064543,0.01284406773276473,0.00041421876822026035
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,N/A,28.691610956192015,6.673535176821639,28.691610956192015,6.673535176821639,0.1298070187797093,0.0028819394323940377,0.0884385336876645,0.00405151967058308,0.013004775059157706,0.0004198891752872551,0.30971147068434385,0.00974449723904444,0.13944657865659674,0.001920419841753449,0.029483666792060062,0.0002855000026501991,26460940246062.8,1911317984680.9268,0.07212119380269108,0.008999434004392204,0.006927704205511591,0.001423272365121883,37779554802734.125,27715782980927.09,0.019937450049702904,0.005261146741363685,0.0018941306085701033,8.168578176743612e-05,16060123762199.291,6860226629926.07,0.07998593904916415,0.0019351767815496497,0.012827569166324859,0.0002585806496831654
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,N/A,23.973536586761476,6.663959661153434,23.973536586761476,6.663959661153434,0.1290722217769658,0.0012565700465709305,0.08808884134922375,0.001625535224050523,0.012802332255586173,0.0001600986921324763,0.3093175507274911,0.0075312727127924,0.1392970331983015,0.0017411422888876358,0.029421738342476345,0.00034564325700488176,24950447754374.387,1291484689300.4736,0.06430055157893988,0.00527407156645655,0.0057122201643738015,0.0007735809605320449,50788803730367.48,38019617151740.695,0.025343850415561857,0.007590157629511801,0.0028932089906565867,0.00010362039615884646,18934812871185.508,9582297283641.715,0.07925756913550712,0.0020858719096843396,0.012707374938273225,0.00015463317119629084
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,N/A,20.618977212905882,7.13816507726051,20.618977212905882,7.13816507726051,0.1299162073593677,0.002237696233719321,0.08942440383691938,0.003146204045650777,0.012896203372897274,0.0003712272904661962,0.3214067213608488,0.005251987730609567,0.14194590046068703,0.0015398939672391016,0.029791621395178224,0.00042041846703061095,25676119813381.043,1639486199790.3723,0.06792050459058065,0.007781946344433557,0.0062622042882457315,0.0011767931337901885,67387044996491.31,26254751979467.87,0.02847300916690179,0.005293929729393722,0.002831073191733834,7.84217372348489e-05,23265791202468.14,6837045182668.337,0.08194095451377255,0.003009572113143178,0.012945275562013763,0.00032389750178782187
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,N/A,19.341011714935302,2.8275723846672842,19.341011714935302,2.8275723846672842,0.13054329373142076,0.0017279922971291004,0.08988494159065667,0.002671991167858044,0.013029541144059595,0.000226417084355133,0.3212614766906563,0.012771808631698696,0.14224809408010453,0.003788480679701325,0.030050820237428433,0.0010529669048421183,24994816524356.39,1345234892668.6235,0.0646156281429014,0.0059536438271378805,0.005753846279499938,0.0008667465321998625,63722976604553.75,8151946139881.875,0.027698507255413833,0.0015609444249377632,0.0027972952925264774,2.253256373835857e-05,22179448282227.58,2058806889033.401,0.08111179276726947,0.002293722036378938,0.012907875738378613,0.0003831871944593867
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,N/A,17.015469789505005,3.442461867499256,17.015469789505005,3.442461867499256,0.13017403383538356,0.00067318236119068,0.08977588519239,0.001450295727406127,0.012899103461121617,6.380172426807856e-05,0.31279514205493003,0.01239567514103526,0.14006322414587072,0.0030058912066050904,0.029501576717801948,0.0006003651674345079,27009779495767.824,1060918956968.9172,0.07352834377107309,0.005062690217549945,0.007111180245802025,0.0008219181323909296,55815649545256.05,15427419603660.32,0.02620629033095116,0.0030712367840900765,0.002817235267040907,3.447859031515749e-05,20706357260256.043,3603095930623.2715,0.08239343586007158,0.0006789594880752315,0.013082273922941619,0.0001877959252049931
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,N/A,18.700793409347533,6.329511837221034,18.700793409347533,6.329511837221034,0.13224878425937278,0.0019821529669249863,0.09276347746608522,0.0022948678175710195,0.013192193030581799,0.00035116047161727387,0.31798037157618747,0.011938529962333976,0.14153944970910454,0.0029888092911949135,0.029959040435998164,0.0006862526871230345,26389458861197.516,2415391667617.622,0.07156981833778113,0.011918783803967473,0.0068810269975907,0.001949339072367009,75605207117144.92,38925645873064.08,0.03022256768948073,0.007853496479492076,0.002897219381744287,0.00015360787222108753,25498666494585.664,10188191914480.54,0.08402382830061322,0.004555885421687333,0.013232369961478734,0.0004895762843074839
