Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4553,1139,N/A,N/A,N/A,246.75871396064758,5.548919200897217,252.3076331615448,8.697123336060065,0.014168785496425362,0.0008114515931719155,0.016194017579135297,0.01575286948393534,0.0003841004052089172,0.09646960828171632,0.0697462925329677,0.007314258728186947,0.09454661695427276,0.0731378003616552,0.008408451897352277,0.29837848437847814,0.09753768592484731,0.013702167185902643,1.8405424126507348,0.05406868675996619,0.006124085961964536
Fixed Cut 5.0%,4326,1139,227,4.985723698660224,N/A,253.4081609249115,6.56609582901001,259.9742567539215,23.97664463038279,0.012657232695162583,0.0008570843509743906,0.016072426502207686,0.015580463760305214,0.00040858185489182837,0.09833044484461127,0.07174068142195249,0.00760159686921179,0.09718932388094324,0.07488317392654249,0.00891256038951146,0.2924247684025743,0.08751770011287888,0.011738902558467735,4.896132318802628,0.052475850383368314,0.005903745204611436
Fixed Cut 10.0%,4098,1139,455,9.99341093784318,N/A,248.37041306495667,17.16599726676941,265.5364103317261,17.915261961574554,0.01070720447683601,0.0008467360260867955,0.011231356310127113,0.011234680237321564,0.0001725666773534401,0.09694742898152939,0.07020183568065079,0.007228556452920035,0.09481453082031277,0.07381886267488134,0.00867227655919998,0.2900483273907831,0.08739862953603046,0.011716093483820784,3.6816607210154624,0.05067224252114403,0.005727245839876207
Fixed Cut 15.0%,3871,1139,682,14.979134636503405,N/A,235.03287601470947,10.550489902496338,245.5833659172058,1.3191937340932673,0.017989918358106836,0.0008217574354285919,0.010724638832424136,0.010602861217503104,0.00014999663354197973,0.09685456841867919,0.07039446975650326,0.007205158043575726,0.09437875956036744,0.07472878787260838,0.008990370473017895,0.2992989358217278,0.08712979471281922,0.011938301290769475,0.3640901273452929,0.05216916638350817,0.005821116775266731
Fixed Cut 20.0%,3643,1139,910,19.98682187568636,N/A,211.85804510116577,9.573889017105103,221.43193411827087,1.8365576146233666,0.01270499814412455,0.0008764420319480328,0.006038695974679785,0.005974231392305161,5.285387188426115e-05,0.09504013270491724,0.06954377923517355,0.007197844811915005,0.10462102559240168,0.07865002888719883,0.009718993186887067,0.28491481449197337,0.08411727149006454,0.011055329814980433,0.4654344566774675,0.0501980618297733,0.005780292743522961
Fixed Cut 25.0%,3415,1139,1138,24.994509114869317,N/A,230.89771103858948,4.444336891174316,235.3420479297638,4.664270810542609,0.0167789965382889,0.0010198048505436325,0.018856685152668674,0.018332498540344647,0.0005095701407723441,0.10891150368529094,0.07794960743157299,0.008781902764665043,0.08845328631413957,0.06879769530262932,0.007513924076882091,0.28792935751593807,0.09068687916249277,0.012250467652680605,1.03368432864213,0.05450913539506576,0.006015133897108748
Fixed Cut 30.0%,3188,1139,1365,29.98023281352954,N/A,232.13634872436523,7.370720863342285,239.50706958770752,1.554804397597487,0.01454896243126865,0.0008739813002990318,0.01570462574148892,0.015171795233589058,0.0003694814558852284,0.09292296556393996,0.06863022463086887,0.007191663610711598,0.09188573297307451,0.07244596715111346,0.008359719625441997,0.28517463113765035,0.08478934457502578,0.011152799508647782,0.4080984706027283,0.051117258804373164,0.005589529100197127
Fixed Cut 35.0%,2960,1139,1593,34.9879200527125,N/A,208.24727988243103,6.574212074279785,214.82149195671082,1.0934673635936318,0.02010561362601868,0.0008325884777046029,0.02063092163653172,0.02037339407565716,0.000526981628267777,0.09534999658158523,0.07032054717572135,0.007530934126187213,0.09536540790437667,0.07325730725029184,0.00851750925186262,0.28952676041873454,0.08924477784014981,0.011948212775463436,0.318868090026972,0.05466032799356777,0.005871245251897132
Fixed Cut 40.0%,2732,1139,1821,39.99560729189545,N/A,178.32091069221497,17.024311065673828,195.3452217578888,1.2296150837518063,0.016211098871583188,0.0007541549247706849,0.018218619934225633,0.017679306029964047,0.0003372416036760321,0.09294262502328744,0.07082285946968177,0.008333147448668119,0.10125930009988462,0.07670680232988202,0.009327964378761733,0.2859963611490649,0.08697129746478809,0.011512303880704889,0.3456063979916538,0.053678272833179816,0.006052962447316292
Fixed Cut 45.0%,2505,1139,2048,44.981330990555676,N/A,188.4641239643097,4.345916986465454,192.81004095077515,3.4735115655175974,0.019266244687843333,0.0010949348704086866,0.015807017580810084,0.015609950311550628,0.00039217973489522073,0.09776084326852906,0.07272661225979646,0.008457734811487684,0.09730788548194028,0.07455157919926614,0.008649322185534481,0.29043449181952946,0.09398673237699993,0.012952619992742007,0.7949643607336805,0.055228223767091286,0.006309358319013615
Fixed Cut 50.0%,2277,1139,2276,49.98901822973863,N/A,160.7481427192688,4.78411602973938,165.53225874900818,8.812970959196477,0.0177764063499689,0.0010095408381999096,0.013922696554117901,0.01392289739207897,0.0003086152938610998,0.09046828675113404,0.06722661578368604,0.0070441698876354125,0.10546222055277239,0.07990847976298578,0.01013320492456002,0.29563787126621915,0.0872319951766008,0.011744946816246084,1.8636924068641438,0.05321327889306408,0.006048095552100506
Fixed Cut 55.0%,2049,1139,2504,54.99670546892159,N/A,157.03472995758057,10.409369230270386,167.44409918785095,1.6193338453609738,0.012995160559614168,0.0007725237875217812,0.014546868887473686,0.014127448413905763,0.0002647807134131784,0.09144567781388264,0.06812181051924322,0.007286819951397307,0.10704250960062277,0.08000112902805526,0.01000489839733261,0.28682140155075936,0.0860609584749806,0.011394101680712348,0.42383806064274243,0.05226130139915978,0.005944624906075442
Fixed Cut 60.0%,1822,1139,2731,59.98242916758182,N/A,146.06413292884827,5.059002161026001,151.12313508987427,1.0455972926274326,0.025247906242881476,0.0010887701262868867,0.018949016313207074,0.01853757456590937,0.0004938183446317254,0.09474748559639372,0.06872744810370869,0.007010617608013735,0.10114829161511345,0.0763339894697322,0.0091488387254142,0.28606136910084673,0.10233329586134028,0.015547192648226757,0.30930069105059876,0.05823604284871442,0.006657847490514661
Fixed Cut 65.0%,1594,1139,2959,64.99011640676477,N/A,134.16800475120544,8.830339908599854,142.9983446598053,17.66699139618856,0.011256511738616092,0.0009093223844975805,0.009464024589456813,0.009238642356700393,0.00014042673066369426,0.09116717051591627,0.0687413864264673,0.007677866462146107,0.10654150985214161,0.07975350685068269,0.00990380674961874,0.2868243412901768,0.09719674980741666,0.014691308073331357,3.6321976884872513,0.05323735943597661,0.006664546080051489
Fixed Cut 70.0%,1366,1139,3187,69.99780364594773,N/A,122.88030171394348,4.147424936294556,127.02772665023804,1.4692926525884518,0.04537411308135361,0.007038714832798095,0.018226995607346683,0.017868435319823326,0.00042770007599959305,0.09246972219372611,0.0691637769445518,0.007578143878225455,0.0968103377827689,0.07483189108735347,0.008710636407899264,0.29162574478300657,0.10458073724092368,0.01628407174426626,0.39368509059106,0.06236379073480125,0.008007853387837738
Fixed Cut 75.0%,1139,1139,3414,74.98352734460795,N/A,108.01382112503052,10.112916946411133,118.12673807144165,2.4817920819222796,0.04692684248298198,0.01501174895099558,0.010160332041740794,0.010170101134519976,0.0001362036677534322,0.09214981221779418,0.0702498109234421,0.00798402336216178,0.10175613964777137,0.07830749995540379,0.009646837835442491,0.2891332005730435,0.09432399741667656,0.014322439582478563,0.5949983132805258,0.05999565038260489,0.009420250679766371
Fixed Cut 80.0%,911,1139,3642,79.9912145837909,N/A,104.64139485359192,2.905454158782959,107.54684901237488,1.6775218401006957,0.06064334651740537,0.01819035852801547,0.024242697720794175,0.02372532212524005,0.0008182727928823516,0.08702109579437506,0.06502208500380416,0.00667863608912661,0.08773361377726942,0.0687815326000176,0.007534536246565528,0.2773198774507473,0.09107510811596219,0.013267745895808756,0.43076782496877647,0.06184947887248589,0.009297909910479752
Fixed Cut 85.0%,683,1139,3870,84.99890182297386,N/A,98.59463500976562,4.129151105880737,102.72378611564636,3.7362071397737098,0.0550788264839192,0.0180339189378269,0.009514941525900534,0.009331886728959805,0.0001377196514775188,0.09168965177961341,0.07001768886341561,0.007995911101434322,0.09104755755731476,0.07148916257452648,0.008111338669409099,0.30604189362642853,0.09562958577602707,0.015140301146256339,0.846900236852593,0.06030943008536962,0.009883837901280829
Fixed Cut 90.0%,456,1139,4097,89.98462552163409,N/A,76.43423795700073,2.837385892868042,79.27162384986877,2.1001241160191557,0.062074066948605636,0.0191961198298265,0.026168844551667667,0.025782123001634683,0.0008502051950934265,0.08837848714687675,0.06761498360402754,0.007742909342646731,0.11236905234787146,0.08448100062060529,0.01069443129417061,0.29274972196189203,0.09722422238378259,0.014842024616968146,0.5239580444054928,0.06743527931173116,0.010665138055741095
Window L1,158,1139,4395,96.5297605974083,0.14035987854003906,69.0157151222229,2.2160420417785645,71.3721170425415,3.8716914078333073,0.07814902665357318,0.03559294885403651,0.039537753677040585,0.03682805758799758,0.0022248260172920953,0.11378627417168659,0.09227436343178251,0.01397768174125908,0.2218729848476587,0.15308382119047848,0.030049808490420826,0.32502923652864096,0.1397941947097873,0.026422836442971345,0.9143835314116668,0.10002589271472387,0.021653620309195962
Window L2,158,1139,4395,96.5297605974083,0.07448410987854004,69.47207593917847,2.0620810985565186,71.60864114761353,8.93227668217631,0.0769092801583203,0.036750516485674296,0.027960324552021944,0.027594573656304206,0.0010297898161956997,0.12986845129490265,0.10834100144911361,0.016877608499517024,0.265367913986117,0.1762067370522319,0.039030829885776074,0.3280027728137004,0.14185664547668528,0.027381229141373427,1.9366952289646104,0.1061816475585311,0.024213994765707285
Window Normal,448,1139,4105,90.16033384581594,0.18700313568115234,77.97667717933655,3.6380748748779297,81.80175518989563,44.50525277332952,0.05179409480193356,0.019179765106802835,0.020929144180884998,0.020822191754199863,0.000543259943398449,0.09167680861443349,0.07137266946902945,0.008770121305017498,0.13393579031578107,0.09725859979216266,0.01384653395842355,0.295565884146007,0.10978018918737699,0.017606356966933117,9.00947208011732,0.07020554900094052,0.011989207456115094
Window RBF,158,1139,4395,96.5297605974083,0.6617391109466553,69.35066390037537,1.9632818698883057,71.97568488121033,1.2629270137037656,0.1046551328566733,0.032918465902834516,0.03376986263268284,0.03508563053406181,0.002158675744627543,0.15638844165695207,0.13621126013829946,0.025594574856604754,0.17560867883206221,0.12707158856530168,0.02167427568955572,0.35228844800456893,0.16378457030025062,0.03509886316912256,0.3961964889660061,0.11336163647891742,0.023488971072549058
Window Cosine,158,1139,4395,96.5297605974083,0.3468480110168457,71.799232006073,1.800562858581543,73.94664287567139,2.007378095257582,0.08132021153877564,0.03344659814543896,0.037039579447850544,0.03680417385792307,0.001818779658210334,0.08412174839130766,0.06392775793335503,0.006898612675196646,0.23134408534769343,0.15828038530278862,0.03244019482367065,0.3250245895124498,0.13871636803183413,0.02617343562453468,0.5369816195913766,0.09580977933293533,0.020155524185410268
Window Linear,1448,1139,3105,68.19679332308368,0.09409880638122559,132.227205991745,6.168283224105835,138.48958802223206,2.1471129383722842,0.02359345437283308,0.0013961707891095763,0.007049465382343675,0.006926487687809529,8.070031535840161e-05,0.09196512904248286,0.06921075699659597,0.007488073347966535,0.10100686622990131,0.07669582461376408,0.009270545842992528,0.2939678366748218,0.09502123768494809,0.014574653207239517,0.5282204471403671,0.054289552271190145,0.006562028700533316
