Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4553,1139,N/A,N/A,N/A,19.187707901000977,19.187707901000977,23531443788349.195,0.014386802417906852,0.0008393843809281784,0.006142121864984361,0.0060855720862703355,6.407482710141997e-05,0.09443589901955027,0.0674481907850389,0.006496885772508659,0.09257572031417369,0.0700345720093432,0.00781526067770643,0.37085534709768203,0.08319890198582253,0.010685034612603892,4706288757669.9375,0.04823080785687639,0.005180128054169714
Fixed Cut 5.0%,4326,1139,227,4.985723698660224,N/A,16.568132877349854,16.568132877349854,29917446647910.91,0.01604549320900671,0.0008862136318418269,0.005601445825510731,0.005544119419573036,5.115696109372248e-05,0.09318197155245797,0.06474474629183345,0.006313815071521565,0.09336982387884601,0.07074955473516284,0.007970374266242974,0.3203951006572862,0.07929490609804754,0.01056236240618507,5983489329582.269,0.04727576395072472,0.005156784467377029
Fixed Cut 10.0%,4098,1139,455,9.99341093784318,N/A,12.511951923370361,12.511951923370361,22022015635124.348,0.013835726769556071,0.0008297130663843056,0.010065154727948469,0.009957410842983455,0.00014085212240153423,0.09597213103645798,0.06533694182839175,0.0066426764022389255,0.09310969096251023,0.07181721559404415,0.008198424615824831,0.391414535053063,0.0859311403215871,0.01113347453293197,4404403127024.974,0.049375687071312485,0.005389028147956309
Fixed Cut 15.0%,3871,1139,682,14.979134636503405,N/A,15.011754989624023,15.011754989624023,13584598260110.824,0.012327439274469986,0.0008865452113070814,0.008568302948421648,0.008474055997065666,9.748871631201738e-05,0.09203538351401577,0.06371462796829545,0.006189817103300581,0.09391589549853882,0.06998981703316787,0.007780148003894045,0.3738636615901596,0.08353600176532187,0.010687490246714051,2716919652022.266,0.047608388407664154,0.005128297856305551
Fixed Cut 20.0%,3643,1139,910,19.98682187568636,N/A,30.24897789955139,30.24897789955139,34748399613223.273,0.01714991781166327,0.0008478639864796061,0.003348975612448784,0.003316539588704027,1.8607645082292782e-05,0.09495895385646747,0.06391257556414531,0.006525709374179648,0.09096003028965381,0.06857749390007435,0.007509573553300844,0.3877304101901553,0.08484386045038282,0.01087668635311887,6949679922644.756,0.04756007746299394,0.005155688182432255
Fixed Cut 25.0%,3415,1139,1138,24.994509114869317,N/A,26.004076719284058,26.004076719284058,5078243241564.77,0.010464323130251453,0.000900360606919769,0.003539502880800221,0.003506419024806898,2.1094300446637318e-05,0.09513846930096327,0.06405507156322292,0.006572267468982652,0.09209292924328343,0.06921959526941747,0.0076354028380774775,0.35090565317149713,0.08049428424572351,0.010250982689611046,1015648648313.0632,0.04554793864668442,0.005076021580807517
Fixed Cut 30.0%,3188,1139,1365,29.98023281352954,N/A,13.953349113464355,13.953349113464355,19106810230748.9,0.013518109071430124,0.0008755497558401903,0.009950883365509812,0.00982348068134989,0.0001310276748297395,0.09080838418570016,0.0626025157085705,0.005968912259077825,0.09289708308458844,0.07026817808358544,0.007883843083157649,0.34159052388704675,0.07991262686573294,0.01024948666979757,3821362046149.8696,0.047224982082133764,0.005021763888540596
Fixed Cut 35.0%,2960,1139,1593,34.9879200527125,N/A,21.633316040039062,21.633316040039062,21402564220285.16,0.013814779810053508,0.0008434575320729463,0.004999031144038647,0.00493996451088233,3.3096809446981335e-05,0.09328099362077434,0.06573990961901349,0.006270255939819273,0.09218190714060119,0.06863906758831638,0.007498161803593611,0.3387649469392546,0.0793813900241036,0.010143128163048918,4280512844057.124,0.04650302231047386,0.004957620049596342
Fixed Cut 40.0%,2732,1139,1821,39.99560729189545,N/A,11.466933965682983,11.466933965682983,45329308399872.17,0.020164058916606963,0.0009044374561191983,0.0077840155239513485,0.0076973552143165865,8.046769275275012e-05,0.0920835962784191,0.06303071873034025,0.006152352604368142,0.09237563293080714,0.07078534772060925,0.008015432281875123,0.370548791073802,0.08279526490666449,0.010515950783898895,9065861679974.53,0.0488945490977075,0.005133728163802821
Fixed Cut 45.0%,2505,1139,2048,44.981330990555676,N/A,10.498753070831299,10.498753070831299,22239339967666.582,0.014154247768619555,0.000863810883820403,0.012275449258250118,0.012145112745841749,0.00021383681163681206,0.09565260905627997,0.06655874292555311,0.0066943886408909,0.09613683041261786,0.07483448081373892,0.008909886193355194,0.3979345446748477,0.08673340776869495,0.011239277598412362,4447867993533.42,0.050885198404489664,0.005584240025623138
Fixed Cut 50.0%,2277,1139,2276,49.98901822973863,N/A,13.663810729980469,13.663810729980469,8483219158020.265,0.011300195760231835,0.0009007990256678709,0.004846613793888949,0.00478813737289916,3.245876126872803e-05,0.09315065131657412,0.06382711574106324,0.006276630258631813,0.09512504285320604,0.07427332657411329,0.00873006651241534,0.35722570393529,0.08163641032182448,0.010465018568726888,1696643831604.1616,0.04716503715402639,0.005280994625342125
Fixed Cut 55.0%,2049,1139,2504,54.99670546892159,N/A,8.144498109817505,8.144498109817505,28316458572407.176,0.016731355811996026,0.0010089057467743078,0.014229779920397726,0.014065433495517832,0.00027530198858793096,0.09462966676586075,0.06372389696800014,0.006597650932916415,0.09408721020896413,0.07234655098709016,0.00830222586209977,0.3638907996865902,0.0823501895756043,0.010375827457635128,5663291714481.526,0.04984348536764166,0.005311982397602709
Fixed Cut 60.0%,1822,1139,2731,59.98242916758182,N/A,11.74586820602417,11.74586820602417,10023775106805.104,0.01278061985963165,0.0009862569161212332,0.004069450108515617,0.0040249548022153565,2.6005841733334153e-05,0.0926224082623267,0.0631402809493874,0.006229214128342721,0.0946994160979378,0.07325312333225613,0.008527799301128161,0.3425042850436798,0.09175799034728403,0.013557254196317689,2004755021361.1243,0.0489913938581549,0.0058653060767286285
Fixed Cut 65.0%,1594,1139,2959,64.99011640676477,N/A,12.167924880981445,12.167924880981445,8807734690892.676,0.012261696899556994,0.0009719143914250168,0.006865352390232324,0.0067956130244095,6.723827445166858e-05,0.09695976328453074,0.06524165921111266,0.00684672853089942,0.0904885874302949,0.06895283899367899,0.0076272479745550185,0.3375546233673187,0.09059344640723617,0.013255859637812235,1761546938178.64,0.048769050907198866,0.005753797761828666
