Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,4553,1139,N/A,N/A,N/A,N/A,18.32789053916931,6.119339045924313,18.32789053916931,6.119339045924313,23115922483231.805,13218012713011.148,0.01447442217916971,0.0030542895424811997,0.0008701921100062157,2.328318075303629e-05,0.007469516501798176,0.0027635401712079797,0.007390477061398572,0.0027307706848519815,9.231588874979388e-05,5.0845296412123896e-05,0.09295688894448596,0.002114148850706232,0.06525640502951001,0.001626373907657819,0.006292377133793004,0.0002996199750510963,0.09353575008588248,0.0019355914239415635,0.07190929521573049,0.0027311448755795525,0.008195766606532946,0.000544786065502512,0.3962836829271345,0.02072586062466211,0.08642347567778849,0.0029053332530208694,0.011217847927430583,0.0005448540805311405,4623184496646.469,2643602542602.22,0.049090815032719455,0.0005502751116324243,0.0053336999333025055,0.00017333246333188558
Fixed Cut 5.0%,4326,1139,227,4.985723698660224,N/A,N/A,26.100163650512695,7.048015707362933,26.100163650512695,7.048015707362933,38790008219460.71,14166190521298.486,0.018332348132225826,0.003578905128376554,0.0009029911806134008,3.4694233760818e-05,0.004279629554817888,0.0012917068163328703,0.004233587421437347,0.0012764159236922717,2.8619158021696302e-05,1.6106306565767602e-05,0.09305336634356674,0.0021672708393509553,0.06438410453678808,0.0012254714409396582,0.006248556450211801,0.00027740091726544407,0.09321147872336032,0.001750822705906383,0.07071841457572765,0.0024190487573121995,0.007968147470895252,0.0005120510040584285,0.37549273729240906,0.03329826541185407,0.08406095634707603,0.003079269922939316,0.010897566536331274,0.00031138379753010764,7758001643892.243,2833238104259.6987,0.048345882202650986,0.0011199860147534078,0.0052091761592146825,9.694671251156513e-05
Fixed Cut 10.0%,4098,1139,455,9.99341093784318,N/A,N/A,18.13591980934143,5.427755727812686,18.13591980934143,5.427755727812686,29520132953701.348,20487961479505.36,0.016126815710485572,0.005008157075946636,0.0008926710934423557,8.498477629218068e-05,0.00962018104771573,0.005689287225231013,0.009511667853571788,0.005620448195567223,0.000147109194774416,0.00013011212893605722,0.0949564745294962,0.000722683286630593,0.06468308115088299,0.000544149958209881,0.006497663540770441,0.00011124202439894372,0.0923591379119845,0.0008773664130960837,0.07044012763827166,0.0014330397789405172,0.007914430172018682,0.000307178046160615,0.409175662536016,0.01964485136769897,0.0882674610378681,0.0029468729576307205,0.011592817890667384,0.0005963775494467586,5904026590740.378,4097592295901.0654,0.04980583067821601,0.0019410367791485518,0.005408938378334654,0.0001343825148051385
Fixed Cut 15.0%,3871,1139,682,14.979134636503405,N/A,N/A,26.85170974731445,11.548465304126259,26.85170974731445,11.548465304126259,17469930128877.941,8386194681020.509,0.013032098267832502,0.0019113692267123468,0.0008588509526885497,2.0621423957279125e-05,0.005819962657251352,0.003240224722437604,0.00575027478144735,0.003201096276346042,5.6368841075712494e-05,4.888953738714078e-05,0.09248633758298866,0.0022143221771110384,0.06327185410265015,0.0009734844159792553,0.006208701464416482,0.0003475861947132841,0.09243831326864849,0.0010871157360206295,0.06895169648393443,0.0012992126077132685,0.00759422479674784,0.0002487049165666129,0.3801325049290828,0.03043673381616448,0.08427381307149139,0.003928120372255007,0.010847570052923774,0.0006896430520805751,3493986025775.6914,1677238936204.0928,0.04705594734147116,0.000895544937288748,0.005113143221570471,0.00019425044065052082
Fixed Cut 20.0%,3643,1139,910,19.98682187568636,N/A,N/A,18.43985300064087,6.974506768947248,18.43985300064087,6.974506768947248,29165523673489.344,15939640871040.281,0.016205359407756647,0.0034676663277984697,0.0008930390816739199,5.4181363132900745e-05,0.004873712816746116,0.0018074064045604443,0.0048227257199377075,0.0017830105690050532,4.111908901607239e-05,2.696088377260386e-05,0.09335667240576567,0.0016252568525443676,0.06470012813352988,0.0006881865681003472,0.006304741800800126,0.00021427303828242832,0.09260817836768465,0.002161894943485292,0.06992136809553032,0.0030349908211921056,0.0078005613482451585,0.0006541893703566193,0.38194448790029817,0.04677306662034707,0.08499107214317092,0.005948743048800506,0.011103964182213865,0.0009925818141147177,5833104734697.973,3187928174208.0415,0.04812813069998509,0.0012420561633509327,0.005228685100389827,0.00035003566122671206
Fixed Cut 25.0%,3415,1139,1138,24.994509114869317,N/A,N/A,22.86515016555786,5.104320499461149,22.86515016555786,5.104320499461149,26839361600298.742,13779861001949.59,0.015342184704033469,0.003157933742710591,0.0008646973928180297,2.650074372477178e-05,0.006362578286983393,0.00621257207742828,0.006295832992091537,0.006150089502116083,8.895955786205206e-05,0.00015446408308296088,0.09511586304962333,0.0018637669020728617,0.06449779811761638,0.0009078723498787772,0.006549285168597216,0.0002866565870249968,0.09211871367563276,0.0007630907188166794,0.06999982432249283,0.0016854117780180126,0.007802506716528435,0.0003505781365834837,0.3696979349324799,0.022720183126711653,0.08295937119589644,0.003021139117381716,0.010628374183430692,0.0004847112625809525,5367872320059.851,2755972200389.915,0.04781900226642612,0.0025490320862530573,0.005186764603847285,0.0002283364348890244
Fixed Cut 30.0%,3188,1139,1365,29.98023281352954,N/A,N/A,16.117377471923827,4.527529113725313,16.117377471923827,4.527529113725313,23772840417586.88,11858955506455.945,0.014839628699879353,0.00251294865786362,0.0008877963733890786,4.8985995796271734e-05,0.0065552279971526455,0.002826616970673684,0.006483230800344648,0.0027889011854178576,7.118524166384424e-05,4.9249334505014985e-05,0.09255383046522475,0.002139323805507794,0.06327700893456152,0.0010220540589789054,0.006210232026718971,0.00032155810043740004,0.09237561800333356,0.0012452639356811623,0.06955912780139316,0.0012462128226776923,0.007723716956754973,0.0002787217072228578,0.37219353387300025,0.023538772184001244,0.08332664245847812,0.002991698561729898,0.010674955164931206,0.0004541895772746512,4754568083517.476,2371791101291.183,0.04749712773893135,0.0008422567078014671,0.005113577152691614,0.00018080300462622526
Fixed Cut 35.0%,2960,1139,1593,34.9879200527125,N/A,N/A,19.221306991577148,4.990295774141982,19.221306991577148,4.990295774141982,23660590624488.707,12838378734306.863,0.014552538877452982,0.003166799195929502,0.0008610565930297165,1.981051343790268e-05,0.00640111948763345,0.004316119822334997,0.00632984259127476,0.004274304000189851,8.051160450156364e-05,0.00011352958587071048,0.0955297874366456,0.004013755737709126,0.06520753079566302,0.0023131479517889686,0.006616626845442065,0.0005722192171896373,0.09339932535175356,0.0010263925002696732,0.07068988100602264,0.0017468265053020267,0.007961214272389022,0.00037040533596933127,0.35310029151764283,0.019895952757055812,0.08121509456246281,0.0023758463416665454,0.010432928872218247,0.0003580597543356941,4732118124897.839,2567675746861.372,0.04759897756657523,0.002356485090371865,0.005190467637516121,0.00025506936375466167
Fixed Cut 40.0%,2732,1139,1821,39.99560729189545,N/A,N/A,10.142886638641357,1.267293909937299,10.142886638641357,1.267293909937299,19427116172782.074,14706087500163.389,0.013819617102964418,0.0036203439506723545,0.0008910338023951225,1.5840025842650872e-05,0.008311071754254334,0.0013757112586882648,0.008215677807953623,0.0013589104136286548,9.22748748593253e-05,2.7606932848374663e-05,0.09377955880654357,0.004368201630596944,0.0641598484411961,0.0031443775996275155,0.006423354420088966,0.0005660999061938609,0.09395085113646515,0.0021631781052332956,0.07218461015066535,0.0027318957960206893,0.008284772781038965,0.0005537959129057774,0.3693849035625535,0.0302841429933745,0.08315387542474868,0.003440670034703629,0.010694200682514565,0.0005169680607745471,3885423234556.518,2941217500032.672,0.04830672578550562,0.0010160505662696205,0.005277127312179388,0.00019081885239555604
Fixed Cut 45.0%,2505,1139,2048,44.981330990555676,N/A,N/A,18.25795383453369,4.640183896247603,18.25795383453369,4.640183896247603,31900403455288.516,11631001995992.602,0.01749503976676167,0.003353359649623097,0.0009499560956138361,0.00017849891620669748,0.007504425282050558,0.0031479154095115217,0.007424102666546164,0.0031113505240949672,9.230152687044157e-05,7.159852069706729e-05,0.09546870406094574,0.0015183743754990937,0.06512186824838051,0.0009218612741397959,0.006607409523197465,0.0002386687728263436,0.0926858327780305,0.00215349862474249,0.07094876897037478,0.002377953227366226,0.008037496800004826,0.0005320039320109646,0.3558752473549913,0.028420939755650288,0.08162506431397183,0.0033253706330968035,0.010499464864907453,0.0004617996030284255,6380080691057.799,2326200399198.5166,0.048522968793206986,0.0014123779980925021,0.005237325762118806,0.00022237331421331725
Fixed Cut 50.0%,2277,1139,2276,49.98901822973863,N/A,N/A,11.655963945388795,3.895779292329314,11.655963945388795,3.895779292329314,17575102339702.74,12781841773458.953,0.013608574906927757,0.0031238234694261485,0.0009229045977774815,6.900768881706269e-05,0.009424138175695145,0.006350490843738184,0.009313101617889384,0.006278013813769977,0.0001625018861070162,0.00018064827090317248,0.09679190889815564,0.006256633424775334,0.06494987326087734,0.0031327476580390156,0.0068928501309781474,0.0009502492580777261,0.09535725069084476,0.0016324863509153838,0.07452200746294858,0.0020290441077184837,0.008743269848402938,0.00035810004494410923,0.3727756980987787,0.012886271587123936,0.08358087198753832,0.0017630311934870389,0.010742510676297687,0.0002798813226610197,3515020467940.656,2556368354691.7817,0.049194885847236254,0.0024274984982378526,0.005492807427912655,0.00029000107008382553
Fixed Cut 55.0%,2049,1139,2504,54.99670546892159,N/A,N/A,11.230585193634033,3.414712778011588,11.230585193634033,3.414712778011588,27256441892399.46,7551597508028.181,0.015829036503689733,0.002059934836638875,0.0009372678126061801,8.195509245523098e-05,0.013038239365197003,0.0048706978963953046,0.012896856694434121,0.0048118735114676325,0.0002501347156296445,0.00018199440986023613,0.09471847265239905,0.0027857792294189417,0.0643328604590531,0.0016795752651979534,0.006590624765665558,0.0003778792204660638,0.09541808652384041,0.0024264155929772744,0.07404753937379542,0.0028669979566874767,0.00866236089143889,0.0005791645697641196,0.38319167755056827,0.02059569515085947,0.08484871267555621,0.002705540966740814,0.010937226297643727,0.0005434745352337718,5451288378479.99,1510319501605.6292,0.050391001141305694,0.0007995901984259692,0.005475522896596798,0.0001715827875678418
Fixed Cut 60.0%,1822,1139,2731,59.98242916758182,N/A,N/A,8.898244524002076,1.9441114551664727,8.898244524002076,1.9441114551664727,14552941568771.012,3528482797508.612,0.014073960866901379,0.001110004397929243,0.0010208457139325206,2.9922187880854686e-05,0.010917051420523682,0.005281504350459252,0.010806514738531657,0.005231010432992039,0.00021976274575359682,0.00018256653774797042,0.09572064124959977,0.0026489741597369282,0.06498992667200887,0.0020006066686425288,0.00671088507511646,0.0004031675526812094,0.09754091006483093,0.003727917587653446,0.0761079421525285,0.0038254358997676084,0.009146328578970039,0.0008183958735160672,0.3668231604281167,0.027153616499527227,0.094807110345754,0.003980216312646231,0.01395869599895012,0.0007405315299315358,2910588313754.3105,705696559501.7284,0.052157090955144876,0.0026825151084767115,0.0062113036225445485,0.0003042691194678741
Fixed Cut 65.0%,1594,1139,2959,64.99011640676477,N/A,N/A,11.597723579406738,3.362731018914893,11.597723579406738,3.362731018914893,20193223492129.59,16152307764749.512,0.014263230758765367,0.0034282704204389924,0.0009116896307347338,5.9347692366895824e-05,0.010763469607628542,0.008804881572841785,0.010657810561106961,0.008725560591066609,0.00025475140530273246,0.0003774163234994594,0.095878272294234,0.0033087834105403344,0.06495467222254236,0.0007703537098313574,0.006751475760106205,0.0005151340212789018,0.09933355288174214,0.00927266995829547,0.07812411552138432,0.008878371476197841,0.009564570426071527,0.0019211647271944303,0.3745136738289715,0.030557088458262743,0.09611130216889273,0.004410027307169931,0.014281554593925362,0.0008249319394603025,4038644698426.0254,3230461552949.8965,0.052822226246538345,0.004187362154668209,0.006352808363228111,0.0006447236503420485
Fixed Cut 70.0%,1366,1139,3187,69.99780364594773,N/A,N/A,10.695770740509033,2.6011752442444367,10.695770740509033,2.6011752442444367,44071567931252.58,22520985586585.66,0.0376189913244399,0.004465052558790549,0.007839827517420078,0.0003126411691533303,0.011115600591420608,0.0041855226171196094,0.011009604970664916,0.004152896645842467,0.00020782751993330583,0.00016042474806698118,0.09464152829336497,0.001828509101905338,0.06506426441286572,0.0010421448926029315,0.006630454683191391,0.0002778110712534725,0.0963976548678625,0.004515715456744219,0.07630912696735492,0.0044492795502156434,0.009188123904960951,0.0009441480829358445,0.3712094769290527,0.0368842914755062,0.0956148191413308,0.005307364350323021,0.014176335376659414,0.0009984835052766795,8814313586250.61,4504197117317.126,0.05712336136333131,0.002066538932405612,0.0076085138004330305,0.0005032682065032774
