Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4396,1099,N/A,N/A,N/A,266.7896330356598,11.236907958984375,278.02654099464417,1.4189142358978513,0.06518108570915308,0.011943819369683523,0.0038994116267740825,0.003865829954783777,2.1814217056749563e-05,0.08652130942233849,0.061408970299311194,0.006329311335998206,0.20950299588667246,0.13690147773739386,0.02766288363513688,0.4721058293356395,0.0777328817052765,0.009969291062413397,0.4381887564338552,0.06901804908118374,0.01118542392405775
Fixed Cut 5.0%,4177,1099,219,4.981801637852593,N/A,217.2458028793335,22.16692590713501,239.4127287864685,1.4030949459635527,0.06429880121145908,0.01190004533665816,0.017274351689273545,0.01745776862063202,0.00034732767350063225,0.08087261647567073,0.0576486144058117,0.005605258264705409,0.20442180124334888,0.13212938538386745,0.02575368806541315,0.5236987289045694,0.07427116150744541,0.008122672238138142,0.44587248885528313,0.06916114622584318,0.01034579831568309
Fixed Cut 10.0%,3957,1099,439,9.986351228389445,N/A,214.70768785476685,6.885485887527466,221.5931737422943,1.4439982507456317,0.05986198436416844,0.011669627602927734,0.020265892755077706,0.019361985032485,0.0007357711977315656,0.0842950407713361,0.060363989362233986,0.006252542034110578,0.20062729992964962,0.13615514907434573,0.02838533316730597,0.44512005303180574,0.06590301222430864,0.007030662210699234,0.4388613074467,0.0683292240115084,0.010814787242555003
Fixed Cut 15.0%,3737,1099,659,14.990900818926297,N/A,216.56000018119812,13.85472297668457,230.4147231578827,1.3338840652427484,0.06836433219023591,0.011973337122091868,0.009325667878502988,0.009258798827484677,0.00011747760199526412,0.09400892415264245,0.06475316027185522,0.006825038841356016,0.19779795450019824,0.13164788499298943,0.025697570689368884,0.4704647043385147,0.07339321571921847,0.008693855484145236,0.42109626322252114,0.06948347840035682,0.010661455947791425
Fixed Cut 20.0%,3517,1099,879,19.995450409463146,N/A,213.40208673477173,4.829317808151245,218.23140454292297,1.3732580480670846,0.07026340015625557,0.01233379143582741,0.030124971265927426,0.02826193111155789,0.00160316852377575,0.08275958342534315,0.0593777835334383,0.006106739133352817,0.20835172340541294,0.13775901104157998,0.027799535814815,0.46567815976347665,0.08061124784452962,0.011018797678876861,0.4320344971854488,0.0752546747374723,0.011772406517329564
Fixed Cut 25.0%,3297,1099,1099,25.0,N/A,210.4414460659027,13.794039011001587,224.2354850769043,1.697973240740346,0.05813945870919553,0.01213961676848599,0.007699361039636213,0.007580954240875631,9.131028276770009e-05,0.08540920141282389,0.059839138352778,0.005902854065703517,0.19162795501740434,0.1302959411588364,0.025779452501595822,0.4486319050696794,0.07518219975605962,0.009570659011524998,0.48626833265597763,0.06620753844354907,0.010696778526015596
Fixed Cut 30.0%,3078,1099,1318,29.981801637852595,N/A,197.88330388069153,9.275314092636108,207.15861797332764,1.2719456334812376,0.07309010847848069,0.012270182414926901,0.019412707197166326,0.018677916563186937,0.0005636963870670464,0.08142548293292326,0.05886362760924168,0.005999969554922067,0.1997867649471803,0.1343195469601873,0.026949216107095903,0.49381817331612876,0.07533588553302001,0.008893468505884876,0.4132777523749274,0.07205741702882336,0.01093530659397935
Fixed Cut 35.0%,2858,1099,1538,34.986351228389445,N/A,176.0734519958496,22.073997735977173,198.14744973182678,2.1642487982061356,0.05689169532429943,0.016102736859023636,0.0043513389876797095,0.00433643904111466,2.5686538643838477e-05,0.08164860169751309,0.05957889420142674,0.0059873129500173155,0.21721897354454814,0.14029470089464294,0.028599084226665756,0.4933271087205396,0.07154235135291087,0.007816263406130482,0.5921589642312832,0.0665288161628789,0.0117062167960962
Fixed Cut 40.0%,2638,1099,1758,39.99090081892629,N/A,200.49998307228088,9.103359937667847,209.60334300994873,1.2802937664608076,0.082250413254213,0.015880876095597626,0.01522021646344946,0.01492612714023956,0.00032770930875104885,0.08255265787743013,0.05918756768235349,0.006026849206178908,0.19183021113768248,0.13919010293898984,0.030510502177651146,0.5562486661556492,0.07274880117207717,0.00734889652635383,0.4252291036190039,0.07366060243757463,0.012018966662906503
Fixed Cut 45.0%,2418,1099,1978,44.99545040946315,N/A,165.48444080352783,12.221171140670776,177.7056119441986,2.2471068040202327,0.054405649591305935,0.016035847455197507,0.008652784438346661,0.008663425325124815,9.426136995852806e-05,0.08388995728234866,0.06254189950578921,0.0065402717412146715,0.21848827322030728,0.14046984920722502,0.028788906228823463,0.7507534249257684,0.08134909364769934,0.008028024775727777,0.6617782487774014,0.06948598345542882,0.011897462314184391
