Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4396,1099,N/A,N/A,N/A,29.298306941986084,29.298306941986084,59871405102422.59,0.04988616682032621,0.011655504739990248,0.004093875129902396,0.0040637621110553,2.9203344939852423e-05,0.07791497866637219,0.055039572586102085,0.005083962832621212,0.23194126149479033,0.11851245196152828,0.021181772557793327,195179422884530.28,0.06999217142909732,0.007705652102881409,51010165597390.586,0.059498824981621866,0.009131219115645203
Fixed Cut 5.0%,4177,1099,219,4.981801637852593,N/A,11.474443912506104,11.474443912506104,112422838546869.06,0.061898656323739434,0.011578893719659315,0.018698572139378044,0.01855835839112734,0.0005775337532499673,0.084880123721338,0.05818339279262302,0.00571593800929547,0.2248325179768009,0.12182316965675198,0.021824462558782363,195636720659414.84,0.06840319252881687,0.0075407042639454355,61611911841256.77,0.06577335393861175,0.009447506460986504
Fixed Cut 10.0%,3957,1099,439,9.986351228389445,N/A,11.018342018127441,11.018342018127441,89420742519168.17,0.056658178684832416,0.01160157343026632,0.017559109746589526,0.017390668948852276,0.0003910419474204495,0.08241497331218352,0.05869276534440758,0.005677327914697146,0.2220464028325806,0.12210671847107371,0.02194601162699016,163341044858700.1,0.0699644468050627,0.006806309968337549,50552357475573.65,0.06496255565084581,0.009284452977542322
Fixed Cut 15.0%,3737,1099,659,14.990900818926297,N/A,12.870630979537964,12.870630979537964,14281962638325.293,0.04150662676471771,0.012689496916746238,0.007001348911102306,0.006938267921152343,6.446001490619628e-05,0.07929003371568456,0.0569050398341516,0.005408621336617484,0.21983987639386163,0.1203917182393734,0.021280727928568225,195127060763209.28,0.07195267051731542,0.007972298274588587,41881804680306.94,0.05953886465534214,0.009483120894285341
Fixed Cut 20.0%,3517,1099,879,19.995450409463146,N/A,21.594737768173218,21.594737768173218,96002944753335.73,0.057993682996086024,0.011409435732659375,0.009027528236649882,0.008958220338371903,9.53992926400472e-05,0.08104793992057668,0.05617210644020984,0.0052784602787759385,0.22409798190010058,0.11932843019992417,0.02101966119424741,196661540766836.4,0.0702143756256526,0.0077730202377866466,58532897104034.42,0.06253336312004894,0.009115195347221865
Fixed Cut 25.0%,3297,1099,1099,25.0,N/A,15.446630001068115,15.446630001068115,96250981933927.9,0.058089621908544324,0.011521233128880674,0.005703524135755137,0.005653612400479925,4.6000833123538195e-05,0.08319419072109023,0.05715282776656914,0.0054770855849152695,0.2319628212858022,0.11794560779633469,0.02110538365802712,189414897695507.84,0.07065648581074946,0.007599543374212265,57133175925887.14,0.061899631136535536,0.009149849315831775
Fixed Cut 30.0%,3078,1099,1318,29.981801637852595,N/A,17.855053186416626,17.855053186416626,132286425033208.83,0.0664728942908152,0.011647052419386199,0.00478532035570664,0.0047514849599503625,3.6339009780001304e-05,0.08595955381662827,0.05831441853805289,0.005653814064868077,0.2257055989582513,0.11948172204760382,0.02112828200081662,173835319848915.12,0.06649563180547903,0.006614150608655013,61224348976424.79,0.0631032303283803,0.009015927620701185
Fixed Cut 35.0%,2858,1099,1538,34.986351228389445,N/A,12.13112497329712,12.13112497329712,95984156322476.11,0.06333639301167604,0.015309007253602566,0.010280195899551113,0.010204310223661554,0.00015171573305955012,0.07755445096025125,0.05485631106445412,0.005042509107712956,0.22564481063323258,0.11928226903076677,0.021479355937722048,145805379534248.0,0.06701080919830209,0.0060355758804640945,48357907171344.805,0.06293801850577214,0.009603632782512252
Fixed Cut 40.0%,2638,1099,1758,39.99090081892629,N/A,18.002437114715576,18.002437114715576,82038250842315.81,0.06039602265226692,0.015471168773872949,0.0061534227321874135,0.006096192598693186,4.7295705089130765e-05,0.07993330786971996,0.057698158525868716,0.005434643145384129,0.23615930077216538,0.12319983028933588,0.022932889892008652,147727945519989.38,0.06796044548869305,0.006208335601892921,45953239272461.02,0.06307012991097158,0.01001886662364956
Fixed Cut 45.0%,2418,1099,1978,44.99545040946315,N/A,9.892664670944214,9.892664670944214,85762363761571.58,0.06107724431650536,0.015323708671512564,0.0073215210717096435,0.00726843439075298,8.868588786457739e-05,0.0824730150860883,0.05680904512688475,0.005402351941962825,0.2293119066604056,0.12485586166509047,0.02324172629569499,129735983246114.9,0.07175377759506014,0.006458418076372644,43099669401537.27,0.06435287261885876,0.010102978174681513
