Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,4396,1099,N/A,N/A,N/A,N/A,29.24204273223877,3.639614407567763,29.24204273223877,3.639614407567763,81108359456323.9,61154851011344.164,0.05530308760622061,0.013624038056838662,0.011972232068633772,0.0004978493504698069,0.003598017583154762,0.0005341677226537586,0.0035691613672407564,0.0005301071692633234,2.0751573929856343e-05,6.2044736026208025e-06,0.07870081746286273,0.00242399743654313,0.055306300641631445,0.0009383671980938166,0.005085273524495078,0.00020068349899003026,0.23220894128096659,0.002481190748587587,0.11788125952099819,0.00108372379666431,0.02104357920475988,0.00018858556031816061,186200670209248.44,10840761955658.621,0.06946402824041155,0.0011668404721673635,0.007361978429827891,0.0003575672250790312,53461805933114.47,11564447867381.586,0.06030476747530053,0.00250425728943682,0.009096762960329291,0.00015251192899805617
Fixed Cut 5.0%,4177,1099,219,4.981801637852593,N/A,N/A,17.878916883468627,5.496495506892123,17.878916883468627,5.496495506892123,76103076034821.0,28339979197189.242,0.05379561670542984,0.006247794330044736,0.011767123857698285,0.00018579508052976086,0.008339154858666207,0.006530211748656249,0.008272370309247212,0.006482979444836149,0.0001661442075495557,0.0002395220531080873,0.08070380800713205,0.00359957924688678,0.056974828114948944,0.0015751754668853473,0.005401927516612466,0.00032863000811505545,0.22458693186534395,0.002861927035174417,0.11783657633554581,0.0023481195327642256,0.020651528048318595,0.0007023552058657843,194761967814276.53,9857689284382.783,0.07015209186433209,0.0012514842451807,0.007721685235292146,0.00041459795206143495,54173008769819.51,6139043084989.738,0.0614062966659008,0.002952267636041786,0.009141681773094204,0.00021276844400701822
Fixed Cut 10.0%,3957,1099,439,9.986351228389445,N/A,N/A,15.500059795379638,4.058644839407012,15.500059795379638,4.058644839407012,119629921822444.5,60683666791104.92,0.06377425150841894,0.014622785353952875,0.011885111945958865,0.0008838967819406093,0.00963349763462679,0.005545207207006313,0.009551854917405508,0.0054899685977043595,0.00016661882531158136,0.00015509832955266448,0.0784400490214498,0.002788435414277526,0.05519054396598168,0.0022761393095296445,0.005102926683022567,0.00037547188235227376,0.23245969919952383,0.009517387212345619,0.1201435753203122,0.0032036752563034676,0.021799459511084827,0.0011970684062636355,185051022919624.62,14759961296085.281,0.0713847781762404,0.0021400357400715993,0.007592359769532271,0.0006504458100911869,60936188948413.82,14071729296345.102,0.06400900077767178,0.004317845002873459,0.009309295346982016,0.0004854998982840503
Fixed Cut 15.0%,3737,1099,659,14.990900818926297,N/A,N/A,17.03576765060425,2.5074072509292713,17.03576765060425,2.5074072509292713,98024256064358.48,64412970229810.0,0.05921091988019443,0.01413316235228511,0.011950410569646413,0.0004442283937812747,0.005242934825741833,0.0012959884755322836,0.005198812838396958,0.0012852411041478337,4.214025931856409e-05,1.9085594669643082e-05,0.07913458824412968,0.0013989200944068345,0.055934121494729434,0.0009537874409918596,0.005229549322947372,0.0001810253277168587,0.22788271323716094,0.0067635553537726285,0.11917912206133813,0.0012367675082074997,0.021216907376178894,0.0005099678912779873,194724314241349.72,14650966825409.84,0.07225063587150433,0.0009991913567106976,0.008006744643410316,0.0005148118468671489,58549714061141.64,11708960688794.928,0.0623547224292327,0.0025108999917077537,0.009289150434300304,0.0001443687213739537
Fixed Cut 20.0%,3517,1099,879,19.995450409463146,N/A,N/A,21.57085452079773,5.677526467727921,21.57085452079773,5.677526467727921,82343025900273.22,16313997036511.807,0.055057887129140934,0.003575889380817077,0.011616246403293255,0.00016465400178854403,0.004963101297868057,0.002525122480777101,0.004922041064418497,0.0025067917274757914,3.8788851687137376e-05,3.403496352030819e-05,0.07903903074582577,0.001614497409704144,0.05537660217342767,0.000638658445408093,0.005120318036011245,0.00012341551971102753,0.22669150595627763,0.0029024705514557343,0.11996278567849815,0.0027475896673575823,0.021328832076968778,0.0007844986659995265,197487236577623.72,4676295251501.255,0.07113352799673463,0.0009072234456384461,0.007925233887012004,0.00024247854073325607,55966052495579.39,2821689233494.1924,0.06129056880844402,0.0015567392217741424,0.009205883850994478,0.00016243921134908386
Fixed Cut 25.0%,3297,1099,1099,25.0,N/A,N/A,14.849319124221802,1.659139721749872,14.849319124221802,1.659139721749872,91194293753282.98,39502567385425.57,0.05730591553307813,0.00862251475459469,0.011781507365286936,0.0003239243176088905,0.0057654923371481225,0.0006654229136918937,0.005722131172175342,0.0006608707617960131,5.2628311058072554e-05,1.0029591724372112e-05,0.07942420319404837,0.0024175299158756534,0.055422197998747036,0.0012056639440386923,0.005138476686300394,0.0002109616770738253,0.22840577271877133,0.004570234078789723,0.11953405718091008,0.0021752163769405784,0.02131445889461871,0.0005245375529288476,186231467112215.6,7431937784330.146,0.06990483630472966,0.00087338978202471,0.007414251179746217,0.00022161551823589377,55485152173099.71,8843072691398.086,0.06157782763792809,0.0011451328001546282,0.009140264487402065,0.00016667006478895543
Fixed Cut 30.0%,3078,1099,1318,29.981801637852595,N/A,N/A,15.771908330917359,4.60582824342191,15.771908330917359,4.60582824342191,104528152148493.45,48019334237386.945,0.06034870944256095,0.010969710339987147,0.011828009456757441,0.0003270592708110799,0.009136409866139237,0.009074045752693306,0.009062822326811758,0.00900078985055497,0.00018089300101846345,0.00030553136908526354,0.08120963117625192,0.002872083385660774,0.05643735653632281,0.0011045674762232105,0.005326085001147809,0.0001942463511657718,0.2254679071445584,0.0037079597006876488,0.12014334374428419,0.002970138422078636,0.021429341272899253,0.0008566612355049962,182996402846051.72,12300375902059.35,0.06853285026389733,0.0012546233636714994,0.0071512821296742385,0.0004834247194875467,57504910998909.03,9786304200257.414,0.06290501646277545,0.0042762087250153525,0.009183122172299437,0.000321552115838125
Fixed Cut 35.0%,2858,1099,1538,34.986351228389445,N/A,N/A,15.424641036987305,3.522362926111026,15.424641036987305,3.522362926111026,79302288408721.34,39420376954722.54,0.059788630169791655,0.008512570365049791,0.015426565534217042,0.00041336535271432857,0.007645635459046912,0.004741961453775215,0.007587919148182669,0.00470419987217786,9.658134170706087e-05,8.987559924733298e-05,0.07881781361920312,0.0015677382082287252,0.05539356367675001,0.0008689347456230789,0.005133532569849967,0.00014924038270516685,0.22307704138783854,0.0033896646057048497,0.12282939373607604,0.0027133997577250407,0.022329970666825273,0.0006948315857209038,161490207696750.62,14304261440697.316,0.06812765488126239,0.0011777095958482075,0.0065370005814359465,0.000399042776163937,48158499221094.38,8947540205677.387,0.06274543232241259,0.0015597209010831598,0.009904730138807055,0.00020038029246256448
Fixed Cut 40.0%,2638,1099,1758,39.99090081892629,N/A,N/A,12.159579086303712,4.2745771110250494,12.159579086303712,4.2745771110250494,101531434963158.58,37355475880256.02,0.06501705039021774,0.00811377833032247,0.01548592157885039,0.0007336687623800709,0.010420302391663638,0.008560446986522663,0.010339477845974162,0.008504401542581683,0.0002607482938812606,0.0004399031459765119,0.0869177329741938,0.00768429183165279,0.059621033613725734,0.004222432053689497,0.005925303051558875,0.0007964384631585717,0.22581135111454695,0.007064885073649386,0.12255545753169782,0.001782275438628241,0.02233359509997484,0.0006817332016045314,157974477113720.75,17086801489341.355,0.06909304400669977,0.0034007770494635164,0.006633344267255329,0.0003265694727387999,51901182415375.85,10494144237314.346,0.06532521267766306,0.00287155507097217,0.010127782458304141,0.0005044215193205905
Fixed Cut 45.0%,2418,1099,1978,44.99545040946315,N/A,N/A,11.551948738098144,3.7109862634723467,11.551948738098144,3.7109862634723467,99935287289291.94,38265643755676.95,0.06437267686207437,0.00874639064703655,0.015305470993465995,8.871948321965272e-05,0.008421325805636476,0.0029842631055148183,0.008349676175407059,0.0029518180533716154,0.00010876229272497019,7.27421995520498e-05,0.0822351963035176,0.003541030902995994,0.05694660634222381,0.0015824377648128592,0.0054308491261208895,0.0003175307607689541,0.22625806249559088,0.003138248679533498,0.12345059651865971,0.002288970089834108,0.022693460014715595,0.0006121367380746098,139848302882471.1,10157103577378.273,0.0696095708058064,0.0018473336287528365,0.00631312239896048,0.0001422968159323185,47956718034352.59,8693137737942.718,0.06454582534083429,0.001545498713735764,0.009970332965197583,0.00018083187315109036
