Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,253.28631901741028,31.131527185440063,284.41784620285034,1.5698836955692614,0.033406714820899276,0.004886163097779992,0.0074710425826765535,0.007331520011787306,7.062428466797534e-05,0.09352535379369731,0.06833360555145084,0.007631659519853485,0.1312332240596401,0.09042307917919264,0.013276075150809937,0.38036754020174185,0.15756563483553238,0.037425913399278754,0.4364961712414037,0.07141211087977249,0.012658087090478044
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,251.5491006374359,4.279649972915649,255.82875061035156,1.418686347104685,0.03844862124448867,0.005024780765826724,0.029123025994196694,0.02763120730817406,0.0012595153654160513,0.08447461657313045,0.059394851394863106,0.0057037506428113125,0.1427725121489311,0.09746983721544408,0.015451168339155354,0.38046535364330136,0.15186043584854414,0.03464040493670099,0.4111043710928488,0.0749609906023028,0.012415924009982099
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,232.30928993225098,12.833549976348877,245.14283990859985,1.2134922115545839,0.043721097020294704,0.0050584122810269595,0.007146987823049727,0.007025058785555142,8.592657764862313e-05,0.09206744800017369,0.0641687293991147,0.006522937430492306,0.13170242613488617,0.09135485563386371,0.013405206031986713,0.3805117257216959,0.1528462910978344,0.03524527771374218,0.36498415984687776,0.07182320638733251,0.012063552006979356
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,230.3069770336151,17.590954065322876,247.897931098938,7.631870982578022,0.025001855566616972,0.005241352734578954,0.009049380421829244,0.0088786385176306,0.00012999479995578087,0.09061862454523424,0.06393693639506065,0.006538044219875784,0.13243563756547827,0.09195446504993746,0.013784537813435992,0.38026849204274504,0.15423332629599934,0.03575035674846538,1.6488486234306605,0.06880104436504897,0.012288857263262381
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,231.12651801109314,4.597578048706055,235.7240960597992,1.8330188117549346,0.035004091212440164,0.004873338556006687,0.0233145405248387,0.02242178693592053,0.000831508271672616,0.09205990594819913,0.0651082377367967,0.006843665017052878,0.13076712480993083,0.09096240171537527,0.013418998788909535,0.38305472076937375,0.15622034524069148,0.036737369621360746,0.49244302076145485,0.07394337256824479,0.012540976051000501
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,218.1160867214203,23.07493782043457,241.19102454185486,1.833909150791391,0.031427498507951755,0.00496916193277637,0.011285045762271987,0.011303259212453025,0.00014221323119530935,0.08992613100584256,0.06370361874214499,0.006542250536194507,0.13163514899487322,0.09226429504114399,0.01381452109997535,0.38032141644563117,0.15831341625498963,0.03777581036029456,0.48941537860000217,0.07140241755173664,0.012648791432087223
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,188.1067271232605,4.806730031967163,192.91345715522766,1.856818472136021,0.041216108981141274,0.005411326331599385,0.03578579656861375,0.03351040795515216,0.0018292752134631196,0.09043668288786963,0.0641872531412715,0.006618075841276667,0.12559766649554566,0.08848374186328051,0.01293807060438733,0.38294973243512437,0.15544675319881887,0.03631929682322318,0.498317670104635,0.07656885302793288,0.012623208962789933
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,179.0467917919159,4.931267023086548,183.97805881500244,6.565607361506347,0.026626236089949577,0.005435971667132209,0.013655176256608585,0.013309976989888554,0.00031076320981525006,0.08959325443641292,0.06378185125576495,0.00660117001110419,0.13557698934431195,0.09505464676430059,0.014697713303695651,0.383502601872336,0.15951149101274237,0.03827471297067482,1.4375870766832026,0.0716568404225292,0.013064066232484425
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,193.9546298980713,11.665705919265747,205.62033581733704,1.359104929955807,0.03814077412892402,0.004898655093311925,0.005153668832552044,0.0050739721005418,4.28692052319442e-05,0.08964206191678098,0.06408250986074526,0.006640989218983164,0.13030350510022032,0.09142341653953548,0.013580623118762018,0.37762115600220425,0.15822675289623273,0.03770081161608252,0.3923650643615127,0.07138948510519585,0.01257278965047432
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,173.79755282402039,8.267491102218628,182.065043926239,2.2064961447236375,0.03082856406263786,0.005040116124982662,0.012014477571543057,0.012072059508585285,0.00019589877225500461,0.09049342021432219,0.06485856612276542,0.0068535509035216585,0.1315323390047137,0.09418658542914739,0.014412574583389926,0.38097518262498803,0.15495839923142102,0.03589121644218576,0.5643023128278408,0.07138083487091137,0.01247867136526701
Fixed Cut 50.0%,2129,1065,2128,49.98825463941743,N/A,166.94244408607483,9.639392852783203,176.58183693885803,1.7560440299840565,0.032544933936841575,0.004961868987838823,0.02489202547225561,0.02528816635610433,0.0006697557043565517,0.09219340095771826,0.06723188847990243,0.007400107873347175,0.13032188458069704,0.0927237491668382,0.013926782868760871,0.380211339944804,0.15790114717348763,0.037524681458559014,0.47673253618790656,0.07513797702263485,0.01289663937857249
Fixed Cut 55.0%,1916,1065,2341,54.99177824759221,N/A,149.31532907485962,5.58787202835083,154.90320110321045,1.5100250497945011,0.03702381036536903,0.004980678622906586,0.029358379023569758,0.02786238428798484,0.001288078395323446,0.09459917456769469,0.06713304717332017,0.007415778616074886,0.12866175328112286,0.08976409820833896,0.013110712119859699,0.3797921295924957,0.16420682116179836,0.04059419700940514,0.4284872972518768,0.07719803223936225,0.013477888952713952
