Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,21.057371139526367,21.057371139526367,69675700996495.91,0.03582590419196656,0.0047893422239563615,0.005738587417512166,0.005687450074405257,4.51056337101443e-05,0.0911150738629868,0.06000115344042976,0.005816553057742189,0.13981646392756236,0.08463755464423807,0.011837394903367772,2.5507306830816914,0.1504286333896342,0.033983632744011165,13935140199299.709,0.06731613914813475,0.011294405712557519
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,23.65071201324463,23.65071201324463,69024524596695.805,0.03537004436011302,0.004583353788113775,0.007365472022607744,0.007299182693792738,6.768516410855568e-05,0.09226373802630446,0.0603724497138133,0.0058930875045887865,0.1349285427694462,0.08401884094144665,0.011598860284420101,2.4085318220547185,0.1441985718548437,0.03122172260177418,13804904919339.66,0.06625181791280185,0.010672941868601082
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,33.06988191604614,33.06988191604614,59868182724640.195,0.0336033959444518,0.004668537178494199,0.0023764756127836757,0.002352199571254995,9.399118582075765e-06,0.09028286023548893,0.05887959281181118,0.00560624046885142,0.13349654319869894,0.08274248783039767,0.011165543208949446,2.4628374331753653,0.14676486058925092,0.03232058658043863,11973636544928.545,0.06486850734943328,0.010754061311063146
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,19.24496102333069,19.24496102333069,55778213822589.07,0.03277636971328812,0.004638732093077603,0.006982997937053696,0.006907016758165384,6.464724784249397e-05,0.09247548868847551,0.060833495725437677,0.005994634833683159,0.13383366960588808,0.08769838621112379,0.0123987918279764,2.496132733929265,0.14790466203862299,0.03283426051346015,11155642764518.334,0.06722398608932759,0.011186213303207963
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,20.335284948349,20.335284948349,75793166281305.48,0.03694419375409712,0.0047052483862991355,0.009061203338387969,0.008978291521401354,9.498072816932383e-05,0.09650641178577092,0.06219666931886114,0.00637579565773923,0.13415672212581448,0.08598476099480233,0.012020909098370763,2.5263085467005313,0.14984387936018803,0.03369887245764711,15158633256261.625,0.06878955898986998,0.01137916126564512
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,14.170655965805054,14.170655965805054,51168454891354.49,0.032074101683825185,0.004794550440591623,0.006010133698824889,0.005955146159829296,5.6822000294066826e-05,0.09155871977820187,0.0599158619265396,0.005830302676547318,0.13662531585991533,0.08608812902139239,0.012069044717455466,2.424851994063201,0.14510754522746433,0.0315858042736568,10233690978271.402,0.06582815680381016,0.010867304821709056
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,12.062036991119385,12.062036991119385,49963849498098.6,0.03153554786853222,0.004719120347426116,0.008243576465361049,0.008154338991054505,9.32458729352358e-05,0.08924179588092372,0.05951073616713786,0.0056839143368222,0.1331864188585748,0.08628775053868999,0.01203921644105533,2.537988165322597,0.1553041430255141,0.0362024958081939,9992769899620.244,0.06815850331818574,0.011747598561286546
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,13.281896114349365,13.281896114349365,48429764359918.14,0.031371733674719876,0.004776629862712668,0.006746858855333201,0.006686985963634965,7.102489276234078e-05,0.09070920676296551,0.05982160522298299,0.005779970473161068,0.13278535305428604,0.08583914062680549,0.011954932294399907,2.407363808021938,0.14932125588420345,0.03347047400401392,9685952871984.125,0.06660814427446934,0.011210606305409996
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,28.23891568183899,28.23891568183899,94116616284452.02,0.0409290549468074,0.0047985867333202375,0.002834141302569017,0.0028049002860569255,1.2426301603238607e-05,0.09038271513590031,0.059351096468217554,0.005678578120032311,0.13798589610766754,0.0863883020209122,0.012212836113154693,2.4059743333074923,0.14935142076345762,0.03348741487343749,18823323256890.9,0.06776495489709035,0.011237968428309587
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,20.44438409805298,20.44438409805298,70637319718661.72,0.03590788781536778,0.004718596808487257,0.00308638382960782,0.0030542061967503854,1.4253620620930761e-05,0.1022914083932953,0.06531884490454609,0.006971422678192037,0.13298955348405564,0.08668081457316609,0.012156321521847627,2.5528913874823633,0.15593615156403723,0.036572782682748765,14127463943732.865,0.0693795810107735,0.012086675462379315
