Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg PrA_MAPE,Std PrA_MAPE,Avg PrA_MAE,Std PrA_MAE,Avg PrA_MSE,Std PrA_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg VV_MAPE,Std VV_MAPE,Avg VV_MAE,Std VV_MAE,Avg VV_MSE,Std VV_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,4257,1065,N/A,N/A,N/A,N/A,20.706290245056152,2.711210105869373,20.706290245056152,2.711210105869373,72668060663158.94,8635563406527.059,0.03631197360317524,0.0017886154643492677,0.0046999495174020745,5.5937789999282364e-05,0.004000599323861728,0.001182121778037908,0.003962565747733547,0.0011731717676907469,2.596003307243665e-05,1.4120188770982622e-05,0.09252305228777806,0.005838276534745911,0.06073408301674412,0.0024653761128383706,0.005980388565857403,0.0005606017200615542,0.13680691799102812,0.002294078832350517,0.08416192246148341,0.0005239637704885756,0.011601861417056705,0.00018524512996909886,2.4852547593887913,0.09697596435658648,0.14780778192676494,0.00403714183754266,0.03281884800571283,0.0017948682715192743,14533612132632.303,1727112681305.4097,0.06659566535118024,0.001035666077674007,0.011025401507820288,0.0004027782901162995
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,N/A,23.716215419769288,10.133456137406604,23.716215419769288,10.133456137406604,68445992598258.72,8434842542702.018,0.03542796568089166,0.0017408587640329093,0.004723409041844192,9.067280413297722e-05,0.010112009900108885,0.008192926337886314,0.010013776767031269,0.008114738609220769,0.00021260524870930355,0.00027594599257759953,0.09238554366902228,0.0022601228985914264,0.06034123962287674,0.0011183914333508496,0.005923607257525681,0.0002691673531750614,0.1374670462654409,0.0048953762302347105,0.08611392479205783,0.0019842764840006465,0.012088014741939566,0.0005572059492993234,2.3892346678068237,0.03529014529373395,0.1435973131960843,0.0014237720281529446,0.03094320879880135,0.0006058304804185734,13689198519652.242,1686968508540.3965,0.06709884401178834,0.002131696457319278,0.010778169017764018,0.0002862427179851287
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,N/A,23.028500938415526,7.788993887806182,23.028500938415526,7.788993887806182,58273784910220.02,17907905796370.35,0.03339655122014307,0.0037898384136690433,0.004727563715184107,7.970656962312327e-05,0.004573410877344018,0.0035042106320004153,0.004529351147086757,0.0034735641009641417,4.932911174601384e-05,7.721755461536306e-05,0.09254918726169556,0.002438172370181239,0.06037023895323183,0.0014195522471065001,0.005923423805275757,0.0003007315418655389,0.13415066138055487,0.0030316309736539006,0.08419061102879988,0.0014770923285658752,0.011594188963679135,0.00044468595142874124,2.457614786671238,0.09120340922882728,0.14654965408770562,0.003666949053198366,0.03226626776369531,0.0015843407284894398,11654756982044.516,3581581159274.0786,0.06580728128739341,0.0020684082404261095,0.010912154671916065,0.00037024104956740334
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,N/A,23.616342115402222,7.264002244790225,23.616342115402222,7.264002244790225,58005805084476.47,19862320721822.812,0.03339693133772511,0.0039002419262774393,0.004728522905683647,8.20211066589129e-05,0.005184425636337502,0.0012770415590843806,0.0051320052286306095,0.0012636715775143886,4.187032455366824e-05,1.7401544717128135e-05,0.09046634647861142,0.0021720351383812298,0.05970516751567302,0.0010150730148346585,0.005756699197820939,0.00021628275220208663,0.1347445336639465,0.0017790686129943972,0.08611751344673703,0.0013207402246401562,0.012044352343790886,0.000320532048649543,2.438065782420692,0.11446830175514931,0.1456655454679282,0.004881851766549352,0.03190413463759481,0.0021458663281160298,11601161016895.8,3972464144364.5635,0.06600343259933877,0.0016352900054081919,0.01089511588188879,0.0004974392034674961
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,N/A,27.976822805404662,9.349134371973953,27.976822805404662,9.349134371973953,63195133357500.555,30334316375536.48,0.034490380898321085,0.00612613520252288,0.0047548331747096755,8.651037694357897e-05,0.0056106275922640685,0.0021479522204509794,0.005556871354332112,0.002130554716310401,4.6466255289182926e-05,3.0692928137050184e-05,0.09179814850290714,0.0040294851869999,0.060083667357174915,0.001917366902820258,0.0058689845281914566,0.00041679714088519576,0.13434716305492528,0.003754479799894226,0.08529201240897373,0.0012665579482476175,0.01184141299540136,0.00039403366444162955,2.4918333680867173,0.05775625869281959,0.1481227537599246,0.002647239424118817,0.03295695472083099,0.0011837583375888438,12639026671500.629,6066863275107.279,0.06670913715574527,0.0015811664396874136,0.011093730334884538,0.00026046383245383644
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,N/A,15.862055444717408,3.840829385044004,15.862055444717408,3.840829385044004,60667801243765.336,22550543085133.312,0.033918587924512904,0.00462218010404201,0.004754591304367886,4.781844908320326e-05,0.007069850851501907,0.0020966175476204822,0.007000829989152636,0.0020746925684543643,7.267217224093953e-05,3.739870788567727e-05,0.0909196439978897,0.0019474639147889956,0.059820593631927495,0.0011780422241354986,0.005792906913604799,0.0002331056820707941,0.1351355426614015,0.0029272557557184792,0.0866923077620643,0.0007737155388738931,0.012172641329301917,0.00022954603514871875,2.451378504870938,0.07031374297083338,0.14628963291150884,0.0032005213284554282,0.03213550676273408,0.001402175073494572,12133560248753.576,4510108617026.672,0.06674439044383322,0.0014039298415958988,0.010985663696449925,0.00022198349479395698
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,N/A,17.69749221801758,3.989401737078319,17.69749221801758,3.989401737078319,52620435054583.805,24488334934975.176,0.03236621194167488,0.004716480672806113,0.004777364189033243,0.0001319008211806565,0.005579700894678704,0.00212360371261031,0.005527035111345703,0.002100213352995973,5.132634543854164e-05,3.121201307677778e-05,0.09078889053836946,0.0022376343965521666,0.05973365903213953,0.0010939284686496509,0.005776695669055676,0.00023730348652483286,0.13403935422043065,0.0020731060973319935,0.08586885266608268,0.0006010964704220588,0.01198366596313505,0.00012376824415106635,2.424505670572309,0.08972832987791032,0.15023732370229712,0.0038570491125292645,0.033901038167613314,0.0017390095427366509,10524087010917.268,4897666986995.035,0.06674661649070798,0.0016502111886003762,0.011298018066855164,0.0003529194913894225
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,N/A,14.660024166107178,2.144167734897962,14.660024166107178,2.144167734897962,67411810574650.125,26251198562971.133,0.0353260446276891,0.005586839502111007,0.00477065361501209,8.666969975962018e-05,0.007049231691988642,0.005433010181723082,0.006979142961158146,0.005370766698427451,8.998588418735879e-05,0.00011601951400814186,0.09249466412097328,0.0020087906128206504,0.06043021804454061,0.0009110941226923323,0.005926049203633918,0.00019971513755026758,0.13385340954885122,0.0014263763514850776,0.08681967099044102,0.0013843391366847155,0.012225408763262493,0.0003367493298272999,2.429724502255464,0.04652789087687863,0.15043978492616347,0.002004823237451955,0.033969402250658795,0.0009117933490064813,13482362114930.53,5250239712594.225,0.06799897230999846,0.0012511893505019417,0.01139629994335094,0.00021795215137660582
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,N/A,19.50742793083191,5.4844551932787216,19.50742793083191,5.4844551932787216,59150308993420.766,22594869382212.59,0.03380707416029227,0.004567017145953178,0.0048377331006024885,4.712323387892331e-05,0.005068506276978291,0.002219517007994841,0.005016709760645427,0.0021949801036834178,4.277847849686607e-05,3.197114871947153e-05,0.09456890109635545,0.004557130340938473,0.06143387770056792,0.002267440939416194,0.006149802513287331,0.0005063987807119768,0.13532837602153835,0.002756049782905637,0.08695891524982838,0.000990253418743024,0.012282031686478881,0.00024584593807634475,2.442641712163191,0.06212654193630337,0.15101993997998775,0.002926853169913101,0.03423789653043303,0.0013265648622189869,11830061798684.66,4518973876442.519,0.06764730337026434,0.0017053263796476296,0.01151004846185972,0.0003835244315518935
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,N/A,13.577100229263305,6.388188948842505,13.577100229263305,6.388188948842505,72966139750394.36,19710668745687.445,0.03655307346567461,0.00427855037037805,0.004844281085732247,0.00017215959610025026,0.011461598342778725,0.01253956309343441,0.011353055303363653,0.012421871650825169,0.00038693155582514364,0.0006923284750058078,0.09221620890275731,0.005784749809842657,0.06043686077035284,0.002777380110881195,0.005935066992601938,0.000587708912940072,0.13542647826065154,0.0016994251451248213,0.08729761274775742,0.000975978105159388,0.012385769630961833,0.000272413109917209,2.4935194787597594,0.10912944115067984,0.15347286248257921,0.0051121415069739495,0.03540335434510829,0.0023422292129211294,14593227950079.387,3942133749137.483,0.06982269295394554,0.003239088509259445,0.011791080722045889,0.0005425701341181221
