Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,3.599790096282959,3.599790096282959,0.17414593946735982,0.04216592820928004,0.0027421517395844744,0.9715626270252797,0.030324632926748554,0.0012741507709289506,0.5728542832463198,0.03624528056801429,0.0020081512552567113
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,3.304821014404297,3.304821014404297,0.15488223981655524,0.03801907563542427,0.0021940379025024476,0.669201581693652,0.022099053530750916,0.0009179200359544557,0.4120419107551036,0.03005906458308759,0.0015559789692284522
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,2.989453077316284,2.989453077316284,0.18179113908893144,0.04346369213303346,0.0029316152903777126,0.9550917395151709,0.029989976176754488,0.0012423091117145968,0.5684414393020509,0.03672683415489396,0.002086962201046154
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,3.8960132598876953,3.8960132598876953,0.21805572797349115,0.051905751132306326,0.003889724533481471,0.8684622062988008,0.027378908444612344,0.0011212359912578854,0.5432589671361461,0.03964232978845933,0.002505480262369678
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,2.869992256164551,2.869992256164551,0.17567015530135385,0.04169992140658778,0.002666784351677654,0.8227439029914747,0.02639073243600415,0.0010988743031447388,0.49920702914641424,0.03404532692129596,0.0018828293274111953
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,2.5407419204711914,2.5407419204711914,0.26525030022769097,0.06421163340779085,0.005446100903808228,1.0803559354268106,0.03371490202211864,0.0014759048580388506,0.6728031178272508,0.04896326771495475,0.003461002880923539
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,2.4573609828948975,2.4573609828948975,0.19175613291142413,0.04554074937483218,0.0030116778606232874,0.3541752117966341,0.015894311572503147,0.0008913205782960926,0.2729656723540292,0.03071753047366766,0.0019514992194596898
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,3.185755968093872,3.185755968093872,0.2312400963213348,0.05600495172791972,0.0041406330447430455,0.5985893052694661,0.020495279936737932,0.0008892599734619763,0.4149147007954006,0.03825011583232883,0.002514946509102513
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,2.9718151092529297,2.9718151092529297,0.3175611167006672,0.07776427426149396,0.007607752565483086,0.8982184376054517,0.028331785916924295,0.0011887503621531715,0.6078897771530596,0.05304803008920913,0.0043982514638181295
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,3.187623977661133,3.187623977661133,0.32557954990618915,0.0797662654219124,0.007967833121965527,1.0913180679084484,0.03387535993577197,0.001476156206357149,0.7084488089073191,0.0568208126788422,0.004721994664161337
