Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,497,125,N/A,N/A,N/A,N/A,3.462483549118042,0.2559271467726374,3.462483549118042,0.2559271467726374,0.16320092986467685,0.011480399553172033,0.03970523887438761,0.002315591084178615,0.0024151075647457403,0.00030413892441830934,0.8134095957337938,0.16207374951563272,0.026130369425267426,0.0043696254354834135,0.001111599824463297,0.00017693078104613941,0.48830526279923536,0.08426516889307507,0.032917804149827506,0.00294301541124791,0.0017633536946045185,0.00020777641781628505
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,N/A,3.211861753463745,0.6298746896397605,3.211861753463745,0.6298746896397605,0.16360339210737657,0.006980488802219248,0.039890522626917994,0.0012615097015509094,0.002430901817171214,0.00016734932660798882,0.8420506413712654,0.23906398733370118,0.02695117658344291,0.006508513432525428,0.0011593301319422495,0.00029506549880887106,0.5028270167393211,0.12113674643054591,0.03342084960518044,0.003663667652456738,0.0017951159745567317,0.00021034891212098046
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,N/A,3.2985548973083496,0.5621512319447716,3.2985548973083496,0.5621512319447716,0.1704412747872258,0.02230428211698693,0.041532071930822104,0.004349279965708762,0.0026126766152163167,0.0005498830664131395,0.7340268058176789,0.29849665489699767,0.024597562988380048,0.00702441056560547,0.0010969001360094288,0.00020336624471081142,0.4522340403024522,0.1504410151752154,0.033064817459601076,0.0039025235857377055,0.0018547883756128726,0.0002809320615617097
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,N/A,3.195059061050415,0.49969828571159997,3.195059061050415,0.49969828571159997,0.19993452335735498,0.04670444416099027,0.04768721104461901,0.011114177552938658,0.0034645007859449755,0.0014772982988994759,0.9139862691599605,0.46725936450692435,0.02922420436642612,0.013198064321675085,0.0014136240947532016,0.0009166894185750476,0.5569603962586577,0.22937751273304124,0.03845570770552256,0.007582654649674422,0.0024390624403490884,0.0007675250220810864
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,N/A,3.1859099864959717,0.78849768390988,3.1859099864959717,0.78849768390988,0.20762175151406534,0.042310573058222035,0.049453009270644645,0.010122873893530308,0.003707699287090593,0.00136587915609325,1.0223977717569244,0.35276479632006463,0.03204824631094881,0.009982432435014389,0.0014895327030174212,0.0006604863168184229,0.6150097616354948,0.16719279385095345,0.040750627790796724,0.0051542295233686685,0.002598615995054007,0.000640665637230013
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,N/A,3.1266971111297606,0.4798958285771277,3.1266971111297606,0.4798958285771277,0.24080046656745582,0.04114753522327479,0.057869701264106586,0.010300563064887445,0.004673207266420848,0.0015347063027959357,0.9979848094060967,0.08921490915676152,0.031435712379978005,0.002310934943738767,0.0013631146320134556,0.00010235497099309641,0.6193926379867762,0.05482225106671767,0.0446527068220423,0.005619149283482109,0.0030181609492171513,0.0007804270484255529
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,N/A,2.8016254901885986,0.2925632898040754,2.8016254901885986,0.2925632898040754,0.2470764834249085,0.06445665240570782,0.059506267707186734,0.01665324465954852,0.005039095833588889,0.0023639066757581823,0.8812461236975965,0.4971922098567004,0.028960139244872802,0.013539660999374143,0.0014254521801814973,0.0008232976227389903,0.5641613035612524,0.23970173212792156,0.04423320347602977,0.00855036411514514,0.003232274006885194,0.0010330643998357678
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,N/A,3.1242103099823,0.17865403725981963,3.1242103099823,0.17865403725981963,0.22342048635415332,0.05435839062099826,0.054237553129023994,0.013606872774279861,0.004039340979136355,0.0015940414224197789,0.7323485125920062,0.27139838314832804,0.024794343253930002,0.006455849286506635,0.0011293182662969593,0.00021931242814374918,0.4778844994730797,0.11367589940983211,0.039515948191477,0.004342345108264099,0.0025843296227166575,0.0007162308464854591
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,N/A,2.982791233062744,0.04036912631793466,2.982791233062744,0.04036912631793466,0.3040076926908237,0.054837317772926455,0.0750937465184656,0.014470277715825257,0.007051441546612043,0.00223372607936067,0.5346111985898447,0.2765991873649974,0.020511195213225957,0.005560858589032283,0.0010253596595468425,0.00010433828903040515,0.4193094456403343,0.15144582060051628,0.0478024708658458,0.008538465319099988,0.004038400603079443,0.0011172613683535758
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,N/A,3.085405778884888,0.09157348931256655,3.085405778884888,0.09157348931256655,0.33727674777946165,0.03541442824904621,0.08408487688118188,0.00915720464791929,0.008411707153901897,0.00171208409535348,0.858540959267091,0.28251267552217757,0.02762109816578165,0.007275575099874075,0.001216923011436368,0.00029182473618843296,0.5979088535232764,0.15279144594396818,0.05585298752348178,0.007286133947414788,0.004814315082669133,0.0009408876366949638
