Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,388.32875084877014,3.6279170513153076,391.95666790008545,0.12954658802782196,0.03651758117862675,0.0020680760295084004,0.41788591676230435,0.019110779517037414,0.0009294211770388667,0.27371625239506314,0.027814180347832083,0.0014987486032736331
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,360.9112079143524,2.8876149654388428,363.79882287979126,0.12775924484672696,0.0376503319070507,0.0021782860203919865,0.45615339911928793,0.02370046311802269,0.0010384590168283907,0.2919563219830076,0.030675397512536694,0.0016083725186101894
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,351.1753900051117,3.906147003173828,355.0815370082855,0.09862853542365378,0.02836030292147854,0.0012246047833666983,3.2667434458373052,0.02421169924469338,0.001589790754691157,1.6826859906304796,0.02628600108308595,0.001407197769028928
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,349.6140937805176,3.4583117961883545,353.07240557670593,0.15161658300090333,0.041656454321650875,0.0023903645573391512,0.468978674230928,0.017031683354933796,0.0010505886951987621,0.31029762861591587,0.02934406883829234,0.0017204766262689567
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,343.3237760066986,3.484489917755127,346.80826592445374,0.1049415616718841,0.03023353999984752,0.0013934374488915363,0.43208039642903323,0.019129638684848956,0.000998033636907709,0.2685109790504584,0.024681589342348237,0.0011957355428996222
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,329.6950442790985,4.076404333114624,333.77144861221313,0.08553055908925064,0.025492085752839903,0.00105131008091909,0.5853319418615899,0.017901044596226396,0.0011897650642289093,0.3354312504754202,0.021696565174533146,0.001120537572574
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,323.0244679450989,3.3482108116149902,326.37267875671387,0.11918289277557961,0.03841967129510404,0.002123804921736108,0.4934572656442327,0.019081588088343645,0.001091493503050186,0.3063200792099061,0.028750629691723855,0.0016076492123931467
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,321.7222001552582,3.222926139831543,324.9451262950897,0.07519436807731576,0.02182753939362028,0.000762634492072646,0.46888369223821563,0.0239754784776654,0.0011193180639722069,0.2720390301577657,0.022901508935642828,0.0009409762780224262
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,357.44778299331665,4.28593111038208,361.73371410369873,0.1696049012685733,0.04559541679493973,0.0027166191888336913,0.49144305947333133,0.01763290117666869,0.0010835509751499247,0.3305239803709522,0.03161415898580421,0.0019000850819918082
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,327.1763310432434,4.839489936828613,332.015820980072,0.17779675789244248,0.0474382286522419,0.002922496156591154,0.45582939637832465,0.017337940398789213,0.0010347911933762403,0.31681307713538365,0.03238808452551556,0.0019786436749836965
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,333.71784806251526,4.06416392326355,337.7820119857788,0.15558087328582662,0.050121984492684096,0.0033888394602714636,0.47816574932545086,0.029269748708494976,0.001238028068549221,0.3168733113056389,0.03969586660058953,0.0023134337644103425
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,328.8525221347809,3.0037169456481934,331.8562390804291,0.12206769133387253,0.03327163409522238,0.0015356253676227522,0.538525855144036,0.016448749649882948,0.000997345252522955,0.33029677323895423,0.024860191872552662,0.0012664853100728538
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,333.1639759540558,3.4612679481506348,336.6252439022064,0.15854322317666822,0.048867478633725155,0.0031915522967343206,0.47730098110483393,0.027784804414177404,0.001245423769125836,0.3179221021407511,0.03832614152395128,0.0022184880329300786
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,320.3456001281738,3.2113399505615234,323.55694007873535,0.15495512048684298,0.1101225241923069,0.015427557144885138,0.49950744912117556,0.09729230860336181,0.019138475450809402,0.3272312848040094,0.10370741639783437,0.017283016297847273
