Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg HPO Seconds,Std HPO Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Close_MAPE,Std Close_MAPE,Avg Close_MAE,Std Close_MAE,Avg Close_MSE,Std Close_MSE,Avg Volume_MAPE,Std Volume_MAPE,Avg Volume_MAE,Std Volume_MAE,Avg Volume_MSE,Std Volume_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,497,125,N/A,N/A,N/A,N/A,412.3198984146118,49.49949487762818,4.042545747756958,0.7893232177287983,416.3624441623688,50.26690385513987,0.14762819202673166,0.03930259119454144,0.04071364633430786,0.008675770688734992,0.0024770504658839765,0.0008606371460721508,0.4604279754112805,0.03823286680693104,0.021288977721763958,0.006823121571489243,0.00105915194451242,0.0002118203983112396,0.3040280837190061,0.018823213681193614,0.031001312028035907,0.00590195115516519,0.0017681012051981983,0.00044302470150540404
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,N/A,394.6701920032501,87.87055558069352,3.7092885971069336,0.913989450406343,398.37948060035706,88.12899440017546,0.13684752369839215,0.030200580611284104,0.038412585464251095,0.006091564945422608,0.0022291564554250847,0.0006010074564813784,0.48696601802198225,0.06074741350501647,0.024812090117932888,0.006639363712917876,0.001148889621929395,0.0002173846245628938,0.3119067708601872,0.04457409209188659,0.03161233779109199,0.004280221863664658,0.00168902303867724,0.0003541580713207026
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,N/A,402.3177354335785,107.2398459417525,4.21481237411499,1.8821209075011516,406.5325478076935,109.08737781621333,0.11659970042208473,0.030956982031221162,0.03292987762543977,0.0073255817161633945,0.0016318073701568835,0.0005835437767122826,1.0383977861677645,1.2474524349543765,0.021497236122669794,0.0031949867571396872,0.0011732315357907274,0.00025189863188522353,0.5774987432949247,0.6193988017126068,0.02721355687405478,0.0028228221767175564,0.0014025194529738055,0.00028751299505732296
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,N/A,384.5487322807312,91.18017458131347,3.9287519454956055,1.1286748886391473,388.4774842262268,92.26931309312961,0.13766729144533607,0.017861730730696666,0.03971623178837183,0.005417038051221902,0.0022943777041155686,0.0006410404524228,0.5256842341570194,0.06179797804308661,0.024608420824845306,0.010116617736629934,0.0012975344324803967,0.00032477153509975954,0.3316757628011778,0.02710443120270284,0.03216232630660856,0.0057947956331160354,0.0017959560682979827,0.0003954858820276503
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,N/A,361.715279340744,65.66962796530106,3.6673903942108153,0.6017308656397362,365.38266973495485,66.21133458218297,0.11945427686169229,0.013178467313220745,0.03399015956385079,0.003765388376328134,0.0017134810976146028,0.0003726021350240443,0.5213597436152437,0.11110094690562734,0.02445620832103152,0.010173343982852977,0.001260231382588716,0.0004526755880740721,0.3204070102384679,0.055274838824180605,0.029223183942441156,0.004979357081409674,0.0014868562401016594,0.00023816367687423424
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,N/A,349.2639863014221,53.18949181327992,4.18482928276062,0.22101267636790708,353.44881558418274,53.2791819664485,0.10194097899343248,0.019158410509657036,0.030382297221886376,0.005220710169522455,0.0014383372164155379,0.00040942804619343063,0.5175960829184283,0.05046516734683374,0.023126622732283397,0.0058956643486750004,0.0012184941765347747,0.00011126363598602022,0.30976853095593043,0.017217910143413853,0.026754459977084883,0.0046456953564739945,0.0013284156964751563,0.00020776816818991154
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,N/A,378.54496865272523,131.67121900867033,3.936468744277954,0.778885666638302,382.48143739700316,132.3941252832635,0.09838610054003127,0.017012781807570616,0.02938268693592727,0.005978343048389232,0.0013283261922415624,0.0005052438651923039,0.5328115131246915,0.06171609023121265,0.028557751159382416,0.012770794049709473,0.0015416154638816556,0.0006064873393866255,0.3155988068323614,0.029254540340446566,0.02897021904765484,0.007039757874822243,0.0014349708280616091,0.0003737618851656286
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,N/A,366.2435773849487,104.14278703430286,3.9557246208190917,0.5909830901014174,370.19930200576783,104.38116135172321,0.08936698913325962,0.016968778186281952,0.026228917509729024,0.004782382244381755,0.001082091514254221,0.0003401028059334704,0.5227903235692739,0.052105417433022425,0.027285776919941693,0.010434977727478742,0.001416930852660596,0.0004227529498653193,0.3060786563512668,0.030733952923820668,0.02675734721483535,0.0070727721279374555,0.0012495111834574086,0.0003573535938629036
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,N/A,353.098411989212,79.09419532163405,4.034043264389038,0.6029013724179071,357.13245525360105,79.68133049291876,0.1512194845019178,0.04958369172315341,0.04077713206970825,0.011611212616979212,0.0023857200159720297,0.0010611268343175787,0.5935505842701337,0.26040139386000266,0.018600242505841594,0.0022684275381582154,0.001136711599762257,0.00021373848795796035,0.37238503438602577,0.10920674384003831,0.02968868728777492,0.005082637757632243,0.0017612158078671434,0.00044464374738929666
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,N/A,325.3911955833435,37.44496625582368,4.129615211486817,0.48824467209854394,329.5208107948303,37.64705403479155,0.2468138610019898,0.10508379328703647,0.0637812261149241,0.017317561854260193,0.005394813540054021,0.0029767725017479057,0.5048532018353171,0.07952263732038811,0.0191907410389855,0.002816141076501164,0.0010874633360217947,6.69587978421272e-05,0.37583353141865344,0.048902015890905016,0.0414859835769548,0.010005121956351093,0.0032411384380379073,0.00148681296378831
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,N/A,322.7152755737305,37.41711976774697,3.796953248977661,0.3599294237448051,326.51222882270815,37.744875222503836,0.13580787659699603,0.02923910225087964,0.04169790034875892,0.012000405909506151,0.0025532801967264214,0.0012615752054207514,0.577867844803079,0.13849330658099773,0.02585044620095805,0.006772130912918136,0.0012947655024648725,0.00013416425979522362,0.35683786070003753,0.06275107541843662,0.03377417327485849,0.008157909729785754,0.0019240228495956467,0.0006102753655489268
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,N/A,330.45001697540283,40.70853159263771,3.5809929847717283,0.5043398489650263,334.0310099601746,41.01103800959326,0.15872013087904374,0.04710678814492128,0.043535953886209365,0.01029526970024026,0.002708480773531495,0.0011007745148275065,0.47150982904604566,0.0444058414747088,0.020684997763533632,0.0029172342965350004,0.0010424010005567381,0.0001050244851617371,0.31511497996254473,0.018386112711529488,0.03211047582487149,0.005402750603167083,0.0018754408870441167,0.0005294378006255892
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,N/A,342.35046463012696,69.02550041167065,3.715487337112427,0.583454058660067,346.06595196723936,69.52398213195843,0.1818267507917782,0.05311849637201758,0.053586075322284786,0.012411234579283423,0.003914954917491421,0.0017154416187939619,0.5222494892223913,0.09625936290426336,0.024276153372192976,0.005609638843806083,0.0012219941069266306,0.00015533150815303943,0.35203812000708473,0.04524839940577857,0.03893111434723888,0.005847088685104395,0.0025684745122090263,0.0008268913326684673
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,N/A,339.10960326194765,56.221678370984186,3.9761005878448485,0.4609385926334713,343.0857038497925,56.24140599661809,0.11399716547401845,0.02489021254510418,0.0843919120229401,0.015823636235430504,0.009889387358259658,0.003325494058886929,0.4797775740777176,0.019264296515115777,0.08382854936667766,0.00868038806249129,0.017591952005409237,0.0010491441345791593,0.29688736977586805,0.018786112617032353,0.08411023069480889,0.011560629552948924,0.013740669681834445,0.0020714746135760535
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,N/A,363.2046031475067,91.79034674753872,4.552006578445434,1.6353061251580632,367.75660972595216,93.18367979381397,0.11420274916247895,0.032687380127821374,0.08427885843096437,0.021280851431443367,0.010274007964175718,0.005187831105863769,0.4866406072782723,0.038186303022605866,0.07800426859810555,0.0062954780165475595,0.01719788334387329,0.0007138235795524727,0.30042167822037563,0.03275266725354655,0.08114156351453497,0.012693312847674365,0.013735945654024506,0.002902682441231929
