Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Amount_MAPE,Amount_MAE,Amount_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,464,117,N/A,N/A,N/A,8.184037685394287,8.184037685394287,0.030860062563417095,0.027665197177855427,0.0013124005781742498,0.030860062563417095,0.027665197177855427,0.0013124005781742498
Fixed Cut 5.0%,441,117,23,4.956896551724138,N/A,6.861390113830566,6.861390113830566,0.02868316511219093,0.025793269124191155,0.0012263495057365495,0.02868316511219093,0.025793269124191155,0.0012263495057365495
Fixed Cut 10.0%,418,117,46,9.913793103448276,N/A,4.671986103057861,4.671986103057861,0.032084978144985496,0.02883232205844304,0.001481559957207112,0.032084978144985496,0.02883232205844304,0.001481559957207112
Fixed Cut 15.0%,395,117,69,14.870689655172415,N/A,5.851176977157593,5.851176977157593,0.02702595936979132,0.024435153736093767,0.0012657774991200184,0.02702595936979132,0.024435153736093767,0.0012657774991200184
Fixed Cut 20.0%,372,117,92,19.82758620689655,N/A,4.401607036590576,4.401607036590576,0.02789808108587346,0.025144294229078955,0.0012335072760791153,0.02789808108587346,0.025144294229078955,0.0012335072760791153
Fixed Cut 25.0%,348,117,116,25.0,N/A,2.858788013458252,2.858788013458252,0.03050645041653043,0.027522216605264035,0.0015248901825708901,0.03050645041653043,0.027522216605264035,0.0015248901825708901
Fixed Cut 30.0%,325,117,139,29.95689655172414,N/A,3.2917189598083496,3.2917189598083496,0.030050090011148764,0.027167417183278326,0.0015464429703921265,0.030050090011148764,0.027167417183278326,0.0015464429703921265
Fixed Cut 35.0%,302,117,162,34.91379310344828,N/A,4.641103267669678,4.641103267669678,0.026551552033035383,0.024112494915547834,0.0013442378910956078,0.026551552033035383,0.024112494915547834,0.0013442378910956078
Fixed Cut 40.0%,279,117,185,39.87068965517241,N/A,6.202037811279297,6.202037811279297,0.029539523490971904,0.026693303608597927,0.0014731120224647071,0.029539523490971904,0.026693303608597927,0.0014731120224647071
Fixed Cut 45.0%,256,117,208,44.827586206896555,N/A,5.459497928619385,5.459497928619385,0.03217456851812095,0.028847149697705726,0.0014072020208455993,0.03217456851812095,0.028847149697705726,0.0014072020208455993
