Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Amount_MAPE,Std Amount_MAPE,Avg Amount_MAE,Std Amount_MAE,Avg Amount_MSE,Std Amount_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,464,117,N/A,N/A,N/A,N/A,8.12948145866394,3.5388076795998007,8.12948145866394,3.5388076795998007,0.02641683911418882,0.0035593962562906413,0.023863986334843483,0.0030756423693610075,0.0011987794626795467,0.0001307922106013812,0.02641683911418882,0.0035593962562906413,0.023863986334843483,0.0030756423693610075,0.0011987794626795467,0.0001307922106013812
Fixed Cut 5.0%,441,117,23,4.956896551724138,N/A,N/A,5.115958833694458,1.4850057882952856,5.115958833694458,1.4850057882952856,0.028228242050199668,0.0018879618455990095,0.025511547601358663,0.001612362804204679,0.0013504013027514311,0.00010330435514867231,0.028228242050199668,0.0018879618455990095,0.025511547601358663,0.001612362804204679,0.0013504013027514311,0.00010330435514867231
Fixed Cut 10.0%,418,117,46,9.913793103448276,N/A,N/A,4.719500207901001,2.4335895354627124,4.719500207901001,2.4335895354627124,0.031338084981551766,0.0009704234208230198,0.02814409502895165,0.0008189246924935195,0.0014062120831003489,9.77976640793599e-05,0.031338084981551766,0.0009704234208230198,0.02814409502895165,0.0008189246924935195,0.0014062120831003489,9.77976640793599e-05
Fixed Cut 15.0%,395,117,69,14.870689655172415,N/A,N/A,9.538237714767456,5.249291855384873,9.538237714767456,5.249291855384873,0.025845564757178207,0.0028400519085478777,0.023364232792388907,0.002616126590980617,0.0011886235084902152,0.00023996700183555837,0.025845564757178207,0.0028400519085478777,0.023364232792388907,0.002616126590980617,0.0011886235084902152,0.00023996700183555837
Fixed Cut 20.0%,372,117,92,19.82758620689655,N/A,N/A,4.803041458129883,1.4000283058270955,4.803041458129883,1.4000283058270955,0.029281377436903643,0.003633295202569528,0.02637417678777378,0.003130359433217465,0.0013422871199981834,0.0001580502411249851,0.029281377436903643,0.003633295202569528,0.02637417678777378,0.003130359433217465,0.0013422871199981834,0.0001580502411249851
Fixed Cut 25.0%,348,117,116,25.0,N/A,N/A,4.68675422668457,2.3714568201147377,4.68675422668457,2.3714568201147377,0.02718861198562816,0.0026002055849227187,0.024638150414146246,0.0023030953717576874,0.0013531920823113932,0.0001720370712982361,0.02718861198562816,0.0026002055849227187,0.024638150414146246,0.0023030953717576874,0.0013531920823113932,0.0001720370712982361
Fixed Cut 30.0%,325,117,139,29.95689655172414,N/A,N/A,4.227633810043335,0.762911116448151,4.227633810043335,0.762911116448151,0.03007473918142335,0.0025738270067740578,0.027112614100203214,0.002187152880428344,0.0014384098793593302,9.641670507776449e-05,0.03007473918142335,0.0025738270067740578,0.027112614100203214,0.002187152880428344,0.0014384098793593302,9.641670507776449e-05
Fixed Cut 35.0%,302,117,162,34.91379310344828,N/A,N/A,4.304632520675659,1.3861108464666914,4.304632520675659,1.3861108464666914,0.028381772002203688,0.001652660070474099,0.025667798686840902,0.0014117935938700653,0.001386693566087855,7.287976998036268e-05,0.028381772002203688,0.001652660070474099,0.025667798686840902,0.0014117935938700653,0.001386693566087855,7.287976998036268e-05
Fixed Cut 40.0%,279,117,185,39.87068965517241,N/A,N/A,4.51513295173645,1.0844346881537372,4.51513295173645,1.0844346881537372,0.02958637034041032,0.0016293992266243668,0.026706521453036845,0.0014057604727088803,0.0014247434338100437,7.010446462963157e-05,0.02958637034041032,0.0016293992266243668,0.026706521453036845,0.0014057604727088803,0.0014247434338100437,7.010446462963157e-05
Fixed Cut 45.0%,256,117,208,44.827586206896555,N/A,N/A,5.179203748703003,2.3605542049656685,5.179203748703003,2.3605542049656685,0.02969731218107661,0.0015862702492834004,0.026728638647208543,0.001362500811205561,0.0013321571115587326,6.063046141750452e-05,0.02969731218107661,0.0015862702492834004,0.026728638647208543,0.001362500811205561,0.0013321571115587326,6.063046141750452e-05
