Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,102.17615389823914,4.235018014907837,106.41117191314697,0.10250203181032691,0.08569507982313807,0.009643138897208945,0.09169408960619434,0.07188281911256678,0.006842322135710393,3.380564618455508,0.5030576381653019,0.3303066266663543,7.62595918847546,0.5064600861872143,0.3271114701516618,2.8001799820868714,0.2917739058220554,0.16847588946273384
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,134.9872510433197,3.8617610931396484,138.84901213645935,0.17209314327954717,0.13385308363076062,0.020991788267446743,0.059930553717534626,0.04357331194016558,0.003254938933098644,3.4091611093036187,0.478095127756246,0.3065968970452142,3.801747315731213,0.5516449211095622,0.41500951508654144,1.860733030507979,0.30179161110918373,0.18646328483307523
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,125.24694204330444,3.946594715118408,129.19353675842285,0.11055753072206703,0.09177140157068478,0.010716196766939483,0.08595700583439615,0.07021685689413618,0.008185032117750726,3.8434259157484103,0.5158811740469363,0.34460064472016166,5.324213404974984,0.5381025725040606,0.4020811123820494,2.341038464319964,0.30399300125395456,0.1913957464967253
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,119.95195078849792,4.652220964431763,124.60417175292969,0.0792504401849725,0.06768882125090706,0.007549560521681409,0.07341890037362951,0.06118710716188092,0.004800619830023791,3.0789285760400915,0.5649650710951504,0.3978616765539548,7.844583319745156,0.5105011263173074,0.3262883025858355,2.769045309085963,0.30108553145631156,0.18412503987287387
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,116.52518796920776,6.0992467403411865,122.62443470954895,0.06588212619331961,0.05784616007500078,0.004582534139524934,0.10069338123135786,0.08981546992716657,0.009981473896707768,2.2289679919406096,0.5502849006925654,0.39365988432937155,2.349290082441667,0.4674045685261705,0.31405772350541195,1.186208395451739,0.2913377748052258,0.1805704039677541
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,118.70529508590698,5.821455955505371,124.52675104141235,0.05296130902359504,0.04727237160862933,0.0033665455552908488,0.04038151539078002,0.032731401187318154,0.0014681081436250909,2.618688498040648,0.5513312053982846,0.38780564604235085,3.1950980390649133,0.5097010761616004,0.3454324928018172,1.4767823403799838,0.28525901358895817,0.18451819813577094
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,114.24951314926147,5.103188991546631,119.3527021408081,0.04934306140642293,0.044506191008142244,0.003068144326195233,0.0526288094897666,0.04357664167937669,0.0026589749184004864,2.593599787887186,0.5460964867302861,0.38126344079554936,2.031542052993503,0.4625524138375006,0.31815007441978727,1.1817784279442194,0.2741829333138264,0.17628515861498306
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,113.59533596038818,5.318351984024048,118.91368794441223,0.054236713772129456,0.04815980293492954,0.003782659261938988,0.050406097845394175,0.0438440139426603,0.0025907480460016443,3.387188845836461,0.543668742405358,0.370670863078393,2.521183600413645,0.4615792396129105,0.31059659274726453,1.5032538144669076,0.2743129497239646,0.17191021578339954
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,113.89061999320984,4.095652103424072,117.98627209663391,0.06234124811482915,0.05472367815419881,0.004637765927019346,0.05284349207290474,0.0460159379737022,0.002884259813117053,1.6329212399775201,0.5933657378172105,0.47969017615473,1.5406069468699093,0.4792696508450847,0.35993233099178346,0.8221782317587905,0.29334375119754913,0.21178613322166245
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,109.0689206123352,3.8606460094451904,112.9295666217804,0.13960403215353273,0.09935852285157545,0.022575514368342785,0.6184426392837238,0.29363161580349045,0.10242245671068036,18.42049821930068,0.5256852489909253,0.35473481323944805,9.48213993699377,0.466332176487211,0.2960796054822328,7.165171206932927,0.3462518910333006,0.19395309745017603
