Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,4.924302101135254,4.924302101135254,0.09437454668495078,0.09003524306827333,0.0127716549601543,0.08248553451012228,0.057063356678866264,0.003934336123020442,0.8460817198524377,0.4392536167271451,0.25154412133402393,0.7247916687756638,0.4856027743398371,0.2943305395120194,0.4369333674557936,0.26798874770353054,0.1406451629823045
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,3.602602005004883,3.602602005004883,0.05894070148374036,0.05568101161804281,0.003950734953860299,0.09064069177325323,0.06207547420739354,0.005540842229228759,0.8993361333123044,0.4289082466336747,0.23931520466348077,0.6800296287950546,0.46799801170786715,0.32181963716434087,0.4322367888410882,0.2536656860417446,0.14265660475272765
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,6.242457151412964,6.242457151412964,0.07648837060098533,0.07256176051441257,0.007142193453625997,0.11465732895089216,0.08103895234735944,0.009153182856206822,0.9342571584468674,0.46248139270995897,0.28583595542946605,0.6511315620560709,0.45254000676059575,0.2941130555159104,0.4441336050137039,0.2671555280830818,0.14906109681380236
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,5.33427882194519,5.33427882194519,0.05649399901031253,0.05353916851327538,0.0038799534568257944,0.08910008840469309,0.06538879288676258,0.006231084947163735,0.849057976038325,0.42593405832995923,0.2483499713167216,0.6949114625863214,0.47092590526263894,0.3229021408001866,0.422390881509913,0.2539469812481591,0.14534078763022443
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,5.604491949081421,5.604491949081421,0.058724522101852854,0.05567097549422016,0.00420148374067255,0.06791816448283658,0.0515579582761189,0.003979074017976155,0.9122206829757467,0.45356080578690267,0.2697830839528172,0.6755121848121733,0.4583102826108383,0.3195005279168528,0.4285938885931524,0.2547750055420201,0.14936604240707962
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,4.00130295753479,4.00130295753479,0.06190034682477559,0.05883434785118435,0.005405384892753891,0.10233140298402703,0.07821540104518072,0.007925327656514016,0.9610713579784822,0.4585135195146539,0.28475043405958084,0.7095158209630495,0.48376861721273295,0.34437675517370314,0.4587047321875836,0.26983297140593804,0.16061447544563798
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,4.299373626708984,4.299373626708984,0.04662542060012151,0.04420918484328575,0.002804729336502864,0.0646486217900531,0.0489635124141963,0.003950846862720315,1.0719224435997603,0.4612591715662941,0.30345907712207565,0.6999485267009438,0.4957928209585201,0.3249861648629419,0.47078625317271966,0.26255617244557417,0.1588002045460602
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,4.423629999160767,4.423629999160767,0.05876074321884599,0.05590793047198015,0.004865107591888927,0.04248733087707211,0.03511847198826104,0.0016899190556534597,0.9028795701955687,0.4662833785863794,0.28566692237913144,0.685806805021235,0.48395529383098856,0.319645653416121,0.42248361232818044,0.2603162687194024,0.15296690061069873
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,4.988223075866699,4.988223075866699,0.040142095616533036,0.03783207770171432,0.0021180280165804216,0.038436378864718374,0.03157329996338871,0.0013043599222265676,0.8378497639446227,0.44682749908796615,0.255703492939496,0.6729881614456884,0.4622337703522384,0.30756476985003534,0.3973540999678907,0.24461666177632696,0.1416726626820846
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,3.7955057621002197,3.7955057621002197,0.029338242320960967,0.027672215409276137,0.0011573771799721557,0.07711154932045014,0.06319554397798062,0.005415485829528319,0.9757257141010695,0.4673793227540413,0.28611006860588717,0.6941422930332652,0.4610800583801288,0.32379648419378176,0.44407944969393653,0.25483178513035687,0.15411985395229233
