Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg x_MAPE,Std x_MAPE,Avg x_MAE,Std x_MAE,Avg x_MSE,Std x_MSE,Avg y_MAPE,Std y_MAPE,Avg y_MAE,Std y_MAE,Avg y_MSE,Std y_MSE,Avg sin(theta)_MAPE,Std sin(theta)_MAPE,Avg sin(theta)_MAE,Std sin(theta)_MAE,Avg sin(theta)_MSE,Std sin(theta)_MSE,Avg cos(theta)_MAPE,Std cos(theta)_MAPE,Avg cos(theta)_MAE,Std cos(theta)_MAE,Avg cos(theta)_MSE,Std cos(theta)_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,487,122,N/A,N/A,N/A,N/A,4.573906373977661,0.9364954099138294,4.573906373977661,0.9364954099138294,0.0804481843274291,0.012463717817142773,0.07625112056147519,0.011819824401274645,0.008221381237110258,0.0028863319064002433,0.1159505346875901,0.027750230668520143,0.08036986911347463,0.019539285901444263,0.008143783855496125,0.0033039862542333783,0.8009750102893447,0.04164494279009327,0.439698333314881,0.012428676498194272,0.24916783229599904,0.014452447485928374,0.6967300019672569,0.026542997187656254,0.48008245983690295,0.01498127536181369,0.3013157814786671,0.016648708430141664,0.4235259328179052,0.016766800499681003,0.2691004457066835,0.008756040218256066,0.14171219471681815,0.006438547535068637
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,N/A,4.154690074920654,0.48088314587970193,4.154690074920654,0.48088314587970193,0.08594390182500142,0.019685067483753114,0.08107459996427283,0.018383488209592645,0.008589920566944147,0.003508915725252948,0.10209769510112916,0.022952050072726857,0.07041641684104749,0.016070271766564656,0.006669483312319908,0.002711113197972887,0.8779061226906183,0.03518729500458774,0.4461066429698728,0.011813748655955417,0.2639854118498007,0.014405058142290345,0.6805116749019007,0.020002025554578442,0.4678240901413838,0.010655615855250202,0.29527511172228,0.019012875247248477,0.43661484862966243,0.01317657253719719,0.2663554374791443,0.010298350501200966,0.14362998186283618,0.0043418233474614085
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,N/A,5.682430028915405,0.7724871877493,5.682430028915405,0.7724871877493,0.07984072001928312,0.017305275877970927,0.07542688640288768,0.01612284003335738,0.00760668069740497,0.002778099898244288,0.08908988628144926,0.01595733170633541,0.06308407852215754,0.011255713484380205,0.005572026731122834,0.0021549666902298233,0.9249511893302452,0.092121020465825,0.45394741387574095,0.005458238773082839,0.2781916991665633,0.008943076669684047,0.6701499689134444,0.024288135552830225,0.46277020527528895,0.013736721359940333,0.3078805118726709,0.030875420485811662,0.4410079411361055,0.029371608292781903,0.2638071460190189,0.008179271669740557,0.1498127296169405,0.0088705689455471
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,N/A,4.881822967529297,0.44517535306565764,4.881822967529297,0.44517535306565764,0.07945512813359415,0.024902829786677107,0.0753571782771457,0.023379265330630637,0.008562217086657792,0.004983714285747658,0.08860567888551496,0.024041197274705696,0.06534244655436953,0.017680157335119046,0.006138040149072096,0.0028261543263511666,0.8857466678687987,0.06329019646049638,0.43047713784022734,0.01717336241158139,0.254878159668246,0.02096815678067613,0.6825828977136044,0.01246844014693453,0.4651245891022738,0.015667900642687527,0.31038217125613304,0.009364894046050067,0.434097593150378,0.013379003337429115,0.2590753379435042,0.005971521480938904,0.14499014704002725,0.004449978512572252
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,N/A,4.639094829559326,0.8936465276917183,4.639094829559326,0.8936465276917183,0.06722136752563501,0.012383842151624646,0.06363931075846202,0.011844056278850292,0.006127873372368959,0.0027755927609616443,0.0913092426636119,0.031080870177988267,0.06948593868898352,0.02404105637796775,0.007376604313239322,0.004619355655437662,0.8777198884695336,0.06899158214425512,0.4482861085662117,0.022514502857889623,0.26484839581364217,0.02727720376341134,0.6939737435316682,0.05401105983427242,0.4688206589319305,0.03173198847275854,0.31730114538170157,0.04050042452030418,0.4325560605476122,0.0057184795302074355,0.26255800423639697,0.008748626368612242,0.148913504720238,0.0061204708863062006
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,N/A,4.451259422302246,0.35309193012791934,4.451259422302246,0.35309193012791934,0.059721805945960035,0.00432756024585993,0.05653193336497336,0.004319397274707259,0.004724721308330423,0.000814743032875662,0.0763923868967262,0.015089831529980651,0.05814122413124648,0.011727399532516431,0.004916971260365029,0.0017147329110871398,0.94779501091752,0.04114833562418361,0.44921850326246954,0.01011510235002054,0.2751239148377613,0.013449801250180545,0.6939502447446361,0.017932910088503957,0.47686412182674204,0.011815528019487221,0.33294146957723175,0.014686187500068679,0.44446486212621056,0.012954357946574511,0.2601889456463579,0.00587730668854561,0.15442676924592214,0.004228109086233136
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,N/A,4.629612922668457,0.6451795142503007,4.629612922668457,0.6451795142503007,0.06042447453336258,0.017615563056848218,0.05730107210013132,0.01645116279181672,0.0051803826592645204,0.002524891034347698,0.05409145076887663,0.01076965669795951,0.041959918982772834,0.00730006875059125,0.002782795961723653,0.0009837513453022561,0.9747772669062156,0.08365478447498263,0.45928056723447735,0.009305204413797724,0.28611459701357855,0.01752701747530575,0.708953772910162,0.015561689900950906,0.49417799046391253,0.012973715429404623,0.3296715573533685,0.02208953498234238,0.44956174127965415,0.020392962941014225,0.2631798871953236,0.00442872655449478,0.1559373332469838,0.008588257086027527
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,N/A,3.922157049179077,0.7059798779968683,3.922157049179077,0.7059798779968683,0.05173338912163345,0.008747722681869838,0.04897471462576051,0.008364335154293415,0.0038089313351484947,0.0011914740152448964,0.04869680093586587,0.004952474997564304,0.040052024271645975,0.004364911875943647,0.002324090359219868,0.0005997182253782877,0.8367394686216975,0.038432435896900215,0.45002125473649934,0.011510304781483063,0.26216411930934685,0.014797802021851918,0.6872266495722824,0.037622866249894193,0.47680429649210493,0.025178522165536142,0.3181747447903636,0.030707233969778498,0.4060990770628698,0.01634585697124572,0.2539630725315028,0.00793798261083945,0.1466179714485197,0.007851027043407911
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,N/A,3.795028495788574,0.8410360580589175,3.795028495788574,0.8410360580589175,0.04908431119376658,0.018026825551717116,0.046127149635854736,0.016616507485059315,0.003553234341937462,0.0026656005656313917,0.04933229189532514,0.01090496704022532,0.040587756573056674,0.008796155416247755,0.0024650788245695328,0.0012162550166630462,0.8454203746739901,0.02190640736170076,0.44526761710903284,0.010188323243076412,0.25722482962680027,0.010165637365081484,0.7234285039409172,0.04375497747805249,0.488888860807062,0.020892459068264365,0.3499791167327175,0.0342543502367598,0.4168163704259998,0.012834719561990962,0.25521784603125164,0.008660116629735733,0.1533055648815062,0.010206585299471119
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,N/A,3.493444490432739,0.32398267782640405,3.493444490432739,0.32398267782640405,0.043906348207661004,0.011680061336152158,0.041387895477015685,0.011079261275309707,0.0027996485618879403,0.0015123777602088174,0.05710389234407971,0.018115641922692112,0.047352616887606676,0.014540815824074588,0.003371601547655829,0.0019287177386491995,0.8931833239687936,0.06267464156871812,0.44956723395343734,0.012130621403002941,0.26786385136277463,0.01712501609967395,0.7006630774379277,0.031120565831783107,0.46610364900817797,0.022143860798900978,0.31949298824653094,0.029639552019095686,0.4237141604896155,0.01841877375063865,0.2511028488315595,0.007126001950332183,0.14838202242971232,0.01019624542210584
