Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,USD/Bitcoin_MAPE,USD/Bitcoin_MAE,USD/Bitcoin_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,619,155,N/A,N/A,N/A,21.47269892692566,21.47269892692566,0.04645155189518295,0.014496753954176572,0.00039791918000276367,0.04645155189518295,0.014496753954176572,0.00039791918000276367
Fixed Cut 5.0%,589,155,30,4.846526655896607,N/A,20.580783128738403,20.580783128738403,0.044734600000858875,0.014184498084585748,0.0003974217828763557,0.044734600000858875,0.014184498084585748,0.0003974217828763557
Fixed Cut 10.0%,558,155,61,9.8546042003231,N/A,27.669143199920654,27.669143199920654,0.04077829167740105,0.012860661394287633,0.00035002879932630567,0.04077829167740105,0.012860661394287633,0.00035002879932630567
Fixed Cut 15.0%,527,155,92,14.862681744749596,N/A,4.7151780128479,4.7151780128479,0.0974156885846183,0.030459840871426502,0.0016216593905761276,0.0974156885846183,0.030459840871426502,0.0016216593905761276
Fixed Cut 20.0%,496,155,123,19.87075928917609,N/A,4.610012054443359,4.610012054443359,0.10893245059073593,0.03355593187606732,0.001943369873441925,0.10893245059073593,0.03355593187606732,0.001943369873441925
Fixed Cut 25.0%,465,155,154,24.878836833602584,N/A,3.874001979827881,3.874001979827881,0.18802588313600233,0.0562803022643112,0.004891146933671735,0.18802588313600233,0.0562803022643112,0.004891146933671735
Fixed Cut 30.0%,434,155,185,29.88691437802908,N/A,25.20612096786499,25.20612096786499,0.04987642762675173,0.015410658633992776,0.00045310147347069985,0.04987642762675173,0.015410658633992776,0.00045310147347069985
Fixed Cut 35.0%,403,155,216,34.894991922455574,N/A,5.87444806098938,5.87444806098938,0.10145741032884062,0.03017630815913707,0.001422422276910758,0.10145741032884062,0.03017630815913707,0.001422422276910758
Fixed Cut 40.0%,372,155,247,39.903069466882066,N/A,10.652141094207764,10.652141094207764,0.07866176684049565,0.023604277466378637,0.000916881465975424,0.07866176684049565,0.023604277466378637,0.000916881465975424
Fixed Cut 45.0%,341,155,278,44.91114701130856,N/A,5.004793882369995,5.004793882369995,0.1348704690655967,0.04141374848535322,0.002942282266129544,0.1348704690655967,0.04141374848535322,0.002942282266129544
Fixed Cut 50.0%,310,155,309,49.919224555735056,N/A,4.065482139587402,4.065482139587402,0.10495943916785398,0.03264995077045735,0.0018512709274991542,0.10495943916785398,0.03264995077045735,0.0018512709274991542
Fixed Cut 55.0%,279,155,340,54.92730210016155,N/A,7.7611939907073975,7.7611939907073975,0.08778519586920353,0.02615441791516343,0.0010993478103482359,0.08778519586920353,0.02615441791516343,0.0010993478103482359
Fixed Cut 60.0%,248,155,371,59.935379644588046,N/A,2.7930569648742676,2.7930569648742676,0.10169428286881917,0.03183838779341762,0.0017338275206899485,0.10169428286881917,0.03183838779341762,0.0017338275206899485
Fixed Cut 65.0%,217,155,402,64.94345718901454,N/A,2.880744218826294,2.880744218826294,0.09448763644713935,0.029662008352287966,0.001547977312935365,0.09448763644713935,0.029662008352287966,0.001547977312935365
Fixed Cut 70.0%,186,155,433,69.95153473344104,N/A,3.046635150909424,3.046635150909424,0.10056802700386051,0.031439906556249744,0.0016749700398403372,0.10056802700386051,0.031439906556249744,0.0016749700398403372
Fixed Cut 75.0%,155,155,464,74.95961227786752,N/A,3.1281991004943848,3.1281991004943848,0.11032901483433569,0.03256356432151318,0.001690868135591358,0.11032901483433569,0.03256356432151318,0.001690868135591358
Fixed Cut 80.0%,124,155,495,79.96768982229402,N/A,2.6881821155548096,2.6881821155548096,0.14206607489075018,0.037942812280122466,0.001995944376061441,0.14206607489075018,0.037942812280122466,0.001995944376061441
Fixed Cut 85.0%,93,155,526,84.97576736672052,N/A,2.1232500076293945,2.1232500076293945,0.252316378151879,0.06315255048194031,0.005120856347240918,0.252316378151879,0.06315255048194031,0.005120856347240918
Fixed Cut 90.0%,62,155,557,89.98384491114702,N/A,2.5607967376708984,2.5607967376708984,0.2944602750266759,0.07466999502258412,0.006995111424634059,0.2944602750266759,0.07466999502258412,0.006995111424634059
Window L1,54,155,565,91.2762520193861,0.01842188835144043,2.7523691654205322,2.7707910537719727,0.30913707060529255,0.07822427620290484,0.007606367232514702,0.30913707060529255,0.07822427620290484,0.007606367232514702
