Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg USD/Bitcoin_MAPE,Std USD/Bitcoin_MAPE,Avg USD/Bitcoin_MAE,Std USD/Bitcoin_MAE,Avg USD/Bitcoin_MSE,Std USD/Bitcoin_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,619,155,N/A,N/A,N/A,N/A,17.90623359680176,6.02961553894371,17.90623359680176,6.02961553894371,0.04854823688596816,0.005481442480522253,0.015378107929199409,0.001849243987461767,0.0004608147479129157,9.614694203632461e-05,0.04854823688596816,0.005481442480522253,0.015378107929199409,0.001849243987461767,0.0004608147479129157,9.614694203632461e-05
Fixed Cut 5.0%,589,155,30,4.846526655896607,N/A,N/A,22.061076593399047,6.5093486984283535,22.061076593399047,6.5093486984283535,0.044553146754225864,0.0037826331223909907,0.014197459939822512,0.0013717589456362514,0.00041015217365834535,7.040029801356386e-05,0.044553146754225864,0.0037826331223909907,0.014197459939822512,0.0013717589456362514,0.00041015217365834535,7.040029801356386e-05
Fixed Cut 10.0%,558,155,61,9.8546042003231,N/A,N/A,17.059080934524538,6.328535756127684,17.059080934524538,6.328535756127684,0.05046103782494178,0.01000639252937237,0.015928261895011276,0.0031450464178742333,0.0004761640715730608,0.00015108922371268873,0.05046103782494178,0.01000639252937237,0.015928261895011276,0.0031450464178742333,0.0004761640715730608,0.00015108922371268873
Fixed Cut 15.0%,527,155,92,14.862681744749596,N/A,N/A,7.09357590675354,3.845642188936194,7.09357590675354,3.845642188936194,0.0797145238047138,0.019167457708345326,0.025054606436740037,0.005888040375379822,0.0011697887363786973,0.00044361453217701724,0.0797145238047138,0.019167457708345326,0.025054606436740037,0.005888040375379822,0.0011697887363786973,0.00044361453217701724
Fixed Cut 20.0%,496,155,123,19.87075928917609,N/A,N/A,4.362460279464722,0.3226589075903798,4.362460279464722,0.3226589075903798,0.11274326722743946,0.019978193828071072,0.03429775379771356,0.005461086338465217,0.0019904175564836313,0.0005866326812855316,0.11274326722743946,0.019978193828071072,0.03429775379771356,0.005461086338465217,0.0019904175564836313,0.0005866326812855316
Fixed Cut 25.0%,465,155,154,24.878836833602584,N/A,N/A,4.449875402450561,0.9731584666445172,4.449875402450561,0.9731584666445172,0.19925892874764856,0.058335560166708815,0.06048982515088701,0.017707217466713786,0.005710912017442757,0.0029295895565928337,0.19925892874764856,0.058335560166708815,0.06048982515088701,0.017707217466713786,0.005710912017442757,0.0029295895565928337
Fixed Cut 30.0%,434,155,185,29.88691437802908,N/A,N/A,12.979381561279297,10.687369471990104,12.979381561279297,10.687369471990104,0.08537485605185602,0.02619663932090476,0.02634708266533547,0.008249077021574682,0.00129668291835667,0.0007205437495581404,0.08537485605185602,0.02619663932090476,0.02634708266533547,0.008249077021574682,0.00129668291835667,0.0007205437495581404
Fixed Cut 35.0%,403,155,216,34.894991922455574,N/A,N/A,7.290965461730957,1.819786836204124,7.290965461730957,1.819786836204124,0.08422947965464776,0.012780692813149344,0.025427316693760672,0.003688975060299402,0.0010811620607294452,0.00026577680460637774,0.08422947965464776,0.012780692813149344,0.025427316693760672,0.003688975060299402,0.0010811620607294452,0.00026577680460637774
Fixed Cut 40.0%,372,155,247,39.903069466882066,N/A,N/A,10.35417366027832,1.4414380776941729,10.35417366027832,1.4414380776941729,0.07984267363406143,0.013573079814108876,0.023973648735779955,0.003887896404213355,0.0009670860218231334,0.0002917296476332386,0.07984267363406143,0.013573079814108876,0.023973648735779955,0.003887896404213355,0.0009670860218231334,0.0002917296476332386
Fixed Cut 45.0%,341,155,278,44.91114701130856,N/A,N/A,4.126652383804322,0.6653274982733546,4.126652383804322,0.6653274982733546,0.13693297742685803,0.04190639044385354,0.04247599215343831,0.012952386546130101,0.003224976091187977,0.0018622948654060884,0.13693297742685803,0.04190639044385354,0.04247599215343831,0.012952386546130101,0.003224976091187977,0.0018622948654060884
Fixed Cut 50.0%,310,155,309,49.919224555735056,N/A,N/A,5.119970750808716,2.093570154676597,5.119970750808716,2.093570154676597,0.09617645988952812,0.015409087161450523,0.02996099482069275,0.0043020714533219834,0.0015740888965173592,0.00039293973119212695,0.09617645988952812,0.015409087161450523,0.02996099482069275,0.0043020714533219834,0.0015740888965173592,0.00039293973119212695
Fixed Cut 55.0%,279,155,340,54.92730210016155,N/A,N/A,6.761028289794922,1.0303387129472212,6.761028289794922,1.0303387129472212,0.08904147344411759,0.005059901183339469,0.02713034254516788,0.001639300778111466,0.0012461071336972,0.0001640007412814684,0.08904147344411759,0.005059901183339469,0.02713034254516788,0.001639300778111466,0.0012461071336972,0.0001640007412814684
Fixed Cut 60.0%,248,155,371,59.935379644588046,N/A,N/A,6.15627875328064,4.817499041988102,6.15627875328064,4.817499041988102,0.09543447654383591,0.030357287273686417,0.029483123779369947,0.0099933529900055,0.001540557292654129,0.0009014383363924666,0.09543447654383591,0.030357287273686417,0.029483123779369947,0.0099933529900055,0.001540557292654129,0.0009014383363924666
Fixed Cut 65.0%,217,155,402,64.94345718901454,N/A,N/A,2.835579681396484,0.22343666229487152,2.835579681396484,0.22343666229487152,0.09975872035321923,0.006263038297824984,0.030985375309060682,0.0017588843380819611,0.0016479826079379668,0.00011169081831943943,0.09975872035321923,0.006263038297824984,0.030985375309060682,0.0017588843380819611,0.0016479826079379668,0.00011169081831943943
Fixed Cut 70.0%,186,155,433,69.95153473344104,N/A,N/A,3.113221025466919,0.20979528896915903,3.113221025466919,0.20979528896915903,0.1069243964940776,0.03455694973890486,0.03511274451964254,0.012761210831906554,0.002276000248806075,0.0015514737231576078,0.1069243964940776,0.03455694973890486,0.03511274451964254,0.012761210831906554,0.002276000248806075,0.0015514737231576078
Fixed Cut 75.0%,155,155,464,74.95961227786752,N/A,N/A,3.110763168334961,0.27794325189397573,3.110763168334961,0.27794325189397573,0.12126885200588293,0.028738877672949924,0.0354545355595264,0.007184932732406045,0.0020139407076542066,0.000702956957689336,0.12126885200588293,0.028738877672949924,0.0354545355595264,0.007184932732406045,0.0020139407076542066,0.000702956957689336
Fixed Cut 80.0%,124,155,495,79.96768982229402,N/A,N/A,2.7317798137664795,0.04682258399046901,2.7317798137664795,0.04682258399046901,0.1854500921759741,0.04578235931094461,0.04791803643346105,0.01082021873507308,0.003168605609556978,0.001263774669392971,0.1854500921759741,0.04578235931094461,0.04791803643346105,0.01082021873507308,0.003168605609556978,0.001263774669392971
Fixed Cut 85.0%,93,155,526,84.97576736672052,N/A,N/A,2.2546346187591553,0.09170665128507596,2.2546346187591553,0.09170665128507596,0.2389200203971037,0.06119900981788712,0.06041000869198233,0.014920037853232994,0.00488003926204581,0.0024058009673817494,0.2389200203971037,0.06119900981788712,0.06041000869198233,0.014920037853232994,0.00488003926204581,0.0024058009673817494
Fixed Cut 90.0%,62,155,557,89.98384491114702,N/A,N/A,2.4913071155548097,0.2292858571666347,2.4913071155548097,0.2292858571666347,0.33095749370456057,0.07603148692047978,0.08349054705485781,0.01869192818754598,0.0090267925257183,0.003718490379534309,0.33095749370456057,0.07603148692047978,0.08349054705485781,0.01869192818754598,0.0090267925257183,0.003718490379534309
Window L1,54,155,565,91.2762520193861,0.01739163398742676,0.0007273526330568765,2.6917001724243166,0.1286175441000414,2.709091806411743,0.12902165740574775,0.3563015914782542,0.045008826125734244,0.09050538098237983,0.011239187198942208,0.010136172135932145,0.002464313306008856,0.3563015914782542,0.045008826125734244,0.09050538098237983,0.011239187198942208,0.010136172135932145,0.002464313306008856
Window L2,54,155,565,91.2762520193861,0.00932168960571289,0.00037995795113410604,2.7441453456878664,0.04850598368861375,2.7534670352935793,0.04847125513507417,0.35862170247679426,0.03666997734012681,0.0909104710252141,0.009184147015822024,0.01022928054538087,0.0019437640896049215,0.35862170247679426,0.03666997734012681,0.0909104710252141,0.009184147015822024,0.01022928054538087,0.0019437640896049215
Window Normal,539,155,80,12.924071082390952,0.01918635368347168,0.004171206680660638,14.569576597213745,2.624564367682081,14.588762950897216,2.626759445517346,0.05130876216269585,0.004435541616345137,0.016259706933165325,0.00143500686754822,0.0004958154518599189,7.898686262169164e-05,0.05130876216269585,0.004435541616345137,0.016259706933165325,0.00143500686754822,0.0004958154518599189,7.898686262169164e-05
Window RBF,529,155,90,14.539579967689823,0.015735149383544922,0.0011087112382157176,17.102402925491333,10.315304537981065,17.118138074874878,10.315113755757517,0.05818345242116598,0.016560654796383772,0.018378757634568917,0.005225735735117346,0.0006724412151834509,0.0003411320546739854,0.05818345242116598,0.016560654796383772,0.018378757634568917,0.005225735735117346,0.0006724412151834509,0.0003411320546739854
Window Cosine,0,155,619,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,59,155,560,90.46849757673667,0.010190629959106445,0.001571178098007073,3.050439977645874,0.4431310066327927,3.0606306076049803,0.4445253042284262,0.3863412727732088,0.07064260992487152,0.09701516272688962,0.016449297390529534,0.012007070581769525,0.00438889115595133,0.3863412727732088,0.07064260992487152,0.09701516272688962,0.016449297390529534,0.012007070581769525,0.00438889115595133
