Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,7.760715007781982,7.760715007781982,0.06714651273721145,0.02654508967071805,0.0010240425353175572,0.06714651273721145,0.02654508967071805,0.0010240425353175572
Fixed Cut 5.0%,380,100,20,5.0,N/A,4.02074408531189,4.02074408531189,0.09993322955027015,0.04065629420675226,0.0023401167041213014,0.09993322955027015,0.04065629420675226,0.0023401167041213014
Fixed Cut 10.0%,360,100,40,10.0,N/A,7.9164018630981445,7.9164018630981445,0.06026779925716689,0.023620752136408994,0.0009401536903378887,0.06026779925716689,0.023620752136408994,0.0009401536903378887
Fixed Cut 15.0%,340,100,60,15.0,N/A,4.479898929595947,4.479898929595947,0.09394202248601127,0.03811489111248423,0.0021542247442397034,0.09394202248601127,0.03811489111248423,0.0021542247442397034
Fixed Cut 20.0%,320,100,80,20.0,N/A,4.40130090713501,4.40130090713501,0.08945231733233248,0.035715289741700795,0.001956458073260184,0.08945231733233248,0.035715289741700795,0.001956458073260184
Fixed Cut 25.0%,300,100,100,25.0,N/A,6.364764928817749,6.364764928817749,0.08441535046241029,0.032538801715434586,0.0017172964428105316,0.08441535046241029,0.032538801715434586,0.0017172964428105316
Fixed Cut 30.0%,280,100,120,30.0,N/A,5.376983165740967,5.376983165740967,0.07750868571828545,0.030407855892145817,0.0014659798969636983,0.07750868571828545,0.030407855892145817,0.0014659798969636983
Fixed Cut 35.0%,260,100,140,35.0,N/A,4.897850036621094,4.897850036621094,0.07603903800161449,0.030149151570712924,0.0013719529674622343,0.07603903800161449,0.030149151570712924,0.0013719529674622343
Fixed Cut 40.0%,240,100,160,40.0,N/A,5.8524792194366455,5.8524792194366455,0.08600793710980684,0.03259449810450942,0.0017681465881965856,0.08600793710980684,0.03259449810450942,0.0017681465881965856
Fixed Cut 45.0%,221,100,179,44.75,N/A,5.973180055618286,5.973180055618286,0.1034995416269998,0.037713013973650414,0.002419828024444153,0.1034995416269998,0.037713013973650414,0.002419828024444153
Fixed Cut 50.0%,201,100,199,49.75,N/A,4.4944398403167725,4.4944398403167725,0.09593169069040439,0.03531375207334332,0.002213361138110595,0.09593169069040439,0.03531375207334332,0.002213361138110595
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.330404043197632,3.330404043197632,0.10917690605108385,0.04327215260613434,0.0029504547683290297,0.10917690605108385,0.04327215260613434,0.0029504547683290297
Fixed Cut 60.0%,160,100,240,60.0,N/A,3.250209093093872,3.250209093093872,0.1352441156484767,0.0653245807304051,0.006627994254512364,0.1352441156484767,0.0653245807304051,0.006627994254512364
Fixed Cut 65.0%,140,100,260,65.0,N/A,3.260725975036621,3.260725975036621,0.1520787778748354,0.0589356846089755,0.005425098447692117,0.1520787778748354,0.0589356846089755,0.005425098447692117
Fixed Cut 70.0%,120,100,280,70.0,N/A,3.2191569805145264,3.2191569805145264,0.22545843541447613,0.08687252888987482,0.010491944879635033,0.22545843541447613,0.08687252888987482,0.010491944879635033
Fixed Cut 75.0%,100,100,300,75.0,N/A,3.133687734603882,3.133687734603882,0.1401654594042758,0.055140724890382596,0.004782158902841513,0.1401654594042758,0.055140724890382596,0.004782158902841513
Fixed Cut 80.0%,80,100,320,80.0,N/A,3.2603511810302734,3.2603511810302734,0.1160156891575011,0.05712077111966443,0.005183038467309259,0.1160156891575011,0.05712077111966443,0.005183038467309259
Fixed Cut 85.0%,60,100,340,85.0,N/A,3.2853548526763916,3.2853548526763916,0.11558655018637758,0.05049685769225779,0.004023549992780663,0.11558655018637758,0.05049685769225779,0.004023549992780663
Fixed Cut 90.0%,40,100,360,90.0,N/A,3.1463370323181152,3.1463370323181152,0.18660208498630979,0.10054645313214942,0.01342977145862366,0.18660208498630979,0.10054645313214942,0.01342977145862366
Window L1,120,100,280,70.0,0.010252952575683594,3.1626579761505127,3.1729109287261963,0.11691549623819202,0.046102500546768094,0.003314975116273484,0.11691549623819202,0.046102500546768094,0.003314975116273484
