Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Dollars/Barrel_MAPE,Std Dollars/Barrel_MAPE,Avg Dollars/Barrel_MAE,Std Dollars/Barrel_MAE,Avg Dollars/Barrel_MSE,Std Dollars/Barrel_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,400,100,N/A,N/A,N/A,N/A,9.455075311660767,3.1835558532978285,9.455075311660767,3.1835558532978285,0.07221191988571646,0.012046594661081,0.02823121517276117,0.00455563281057506,0.001295373119017459,0.00044125667980497816,0.07221191988571646,0.012046594661081,0.02823121517276117,0.00455563281057506,0.001295373119017459,0.00044125667980497816
Fixed Cut 5.0%,380,100,20,5.0,N/A,N/A,7.463517808914185,3.1545469898893144,7.463517808914185,3.1545469898893144,0.08475193611529361,0.014889714581746304,0.034083218655545325,0.006376322769907426,0.0017362799386662548,0.0005195590566854131,0.08475193611529361,0.014889714581746304,0.034083218655545325,0.006376322769907426,0.0017362799386662548,0.0005195590566854131
Fixed Cut 10.0%,360,100,40,10.0,N/A,N/A,11.375277757644653,4.848779279730004,11.375277757644653,4.848779279730004,0.06815637422993734,0.015592163115011588,0.027124471166259975,0.006869214529804354,0.0012106764441231004,0.0005783976476544066,0.06815637422993734,0.015592163115011588,0.027124471166259975,0.006869214529804354,0.0012106764441231004,0.0005783976476544066
Fixed Cut 15.0%,340,100,60,15.0,N/A,N/A,8.952359819412232,3.1721456810317648,8.952359819412232,3.1721456810317648,0.07622380538598868,0.0126681401804548,0.030347640507557148,0.005373239454100473,0.0014036582362189115,0.0005002237871966519,0.07622380538598868,0.0126681401804548,0.030347640507557148,0.005373239454100473,0.0014036582362189115,0.0005002237871966519
Fixed Cut 20.0%,320,100,80,20.0,N/A,N/A,8.784048795700073,4.303407579324535,8.784048795700073,4.303407579324535,0.07454070875378924,0.012426531284618654,0.029336871086302625,0.0050315590669335174,0.001383924273623779,0.0004282322478571598,0.07454070875378924,0.012426531284618654,0.029336871086302625,0.0050315590669335174,0.001383924273623779,0.0004282322478571598
Fixed Cut 25.0%,300,100,100,25.0,N/A,N/A,12.212314558029174,4.193159428496745,12.212314558029174,4.193159428496745,0.06736151804705844,0.010232939803071665,0.02638115778482976,0.0037301960821425556,0.0011073101316001663,0.00035470886938767857,0.06736151804705844,0.010232939803071665,0.02638115778482976,0.0037301960821425556,0.0011073101316001663,0.00035470886938767857
Fixed Cut 30.0%,280,100,120,30.0,N/A,N/A,7.1455470561981205,2.24287706358713,7.1455470561981205,2.24287706358713,0.075176932668573,0.00886866753141214,0.0291038358418609,0.0035193709533330847,0.0014062513184852766,0.0002840660994450344,0.075176932668573,0.00886866753141214,0.0291038358418609,0.0035193709533330847,0.0014062513184852766,0.0002840660994450344
Fixed Cut 35.0%,260,100,140,35.0,N/A,N/A,6.583932495117187,2.0343371575716667,6.583932495117187,2.0343371575716667,0.07529105525796931,0.00932891012844081,0.029147142882677255,0.0035781604751002043,0.0013983289690225073,0.0003045027569956898,0.07529105525796931,0.00932891012844081,0.029147142882677255,0.0035781604751002043,0.0013983289690225073,0.0003045027569956898
Fixed Cut 40.0%,240,100,160,40.0,N/A,N/A,5.438332509994507,0.8159868929677405,5.438332509994507,0.8159868929677405,0.09433102399123297,0.01202735009943627,0.03534549970350905,0.0036589704002226026,0.002079229009160813,0.00044124535387464166,0.09433102399123297,0.01202735009943627,0.03534549970350905,0.0036589704002226026,0.002079229009160813,0.00044124535387464166
Fixed Cut 45.0%,221,100,179,44.75,N/A,N/A,5.673687744140625,1.2515276419170414,5.673687744140625,1.2515276419170414,0.10111911515557552,0.03856420804182022,0.03737154849728934,0.012741507090523886,0.002441538164096802,0.0015846021619341324,0.10111911515557552,0.03856420804182022,0.03737154849728934,0.012741507090523886,0.002441538164096802,0.0015846021619341324
Fixed Cut 50.0%,201,100,199,49.75,N/A,N/A,4.0369195461273195,0.581365366524125,4.0369195461273195,0.581365366524125,0.13795107087708566,0.05102716054802396,0.04932645483602012,0.017441952749756396,0.004106238563924369,0.002644626792726799,0.13795107087708566,0.05102716054802396,0.04932645483602012,0.017441952749756396,0.004106238563924369,0.002644626792726799
