Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,4.029807090759277,4.029807090759277,0.1706333301368741,0.1600146058738851,0.0373790842439048,0.1706333301368741,0.1600146058738851,0.0373790842439048
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,4.27343487739563,4.27343487739563,0.18985401978598104,0.17785326353477143,0.04485424225380697,0.18985401978598104,0.17785326353477143,0.04485424225380697
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.6473307609558105,3.6473307609558105,0.17865671173033504,0.167518351758616,0.0403483273290201,0.17865671173033504,0.167518351758616,0.0403483273290201
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,3.158007860183716,3.158007860183716,0.14036843945265828,0.1306658961992685,0.02680363186441614,0.14036843945265828,0.1306658961992685,0.02680363186441614
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,4.598870754241943,4.598870754241943,0.177414420312595,0.16630141270614027,0.03961281190409801,0.177414420312595,0.16630141270614027,0.03961281190409801
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,3.8920538425445557,3.8920538425445557,0.144596922442028,0.13482045557024558,0.02845969303572516,0.144596922442028,0.13482045557024558,0.02845969303572516
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.0157361030578613,3.0157361030578613,0.165569385482094,0.15542096246824627,0.03698766307571584,0.165569385482094,0.15542096246824627,0.03698766307571584
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,4.308021068572998,4.308021068572998,0.1520421022505466,0.14255474165048546,0.03079099060391889,0.1520421022505466,0.14255474165048546,0.03079099060391889
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,4.333905935287476,4.333905935287476,0.14144369654182293,0.13243865956546458,0.027046249840733796,0.14144369654182293,0.13243865956546458,0.027046249840733796
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,3.455504894256592,3.455504894256592,0.12640952183363013,0.11400344357422862,0.020015245463767258,0.12640952183363013,0.11400344357422862,0.020015245463767258
