Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,374,94,N/A,N/A,N/A,N/A,4.759957599639892,0.5935708674286196,4.759957599639892,0.5935708674286196,0.19774152265920789,0.03607207674313822,0.1844875336491665,0.03271431268304004,0.047737916690296894,0.013917662933689942,0.19774152265920789,0.03607207674313822,0.1844875336491665,0.03271431268304004,0.047737916690296894,0.013917662933689942
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,N/A,4.207412433624268,0.3398200169769752,4.207412433624268,0.3398200169769752,0.1758215796964955,0.03257163095629602,0.16432166455431751,0.03063102966803241,0.0399270686802685,0.012092188981790429,0.1758215796964955,0.03257163095629602,0.16432166455431751,0.03063102966803241,0.0399270686802685,0.012092188981790429
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,N/A,3.5362165451049803,0.4373575287653356,3.5362165451049803,0.4373575287653356,0.1973123923366684,0.025178316783648895,0.1847296188320079,0.023215828466358196,0.04855922107394367,0.01049030249587781,0.1973123923366684,0.025178316783648895,0.1847296188320079,0.023215828466358196,0.04855922107394367,0.01049030249587781
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,N/A,3.388046216964722,0.1846826907493922,3.388046216964722,0.1846826907493922,0.1714079810182687,0.026576161790303452,0.1605848258339809,0.02506616294111288,0.03864650714710601,0.010513277491886873,0.1714079810182687,0.026576161790303452,0.1605848258339809,0.02506616294111288,0.03864650714710601,0.010513277491886873
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,N/A,4.193411779403687,0.33122780627117815,4.193411779403687,0.33122780627117815,0.16286400085779917,0.017175531792472536,0.15272048785010214,0.01631850342940207,0.03510734051597316,0.006614415572658182,0.16286400085779917,0.017175531792472536,0.15272048785010214,0.01631850342940207,0.03510734051597316,0.006614415572658182
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,N/A,3.7073763847351073,0.14085587022300153,3.7073763847351073,0.14085587022300153,0.16525527345080648,0.012751551224633341,0.1549437271585227,0.012359284509964418,0.03658834867347318,0.0049006232864645454,0.16525527345080648,0.012751551224633341,0.1549437271585227,0.012359284509964418,0.03658834867347318,0.0049006232864645454
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,N/A,3.2272195339202883,0.2937550026526461,3.2272195339202883,0.2937550026526461,0.1480403168637358,0.014721239869140522,0.1377071076775988,0.015159593822783328,0.029406596432396712,0.005919689114548703,0.1480403168637358,0.014721239869140522,0.1377071076775988,0.015159593822783328,0.029406596432396712,0.005919689114548703
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,N/A,3.8128278732299803,0.3353529610752778,3.8128278732299803,0.3353529610752778,0.16278162704730265,0.01976493209345248,0.15262326654390085,0.018798945176226774,0.035546904534196844,0.008152729654535406,0.16278162704730265,0.01976493209345248,0.15262326654390085,0.018798945176226774,0.035546904534196844,0.008152729654535406
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,N/A,3.7498021125793457,0.3822737943758863,3.7498021125793457,0.3822737943758863,0.1604751700435762,0.03503807251275169,0.1496954179430523,0.03365908027547972,0.034706472348679566,0.01412678371859719,0.1604751700435762,0.03503807251275169,0.1496954179430523,0.03365908027547972,0.034706472348679566,0.01412678371859719
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,N/A,3.5247026443481446,0.24607958740517277,3.5247026443481446,0.24607958740517277,0.13654614656237996,0.012233872096379989,0.12509037710707088,0.01377988071726832,0.02453515379588877,0.0055946890472396696,0.13654614656237996,0.012233872096379989,0.12509037710707088,0.01377988071726832,0.02453515379588877,0.0055946890472396696
