Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,6.213428020477295,6.213428020477295,0.10524605281982988,0.08983883513705512,0.010946251132841546,0.10524605281982988,0.08983883513705512,0.010946251132841546
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,5.481830835342407,5.481830835342407,0.11572628200788952,0.10062910017074497,0.014301062163874065,0.11572628200788952,0.10062910017074497,0.014301062163874065
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,8.433010339736938,8.433010339736938,0.10082459522881058,0.0851725176686531,0.00953163791094254,0.10082459522881058,0.0851725176686531,0.00953163791094254
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,3.3843517303466797,3.3843517303466797,0.11227773383766113,0.09661416013785008,0.013354688161820281,0.11227773383766113,0.09661416013785008,0.013354688161820281
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,4.11191463470459,4.11191463470459,0.1165948248015556,0.09363991958479419,0.014145504010715014,0.1165948248015556,0.09363991958479419,0.014145504010715014
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,4.3593761920928955,4.3593761920928955,0.11792063048857875,0.10249943993755192,0.014974708456774479,0.11792063048857875,0.10249943993755192,0.014974708456774479
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.409404993057251,3.409404993057251,0.10596428662004939,0.08918742983537946,0.011454306654819505,0.10596428662004939,0.08918742983537946,0.011454306654819505
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.944422960281372,3.944422960281372,0.11152929790221244,0.09580209275521298,0.013115075286275164,0.11152929790221244,0.09580209275521298,0.013115075286275164
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,3.9170711040496826,3.9170711040496826,0.10374710553487639,0.08706834058782448,0.010457201565880092,0.10374710553487639,0.08706834058782448,0.010457201565880092
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,4.3112499713897705,4.3112499713897705,0.10614406038565942,0.08939252188183212,0.011386617790385486,0.10614406038565942,0.08939252188183212,0.011386617790385486
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,4.56197714805603,4.56197714805603,0.10231080156026463,0.08683342060127908,0.010236430587076642,0.10231080156026463,0.08683342060127908,0.010236430587076642
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,4.557120084762573,4.557120084762573,0.10539355148736307,0.08936467966161342,0.011377529462507445,0.10539355148736307,0.08936467966161342,0.011377529462507445
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,4.329900026321411,4.329900026321411,0.10678235492003693,0.09030366314585968,0.011650288423373166,0.10678235492003693,0.09030366314585968,0.011650288423373166
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,4.598306179046631,4.598306179046631,0.1053729666810779,0.08856869023621002,0.011533360763644116,0.1053729666810779,0.08856869023621002,0.011533360763644116
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,4.472717046737671,4.472717046737671,0.10504228076026526,0.08916683205161574,0.011324985820792784,0.10504228076026526,0.08916683205161574,0.011324985820792784
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,4.540158987045288,4.540158987045288,0.11220722570831308,0.0969696408690688,0.01334767647467503,0.11220722570831308,0.0969696408690688,0.01334767647467503
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,3.878103733062744,3.878103733062744,0.10994105200339135,0.09498261691501446,0.012679115011531418,0.10994105200339135,0.09498261691501446,0.012679115011531418
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,3.231163263320923,3.231163263320923,0.11038079504272104,0.09518780017356407,0.012916595092866112,0.11038079504272104,0.09518780017356407,0.012916595092866112
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,3.1059677600860596,3.1059677600860596,0.11464956084296389,0.10120846663544149,0.014159869853920471,0.11464956084296389,0.10120846663544149,0.014159869853920471
Window L1,269,94,105,28.07486631016043,0.012009143829345703,6.308352947235107,6.320362091064453,0.11507387732774726,0.09983997511384125,0.014382144030791055,0.11507387732774726,0.09983997511384125,0.014382144030791055
Window L2,264,94,110,29.411764705882355,0.005924701690673828,4.426271200180054,4.4321959018707275,0.10903657835438725,0.0931660101991571,0.012632184549407467,0.10903657835438725,0.0931660101991571,0.012632184549407467
Window Normal,264,94,110,29.411764705882355,0.009161949157714844,4.25936484336853,4.268526792526245,0.10810291802268843,0.09270482439853896,0.012190055668635414,0.10810291802268843,0.09270482439853896,0.012190055668635414
