Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Number of Passengers_MAPE,Std Number of Passengers_MAPE,Avg Number of Passengers_MAE,Std Number of Passengers_MAE,Avg Number of Passengers_MSE,Std Number of Passengers_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,374,94,N/A,N/A,N/A,N/A,5.415731048583984,0.6645298940167104,5.415731048583984,0.6645298940167104,0.11151848952692278,0.0072745098432416815,0.0960077320733825,0.0074788005984215535,0.012913678456857742,0.002194361540231982,0.11151848952692278,0.0072745098432416815,0.0960077320733825,0.0074788005984215535,0.012913678456857742,0.002194361540231982
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,N/A,7.025327157974243,2.259525407451118,7.025327157974243,2.259525407451118,0.10688848145789338,0.00670898324794823,0.09136777879323182,0.0066624394796344156,0.011595970971144263,0.002050819377918736,0.10688848145789338,0.00670898324794823,0.09136777879323182,0.0066624394796344156,0.011595970971144263,0.002050819377918736
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,N/A,5.777749347686767,2.0823295831111994,5.777749347686767,2.0823295831111994,0.1047619987713674,0.005277156291538987,0.0889997254138961,0.00554428566213775,0.010839266387397324,0.0017506818949547432,0.1047619987713674,0.005277156291538987,0.0889997254138961,0.00554428566213775,0.010839266387397324,0.0017506818949547432
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,N/A,4.571205997467041,0.9651985487591411,4.571205997467041,0.9651985487591411,0.10748594656975777,0.003862004503316194,0.09177500956899666,0.003841388720526279,0.011962872303211237,0.0012123299969279524,0.10748594656975777,0.003862004503316194,0.09177500956899666,0.003841388720526279,0.011962872303211237,0.0012123299969279524
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,N/A,4.209238433837891,0.23414096299303652,4.209238433837891,0.23414096299303652,0.10959592994444597,0.004148395473848948,0.09211266940777933,0.0015172379365674595,0.012513750298998228,0.0010657915614248152,0.10959592994444597,0.004148395473848948,0.09211266940777933,0.0015172379365674595,0.012513750298998228,0.0010657915614248152
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,N/A,4.3712437629699705,0.25804248733733365,4.3712437629699705,0.25804248733733365,0.11102896983330549,0.003873803664883756,0.09518244680504018,0.004220650776994181,0.013002971971457165,0.001103810949082869,0.11102896983330549,0.003873803664883756,0.09518244680504018,0.004220650776994181,0.013002971971457165,0.001103810949082869
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,N/A,3.462324523925781,0.18344326801173264,3.462324523925781,0.18344326801173264,0.10876340744002418,0.00455088272702314,0.09247263594705409,0.005361738551462662,0.012352592230256872,0.0013360021351156873,0.10876340744002418,0.00455088272702314,0.09247263594705409,0.005361738551462662,0.012352592230256872,0.0013360021351156873
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,N/A,4.263609600067139,0.8272889272871895,4.263609600067139,0.8272889272871895,0.10726319263534805,0.003771816236246907,0.09059834308204721,0.0034284266389779166,0.011805049629061837,0.0012024431348619366,0.10726319263534805,0.003771816236246907,0.09059834308204721,0.0034284266389779166,0.011805049629061837,0.0012024431348619366
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,N/A,3.9881919384002686,0.5175257301662517,3.9881919384002686,0.5175257301662517,0.10701178939412288,0.003028474151573844,0.09055273650609366,0.003651154878722094,0.011709718205871161,0.001053664380958801,0.10701178939412288,0.003028474151573844,0.09055273650609366,0.003651154878722094,0.011709718205871161,0.001053664380958801
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,N/A,4.340819597244263,0.2296849565475869,4.340819597244263,0.2296849565475869,0.10758016709710401,0.0031212154621072146,0.09116045951314562,0.0031216503606161135,0.011916513272467412,0.0009908478233198205,0.10758016709710401,0.0031212154621072146,0.09116045951314562,0.0031216503606161135,0.011916513272467412,0.0009908478233198205
