Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,792,199,N/A,N/A,N/A,12.23125410079956,12.23125410079956,0.1598424659678005,0.02434327247055948,0.001147569257644602,0.1598424659678005,0.02434327247055948,0.001147569257644602
Fixed Cut 5.0%,753,199,39,4.924242424242424,N/A,22.33313798904419,22.33313798904419,0.16257321269077143,0.0244969279359591,0.001192940962169236,0.16257321269077143,0.0244969279359591,0.001192940962169236
Fixed Cut 10.0%,713,199,79,9.974747474747476,N/A,17.09509301185608,17.09509301185608,0.17443772948312905,0.0257967547424448,0.0013062932836436444,0.17443772948312905,0.0257967547424448,0.0013062932836436444
Fixed Cut 15.0%,674,199,118,14.898989898989898,N/A,17.397634029388428,17.397634029388428,0.17420548883644085,0.025764317562623273,0.0013127950961900768,0.17420548883644085,0.025764317562623273,0.0013127950961900768
Fixed Cut 20.0%,634,199,158,19.94949494949495,N/A,18.87356996536255,18.87356996536255,0.17413865908450818,0.025516333710641204,0.0012533951597324836,0.17413865908450818,0.025516333710641204,0.0012533951597324836
Fixed Cut 25.0%,594,199,198,25.0,N/A,23.14452886581421,23.14452886581421,0.17221346785307512,0.025321026868155894,0.0012263095346363594,0.17221346785307512,0.025321026868155894,0.0012263095346363594
Fixed Cut 30.0%,555,199,237,29.924242424242426,N/A,16.35923409461975,16.35923409461975,0.16631302563991068,0.024638027290894718,0.0011542027254226055,0.16631302563991068,0.024638027290894718,0.0011542027254226055
Fixed Cut 35.0%,515,199,277,34.974747474747474,N/A,19.1335551738739,19.1335551738739,0.16789850130327763,0.02476182053126268,0.0011236710992626753,0.16789850130327763,0.02476182053126268,0.0011236710992626753
Fixed Cut 40.0%,476,199,316,39.8989898989899,N/A,15.059994220733643,15.059994220733643,0.171147423520436,0.025462832312765093,0.0012522145060247035,0.171147423520436,0.025462832312765093,0.0012522145060247035
Fixed Cut 45.0%,436,199,356,44.94949494949495,N/A,14.0292489528656,14.0292489528656,0.1712376683433587,0.025004202641592633,0.0011937573737024977,0.1712376683433587,0.025004202641592633,0.0011937573737024977
Fixed Cut 50.0%,397,199,395,49.87373737373738,N/A,6.934273958206177,6.934273958206177,0.21440725119168838,0.030929383407948926,0.001828074173462416,0.21440725119168838,0.030929383407948926,0.001828074173462416
Fixed Cut 55.0%,357,199,435,54.92424242424242,N/A,6.188377141952515,6.188377141952515,0.23987909624354012,0.033108847269266516,0.0020517154914827113,0.23987909624354012,0.033108847269266516,0.0020517154914827113
Fixed Cut 60.0%,317,199,475,59.97474747474747,N/A,7.288151025772095,7.288151025772095,0.19397317060586175,0.028208200074763295,0.001552060637169811,0.19397317060586175,0.028208200074763295,0.001552060637169811
Fixed Cut 65.0%,278,199,514,64.8989898989899,N/A,5.325452089309692,5.325452089309692,0.2489517658533146,0.035405471977941194,0.002413462916110561,0.2489517658533146,0.035405471977941194,0.002413462916110561
Fixed Cut 70.0%,238,199,554,69.94949494949495,N/A,5.746736764907837,5.746736764907837,0.28769823550442614,0.039661838342335436,0.002983859671099813,0.28769823550442614,0.039661838342335436,0.002983859671099813
Fixed Cut 75.0%,198,199,594,75.0,N/A,4.346230983734131,4.346230983734131,0.3304189271588551,0.04224472477844659,0.0031351460300115368,0.3304189271588551,0.04224472477844659,0.0031351460300115368
Fixed Cut 80.0%,159,199,633,79.92424242424242,N/A,3.9083378314971924,3.9083378314971924,0.49480818444273456,0.05583578272749368,0.004937914197857309,0.49480818444273456,0.05583578272749368,0.004937914197857309
Fixed Cut 85.0%,119,199,673,84.97474747474747,N/A,3.1790170669555664,3.1790170669555664,0.7987031086307496,0.08153333028182082,0.008822133944868046,0.7987031086307496,0.08153333028182082,0.008822133944868046
Fixed Cut 90.0%,80,199,712,89.8989898989899,N/A,3.7138772010803223,3.7138772010803223,0.4450613636966237,0.10431810202574178,0.02316322411447694,0.4450613636966237,0.10431810202574178,0.02316322411447694
Window L1,507,199,285,35.984848484848484,0.023446083068847656,10.743873834609985,10.767319917678833,0.17494827564393645,0.026021276519352,0.0012615513526243417,0.17494827564393645,0.026021276519352,0.0012615513526243417
Window L2,127,199,665,83.96464646464646,0.013710737228393555,3.0853328704833984,3.099043607711792,1.0288350802370596,0.09918457445727459,0.012394039957712549,1.0288350802370596,0.09918457445727459,0.012394039957712549
Window Normal,127,199,665,83.96464646464646,0.021589040756225586,3.1728031635284424,3.194392204284668,0.5619527379977088,0.059071972241522386,0.0050534096795338546,0.5619527379977088,0.059071972241522386,0.0050534096795338546
Window RBF,502,199,290,36.61616161616162,0.0215761661529541,12.469412088394165,12.49098825454712,0.16474090171319952,0.025010230947363946,0.0011999931164462672,0.16474090171319952,0.025010230947363946,0.0011999931164462672
Window Cosine,0,199,792,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,199,792,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,52,199,740,93.43434343434343,0.012502193450927734,4.1371519565582275,4.149654150009155,0.5713899881043462,0.11844578978835342,0.0255788510935696,0.5713899881043462,0.11844578978835342,0.0255788510935696
Window Rank,502,199,290,36.61616161616162,0.019661903381347656,11.75376582145691,11.773427724838257,0.17256354764692802,0.025748457441988004,0.0012845588555229312,0.17256354764692802,0.025748457441988004,0.0012845588555229312
Window Mahalanobis,127,199,665,83.96464646464646,0.017614126205444336,6.586436033248901,6.604050159454346,0.3381337653478682,0.042365126395935614,0.003123543719939229,0.3381337653478682,0.042365126395935614,0.003123543719939229
