Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,792,199,N/A,N/A,N/A,N/A,15.028757810592651,2.2615791147759574,15.028757810592651,2.2615791147759574,0.16592503469185135,0.006793265881329912,0.024997079398431644,0.0007959295386897176,0.001232701356540003,9.115284356063737e-05,0.16592503469185135,0.006793265881329912,0.024997079398431644,0.0007959295386897176,0.001232701356540003,9.115284356063737e-05
Fixed Cut 5.0%,753,199,39,4.924242424242424,N/A,N/A,16.088450622558593,4.798024204812875,16.088450622558593,4.798024204812875,0.16679506801472574,0.005500266844976636,0.02500183190479819,0.0006019725260509641,0.0012327643781955442,5.3507809001680846e-05,0.16679506801472574,0.005500266844976636,0.02500183190479819,0.0006019725260509641,0.0012327643781955442,5.3507809001680846e-05
Fixed Cut 10.0%,713,199,79,9.974747474747476,N/A,N/A,16.943196964263915,3.6831284436021945,16.943196964263915,3.6831284436021945,0.1717783747163718,0.004630656109470498,0.02550659580559471,0.0006214929533461114,0.0012832330743765084,6.736384202289715e-05,0.1717783747163718,0.004630656109470498,0.02550659580559471,0.0006214929533461114,0.0012832330743765084,6.736384202289715e-05
Fixed Cut 15.0%,674,199,118,14.898989898989898,N/A,N/A,20.824674224853517,2.2805519785050605,20.824674224853517,2.2805519785050605,0.17043421521896923,0.006291331539437835,0.02538386019644743,0.0008259213655662279,0.0012764565257406637,8.586730520921497e-05,0.17043421521896923,0.006291331539437835,0.02538386019644743,0.0008259213655662279,0.0012764565257406637,8.586730520921497e-05
Fixed Cut 20.0%,634,199,158,19.94949494949495,N/A,N/A,18.670120191574096,5.065250756242064,18.670120191574096,5.065250756242064,0.1775595492256949,0.015391778356035437,0.026005894503618527,0.001725672016378485,0.0013166090629730038,0.0001729164043310373,0.1775595492256949,0.015391778356035437,0.026005894503618527,0.001725672016378485,0.0013166090629730038,0.0001729164043310373
Fixed Cut 25.0%,594,199,198,25.0,N/A,N/A,20.75387063026428,4.377570859033394,20.75387063026428,4.377570859033394,0.1738214487404017,0.007299956499023149,0.025540540934376254,0.0009085897065430064,0.001261390815617236,9.21596267429772e-05,0.1738214487404017,0.007299956499023149,0.025540540934376254,0.0009085897065430064,0.001261390815617236,9.21596267429772e-05
Fixed Cut 30.0%,555,199,237,29.924242424242426,N/A,N/A,15.031925106048584,4.918894625603124,15.031925106048584,4.918894625603124,0.19698973907332368,0.04771979365199225,0.027992586135546383,0.005132486772062178,0.0015139275571440845,0.0005489705648556269,0.19698973907332368,0.04771979365199225,0.027992586135546383,0.005132486772062178,0.0015139275571440845,0.0005489705648556269
Fixed Cut 35.0%,515,199,277,34.974747474747474,N/A,N/A,20.037405252456665,3.755118070097656,20.037405252456665,3.755118070097656,0.15926528517496313,0.005317653639624265,0.023937328268705822,0.0005584567587691616,0.0010957837750118745,2.0008499841917773e-05,0.15926528517496313,0.005317653639624265,0.023937328268705822,0.0005584567587691616,0.0010957837750118745,2.0008499841917773e-05
Fixed Cut 40.0%,476,199,316,39.8989898989899,N/A,N/A,11.705303239822388,2.316160413590932,11.705303239822388,2.316160413590932,0.1867025921345048,0.023369295456245314,0.02707806851434214,0.002678088430653703,0.0014097036420437049,0.0002643700128901562,0.1867025921345048,0.023369295456245314,0.02707806851434214,0.002678088430653703,0.0014097036420437049,0.0002643700128901562
Fixed Cut 45.0%,436,199,356,44.94949494949495,N/A,N/A,15.398493576049805,3.123368420621778,15.398493576049805,3.123368420621778,0.16906638023187986,0.007219747633689179,0.024819102922914837,0.0007203865002666964,0.0011840432004055759,5.9400395332090645e-05,0.16906638023187986,0.007219747633689179,0.024819102922914837,0.0007203865002666964,0.0011840432004055759,5.9400395332090645e-05
Fixed Cut 50.0%,397,199,395,49.87373737373738,N/A,N/A,7.058700180053711,2.212589501686815,7.058700180053711,2.212589501686815,0.24279250070109412,0.04897386178327193,0.0335470926854089,0.00524013616512972,0.002120261540462696,0.0005821015975010448,0.24279250070109412,0.04897386178327193,0.0335470926854089,0.00524013616512972,0.002120261540462696,0.0005821015975010448
Fixed Cut 55.0%,357,199,435,54.92424242424242,N/A,N/A,6.32519941329956,0.5653142394017255,6.32519941329956,0.5653142394017255,0.2252877417337938,0.014615379039041788,0.031632481743837676,0.00160859584138241,0.0019005389827691785,0.00016048479319918967,0.2252877417337938,0.014615379039041788,0.031632481743837676,0.00160859584138241,0.0019005389827691785,0.00016048479319918967
