Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,407,102,N/A,N/A,N/A,6.350104093551636,6.350104093551636,0.024804989592097555,0.02261374181892197,0.000774747849308899,0.2418441180091892,0.2597927742890036,0.07014512157052173,264161377220931.72,0.2643077783415271,0.11377859972881618,0.29438919443573264,0.33978968845920254,0.25720245833420236,66040344305233.055,0.22162599572716374,0.11047523187071233
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,4.911399841308594,4.911399841308594,0.024333766346370963,0.021692741068401633,0.0008157797296074754,0.21843749379243843,0.23494490228273787,0.05737989999826317,251995576479873.66,0.2737868925979342,0.12589031046343277,0.31881176113471055,0.3381843208422009,0.23938657042758435,62998894119968.56,0.2171522141978186,0.10586814015472196
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,3.574934959411621,3.574934959411621,0.045569151846122244,0.040889218713461024,0.0021052033287259826,0.31140514280521947,0.3357583726714515,0.11930029772094913,493608683391170.25,0.28890244158193473,0.10176212186564844,0.32232140861792813,0.33495723468934896,0.22906317184969635,123402170847792.73,0.25012681691404903,0.11305769869125498
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,4.179572105407715,4.179572105407715,0.05617630498268067,0.05053142821824105,0.003277286508186081,0.22614119251972503,0.24210357383750405,0.06040534001993185,443979269608157.3,0.31471377828121977,0.13554238877905364,0.31615751113164103,0.33707287255009105,0.2365939560311827,110994817402039.48,0.23610541322176398,0.10895474283458853
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,5.446339845657349,5.446339845657349,0.03837739082181346,0.03417386768401478,0.0015759519552510487,0.2379198058331549,0.2561634242541895,0.06867226156077522,290331302763940.7,0.2769073926121823,0.1220399527323166,0.28646863699107733,0.3480615707392986,0.27070485811348516,72582825690985.31,0.22882656382242128,0.115748256090457
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,5.286502122879028,5.286502122879028,0.052940459268293424,0.048167289665223996,0.003317313850399239,0.2143778383576887,0.23006574699825783,0.05486275200204199,201628098350974.94,0.28182890421207435,0.1463882217494528,0.30446384353371514,0.430627299550187,0.41885797562135085,50407024587743.9,0.2476723101064358,0.15585656580581125
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,4.989369869232178,4.989369869232178,0.08159148315655398,0.07361203066334154,0.006308127758095328,0.17964338361960108,0.1927282185938212,0.03915597403009553,240629622977331.5,0.29172964635389836,0.14942443889305643,0.3546307483092685,0.49653843139129245,0.5411032563333197,60157405744333.03,0.2636520817505884,0.18399794925364177
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,3.7571141719818115,3.7571141719818115,0.09889339979296259,0.09018926442959617,0.010415994731389438,0.201623920014966,0.2186037129484708,0.0536577722498659,506751167465838.8,0.3269551921649241,0.14199210190903178,0.3373085749926042,0.4701979539866782,0.48833833783012076,126687791866459.86,0.27648653088241737,0.17360105168010187
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,3.393638849258423,3.393638849258423,0.18400695005771103,0.16690348585691134,0.03257898256313069,0.0995011498434366,0.10424629983353599,0.014928951620994708,242908028954904.6,0.31751561602221146,0.18292483815184546,0.25651226854515713,0.3616831698595748,0.293762558326102,60727007238726.28,0.2375871428930585,0.1310488326655182
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,3.719947099685669,3.719947099685669,0.11814214215289137,0.10881838558257437,0.02128508875278182,0.16955905458467552,0.1814471674600129,0.03550933797631257,151868821013170.2,0.4992033978016734,0.5609273737333945,0.2749077315509634,0.5959854546461163,0.8399025811275722,37967205253292.69,0.34636360137259425,0.3644060953975153
