Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,226,57,N/A,N/A,N/A,3.6724159717559814,3.6724159717559814,5.2260451751210795,0.17832263140006918,0.050625703605709865,5.2260451751210795,0.17832263140006918,0.050625703605709865
Fixed Cut 5.0%,215,57,11,4.867256637168142,N/A,3.590599775314331,3.590599775314331,5.083476149395512,0.17966296432538886,0.0518798946283445,5.083476149395512,0.17966296432538886,0.0518798946283445
Fixed Cut 10.0%,204,57,22,9.734513274336283,N/A,3.5770819187164307,3.5770819187164307,4.733120746296888,0.18402401713653466,0.05439461171749275,4.733120746296888,0.18402401713653466,0.05439461171749275
Fixed Cut 15.0%,193,57,33,14.601769911504425,N/A,2.9118030071258545,2.9118030071258545,4.704576102728145,0.18433127967639823,0.054119296855721366,4.704576102728145,0.18433127967639823,0.054119296855721366
Fixed Cut 20.0%,181,57,45,19.911504424778762,N/A,3.4274051189422607,3.4274051189422607,4.949444405103794,0.18040599284692665,0.05165001484041079,4.949444405103794,0.18040599284692665,0.05165001484041079
Fixed Cut 25.0%,170,57,56,24.778761061946902,N/A,3.3976540565490723,3.3976540565490723,5.301977631570021,0.18069748399778265,0.05132087985491711,5.301977631570021,0.18069748399778265,0.05132087985491711
Fixed Cut 30.0%,159,57,67,29.646017699115045,N/A,3.3294856548309326,3.3294856548309326,5.3600482526953455,0.18076042829080483,0.05133861962806167,5.3600482526953455,0.18076042829080483,0.05133861962806167
Fixed Cut 35.0%,147,57,79,34.95575221238938,N/A,2.634564161300659,2.634564161300659,5.262582541292327,0.17766169665380377,0.049780309023786176,5.262582541292327,0.17766169665380377,0.049780309023786176
Fixed Cut 40.0%,136,57,90,39.823008849557525,N/A,3.2107908725738525,3.2107908725738525,5.300589565882691,0.17769308416171928,0.04970340851029999,5.300589565882691,0.17769308416171928,0.04970340851029999
Fixed Cut 45.0%,125,57,101,44.690265486725664,N/A,3.4958701133728027,3.4958701133728027,5.43764547778034,0.1776901362526296,0.050108310567945825,5.43764547778034,0.1776901362526296,0.050108310567945825
Fixed Cut 50.0%,114,57,112,49.557522123893804,N/A,3.0113019943237305,3.0113019943237305,5.745186174763165,0.17789745645545949,0.04973384637395666,5.745186174763165,0.17789745645545949,0.04973384637395666
Fixed Cut 55.0%,102,57,124,54.86725663716814,N/A,2.553650140762329,2.553650140762329,5.679473335107953,0.17897709893011082,0.05094881001659115,5.679473335107953,0.17897709893011082,0.05094881001659115
Fixed Cut 60.0%,91,57,135,59.73451327433629,N/A,2.9533801078796387,2.9533801078796387,6.059718255357179,0.17559273276725876,0.050054512451312864,6.059718255357179,0.17559273276725876,0.050054512451312864
Fixed Cut 65.0%,80,57,146,64.60176991150442,N/A,3.100691080093384,3.100691080093384,5.670083119449195,0.17670630631967443,0.049591551521087525,5.670083119449195,0.17670630631967443,0.049591551521087525
Fixed Cut 70.0%,68,57,158,69.91150442477876,N/A,2.552306890487671,2.552306890487671,5.370122060449736,0.17578701404853722,0.049509293215782624,5.370122060449736,0.17578701404853722,0.049509293215782624
Fixed Cut 75.0%,57,57,169,74.77876106194691,N/A,2.5557570457458496,2.5557570457458496,5.340078191911119,0.1777581584267225,0.04983463735814414,5.340078191911119,0.1777581584267225,0.04983463735814414
Fixed Cut 80.0%,46,57,180,79.64601769911505,N/A,3.0903987884521484,3.0903987884521484,5.654618085005877,0.26624544001004913,0.11439383377482418,5.654618085005877,0.26624544001004913,0.11439383377482418
