Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,226,57,N/A,N/A,N/A,N/A,3.4550197601318358,0.20172467159902374,3.4550197601318358,0.20172467159902374,4.963644716805917,0.28695918975401885,0.1812643977813329,0.002494456135377116,0.052366085812058934,0.0014115889837418277,4.963644716805917,0.28695918975401885,0.1812643977813329,0.002494456135377116,0.052366085812058934,0.0014115889837418277
Fixed Cut 5.0%,215,57,11,4.867256637168142,N/A,N/A,3.4635839462280273,0.28144382047339866,3.4635839462280273,0.28144382047339866,4.892204049270394,0.1973353054929197,0.18139635024591347,0.0016086467630411373,0.05260307670423771,0.0007187112798553312,4.892204049270394,0.1973353054929197,0.18139635024591347,0.0016086467630411373,0.05260307670423771,0.0007187112798553312
Fixed Cut 10.0%,204,57,22,9.734513274336283,N/A,N/A,3.6112673759460447,0.1982355355509872,3.6112673759460447,0.1982355355509872,4.926332670231263,0.16246189354795176,0.18057096175475976,0.002616042723675698,0.05228093476020263,0.0013736133649629482,4.926332670231263,0.16246189354795176,0.18057096175475976,0.002616042723675698,0.05228093476020263,0.0013736133649629482
Fixed Cut 15.0%,193,57,33,14.601769911504425,N/A,N/A,2.9149999618530273,0.17959123784008812,2.9149999618530273,0.17959123784008812,4.804769000734034,0.14957895820023437,0.18185866073890586,0.0022296223933735023,0.052736528910596915,0.001202506925860513,4.804769000734034,0.14957895820023437,0.18185866073890586,0.0022296223933735023,0.052736528910596915,0.001202506925860513
Fixed Cut 20.0%,181,57,45,19.911504424778762,N/A,N/A,3.448502445220947,0.1978122866727334,3.448502445220947,0.1978122866727334,5.077762631471152,0.15667892400870606,0.1805621703676786,0.0015059802877260588,0.05158700777658881,0.0006810625468315054,5.077762631471152,0.15667892400870606,0.1805621703676786,0.0015059802877260588,0.05158700777658881,0.0006810625468315054
Fixed Cut 25.0%,170,57,56,24.778761061946902,N/A,N/A,3.782828426361084,0.6684749687513211,3.782828426361084,0.6684749687513211,5.27063968307135,0.08738067280987055,0.1781486547402944,0.0015483805468729278,0.05018424123800305,0.0006997815621149488,5.27063968307135,0.08738067280987055,0.1781486547402944,0.0015483805468729278,0.05018424123800305,0.0006997815621149488
Fixed Cut 30.0%,159,57,67,29.646017699115045,N/A,N/A,3.5183858394622805,0.26435894488831746,3.5183858394622805,0.26435894488831746,5.365043628980415,0.017730884565005257,0.1788265968970861,0.0015611562388573408,0.050338468302379875,0.0007334901082158502,5.365043628980415,0.017730884565005257,0.1788265968970861,0.0015611562388573408,0.050338468302379875,0.0007334901082158502
Fixed Cut 35.0%,147,57,79,34.95575221238938,N/A,N/A,2.9751352787017824,0.3422433321913365,2.9751352787017824,0.3422433321913365,5.400994344244275,0.12740684672191716,0.1769068198613729,0.001769820872856333,0.04943732328157829,0.0007746298763506448,5.400994344244275,0.12740684672191716,0.1769068198613729,0.001769820872856333,0.04943732328157829,0.0007746298763506448
Fixed Cut 40.0%,136,57,90,39.823008849557525,N/A,N/A,3.592972755432129,0.43609281155324026,3.592972755432129,0.43609281155324026,5.434093757680727,0.13487023958076744,0.17739593933636744,0.002142814710975121,0.04966764069670393,0.0008781950028461042,5.434093757680727,0.13487023958076744,0.17739593933636744,0.002142814710975121,0.04966764069670393,0.0008781950028461042
Fixed Cut 45.0%,125,57,101,44.690265486725664,N/A,N/A,3.7310444355010985,0.23744751679435783,3.7310444355010985,0.23744751679435783,5.490953207862633,0.03390562618204688,0.17576227207348488,0.001215626310159495,0.04910693885733379,0.0006031716579945934,5.490953207862633,0.03390562618204688,0.17576227207348488,0.001215626310159495,0.04910693885733379,0.0006031716579945934
Fixed Cut 50.0%,114,57,112,49.557522123893804,N/A,N/A,3.466523599624634,0.44509892851277444,3.466523599624634,0.44509892851277444,5.6476433391609335,0.05755054570886741,0.17599254454258317,0.0014950938086876302,0.04897218473457101,0.0005784170669898657,5.6476433391609335,0.05755054570886741,0.17599254454258317,0.0014950938086876302,0.04897218473457101,0.0005784170669898657
Fixed Cut 55.0%,102,57,124,54.86725663716814,N/A,N/A,2.92228045463562,0.4370091890182433,2.92228045463562,0.4370091890182433,5.596297604109108,0.10612357332709116,0.17605938490096582,0.0022081738113616345,0.04942468066462054,0.00112664386217344,5.596297604109108,0.10612357332709116,0.17605938490096582,0.0022081738113616345,0.04942468066462054,0.00112664386217344
Fixed Cut 60.0%,91,57,135,59.73451327433629,N/A,N/A,3.1489987850189207,0.32424267377943883,3.1489987850189207,0.32424267377943883,5.84602837151823,0.14429893486248552,0.17619109165648894,0.0016978372096874954,0.049855043503795195,0.0004848993323087838,5.84602837151823,0.14429893486248552,0.17619109165648894,0.0016978372096874954,0.049855043503795195,0.0004848993323087838
Fixed Cut 65.0%,80,57,146,64.60176991150442,N/A,N/A,3.380485200881958,0.3522980896519806,3.380485200881958,0.3522980896519806,5.640922787642718,0.06824843078876029,0.1770132951085387,0.002319418332158482,0.04988384494621039,0.0008014459563966464,5.640922787642718,0.06824843078876029,0.1770132951085387,0.002319418332158482,0.04988384494621039,0.0008014459563966464
Fixed Cut 70.0%,68,57,158,69.91150442477876,N/A,N/A,2.60601921081543,0.08884047475051993,2.60601921081543,0.08884047475051993,5.514142185518207,0.15580665389531836,0.1782035710772241,0.001557230453002259,0.050206334552289324,0.00044490722870348874,5.514142185518207,0.15580665389531836,0.1782035710772241,0.001557230453002259,0.050206334552289324,0.00044490722870348874
Fixed Cut 75.0%,57,57,169,74.77876106194691,N/A,N/A,2.6180694580078123,0.0745281050741135,2.6180694580078123,0.0745281050741135,5.507118561974086,0.12287968079221885,0.17768812816941387,0.001804115477890916,0.04984495466848657,0.0006068493559156432,5.507118561974086,0.12287968079221885,0.17768812816941387,0.001804115477890916,0.04984495466848657,0.0006068493559156432
Fixed Cut 80.0%,46,57,180,79.64601769911505,N/A,N/A,3.127775049209595,0.23274485453955926,3.127775049209595,0.23274485453955926,5.7184972663797815,0.09886064111954705,0.2683264429561253,0.0019167430237688795,0.11593198922002626,0.002154864385077283,5.7184972663797815,0.09886064111954705,0.2683264429561253,0.0019167430237688795,0.11593198922002626,0.002154864385077283
Fixed Cut 85.0%,34,57,192,84.95575221238938,N/A,N/A,3.015905666351318,0.08565472255884855,3.015905666351318,0.08565472255884855,5.662403128284292,0.235090480669559,0.26904519573731167,0.0016874623645073714,0.11661045555857792,0.0014805505792877664,5.662403128284292,0.235090480669559,0.26904519573731167,0.0016874623645073714,0.11661045555857792,0.0014805505792877664
Fixed Cut 90.0%,23,57,203,89.82300884955751,N/A,N/A,2.415756893157959,0.10692253282020411,2.415756893157959,0.10692253282020411,5.079123099850761,0.18616496268385735,0.27174958789727904,0.001116280166195995,0.11739563799562593,0.00123111305247636,5.079123099850761,0.18616496268385735,0.27174958789727904,0.001116280166195995,0.11739563799562593,0.00123111305247636
Window L1,131,57,95,42.0353982300885,0.004475164413452149,9.103116714577373e-05,3.520832347869873,0.2216624304298395,3.5253075122833253,0.22167578923909345,5.46046833674997,0.05010506648056602,0.17693675847705684,0.0017697330826336958,0.04959473864682125,0.0007104442022751281,5.46046833674997,0.05010506648056602,0.17693675847705684,0.0017697330826336958,0.04959473864682125,0.0007104442022751281
Window L2,131,57,95,42.0353982300885,0.002583026885986328,0.00021269369413947988,3.3621604442596436,0.3065310673662124,3.36474347114563,0.3064372074389276,5.505434729059375,0.08691509799443746,0.17796872542137088,0.0012858426684981997,0.049887324548058165,0.0005100901322338928,5.505434729059375,0.08691509799443746,0.17796872542137088,0.0012858426684981997,0.049887324548058165,0.0005100901322338928
Window Normal,131,57,95,42.0353982300885,0.004509401321411133,0.000621960719883803,3.461515426635742,0.23734018831022477,3.4660248279571535,0.2373216117933367,5.516072155053168,0.07237915842382103,0.17681054586265868,0.001628839941166942,0.049480205041279875,0.0006910567516096967,5.516072155053168,0.07237915842382103,0.17681054586265868,0.001628839941166942,0.049480205041279875,0.0006910567516096967
Window RBF,131,57,95,42.0353982300885,0.002617359161376953,0.0004336612110115702,3.453640508651733,0.13513017601038413,3.45625786781311,0.1353837939258121,5.468545547432182,0.1233469182785347,0.1772706533532818,0.0020105037556794113,0.049675953888137704,0.0008465591453562247,5.468545547432182,0.1233469182785347,0.1772706533532818,0.0020105037556794113,0.049675953888137704,0.0008465591453562247
