Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,300,76,N/A,N/A,N/A,4.159350156784058,4.159350156784058,0.17986316656243234,0.09335356578499404,0.009755721635306636,0.415814250971423,0.46500484416548904,0.21685499987906845,0.29783870876692764,0.27917920497524157,0.11330536075718753
Fixed Cut 5.0%,285,76,15,5.0,N/A,3.884842872619629,3.884842872619629,0.25308414051564243,0.24225929609035995,0.061542655087003476,0.44239449076023984,0.4949056265156698,0.24576301892924415,0.34773931563794114,0.36858246130301486,0.15365283700812382
Fixed Cut 10.0%,270,76,30,10.0,N/A,3.041775941848755,3.041775941848755,0.15503859442460857,0.12808820316549557,0.0212852375238195,0.37014325030309875,0.41398045213424783,0.17195777534347062,0.2625909223638537,0.2710343276498717,0.09662150643364502
Fixed Cut 15.0%,255,76,45,15.0,N/A,3.7053346633911133,3.7053346633911133,0.24225956997643927,0.22969788153758844,0.055530588175508044,0.34560247888443324,0.386601766901726,0.15015972975049274,0.2939310244304363,0.30814982421965714,0.10284515896300037
Fixed Cut 20.0%,240,76,60,20.0,N/A,4.018560886383057,4.018560886383057,0.2766568452700339,0.2723477777861156,0.08087315069068013,0.36034022587237186,0.40331563319083713,0.16346274682499845,0.3184985355712028,0.33783170548847646,0.1221679487578393
Fixed Cut 25.0%,225,76,75,25.0,N/A,4.9070868492126465,4.9070868492126465,0.28419954065875597,0.2792743791338315,0.08423756063775016,0.37278423148240386,0.4174143102731753,0.17533184647936312,0.32849188607058,0.3483443447035035,0.12978470355855662
Fixed Cut 30.0%,210,76,90,30.0,N/A,3.502790927886963,3.502790927886963,0.26997969275773187,0.2689505635461935,0.08035702163963002,0.3105674604062184,0.3473915424045805,0.12135438652521921,0.29027357658197517,0.30817105297538705,0.10085570408242464
Fixed Cut 35.0%,195,76,105,35.0,N/A,4.227157115936279,4.227157115936279,0.27684917091061967,0.2672669448348049,0.07579005999446063,0.32592891051197975,0.3649151637080283,0.13405488158648263,0.30138904071129974,0.31609105427141665,0.10492247079047158
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,3.680152654647827,3.680152654647827,0.2594564560890005,0.2530293025465969,0.06883696520054418,0.2924845084095232,0.32745435885859714,0.10803438530333542,0.2759704822492619,0.290241830702597,0.0884356752519398
Fixed Cut 45.0%,165,76,135,45.0,N/A,3.4646570682525635,3.4646570682525635,0.2515525570749824,0.2371784078535816,0.05888039131791893,0.20758126196005697,0.23287025577878753,0.05507648680347816,0.22956690951751976,0.2350243318161846,0.056978439060698535
Fixed Cut 50.0%,151,76,149,49.666666666666664,N/A,3.713468074798584,3.713468074798584,0.27062323130429045,0.2645764093101878,0.07545989744438054,0.21059146859193179,0.23627133568226574,0.056733799019824296,0.24060734994811106,0.25042387249622683,0.06609684823210245
