Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Pace_MAPE,Std Pace_MAPE,Avg Pace_MAE,Std Pace_MAE,Avg Pace_MSE,Std Pace_MSE,Avg Distance_MAPE,Std Distance_MAPE,Avg Distance_MAE,Std Distance_MAE,Avg Distance_MSE,Std Distance_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,300,76,N/A,N/A,N/A,N/A,4.224777555465698,1.0662772850901419,4.224777555465698,1.0662772850901419,0.20872130815027815,0.03785806452750641,0.11014093384415237,0.023582352547796916,0.013659761340964173,0.005882538211311209,0.421836900594228,0.010955557458972146,0.4716937492732913,0.012103936370476562,0.22331409253518056,0.011596169632822067,0.3152791043722531,0.01742838254293735,0.29091734155872184,0.01039971929702515,0.11848692693807235,0.005244953925161959
Fixed Cut 5.0%,285,76,15,5.0,N/A,N/A,3.9503674507141113,0.17309965796403903,3.9503674507141113,0.17309965796403903,0.2096147306008116,0.03394911488276852,0.19843066598850645,0.03448899495920516,0.04369425672993385,0.013297150431508644,0.3807189884923204,0.03954502427545359,0.42558748678983266,0.044475525079009495,0.183408914505264,0.0390011559390987,0.295166859546566,0.03538113687084464,0.3120090763891695,0.038008101426101414,0.11355158561759893,0.025414105389805017
Fixed Cut 10.0%,270,76,30,10.0,N/A,N/A,3.6713050842285155,0.4602763610108901,3.6713050842285155,0.4602763610108901,0.21143171737425803,0.03675276522826818,0.19759042950436584,0.04355248472719548,0.04428977108991358,0.015609260803978701,0.3824435452383167,0.03398006195684333,0.42764401980166994,0.03809411428112751,0.18466977232158632,0.03334995017843719,0.29693763130628736,0.03173396406818002,0.31261722465301783,0.036206573766006354,0.11447977170574994,0.022673582899636672
Fixed Cut 15.0%,255,76,45,15.0,N/A,N/A,4.156467914581299,0.6043484409833262,4.156467914581299,0.6043484409833262,0.23364531718449408,0.025413475855833804,0.22336280774171696,0.02392516508096306,0.05404368249610496,0.009414341184201609,0.3510065503344357,0.02390212909156355,0.3926519895819146,0.027124641903908984,0.15569369671164918,0.021268744588485496,0.2923259337594649,0.0235035678855157,0.30800739866181576,0.024269309105265258,0.10486868960387706,0.014605227998006922
Fixed Cut 20.0%,240,76,60,20.0,N/A,N/A,3.813774299621582,0.32972597298966133,3.813774299621582,0.32972597298966133,0.2519765186773043,0.023178646192491784,0.2444835676296887,0.026204985493933824,0.06524727944065019,0.014622893625460398,0.33955422910489963,0.029792227455172914,0.3798871001481506,0.03358370366328222,0.14599371630855573,0.026290984933508437,0.29576537389110197,0.026191051580467334,0.31218533388891967,0.029577065042392242,0.10562049787460295,0.02021016988731799
Fixed Cut 25.0%,225,76,75,25.0,N/A,N/A,3.851601219177246,0.7380020002297925,3.851601219177246,0.7380020002297925,0.24579895859069054,0.04730131290976049,0.2360896262203427,0.05528208778785801,0.06330389369289531,0.0317183412769355,0.3259904859615553,0.051007657967434845,0.3646404455547243,0.05768578667445786,0.13707077133589424,0.04270398772346294,0.2858947222761229,0.04820573635012089,0.30036503588753355,0.05538985835244795,0.10018733251439477,0.036695110001548376
Fixed Cut 30.0%,210,76,90,30.0,N/A,N/A,3.5063762187957765,0.3419598525397688,3.5063762187957765,0.3419598525397688,0.21917557420432668,0.04694578263110164,0.20770785200215663,0.0555917429322049,0.05020433424825544,0.025383635288237966,0.2838585141311616,0.039421751671079044,0.31764897324135477,0.044272038266009776,0.10312130021943512,0.028091975950871182,0.2515170441677442,0.03850150457376302,0.26267841262175573,0.04473535773175915,0.0766628172338453,0.023288400055084785
Fixed Cut 35.0%,195,76,105,35.0,N/A,N/A,3.2432188510894777,0.6092776852115324,3.2432188510894777,0.6092776852115324,0.2167781735025794,0.06022408089349861,0.20110184854185623,0.06770468072069384,0.04810038863213481,0.023107855070104644,0.23403905241101733,0.06369366202148367,0.26183107115318954,0.07156251130629526,0.07372343587425169,0.03933796326025085,0.22540861295679837,0.0593669621781766,0.2314664598475229,0.06634765151781333,0.060911912253193236,0.030186149599726087
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,N/A,4.127121114730835,0.9858461981045648,4.127121114730835,0.9858461981045648,0.26141783348838893,0.020975779666876564,0.25201274342951463,0.023136585351302256,0.06820308420388468,0.013575115559728127,0.289886034996809,0.007557934637719651,0.3247211488270601,0.008440267427330405,0.10648282112366461,0.0055269884434113225,0.275651934242599,0.011158388844304604,0.2883669461282874,0.011954410886730783,0.08734295266377465,0.007039512139875575
Fixed Cut 45.0%,165,76,135,45.0,N/A,N/A,3.5559057235717773,0.7843703483348796,3.5559057235717773,0.7843703483348796,0.22769931342893077,0.04060015137044424,0.21393758417696088,0.045695286132054355,0.05062172637745704,0.017184667525747828,0.22712585412221653,0.046857694955738154,0.25462491555588973,0.052603367452118265,0.06792380032048093,0.02802773194322374,0.22741258377557363,0.03963914776959255,0.23428124986642535,0.0450965310234194,0.05927276334896897,0.02109321437293683
