Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,17.30445122718811,17.30445122718811,0.15514908859173926,0.0485797388036786,0.007819778356985498,0.15514908859173926,0.0485797388036786,0.007819778356985498
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,12.789624214172363,12.789624214172363,0.17326164520933177,0.05310858952778357,0.008566078713024554,0.17326164520933177,0.05310858952778357,0.008566078713024554
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,10.207142114639282,10.207142114639282,0.159137196919083,0.050872172924298346,0.008671271124203728,0.159137196919083,0.050872172924298346,0.008671271124203728
Fixed Cut 15.0%,327,97,57,14.84375,N/A,10.230198621749878,10.230198621749878,0.13925144049825883,0.04505918084146669,0.007560111308245124,0.13925144049825883,0.04505918084146669,0.007560111308245124
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,11.508105993270874,11.508105993270874,0.11891674706623367,0.0412457660106792,0.007529988858252411,0.11891674706623367,0.0412457660106792,0.007529988858252411
Fixed Cut 25.0%,288,97,96,25.0,N/A,7.7051331996917725,7.7051331996917725,0.15659053566224812,0.05261588582545843,0.010271479906703086,0.15659053566224812,0.05261588582545843,0.010271479906703086
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,10.579915046691895,10.579915046691895,0.16046491507168686,0.05184669932119207,0.009401747130308943,0.16046491507168686,0.05184669932119207,0.009401747130308943
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,18.11862826347351,18.11862826347351,0.14061233479313373,0.04504742216960017,0.007900474833574556,0.14061233479313373,0.04504742216960017,0.007900474833574556
Fixed Cut 40.0%,231,97,153,39.84375,N/A,10.357984066009521,10.357984066009521,0.18616219722640087,0.05741824082689347,0.01007943834642469,0.18616219722640087,0.05741824082689347,0.01007943834642469
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,7.835620880126953,7.835620880126953,0.20265605092260536,0.06153332159539973,0.010568301125363715,0.20265605092260536,0.06153332159539973,0.010568301125363715
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,5.297055959701538,5.297055959701538,0.2280963231113645,0.071969288418106,0.01437936393206226,0.2280963231113645,0.071969288418106,0.01437936393206226
