Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Line 170_MAPE,Std Line 170_MAPE,Avg Line 170_MAE,Std Line 170_MAE,Avg Line 170_MSE,Std Line 170_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,384,97,N/A,N/A,N/A,N/A,18.11467695236206,4.154768488684643,18.11467695236206,4.154768488684643,0.05119013255950399,0.002190167056006339,0.024719951748847956,0.0014455295463176468,0.003531662611634504,0.0001386758807950871,0.05119013255950399,0.002190167056006339,0.024719951748847956,0.0014455295463176468,0.003531662611634504,0.0001386758807950871
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,N/A,18.580882835388184,1.1848121385798105,18.580882835388184,1.1848121385798105,0.054603064262764144,0.0031139996533868647,0.02877559464781677,0.0033653035766526645,0.003517219862137947,0.00012898065732353236,0.054603064262764144,0.0031139996533868647,0.02877559464781677,0.0033653035766526645,0.003517219862137947,0.00012898065732353236
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,N/A,17.409786891937255,1.3568942176186491,17.409786891937255,1.3568942176186491,0.05074319860930429,0.003519607541398673,0.02487756891383065,0.0027538995849082457,0.0034566830625683428,0.00021692600847895987,0.05074319860930429,0.003519607541398673,0.02487756891383065,0.0027538995849082457,0.0034566830625683428,0.00021692600847895987
Fixed Cut 15.0%,327,97,57,14.84375,N/A,N/A,14.125746726989746,1.3676113578589302,14.125746726989746,1.3676113578589302,0.048789539364543846,0.0038880466791152484,0.024434910158544668,0.0034997256350735315,0.0034605003563605145,9.390619987565767e-05,0.048789539364543846,0.0038880466791152484,0.024434910158544668,0.0034997256350735315,0.0034605003563605145,9.390619987565767e-05
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,N/A,14.215153217315674,1.6292511716935396,14.215153217315674,1.6292511716935396,0.053055293096196526,0.002606755501212325,0.02687305240110419,0.0025101914961651014,0.003727660573536876,0.00010850307280628754,0.053055293096196526,0.002606755501212325,0.02687305240110419,0.0025101914961651014,0.003727660573536876,0.00010850307280628754
Fixed Cut 25.0%,288,97,96,25.0,N/A,N/A,14.410002946853638,1.955244280551876,14.410002946853638,1.955244280551876,0.052307896347405645,0.003326844863029017,0.026971022342813424,0.0022183235391613453,0.0037022399999260287,0.00019379879385812175,0.052307896347405645,0.003326844863029017,0.026971022342813424,0.0022183235391613453,0.0037022399999260287,0.00019379879385812175
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,N/A,15.955198812484742,8.070682997227479,15.955198812484742,8.070682997227479,0.07375908745866214,0.048221683981602474,0.03491492681804744,0.01746632396474287,0.005892034334927005,0.004946026882668305,0.07375908745866214,0.048221683981602474,0.03491492681804744,0.01746632396474287,0.005892034334927005,0.004946026882668305
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,N/A,14.903213834762573,7.00799540549761,14.903213834762573,7.00799540549761,0.07338451285592965,0.047261043658617705,0.03410169566728146,0.015305811847365727,0.006079630558003202,0.005555036394443776,0.07338451285592965,0.047261043658617705,0.03410169566728146,0.015305811847365727,0.006079630558003202,0.005555036394443776
Fixed Cut 40.0%,231,97,153,39.84375,N/A,N/A,15.75569577217102,1.609244815657361,15.75569577217102,1.609244815657361,0.0513629894585867,0.0022667957420383217,0.02635415688328359,0.0024611667075191855,0.0036657734769322873,0.00013657723911172638,0.0513629894585867,0.0022667957420383217,0.02635415688328359,0.0024611667075191855,0.0036657734769322873,0.00013657723911172638
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,N/A,12.55496187210083,1.3163206364857682,12.55496187210083,1.3163206364857682,0.05048117982911387,0.00295732036979232,0.02557287963071545,0.002582934747776231,0.0036276536923337773,9.611065466864076e-05,0.05048117982911387,0.00295732036979232,0.02557287963071545,0.002582934747776231,0.0036276536923337773,9.611065466864076e-05
