Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Exchange rate_MAPE,Std Exchange rate_MAPE,Avg Exchange rate_MAE,Std Exchange rate_MAE,Avg Exchange rate_MSE,Std Exchange rate_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,197,50,N/A,N/A,N/A,N/A,3.570590114593506,0.4029114969898168,3.570590114593506,0.4029114969898168,0.040299826358134165,0.0020467647103903186,0.021637876960087492,0.001227274266282455,0.0006932140181149563,6.105427342709512e-05,0.040299826358134165,0.0020467647103903186,0.021637876960087492,0.001227274266282455,0.0006932140181149563,6.105427342709512e-05
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,N/A,3.302840518951416,0.6575227595185259,3.302840518951416,0.6575227595185259,0.045150249708278495,0.00821335386672478,0.024489373388450787,0.004803154529729891,0.0009049992649637317,0.0003956344260057616,0.045150249708278495,0.00821335386672478,0.024489373388450787,0.004803154529729891,0.0009049992649637317,0.0003956344260057616
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,N/A,2.6412845134735106,0.4447530099041519,2.6412845134735106,0.4447530099041519,0.06375043572959312,0.03731465532990655,0.03441692597365726,0.02063138993751038,0.0019452890313318711,0.002033363410435965,0.06375043572959312,0.03731465532990655,0.03441692597365726,0.02063138993751038,0.0019452890313318711,0.002033363410435965
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,N/A,3.083645820617676,0.7084054625954035,3.083645820617676,0.7084054625954035,0.04723038113128213,0.01327481738387777,0.025323346948102538,0.007622869583548199,0.001007868734805951,0.0005858090001441457,0.04723038113128213,0.01327481738387777,0.025323346948102538,0.007622869583548199,0.001007868734805951,0.0005858090001441457
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,N/A,3.566095399856567,0.7094730300961231,3.566095399856567,0.7094730300961231,0.039613836867407264,0.0023668293731367697,0.02115501641233615,0.0013738586919065973,0.0006784008104106232,5.929265150708469e-05,0.039613836867407264,0.0023668293731367697,0.02115501641233615,0.0013738586919065973,0.0006784008104106232,5.929265150708469e-05
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,N/A,3.7045569896697996,0.4258051789339356,3.7045569896697996,0.4258051789339356,0.045336663483567734,0.004088417176814685,0.024439039047307994,0.002347260886974543,0.0008727190969784843,0.00017181333810604803,0.045336663483567734,0.004088417176814685,0.024439039047307994,0.002347260886974543,0.0008727190969784843,0.00017181333810604803
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,N/A,3.404746580123901,0.5851266164789527,3.404746580123901,0.5851266164789527,0.040937751395277513,0.003107826561760326,0.021884867342542268,0.001903148217091255,0.0007101071039771445,8.913675526965229e-05,0.040937751395277513,0.003107826561760326,0.021884867342542268,0.001903148217091255,0.0007101071039771445,8.913675526965229e-05
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,N/A,3.9646196365356445,1.2009488514904858,3.9646196365356445,1.2009488514904858,0.0407610758168106,0.0056485530184020305,0.021939957566392464,0.003118323667920338,0.0007167985811190632,0.00019164143417633905,0.0407610758168106,0.0056485530184020305,0.021939957566392464,0.003118323667920338,0.0007167985811190632,0.00019164143417633905
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,N/A,3.0854596138000487,0.5473714486869554,3.0854596138000487,0.5473714486869554,0.04761832364722646,0.007068771811304614,0.026246449660113868,0.004027911171513677,0.0010205172587190233,0.0002984796324537044,0.04761832364722646,0.007068771811304614,0.026246449660113868,0.004027911171513677,0.0010205172587190233,0.0002984796324537044
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,N/A,3.904054355621338,0.9773994137684304,3.904054355621338,0.9773994137684304,0.043620592934252515,0.002644657735071668,0.023906028370629388,0.0015718109139860683,0.0008481161019223066,0.00011318753777554062,0.043620592934252515,0.002644657735071668,0.023906028370629388,0.0015718109139860683,0.0008481161019223066,0.00011318753777554062
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,N/A,3.7901665687561037,0.4675093791910585,3.7901665687561037,0.4675093791910585,0.044172706888068604,0.005177792913179152,0.02439265304018484,0.0029992363518234464,0.0009028904985710453,0.00021607601670977326,0.044172706888068604,0.005177792913179152,0.02439265304018484,0.0029992363518234464,0.0009028904985710453,0.00021607601670977326
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,N/A,2.7074368000030518,0.18469852019084881,2.7074368000030518,0.18469852019084881,0.05239848331184611,0.0029848495914379766,0.03098275690495418,0.0018270814493612875,0.0014415378776530135,0.0001708653971441294,0.05239848331184611,0.0029848495914379766,0.03098275690495418,0.0018270814493612875,0.0014415378776530135,0.0001708653971441294
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,N/A,2.9750989437103272,0.6325840919450822,2.9750989437103272,0.6325840919450822,0.061467877140898325,0.006148424831568813,0.06299231965396236,0.0062673280830495386,0.005682449653906843,0.0009405414604201044,0.061467877140898325,0.006148424831568813,0.06299231965396236,0.0062673280830495386,0.005682449653906843,0.0009405414604201044
Fixed Cut 65.0%,69,50,128,64.9746192893401,N/A,N/A,2.624811124801636,0.16789895022781806,2.624811124801636,0.16789895022781806,0.056895531558954236,0.0036940035210258557,0.05841930340295111,0.0037923546487701664,0.005015171373994003,0.0005865066784783132,0.056895531558954236,0.0036940035210258557,0.05841930340295111,0.0037923546487701664,0.005015171373994003,0.0005865066784783132
Fixed Cut 70.0%,60,50,137,69.54314720812182,N/A,N/A,2.741980266571045,0.2776197388621746,2.741980266571045,0.2776197388621746,0.05907250021966939,0.005249793864035725,0.06053849268648561,0.005261588340975137,0.005292070553085925,0.0007642365858852785,0.05907250021966939,0.005249793864035725,0.06053849268648561,0.005261588340975137,0.005292070553085925,0.0007642365858852785
Fixed Cut 75.0%,50,50,147,74.61928934010153,N/A,N/A,2.616547727584839,0.11635651722202334,2.616547727584839,0.11635651722202334,0.07093072782869282,0.02331599967574512,0.07277831754001624,0.023319043546055462,0.007537726236377967,0.004463655427746932,0.07093072782869282,0.02331599967574512,0.07277831754001624,0.023319043546055462,0.007537726236377967,0.004463655427746932
Fixed Cut 80.0%,40,50,157,79.69543147208121,N/A,N/A,2.548260545730591,0.1618544515767301,2.548260545730591,0.1618544515767301,0.09684007778817716,0.047445756689480055,0.09872783236657783,0.04745698414952413,0.01377158607918744,0.011883534800738066,0.09684007778817716,0.047445756689480055,0.09872783236657783,0.04745698414952413,0.01377158607918744,0.011883534800738066
Fixed Cut 85.0%,30,50,167,84.77157360406092,N/A,N/A,2.5880611419677733,0.44060494385758586,2.5880611419677733,0.44060494385758586,0.09969279301628552,0.03654287585824308,0.10159891240861296,0.0363379805730888,0.013640015291783941,0.008400846818532181,0.09969279301628552,0.03654287585824308,0.10159891240861296,0.0363379805730888,0.013640015291783941,0.008400846818532181
Fixed Cut 90.0%,20,50,177,89.84771573604061,N/A,N/A,2.609118843078613,0.16666231209472748,2.609118843078613,0.16666231209472748,0.10222219626124136,0.026357067323527023,0.1039185007353499,0.026312948482316016,0.013521122359768059,0.005931350943546287,0.10222219626124136,0.026357067323527023,0.1039185007353499,0.026312948482316016,0.013521122359768059,0.005931350943546287
Window L1,82,50,115,58.37563451776649,0.0036000728607177733,0.00030003068970814635,2.1924377918243407,0.05628999501594703,2.1960378646850587,0.056374585086124786,0.0586533753115245,0.0026447233810117047,0.043768389755440736,0.0020721922800887613,0.002717021634817595,0.00028160497243951495,0.0586533753115245,0.0026447233810117047,0.043768389755440736,0.0020721922800887613,0.002717021634817595,0.00028160497243951495
Window L2,82,50,115,58.37563451776649,0.002313518524169922,0.000409523994588281,2.337916612625122,0.2280281012047218,2.340230131149292,0.22833164651297774,0.05446778735125096,0.006482892322252638,0.0407695892232076,0.005029086678204793,0.0024862829330046165,0.0006310724815730337,0.05446778735125096,0.006482892322252638,0.0407695892232076,0.005029086678204793,0.0024862829330046165,0.0006310724815730337
Window Normal,82,50,115,58.37563451776649,0.005690193176269532,0.004275057555881259,2.2256423950195314,0.15581785870336923,2.2313325881958006,0.15327205806018768,0.05051792420768646,0.003709713321138994,0.03769902029633677,0.002860232253072156,0.002106728688440897,0.0003109040601421317,0.05051792420768646,0.003709713321138994,0.03769902029633677,0.002860232253072156,0.002106728688440897,0.0003109040601421317
Window RBF,82,50,115,58.37563451776649,0.0022523880004882814,6.091195763441693e-05,2.219406986236572,0.10996374209056113,2.2216593742370607,0.10995748041914981,0.05647822584181989,0.004225443302844972,0.0422586782774275,0.003166386881426836,0.0026133990668408885,0.00034742964782306706,0.05647822584181989,0.004225443302844972,0.0422586782774275,0.003166386881426836,0.0026133990668408885,0.00034742964782306706
Window Cosine,0,50,197,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
