Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Population_MAPE,Population_MAE,Population_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,652,164,N/A,N/A,N/A,6.002684831619263,6.002684831619263,0.004909419678362133,0.0052423177455531685,3.0129306397374763e-05,0.004909419678362133,0.0052423177455531685,3.0129306397374763e-05
Fixed Cut 5.0%,620,164,32,4.9079754601226995,N/A,7.413524150848389,7.413524150848389,0.002451622056116743,0.00262628583155287,8.268852784422237e-06,0.002451622056116743,0.00262628583155287,8.268852784422237e-06
Fixed Cut 10.0%,587,164,65,9.969325153374232,N/A,5.163045883178711,5.163045883178711,0.0006940430133082995,0.000736415365785842,6.310468243620302e-07,0.0006940430133082995,0.000736415365785842,6.310468243620302e-07
Fixed Cut 15.0%,555,164,97,14.877300613496933,N/A,6.129163026809692,6.129163026809692,0.0018604469615513613,0.0019848327523693038,4.311191952770815e-06,0.0018604469615513613,0.0019848327523693038,4.311191952770815e-06
Fixed Cut 20.0%,522,164,130,19.938650306748464,N/A,5.375834941864014,5.375834941864014,0.0022333691961264482,0.0023855688261487564,6.325458448769343e-06,0.0022333691961264482,0.0023855688261487564,6.325458448769343e-06
Fixed Cut 25.0%,489,164,163,25.0,N/A,6.749830961227417,6.749830961227417,0.0008587925223304614,0.0009165845214682824,9.870359895304917e-07,0.0008587925223304614,0.0009165845214682824,9.870359895304917e-07
Fixed Cut 30.0%,457,164,195,29.9079754601227,N/A,5.698335886001587,5.698335886001587,0.0002837540642698497,0.0002999309206623368,1.447723925221488e-07,0.0002837540642698497,0.0002999309206623368,1.447723925221488e-07
Fixed Cut 35.0%,424,164,228,34.96932515337423,N/A,7.177186012268066,7.177186012268066,0.0007788762047273042,0.0008285147924441322,7.851856155712107e-07,0.0007788762047273042,0.0008285147924441322,7.851856155712107e-07
Fixed Cut 40.0%,392,164,260,39.87730061349693,N/A,6.850999116897583,6.850999116897583,0.000699818816520256,0.0007469752189580096,6.958742941092665e-07,0.000699818816520256,0.0007469752189580096,6.958742941092665e-07
Fixed Cut 45.0%,359,164,293,44.93865030674847,N/A,3.2874863147735596,3.2874863147735596,0.060368639318088,0.06418335895392971,0.004204054280008517,0.060368639318088,0.06418335895392971,0.004204054280008517
Fixed Cut 50.0%,327,164,325,49.84662576687116,N/A,2.8102779388427734,2.8102779388427734,0.0621576431560385,0.06624696628826106,0.004625946037096036,0.0621576431560385,0.06624696628826106,0.004625946037096036
Fixed Cut 55.0%,294,164,358,54.90797546012271,N/A,10.722899913787842,10.722899913787842,0.0008327242366453256,0.0008850215142808783,8.980569570994251e-07,0.0008327242366453256,0.0008850215142808783,8.980569570994251e-07
Fixed Cut 60.0%,261,164,391,59.96932515337423,N/A,10.106559991836548,10.106559991836548,0.00027471664467157837,0.000290608616655706,1.2252942776894002e-07,0.00027471664467157837,0.000290608616655706,1.2252942776894002e-07
Fixed Cut 65.0%,229,164,423,64.87730061349694,N/A,3.6308960914611816,3.6308960914611816,0.06032708150157286,0.06424121076657181,0.004294312236988131,0.06032708150157286,0.06424121076657181,0.004294312236988131
Fixed Cut 70.0%,196,164,456,69.93865030674846,N/A,3.0944578647613525,3.0944578647613525,0.04608774976654608,0.049101676930960285,0.002526658331099286,0.04608774976654608,0.049101676930960285,0.002526658331099286
Fixed Cut 75.0%,163,164,489,75.0,N/A,2.6052510738372803,2.6052510738372803,0.037478602031494265,0.039988861742206144,0.001718531882154385,0.037478602031494265,0.039988861742206144,0.001718531882154385
Fixed Cut 80.0%,131,164,521,79.9079754601227,N/A,2.564739227294922,2.564739227294922,0.028069500444559997,0.029959719672237702,0.0009708653586962537,0.028069500444559997,0.029959719672237702,0.0009708653586962537
Fixed Cut 85.0%,98,164,554,84.96932515337423,N/A,2.3590810298919678,2.3590810298919678,0.029092218235722195,0.031108538456696325,0.0010882408382062699,0.029092218235722195,0.031108538456696325,0.0010882408382062699
Fixed Cut 90.0%,66,164,586,89.87730061349694,N/A,2.7786810398101807,2.7786810398101807,0.020567477743698964,0.022058560990137373,0.0005900246848770043,0.020567477743698964,0.022058560990137373,0.0005900246848770043
Window L1,167,164,485,74.38650306748467,0.019569873809814453,2.314168930053711,2.3337388038635254,0.04200099600484778,0.04490139797757812,0.002254834255102344,0.04200099600484778,0.04490139797757812,0.002254834255102344
Window L2,152,164,500,76.68711656441718,0.011785030364990234,2.375438690185547,2.387223720550537,0.038611236259922264,0.04120147989577216,0.001827719394649766,0.038611236259922264,0.04120147989577216,0.001827719394649766
Window Normal,427,164,225,34.50920245398773,0.017920970916748047,6.447980165481567,6.465901136398315,0.0008276612287189814,0.0008874519779970661,1.0427198513893928e-06,0.0008276612287189814,0.0008874519779970661,1.0427198513893928e-06
Window RBF,157,164,495,75.920245398773,0.01537013053894043,2.3389768600463867,2.354346990585327,0.02573135249710686,0.027491088526177272,0.0008338601687767652,0.02573135249710686,0.027491088526177272,0.0008338601687767652
Window Cosine,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,427,164,225,34.50920245398773,0.009319067001342773,7.423365116119385,7.4326841831207275,0.00124249127951822,0.0013348743258270745,2.3948123887364117e-06,0.00124249127951822,0.0013348743258270745,2.3948123887364117e-06
Window Clinear,197,164,455,69.78527607361963,0.008239030838012695,3.196514129638672,3.2047531604766846,0.04071751143130428,0.04337135889491125,0.001965255545859417,0.04071751143130428,0.04337135889491125,0.001965255545859417
Window Rank,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Mahalanobis,152,164,500,76.68711656441718,0.008791923522949219,2.4587578773498535,2.4675498008728027,0.04614341060006141,0.04921285212183121,0.002582551447253219,0.04614341060006141,0.04921285212183121,0.002582551447253219
Window AR,172,164,480,73.61963190184049,0.01371312141418457,2.4679770469665527,2.4816901683807373,0.04027448272523054,0.042984255580298926,0.001996280414753951,0.04027448272523054,0.042984255580298926,0.001996280414753951
Window Mean,186,164,466,71.47239263803681,0.10470914840698242,3.667475938796997,3.7721850872039795,0.045270646028116805,0.04824451202563086,0.002449778228769309,0.045270646028116805,0.04824451202563086,0.002449778228769309
Window Median,162,164,490,75.15337423312883,0.10470914840698242,2.3407459259033203,2.4454550743103027,0.03008980351673845,0.03209963158200928,0.0011038689098195737,0.03008980351673845,0.03209963158200928,0.0011038689098195737
Binary Segmentation L1,307,164,345,52.91411042944786,0.029496192932128906,7.344253778457642,7.3737499713897705,0.00023464059223645605,0.00024780735227025025,9.6260528939976e-08,0.00023464059223645605,0.00024780735227025025,9.6260528939976e-08
Binary Segmentation L2,312,164,340,52.14723926380368,0.013612031936645508,7.39726710319519,7.410879135131836,0.0002548578184856115,0.0002692221364569356,1.147170878979942e-07,0.0002548578184856115,0.0002692221364569356,1.147170878979942e-07
Binary Segmentation Normal,317,164,335,51.380368098159515,0.0306398868560791,3.9472827911376953,3.9779226779937744,0.0554863893106214,0.05905130982162513,0.0035996664643270075,0.0554863893106214,0.05905130982162513,0.0035996664643270075
Binary Segmentation RBF,317,164,335,51.380368098159515,0.04431605339050293,4.155187129974365,4.199503183364868,0.03173217002422232,0.033785156404050005,0.0011849966317375401,0.03173217002422232,0.033785156404050005,0.0011849966317375401
Binary Segmentation Cosine,12,164,640,98.15950920245399,0.06133890151977539,3.0414488315582275,3.102787733078003,0.013824608434200041,0.014898073049340217,0.0003127187173138082,0.013824608434200041,0.014898073049340217,0.0003127187173138082
Binary Segmentation Linear,217,164,435,66.71779141104295,0.012989044189453125,2.402708053588867,2.4156970977783203,0.037828949805232825,0.04028257824576252,0.0016880741365572027,0.037828949805232825,0.04028257824576252,0.0016880741365572027
Binary Segmentation Clinear,152,164,500,76.68711656441718,0.010965108871459961,2.29866886138916,2.30963397026062,0.02519910631663175,0.02693001443936234,0.0008050191176758483,0.02519910631663175,0.02693001443936234,0.0008050191176758483
Binary Segmentation Rank,327,164,325,49.84662576687116,0.01385498046875,2.7855186462402344,2.7993736267089844,0.04983222711934724,0.053111279866411135,0.002973891392158695,0.04983222711934724,0.053111279866411135,0.002973891392158695
Binary Segmentation Mahalanobis,312,164,340,52.14723926380368,0.036878108978271484,2.5717110633850098,2.6085891723632812,0.03054440743326809,0.0326307047908364,0.0011728175951203708,0.03054440743326809,0.0326307047908364,0.0011728175951203708
Binary Segmentation AR,637,164,15,2.3006134969325154,0.02368474006652832,5.101073980331421,5.124758720397949,0.0007377542173929607,0.0007840679114578604,7.086979943362303e-07,0.0007377542173929607,0.0007840679114578604,7.086979943362303e-07
Binary Segmentation Mean,291,164,361,55.3680981595092,0.2777750492095947,8.234574794769287,8.512349843978882,0.0009763247329998446,0.0010459249618470735,1.3538349793189168e-06,0.0009763247329998446,0.0010459249618470735,1.3538349793189168e-06
Binary Segmentation Median,312,164,340,52.14723926380368,0.2777750492095947,2.563732862472534,2.841507911682129,0.05794913613947239,0.06167473271157758,0.003928552131241994,0.05794913613947239,0.06167473271157758,0.003928552131241994
