Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Population_MAPE,Std Population_MAPE,Avg Population_MAE,Std Population_MAE,Avg Population_MSE,Std Population_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,652,164,N/A,N/A,N/A,N/A,5.495872354507446,0.7144017588899182,5.495872354507446,0.7144017588899182,0.0020161073096441324,0.0021126372665510994,0.0021485188809199267,0.002254284184521648,9.369999601565878e-06,1.3213221323683022e-05,0.0020161073096441324,0.0021126372665510994,0.0021485188809199267,0.002254284184521648,9.369999601565878e-06,1.3213221323683022e-05
Fixed Cut 5.0%,620,164,32,4.9079754601226995,N/A,N/A,7.084491205215454,1.3979165366273172,7.084491205215454,1.3979165366273172,0.0014728725446793835,0.001055853066263176,0.0015741434645438598,0.0011325933240623586,4.130433293561924e-06,4.233552794947713e-06,0.0014728725446793835,0.001055853066263176,0.0015741434645438598,0.0011325933240623586,4.130433293561924e-06,4.233552794947713e-06
Fixed Cut 10.0%,587,164,65,9.969325153374232,N/A,N/A,5.988308000564575,1.1344703844171868,5.988308000564575,1.1344703844171868,0.001511150632458025,0.0012733438908165754,0.001609296792473998,0.0013602099546383413,4.4332619866682806e-06,6.015924032481739e-06,0.001511150632458025,0.0012733438908165754,0.001609296792473998,0.0013602099546383413,4.4332619866682806e-06,6.015924032481739e-06
Fixed Cut 15.0%,555,164,97,14.877300613496933,N/A,N/A,6.70319766998291,0.6368641721754204,6.70319766998291,0.6368641721754204,0.0014990375286268614,0.001179112926855706,0.0015975506755514263,0.0012557743538849089,4.118288992779187e-06,5.177085856449351e-06,0.0014990375286268614,0.001179112926855706,0.0015975506755514263,0.0012557743538849089,4.118288992779187e-06,5.177085856449351e-06
Fixed Cut 20.0%,522,164,130,19.938650306748464,N/A,N/A,6.403878307342529,0.8517934651635104,6.403878307342529,0.8517934651635104,0.0016700062284026671,0.0009960571469492293,0.0017843454563684783,0.0010646397422496823,4.637865324582418e-06,4.177099658788429e-06,0.0016700062284026671,0.0009960571469492293,0.0017843454563684783,0.0010646397422496823,4.637865324582418e-06,4.177099658788429e-06
Fixed Cut 25.0%,489,164,163,25.0,N/A,N/A,7.269674444198609,1.090006756865103,7.269674444198609,1.090006756865103,0.0006559821653179456,0.00023792934655262208,0.0006984187464988984,0.0002544343758791495,6.497976138925869e-07,3.5994493112432435e-07,0.0006559821653179456,0.00023792934655262208,0.0006984187464988984,0.0002544343758791495,6.497976138925869e-07,3.5994493112432435e-07
Fixed Cut 30.0%,457,164,195,29.9079754601227,N/A,N/A,6.447977209091187,1.037571889397505,6.447977209091187,1.037571889397505,0.0014362067023227527,0.0010979906857460345,0.0015296012087393787,0.0011699839670782745,3.684199800559914e-06,5.0674470093744535e-06,0.0014362067023227527,0.0010979906857460345,0.0015296012087393787,0.0011699839670782745,3.684199800559914e-06,5.0674470093744535e-06
Fixed Cut 35.0%,424,164,228,34.96932515337423,N/A,N/A,8.20391149520874,0.8045484229734271,8.20391149520874,0.8045484229734271,0.0018231204455798151,0.0011524234845034073,0.0019493757044769266,0.0012313246701819885,5.776329847110701e-06,5.941225660445551e-06,0.0018231204455798151,0.0011524234845034073,0.0019493757044769266,0.0012313246701819885,5.776329847110701e-06,5.941225660445551e-06
Fixed Cut 40.0%,392,164,260,39.87730061349693,N/A,N/A,6.61989459991455,0.5651903513368265,6.61989459991455,0.5651903513368265,0.00067874092477857,0.0003146844035128427,0.0007258206849413716,0.0003389321203438616,7.989920900401615e-07,6.363170587199241e-07,0.00067874092477857,0.0003146844035128427,0.0007258206849413716,0.0003389321203438616,7.989920900401615e-07,6.363170587199241e-07
Fixed Cut 45.0%,359,164,293,44.93865030674847,N/A,N/A,7.755414295196533,3.2057867849552752,7.755414295196533,3.2057867849552752,0.013163729368341598,0.026394487471834597,0.014002334186112539,0.028058726925286583,0.0008431996030479749,0.0018787763724422493,0.013163729368341598,0.026394487471834597,0.014002334186112539,0.028058726925286583,0.0008431996030479749,0.0018787763724422493
