Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,540,135,N/A,N/A,N/A,3.9344449043273926,3.9344449043273926,0.03793552209486965,0.02677916752043763,0.002367719593798354,0.03793552209486965,0.02677916752043763,0.002367719593798354
Fixed Cut 5.0%,513,135,27,5.0,N/A,5.227082967758179,5.227082967758179,0.03893077337218706,0.027406389017490575,0.0024741321919131186,0.03893077337218706,0.027406389017490575,0.0024741321919131186
Fixed Cut 10.0%,486,135,54,10.0,N/A,8.302783012390137,8.302783012390137,0.03885333756077994,0.02736878678350117,0.0024579752927769223,0.03885333756077994,0.02736878678350117,0.0024579752927769223
Fixed Cut 15.0%,459,135,81,15.0,N/A,6.5990941524505615,6.5990941524505615,0.041429622237688785,0.029002959075251643,0.0027383102126324714,0.041429622237688785,0.029002959075251643,0.0027383102126324714
Fixed Cut 20.0%,432,135,108,20.0,N/A,4.587141036987305,4.587141036987305,0.041467247353626835,0.029241017401187685,0.0025782881896936082,0.041467247353626835,0.029241017401187685,0.0025782881896936082
Fixed Cut 25.0%,405,135,135,25.0,N/A,5.023126840591431,5.023126840591431,0.04079922907484407,0.02848761610241774,0.002697206943639005,0.04079922907484407,0.02848761610241774,0.002697206943639005
Fixed Cut 30.0%,378,135,162,30.0,N/A,3.3419740200042725,3.3419740200042725,0.03884628572888087,0.027185047047603276,0.0025349166966002644,0.03884628572888087,0.027185047047603276,0.0025349166966002644
Fixed Cut 35.0%,351,135,189,35.0,N/A,4.263170957565308,4.263170957565308,0.038280233711907086,0.02711779756233383,0.0023962258436108436,0.038280233711907086,0.02711779756233383,0.0023962258436108436
Fixed Cut 40.0%,325,135,215,39.81481481481482,N/A,3.062134027481079,3.062134027481079,0.03872197836777727,0.027169911888206357,0.0023837536388058643,0.03872197836777727,0.027169911888206357,0.0023837536388058643
Fixed Cut 45.0%,298,135,242,44.81481481481481,N/A,3.4879190921783447,3.4879190921783447,0.039143165367540964,0.02750248140133092,0.002496236737741696,0.039143165367540964,0.02750248140133092,0.002496236737741696
Fixed Cut 50.0%,271,135,269,49.81481481481482,N/A,3.1338000297546387,3.1338000297546387,0.0394355882078616,0.027613315397651446,0.0025666207403753864,0.0394355882078616,0.027613315397651446,0.0025666207403753864
Fixed Cut 55.0%,244,135,296,54.81481481481482,N/A,2.9813880920410156,2.9813880920410156,0.0384544864316195,0.027037856328169633,0.0023970575478702238,0.0384544864316195,0.027037856328169633,0.0023970575478702238
Fixed Cut 60.0%,216,135,324,60.0,N/A,3.1224100589752197,3.1224100589752197,0.03988436223073554,0.027708623044359188,0.0027478207893199876,0.03988436223073554,0.027708623044359188,0.0027478207893199876
Fixed Cut 65.0%,189,135,351,65.0,N/A,2.791243076324463,2.791243076324463,0.03896029670699687,0.02736324760807267,0.0025465469627883887,0.03896029670699687,0.02736324760807267,0.0025465469627883887
Fixed Cut 70.0%,162,135,378,70.0,N/A,2.4035346508026123,2.4035346508026123,0.03782016327436561,0.026648821046286783,0.0023605509349646377,0.03782016327436561,0.026648821046286783,0.0023605509349646377
Fixed Cut 75.0%,135,135,405,75.0,N/A,3.692793130874634,3.692793130874634,0.03902421895460059,0.02730338532955126,0.0025615517074254112,0.03902421895460059,0.02730338532955126,0.0025615517074254112
Fixed Cut 80.0%,108,135,432,80.0,N/A,2.2819221019744873,2.2819221019744873,0.03923318112679991,0.030993963665468922,0.0032824490035885143,0.03923318112679991,0.030993963665468922,0.0032824490035885143
Fixed Cut 85.0%,81,135,459,85.0,N/A,2.86338210105896,2.86338210105896,0.0383098180732387,0.03127028903196665,0.0032877934943992097,0.0383098180732387,0.03127028903196665,0.0032877934943992097
Fixed Cut 90.0%,54,135,486,90.0,N/A,3.094174861907959,3.094174861907959,0.03867046422638519,0.03140293291293156,0.0034164229319368885,0.03867046422638519,0.03140293291293156,0.0034164229319368885
Window L1,360,135,180,33.33333333333333,0.015579700469970703,3.143751859664917,3.1593315601348877,0.040829237051391756,0.028488613467257024,0.002743618574546336,0.040829237051391756,0.028488613467257024,0.002743618574546336
Window L2,360,135,180,33.33333333333333,0.007200956344604492,3.931325912475586,3.9385268688201904,0.04349683121559741,0.03043430166096979,0.0029105936364363125,0.04349683121559741,0.03043430166096979,0.0029105936364363125
Window Normal,365,135,175,32.407407407407405,0.013091802597045898,4.221498966217041,4.234590768814087,0.038220806364418235,0.027009518621000084,0.0023612386679744126,0.038220806364418235,0.027009518621000084,0.0023612386679744126
