Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,540,135,N/A,N/A,N/A,N/A,5.265317296981811,1.8826589487544347,5.265317296981811,1.8826589487544347,0.03911763586232027,0.002072676273680421,0.027666756924122474,0.00139315173921794,0.002472771224476791,0.00026864768879481476,0.03911763586232027,0.002072676273680421,0.027666756924122474,0.00139315173921794,0.002472771224476791,0.00026864768879481476
Fixed Cut 5.0%,513,135,27,5.0,N/A,N/A,3.625324583053589,0.9122985528374766,3.625324583053589,0.9122985528374766,0.04203747950157787,0.002985602830613603,0.029532510789865855,0.00223875275641015,0.00268649484135951,0.00019688210505361945,0.04203747950157787,0.002985602830613603,0.029532510789865855,0.00223875275641015,0.00268649484135951,0.00019688210505361945
Fixed Cut 10.0%,486,135,54,10.0,N/A,N/A,5.754848384857178,2.3512264414252417,5.754848384857178,2.3512264414252417,0.039771642585127887,0.0016287316958435185,0.028024881344722627,0.001035339483353158,0.0025231029641887806,0.00015295727414690077,0.039771642585127887,0.0016287316958435185,0.028024881344722627,0.001035339483353158,0.0025231029641887806,0.00015295727414690077
Fixed Cut 15.0%,459,135,81,15.0,N/A,N/A,4.484888410568237,1.2360801820056169,4.484888410568237,1.2360801820056169,0.04121973535354556,0.000993522524431102,0.02887591292953163,0.0006816386336667908,0.0026792745146439205,9.58975591799138e-05,0.04121973535354556,0.000993522524431102,0.02887591292953163,0.0006816386336667908,0.0026792745146439205,9.58975591799138e-05
Fixed Cut 20.0%,432,135,108,20.0,N/A,N/A,3.8659294128417967,0.7595606662152002,3.8659294128417967,0.7595606662152002,0.04069949752016107,0.002839584642459307,0.028683805186949064,0.002089483905030192,0.00255463091705993,0.0001608366566064998,0.04069949752016107,0.002839584642459307,0.028683805186949064,0.002089483905030192,0.00255463091705993,0.0001608366566064998
Fixed Cut 25.0%,405,135,135,25.0,N/A,N/A,4.345438718795776,0.7584401061698413,4.345438718795776,0.7584401061698413,0.041711835206352806,0.0025364486910455673,0.029203716924181666,0.0019626485193278424,0.002730087621950884,0.0001432167666067237,0.041711835206352806,0.0025364486910455673,0.029203716924181666,0.0019626485193278424,0.002730087621950884,0.0001432167666067237
Fixed Cut 30.0%,378,135,162,30.0,N/A,N/A,3.1139475822448732,0.39136773894150795,3.1139475822448732,0.39136773894150795,0.03934374555456999,0.0020741656972544957,0.02763637944076884,0.0014002093742725076,0.002529927095868588,0.000193337145775201,0.03934374555456999,0.0020741656972544957,0.02763637944076884,0.0014002093742725076,0.002529927095868588,0.000193337145775201
Fixed Cut 35.0%,351,135,189,35.0,N/A,N/A,3.5597973823547364,0.4412463175202515,3.5597973823547364,0.4412463175202515,0.03998611828925303,0.0038119941137950315,0.02831630403366826,0.002703315352562542,0.0024967329786779674,0.00027494273451120937,0.03998611828925303,0.0038119941137950315,0.02831630403366826,0.002703315352562542,0.0024967329786779674,0.00027494273451120937
Fixed Cut 40.0%,325,135,215,39.81481481481482,N/A,N/A,3.4379255294799806,0.400317296792229,3.4379255294799806,0.400317296792229,0.04330880578810115,0.004471930492561264,0.030474109540683195,0.0032810599710653646,0.002762544657180943,0.00033374732579795574,0.04330880578810115,0.004471930492561264,0.030474109540683195,0.0032810599710653646,0.002762544657180943,0.00033374732579795574
Fixed Cut 45.0%,298,135,242,44.81481481481481,N/A,N/A,3.2096303939819335,0.5621999881469563,3.2096303939819335,0.5621999881469563,0.0418722646923385,0.0041580748621411435,0.029456411759435176,0.0030151351442509345,0.002688276464896109,0.0003066156777121809,0.0418722646923385,0.0041580748621411435,0.029456411759435176,0.0030151351442509345,0.002688276464896109,0.0003066156777121809
