Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,412.69936203956604,18.705551147460938,431.404913187027,1.1376281989712294,0.24271422175689933,0.07166662685665082,0.5508629828887814,0.059665520030871826,0.003569141477445755,0.9467865781144436,0.06227101004588701,0.03600486875634398,2.236682852908679,0.1472198006511164,0.03880408238363359,3.08316467782333,0.38937407448590416,0.18668228252191826,1.05916096820623,0.07648987562520575,0.041463459951112086,4.379512143356228,0.11431748419068453,0.053255005178209996,1.402381884121602,0.06093551565992634,0.03274064249357857,1.8495225357988145,0.1441234378058115,0.05802326370236166
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,387.6102788448334,27.144420862197876,414.75469970703125,1.1414413519800042,0.2327933838523692,0.0675893068073688,0.12841763580929313,0.01898640849336071,0.00038379342235352206,1.4063996525316869,0.06473974195804018,0.03938505207997522,1.2638785318710755,0.12430408895664447,0.030950609813005237,2.763827051259779,0.3786619505789872,0.17709531409928292,1.556951401108185,0.0778044312593434,0.04420440971371856,1.4854972159396724,0.11816123243343522,0.05863794441977956,1.3951310628940514,0.07137825781249654,0.03603041251399416,1.3926929879242187,0.13585368691808458,0.056784605358684764
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,397.92817187309265,36.19802284240723,434.1261947154999,1.1227051226764977,0.24755775077042716,0.07300956643074331,0.10849361776311726,0.016406784202883214,0.0002781861596545007,1.4209507124785272,0.06485107362626041,0.038464622484147074,1.9028129948637253,0.14156193517470075,0.03646096625195607,3.010253073612615,0.38579179258809254,0.18199415070971406,1.854924103716457,0.08201244621437576,0.04516543850355696,42.81955228701385,0.11532290057467438,0.05510022257110748,1.5176437467791188,0.05831577109146623,0.03485221301308529,6.7196669573630015,0.13897755678036,0.05816567076549561
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,347.7969310283661,22.98290205001831,370.7798330783844,1.1308217374143115,0.256610031656611,0.07781273790004967,0.047373619650557176,0.007880902190349018,8.787729490526798e-05,0.8212265383032396,0.06003090910698467,0.03235656566574471,1.5199519765129854,0.1318472329213442,0.03333090276683314,3.4235276319143964,0.39804534728266666,0.19300056264717722,0.9891783332263453,0.08501333830205735,0.04065526921393652,1.8012871736528502,0.10534470493636666,0.05048040485539583,2.238730666235186,0.051082543264291694,0.033156925959045104,1.4965122096137327,0.13698187620758384,0.057610155787885926
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,351.0331521034241,23.552456855773926,374.585608959198,1.1375629846531845,0.24382734689549557,0.07217111642482406,0.00931488053741187,0.009380727043962839,0.00011863751931237676,14.514007244331607,0.0738041062516484,0.038337045123381784,1.3196762311841925,0.12599761903221554,0.03195303616308796,2.3075777545638623,0.3615227820949432,0.1656088378594539,0.9201959013528003,0.06806402029643242,0.03912336816268345,3.8725681198315627,0.1348976496990261,0.057597855178269354,1.2594121036016095,0.07938719478395463,0.03276028451576812,3.1675394025070314,0.13711018076220974,0.05470877261834766
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,298.9283781051636,12.310840129852295,311.23921823501587,1.1029271785535695,0.2835668344538743,0.08971198857400248,0.00966924987898294,0.008991711010075745,0.0006194241947228434,0.7857358407852475,0.06589376876830545,0.03333835338976926,0.9811521372576247,0.11437985438186615,0.027844176242858124,1.9604886089324491,0.3438774724592861,0.15538793482739802,0.9093018872152104,0.09167196652672552,0.038676262275034845,0.9724366906087947,0.10522662157694476,0.04750395931121314,2.562471060090212,0.04350884250801834,0.02612385964382927,1.1605228316652614,0.13213963396063688,0.052400744807353544
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,297.44452381134033,10.453478813171387,307.8980026245117,1.1580114935421328,0.22944523283182455,0.0671240747261777,0.007185931252305074,0.00713319874321168,8.18333966255243e-05,3.1830901350035323,0.06870399537939807,0.038284734127070355,0.9746028525009758,0.1142306012930702,0.02796113329893278,2.5664674631463353,0.3716782995018889,0.17367770637140698,1.4113921639184674,0.06879348165898637,0.041424696984981274,1.1578802520984588,0.11228062698646142,0.05862322142211863,1.3791906044673263,0.06893647663946711,0.034741505119959555,1.4797276119911902,0.1301502391292884,0.05523986318090914
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,274.186616897583,19.761013984680176,293.9476308822632,1.1586176638576968,0.21498273024744385,0.06112807101454557,0.0053258435447405645,0.005282867338318608,4.887602249334432e-05,1.114048234311524,0.06174143809433278,0.03938536708997068,0.8852093791734421,0.10984656252561535,0.025885140550206496,1.7100220343418444,0.3287306009205033,0.14438234095521063,1.5028483442562843,0.07907218226058553,0.04412877257660783,1.0664801239109298,0.12341702946243913,0.06211721588023852,1.403124020696491,0.07208023701814187,0.03615535420015819,1.1057094555116196,0.12439420598342246,0.05165389228617896
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,263.3462257385254,33.2214891910553,296.5677149295807,1.1224144983922821,0.25052402367236354,0.07417409014236287,0.013649877858581643,0.013832558367073311,0.00020235863589008178,1.7921425759485543,0.06311207087435783,0.03976966963707954,0.8051844574920288,0.10631598674538568,0.0247228399456032,3.279994954505554,0.39405212861181266,0.18846981418312495,1.588759809457356,0.07638196848286995,0.044437734508576986,0.8467691477498573,0.11199699322260244,0.06129615418042623,1.558150421490066,0.057833132470322485,0.03541180821310974,1.3758832178617846,0.13425610780584835,0.058560558680771715
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,253.32366585731506,17.67663836479187,271.00030422210693,1.1233320532436282,0.25275196542729605,0.0752593595416788,0.004576720950965653,0.004616454965460031,4.600088071429953e-05,1.149699642873013,0.0633418105890407,0.03892960419167134,0.9546687196965905,0.11310630558480886,0.027188706043774307,4.600313611610418,0.4181407711325133,0.2072935332231237,1.7918456415732154,0.07823349261555754,0.041679076763807825,0.8667810140144725,0.11265496976242127,0.061192209636061055,1.389619115297772,0.0686647542588592,0.03508130101052373,1.4851045649075094,0.13893881554199447,0.06083372391141932
