Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,30.01023006439209,30.01023006439209,35.89261996527173,0.21946109992064355,0.060253913515354814,0.31029243495043657,0.052193849444985105,0.002754738070760596,0.9562131144463349,0.0559731509211955,0.030572902612491598,0.5432734010990258,0.12869457755509503,0.0314905775857513,0.6354625622644594,0.33993336608711633,0.147447493875589,165237244108.01508,0.0709210568131135,0.03301602812506502,0.2920467637270566,0.10144024828689986,0.04610213023036389,6.346915522466401,0.05076422744999648,0.02576554549746946,20654655519.12399,0.12742269705988035,0.047175416189105715
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,25.60316491127014,25.60316491127014,35.64495402422056,0.21940440441398773,0.06091124363433833,0.16905429918301013,0.028436383378134575,0.0008521381970071002,1.2396348380728197,0.07189620004094607,0.027686698239158133,0.5499282387837672,0.13040316144671346,0.03176806691296457,0.7142753282555773,0.3728455684103664,0.16950672839058148,117659272504.59482,0.05613717560156101,0.0262807065699388,0.30711030249516064,0.10917206478436896,0.04453241325993931,18.01467975518736,0.07906435913161387,0.024625555511248728,14707409070.154322,0.13341991465096142,0.048270443839397006
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,16.59725022315979,16.59725022315979,45.19231781589887,0.26798513023661547,0.0799186218160216,0.0687688638993986,0.011567512851034245,0.00016128921082100606,0.8767015906436532,0.05322474293038648,0.026039812229186946,0.5686598604942275,0.13391415221645855,0.03292605275427981,0.7383846377072274,0.38442150165033095,0.17956580567964014,180960796968.53656,0.07676498337620545,0.03045501941960923,0.29210950677815756,0.09952994383787661,0.0391018274431378,5.3586637675618585,0.04470628254431279,0.02234110187903431,22620099627.704033,0.13401428120540249,0.051313691303966354
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,23.717830896377563,23.717830896377563,30.90693481701852,0.19166623041287822,0.051526994934477474,0.04277200309536735,0.007576971318931329,8.705097843449634e-05,0.9158901891372768,0.056149515665978714,0.030930001057983006,0.5059851924128407,0.120121924013372,0.028676802579698634,0.6448362540870725,0.3451228489228745,0.15196756923124208,168941221601.15588,0.07220288190493317,0.03286640484061182,0.2944720233742627,0.10546745493648518,0.04530628190226976,6.33921134210033,0.052467890492495776,0.028120164514605642,21117652705.10072,0.11884696470849351,0.046185158754915405
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,24.670336961746216,24.670336961746216,28.79494090165162,0.18365831820693157,0.049787653191799855,0.008148295374402412,0.008148295374402412,0.00016254901773955113,0.7012159540501829,0.05668468790651666,0.02440736493279595,0.5182294286301364,0.1175557160590453,0.02766558346547715,0.6292352561950558,0.34006147225156297,0.14946534280974294,193651011184.3189,0.07599476571164566,0.03173996233448234,0.28870062536910324,0.0991159766081351,0.041629028823980056,11.550243993216892,0.06181450013902513,0.022980614279266256,24206376403.35119,0.11787921653215797,0.043479762356910534
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,29.998542070388794,29.998542070388794,33.63699438633768,0.2084561500102521,0.05642904842912967,0.005464654122217092,0.005464654122217092,6.431891698070251e-05,1.7184928390908334,0.08275748391406307,0.031228753315813255,0.5183746294084352,0.12090246695692845,0.028419820969254578,0.6167362720499847,0.33070388101962367,0.14148995301249948,116687003600.9421,0.059201101515064615,0.030096754048019113,0.34048763520130293,0.12163665094252568,0.04527404857814406,18.284892886904867,0.08066729950883139,0.025579138158644276,14585875457.007961,0.12622371099868818,0.044822729428560665
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,19.595399856567383,19.595399856567383,40.730668840164874,0.24523025678540045,0.07020490488490279,0.006895743777860585,0.006895743777860585,7.695875228380116e-05,0.7367915738611557,0.05744797313361162,0.027182546763412266,0.4959793156841913,0.11554631031980847,0.027735819756782833,0.6340572146433523,0.3412848794093205,0.15020574214852733,182953138596.3288,0.07023726406634333,0.03270149964474415,0.29480225756961126,0.10382853218301052,0.040559068353620144,8.837077169385976,0.05725546040581673,0.02651053303891364,22869142331.008087,0.12471580251014641,0.046897134167898424
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,30.24182391166687,30.24182391166687,33.85132113752912,0.2071155496973774,0.05568956135152633,0.022675352249963674,0.022675352249963674,0.0006435497537199824,1.1204279551618215,0.052800774688113866,0.026026083384189016,0.47111160970849475,0.0979844319545987,0.02135011244807923,0.5573150660253169,0.30464313135276794,0.1264326890927877,146056199394.184,0.0632631287711555,0.029267274775129772,0.28524588302689874,0.09856733947599222,0.04317297744110896,8.88010920715664,0.05644272196031474,0.02471019820909774,18257024929.921535,0.11293655376878536,0.040911555806954825
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,15.770580053329468,15.770580053329468,30.712803874752517,0.19616240676197225,0.053711978565703825,0.007086142010727133,0.007086142010727133,6.120023098606165e-05,1.09610401246578,0.05725215119982373,0.032101776551695556,0.47637278945070105,0.1034586688916242,0.02328028980722079,0.6200676466279629,0.33418055671642566,0.14511240319600252,245435683036.221,0.08690053466054294,0.03636849962585022,0.2999962566002387,0.10103160183388969,0.04626705281256921,5.202376631423272,0.04936761353994849,0.02937632166051665,30679460384.329445,0.11692995945186914,0.045784940306318085
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,13.561975002288818,13.561975002288818,28.74917321454431,0.1813924375645277,0.049476250371664116,0.008942247939173722,0.008942247939173722,0.0001571792398487241,1.3039256133641706,0.055604690852801224,0.028857602182296705,0.46789925900170076,0.09432816331035436,0.020371669820149572,0.7318601198164668,0.3753758445395435,0.16989752819108855,217321135133.33414,0.08100936323477818,0.035206633213688915,0.32361561488623974,0.09950161006862931,0.04480206245404721,2.5845564073647416,0.03965503248160743,0.025474418135307125,27165141895.938034,0.1169761737489268,0.04678041795101144
