Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg CO(GT)_MAPE,Std CO(GT)_MAPE,Avg CO(GT)_MAE,Std CO(GT)_MAE,Avg CO(GT)_MSE,Std CO(GT)_MSE,Avg NMHC(GT)_MAPE,Std NMHC(GT)_MAPE,Avg NMHC(GT)_MAE,Std NMHC(GT)_MAE,Avg NMHC(GT)_MSE,Std NMHC(GT)_MSE,Avg C6H6(GT)_MAPE,Std C6H6(GT)_MAPE,Avg C6H6(GT)_MAE,Std C6H6(GT)_MAE,Avg C6H6(GT)_MSE,Std C6H6(GT)_MSE,Avg NOx(GT)_MAPE,Std NOx(GT)_MAPE,Avg NOx(GT)_MAE,Std NOx(GT)_MAE,Avg NOx(GT)_MSE,Std NOx(GT)_MSE,Avg NO2(GT)_MAPE,Std NO2(GT)_MAPE,Avg NO2(GT)_MAE,Std NO2(GT)_MAE,Avg NO2(GT)_MSE,Std NO2(GT)_MSE,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg RH_MAPE,Std RH_MAPE,Avg RH_MAE,Std RH_MAE,Avg RH_MSE,Std RH_MSE,Avg AH_MAPE,Std AH_MAPE,Avg AH_MAE,Std AH_MAE,Avg AH_MSE,Std AH_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,7485,1872,N/A,N/A,N/A,N/A,27.651851081848143,7.611133815022153,27.651851081848143,7.611133815022153,34.25226697726437,2.4556443949695055,0.2105508374605997,0.012792438223754803,0.05774062672190518,0.004274070848613634,0.2661950715610253,0.07700532243639702,0.04477629462759045,0.012952955834549532,0.002198601792560185,0.001064591602886706,1.1379583340060713,0.2141253370202688,0.05663149249939677,0.0020805599776268393,0.029656566758567177,0.0018291709928720194,0.5204759821557301,0.023924417034056584,0.12189294408295732,0.005950328767912839,0.02933858529748683,0.0013240148544989975,0.624643414266465,0.01895347296501171,0.334847772875232,0.007687777531950425,0.14482842769162596,0.004995862906928136,187085446960.32224,23196394961.205948,0.07990787532197886,0.010015825963314594,0.03441303444300066,0.0034402418850644372,0.2979602610105378,0.012852723815607274,0.10319147264212448,0.006528453634657646,0.04521485489180749,0.001963965128265687,5.978343556040289,2.834510557602273,0.05047834551923413,0.006779211233800729,0.027055552826003703,0.0018589113443417938,23385680875.424973,2899549369.698023,0.12528462937863896,0.002923730018014577,0.04630578130286964,0.0016713931417809982
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,N/A,29.36733913421631,11.332259551858488,29.36733913421631,11.332259551858488,33.66156772708085,1.4479034008254212,0.20767244300452378,0.009527416529451932,0.05683213506847178,0.003654697702418614,0.2149882713902372,0.08120917759994487,0.03616287155428716,0.013660080336407884,0.001495992986444466,0.0012117661916780274,1.0163952512029788,0.19068934132105755,0.05912283432592875,0.007275711663575044,0.02957379435784318,0.0011902737065016362,0.5249937877786147,0.016256075636198748,0.12482255052149667,0.003777989510228801,0.030167541135450587,0.0014768293581462998,0.6725040840778177,0.023988921506462844,0.3558073307251536,0.010249528455689919,0.15860732313860407,0.007211843870332744,160013306619.1696,29199555655.751705,0.06663052620838618,0.007579588700995051,0.03176050113292974,0.0033991455980629547,0.3126623125757127,0.030689648545597133,0.11056236756461076,0.012250764689192527,0.04630712115567281,0.004449011742851735,9.021774791859528,5.47954341574109,0.057328523245245545,0.013646167637554761,0.025419128021720826,0.0012937114471592679,20001663333.074306,3649944456.197296,0.12726368089370396,0.005859612828679123,0.04752044212464221,0.001839701537553017
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,N/A,22.853696393966676,4.653744430550025,22.853696393966676,4.653744430550025,37.154792108146324,5.693827614560518,0.22585147837186306,0.030061789626479193,0.06323403440367012,0.011076118518384024,0.09465632169847515,0.05712203814059313,0.015922005331955445,0.009608416844506827,0.00035287965377984174,0.0003889533523255541,1.088962502775803,0.3483257931560844,0.05543588028997183,0.0015894300319217209,0.028197849861065123,0.0024935297737023374,0.5460205738984032,0.045911058344340616,0.1275667302148809,0.010355752344660692,0.030634197948323578,0.0031988003065959686,0.6854581019226904,0.05327988556395979,0.36061453642233726,0.023989199918702544,0.1619956995210313,0.01705892610183191,184932062050.14536,28894979753.88873,0.07409934323675511,0.007368164663205259,0.0318661776660651,0.0027812437977995236,0.29191307842849495,0.006791943823725931,0.10137982710149589,0.004661898123257504,0.04133468448722228,0.004037329287320296,7.451140218114987,2.8689236240472407,0.05274250035965458,0.008774007311101385,0.02517971154978235,0.002713558458406619,23116507762.182297,3611872468.899525,0.1267015376661142,0.005445186576498686,0.04784940438636748,0.0023957746619018877
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,N/A,18.20064334869385,3.778416836781662,18.20064334869385,3.778416836781662,29.158502224212388,2.8202336416940015,0.18229025979158706,0.016265045996124307,0.04956772248253705,0.004169837317767415,0.06842665313739563,0.03955023708528232,0.01212163917402934,0.00700624217631219,0.00022351752015448747,0.00023630507658572989,0.9638916493736193,0.28643228521475095,0.055764308703684574,0.0012891870711385183,0.02863577723299821,0.002408210103281731,0.48646808514991857,0.011144891754354784,0.11230884841508386,0.005512158675525392,0.026318855742327386,0.0017453557488952105,0.6174813094587958,0.0353806065962757,0.33288173332096854,0.014534034042298924,0.14483198547558615,0.00872486402711027,180053434750.50116,30720589536.105335,0.07462324500428288,0.008040565879207977,0.0329590857945989,0.0011559243551987634,0.3016677077816258,0.011688888256471575,0.10594046760018486,0.005576000808521929,0.04405668173737377,0.003263924471589359,7.346962716223132,2.3123524282741617,0.05389654629530187,0.006008038577645626,0.02713427757942779,0.0015816072645540313,22506679348.68055,3840073692.2601814,0.11622838103814025,0.003875340457556808,0.044215987945625486,0.002194380175312666
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,N/A,19.220794582366942,4.886204557588825,19.220794582366942,4.886204557588825,33.94202260815661,5.56135473512463,0.20957539545761036,0.02777106706842323,0.05792443281361204,0.008472968750764517,0.007684029944780365,0.003183046438237376,0.007684029944780365,0.003183046438237376,0.00012657783947472796,7.247242687733305e-05,1.5509395745679426,0.7760227401389709,0.06017967900913198,0.0055832543603277305,0.029161646082724944,0.00279118514740796,0.49176747148615707,0.022347853583461474,0.11073260293794956,0.0042449484585690275,0.025880095711826052,0.0013565957400474276,0.6196041771171238,0.04392684914019106,0.3330523155298054,0.01964778326668398,0.14440730340103486,0.012196814881720176,214383497687.16595,20729772805.962765,0.08306452845646453,0.0057564929968293935,0.035122649964737476,0.00240351649254827,0.3084043237854472,0.02073032300305205,0.10525805582875061,0.006232481843908667,0.044895241969896735,0.003195302727022647,6.152612143428907,4.636752146320462,0.0504971834750084,0.011055527044326873,0.026532188344783672,0.0023226438608692445,26797937216.27988,2591221600.703442,0.12000547382993754,0.005733608136059762,0.04550626701601131,0.00250845084234219
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,N/A,31.467346477508546,5.399612325138163,31.467346477508546,5.399612325138163,35.05258937867826,2.2143874506345345,0.21379475149103208,0.012970660472112913,0.05817574783382072,0.004562192314045719,0.00795661668675195,0.006267590004818547,0.00795661668675195,0.006267590004818547,0.00020682159826410172,0.0003307548300470737,1.061356195849774,0.45375258702547094,0.06129945010248362,0.012395390225341021,0.027375358148512708,0.002330208253096886,0.5075508311782463,0.022571424636446506,0.11832652689939814,0.006317848280907743,0.02754479243398362,0.0017133196212720803,0.6333168010290048,0.03862567265536359,0.33807308484364873,0.016256435658055055,0.14661270208617558,0.009744850670380096,174379497244.92676,44906986981.636856,0.07140532737040567,0.011117812019386025,0.03054314628202774,0.0015853394543013377,0.3131009803087738,0.016918228892924585,0.11140488074335592,0.0069022459268568625,0.04211417634852356,0.0024959174502841596,12.356427570315155,4.4426914934673265,0.0634585817122611,0.012702272677008576,0.023361911698564705,0.0018371215859543306,21797437161.85739,5613373372.039249,0.12321490248116707,0.0036184390192932838,0.0444918320537341,0.001259401292982458
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,N/A,21.527559566497803,4.576450980096625,21.527559566497803,4.576450980096625,33.391743992388704,4.235740454354176,0.20808041210043526,0.021869684983698272,0.05747242693355503,0.007441495409290749,0.010504348162991112,0.004019799858456983,0.010504348162991112,0.004019799858456983,0.00023079443438140355,0.00013709824596671617,1.0115489688570527,0.2700507745097478,0.05580037441190622,0.003419015990293801,0.025924145080349233,0.001840086349593292,0.5027036272428912,0.029087903133016586,0.11140901676486693,0.00469234624823981,0.026075375573552332,0.0013935223475266755,0.6301692524450768,0.04883832081001574,0.33768764423427833,0.019576046976563614,0.14745473185866315,0.011307150010669976,180064116394.52695,20044579869.19796,0.07078041287183222,0.007414392464036078,0.029997436648966282,0.00302520479149794,0.30496724308415957,0.01291547395432772,0.1049176025419125,0.006376993240542903,0.04060556874859149,0.0014873998880697245,10.607964721192323,2.7980849249275934,0.05992144901553328,0.007100264491870207,0.024757226095387476,0.0016143769261648844,22508014555.123302,2505572483.5163445,0.11988765751296936,0.004225395367119964,0.04406471317168081,0.0023802292808815005
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,N/A,21.465140914916994,6.458695283478399,21.465140914916994,6.458695283478399,33.91601727459555,3.809932241099696,0.20958911689866644,0.02027283898659268,0.057825154534528224,0.005818627011528463,0.013660403742547329,0.0067681600438572525,0.013660403742547329,0.0067681600438572525,0.00033573656148097093,0.00019908055615339528,1.5040876634807923,0.4171412738140807,0.05792143267365667,0.004408319447771113,0.028347156636166222,0.00206162518573534,0.5040735347331171,0.03164589911754663,0.1012059052685087,0.007057600711909063,0.022537714428424498,0.0028060212887218985,0.6273460134817802,0.06876291962023945,0.3353472828318298,0.029967516154988712,0.14586870012948067,0.019472238382509673,199132384032.64325,46156709719.97984,0.07794840598498848,0.012330544874796531,0.03211618057181641,0.002701680543050349,0.30680396803146825,0.01953926799620286,0.10311894773555025,0.003410314025464108,0.046766096456848934,0.00340666940326198,5.938597139016511,3.6863597298499013,0.049637220075742734,0.010049368431207876,0.025821962550757884,0.0013712164140889166,24891548009.431732,5769588714.641394,0.11855358940143618,0.0060549934491291755,0.04495233773368799,0.003292529280597116
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,N/A,12.99463381767273,1.6459064310447016,12.99463381767273,1.6459064310447016,34.5735060975933,3.7968843590624486,0.21454577113978024,0.020568799160694685,0.059557053673866336,0.007008112904614689,0.00798206808100437,0.0010496750212178984,0.00798206808100437,0.0010496750212178984,0.00010665307347427247,4.039983398231728e-05,1.5184925616460512,0.42206810022745106,0.06070011472633553,0.006517236933454111,0.031406399502124094,0.004789995764487138,0.5110073981471284,0.04606387056209437,0.10150109000281458,0.0040848084024051,0.022816999347199447,0.0016165261881749447,0.661315117912121,0.06158337940925409,0.35148726141735054,0.02663165414054881,0.15694643577363335,0.0178028279629984,205823269112.56894,40751392602.11644,0.08018855951424579,0.01103008061532072,0.03454905691979517,0.004352919587348088,0.31065935171832415,0.015015392705010502,0.10298070794693587,0.008761586882281487,0.04473453775689407,0.004883356349705951,8.725979141356808,5.135110470108544,0.056984306571497896,0.012661539922053927,0.027243679446920965,0.002639863206728625,25727908644.85971,5093924074.431135,0.12204623492499547,0.004746383932118076,0.04717010193673844,0.0011985423114339376
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,N/A,16.33352279663086,4.771242891190668,16.33352279663086,4.771242891190668,35.16101172943992,4.788051481359635,0.21738582401003978,0.025909174165598188,0.060927047074381686,0.008809792891984487,0.009015526125961591,0.0026621701684868796,0.009015526125961591,0.0026621701684868796,0.0002688331767742923,0.00024301984584674226,1.3503341580344648,0.25242597709289466,0.05851375675993295,0.0038451145827656332,0.02728773097584185,0.002837194347315632,0.5035562459319234,0.04496997611820043,0.09863347996879857,0.00642628748066433,0.021660632061029708,0.0022627251105907338,0.6827148266708242,0.05286414456822666,0.3579460189047128,0.020543216798908387,0.15964214891968403,0.012653302500772496,167164833778.49347,53158641670.8212,0.06894274568235587,0.013564838290851589,0.02951929333996099,0.004560944069148803,0.31403718899363453,0.01928545767141963,0.10288317280855638,0.007877657250794458,0.04312297163396588,0.002193186746118622,9.399722430338377,10.125878048732643,0.055880776440788975,0.023356322441303135,0.023831184621299906,0.002110083319117253,20895604228.239227,6644830207.579818,0.1211501625876432,0.004278907167812776,0.04578248022536731,0.00243557786852437
