Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,15788,3947,N/A,N/A,N/A,62.84733700752258,62.84733700752258,0.40482453791367806,0.29665994517718525,0.11976665728650962,0.006394836922887432,0.006242467888972612,7.438558033956563e-05,0.23990253832693076,0.12719277086818812,0.024909015986982606,304720071343.81824,0.12067670835251483,0.01890118992189469,0.2124655279181138,0.07486648098209576,0.011618789115940845,1193818580553.3752,0.3601966521722691,0.18234852317749853,249756441983.01392,0.16430583757353764,0.05960309351152767
Fixed Cut 5.0%,14999,3947,789,4.997466430200152,N/A,78.43084216117859,78.43084216117859,0.44470864280960687,0.3267836275886627,0.13932348520454022,0.007935819145756215,0.007789916216884487,8.72213267979581e-05,0.24797441271913087,0.128601213392471,0.026913729488414945,273045147185.3619,0.09490444147255292,0.012429180767622706,0.20279032663298957,0.07028838017220286,0.01124244487552908,1011282402377.0414,0.3682434794372924,0.190917387424804,214054591593.8812,0.16610184304667766,0.06348557484795146
Fixed Cut 10.0%,14210,3947,1578,9.994932860400304,N/A,43.71764397621155,43.71764397621155,0.4070145008598743,0.29717113661696576,0.11996649602207066,0.007170987071523124,0.007016684691949155,9.431713395420549e-05,0.2576565254915324,0.13510610407098914,0.028904658541246055,272551142868.8921,0.09616136720520561,0.01267241372237817,0.21132913240205695,0.07651876256115955,0.011508148277518572,1266667635794.487,0.34904936502397726,0.17093460299334193,256536463110.70865,0.16017057002837423,0.0573467727817516
Fixed Cut 15.0%,13420,3947,2368,14.998733215100076,N/A,73.80476331710815,73.80476331710815,0.38842976842638305,0.2832850868983306,0.1115315526432753,0.009566868991481917,0.009387816334249673,0.00011553022304784751,0.23127543725289626,0.12338736044052796,0.02314692091239969,285776202598.56274,0.10408882780780829,0.014579223308197801,0.2377936267180388,0.08275387075382036,0.013732294289390037,1282009552879.2617,0.34095540708844335,0.1627167452429325,261297625913.1101,0.15730972822053013,0.05430371110320729
Fixed Cut 20.0%,12631,3947,3157,19.996199645300226,N/A,44.05772519111633,44.05772519111633,0.40805209346832066,0.2985414346144053,0.12123377427692698,0.01182671831977241,0.011542083738438945,0.00020000086320315702,0.23892254926193457,0.12778823317189245,0.024778744306278334,272155469551.5143,0.09549144608418615,0.012581767014574424,0.20915689190991527,0.07653994115999993,0.011470691862301749,1252570280001.3464,0.35916403848087786,0.18117502888588594,254120958258.95767,0.16151119620829993,0.058573334534861764
Fixed Cut 25.0%,11841,3947,3947,25.0,N/A,54.33307480812073,54.33307480812073,0.397479584568809,0.2906988179916639,0.11395797351040046,0.00815879558831655,0.008015418875792801,9.127941109649793e-05,0.23631601492080107,0.12675481481067957,0.024255513498321064,278545775784.67224,0.10494385833694606,0.014740641357397223,0.2070361716469062,0.0745549011231145,0.011169249153970485,1124248683677.2388,0.3549337760911889,0.17730112090051678,233799076577.12573,0.15998359787156413,0.056919296305283806
Fixed Cut 30.0%,11052,3947,4736,29.997466430200152,N/A,82.07545113563538,82.07545113563538,0.3976184379916538,0.29061149173417716,0.11599239102323987,0.011187806944170691,0.010975178102488537,0.0001534682799979099,0.23989129988625663,0.1275311871299287,0.02492086357076291,250859266584.78317,0.08643483699242575,0.010724942056683515,0.20510647398777807,0.06947374912965586,0.011435297605427155,1167882366542.5706,0.3758425670564442,0.19967951704279469,236456938854.7136,0.16014483502418694,0.06048441326315094
Fixed Cut 35.0%,10263,3947,5525,34.994932860400304,N/A,52.32792282104492,52.32792282104492,0.41456969714298303,0.3044875808347514,0.12492925370876812,0.008451968674990035,0.008328936631768787,9.963035834117158e-05,0.2521963977566309,0.13309096595506673,0.027622726362617974,261533321255.14355,0.09346648095036182,0.012291047702350053,0.21441662430852812,0.07684137359895551,0.012038648821394703,1100209393126.6255,0.3682204558397229,0.19113237485721626,226957119063.7725,0.16407263230177138,0.06135228030178147
Fixed Cut 40.0%,9473,3947,6315,39.998733215100074,N/A,58.20942997932434,58.20942997932434,0.3809722091738693,0.2771550663082538,0.10556145290407652,0.00546777750838197,0.005365503222433638,4.052733979162292e-05,0.21741836149944058,0.12022486659770365,0.020727831254857672,271415280231.85846,0.09640898054964332,0.012961819784312986,0.21061067039020034,0.07363794885939173,0.011678916497419945,1095091295266.6462,0.3844499391572939,0.20885402737701328,227751095916.5464,0.15954038411578675,0.05997076252624523
Fixed Cut 45.0%,8684,3947,7104,44.99619964530023,N/A,50.60734701156616,50.60734701156616,0.3982633126080963,0.2908516668245143,0.11535915884191901,0.006128799698430542,0.006022306082724365,5.645028691321965e-05,0.22885120310534068,0.12303748998269558,0.02266287496601585,271850449379.87518,0.0944802630419974,0.012620874517607222,0.20258449167283532,0.07358322484136844,0.010914206069735501,1095516335096.0265,0.3652331955029272,0.18882317389021835,227894464079.45297,0.1588680243793714,0.05840612309540161
